Time,Block,NR/2023/16354/C,NR/2023/16314/D,NR/2023/15402/F,NR/2023/13635/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12052/A,NR/2023/12422/A,NR/2023/14898/A,NR/2023/16357/C,NR/2023/13862/A,NR/2023/12431/A,NR/2023/12148/A,ER/2023/10185/C,NR/2023/15937/F,NR/2023/14746/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12592/A,NR/2023/16339/C,NR/2023/16315/D,NR/2023/16350/C,NR/2023/16336/C,NR/2023/12591/A,NR/2023/12167/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/14895/A,Total
39,09:30-09:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,5.32,48.360000,11.600000,50.060000,24.180000,0.970000,0.000000,95.760000,987.61

40,09:45-10:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.670000,5.9,48.360000,11.600000,50.060000,24.180000,0.970000,0.000000,95.760000,988.19

41,10:00-10:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,5.8,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1099.11

42,10:15-10:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,6.77,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1100.08

43,10:30-10:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,7.16,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1100.47

44,10:45-11:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,0.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,6.77,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1100.08

45,11:00-11:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,6.58,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1199.89

46,11:15-11:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,6.87,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1200.18

47,11:30-11:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,5.32,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1198.63

48,11:45-12:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.760000,6.38,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1199.69

49,12:00-12:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,5.9,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1199.3

50,12:15-12:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,5.8,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1199.2

51,12:30-12:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,7.06,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1200.46

52,12:45-13:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,5.51,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1198.91

53,13:00-13:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,8.13,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1201.53

54,13:15-13:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,7.93,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1201.33

55,13:30-13:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,7.64,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1201.04

56,13:45-14:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.850000,7.06,48.360000,11.600000,50.060000,24.180000,0.970000,90.930000,95.760000,1200.46

57,14:00-14:15,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,5.71,48.360000,11.600000,50.060000,24.180000,0.970000,106.400000,95.760000,1237.83

58,14:15-14:30,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,4.45,48.360000,11.600000,50.060000,24.180000,0.970000,106.400000,95.760000,1236.57

59,14:30-14:45,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,5.22,48.360000,11.600000,50.060000,24.180000,0.970000,106.400000,95.760000,1237.34

60,14:45-15:00,0.000000,38.690000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,16.950000,8.03,48.360000,11.600000,50.060000,24.180000,0.970000,106.400000,95.760000,1240.15

61,15:00-15:15,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.030000,7.45,48.360000,11.600000,50.060000,24.180000,0.920000,106.400000,95.760000,1200.91

62,15:15-15:30,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.030000,6.87,48.360000,11.600000,50.060000,24.180000,0.920000,106.400000,95.760000,1200.33

63,15:30-15:45,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.030000,5.61,48.360000,11.600000,50.060000,24.180000,0.920000,106.400000,95.760000,1199.07

64,15:45-16:00,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.030000,5.61,48.360000,11.600000,50.060000,24.180000,0.920000,106.400000,95.760000,1199.07

65,16:00-16:15,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.130000,4.06,48.360000,11.600000,50.060000,24.180000,0.820000,106.400000,95.760000,1197.52

66,16:15-16:30,0.000000,0.000000,6.770000,18.650000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,144.090000,0.000000,0.000000,4.840000,62.870000,100.120000,17.130000,4.16,48.360000,11.600000,50.060000,24.180000,0.820000,106.400000,95.760000,1197.62

67,16:30-16:45,0.000000,0.000000,6.770000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.130000,2.42,48.360000,11.600000,50.060000,24.180000,0.820000,106.400000,95.760000,1251.63

68,16:45-17:00,0.000000,0.000000,6.770000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,23.150000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.130000,3.19,48.360000,11.600000,50.060000,24.180000,0.820000,106.400000,95.760000,1252.4

69,17:00-17:15,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.220000,2.03,48.360000,11.600000,50.060000,24.180000,0.820000,48.360000,95.760000,1163.37

70,17:15-17:30,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.220000,1.93,48.360000,11.600000,50.060000,24.180000,0.820000,48.360000,95.760000,1163.27

71,17:30-17:45,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.220000,1.16,48.360000,11.600000,50.060000,24.180000,0.820000,48.360000,95.760000,1162.5

72,17:45-18:00,0.000000,0.000000,0.000000,25.030000,24.180000,46.620000,63.120000,0.000000,77.380000,20.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,0.000000,4.840000,62.870000,100.120000,17.220000,0.87,48.360000,11.600000,50.060000,24.180000,0.820000,48.360000,95.760000,1162.21

73,18:00-18:15,0.000000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.310000,0.39,48.360000,11.600000,50.060000,24.180000,0.870000,48.360000,95.760000,1154.19

74,18:15-18:30,0.000000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.310000,0.19,48.360000,11.600000,50.060000,24.180000,0.870000,48.360000,95.760000,1153.99

75,18:30-18:45,0.000000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.310000,0,48.360000,11.600000,50.060000,24.180000,0.870000,48.360000,95.760000,1153.8

76,18:45-19:00,0.000000,0.000000,0.000000,25.030000,0.000000,46.620000,63.120000,0.000000,77.380000,0.000000,0.000000,125.110000,22.250000,100.000000,193.460000,0.000000,36.500000,4.840000,62.870000,100.120000,17.310000,0,48.360000,11.600000,50.060000,24.180000,0.870000,48.360000,95.760000,1153.8

