Column1,Block,GNA/NR/2024/12/01/3428,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1599,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/2024/24071/A/45780,NR/2024/24227/A/45914,NR/2024/24330/C,NR/2024/24225/A/45912,NR/2024/24329/C,NR/2024/24224/A/45892,NR/2024/23952/A/45769,NR/2024/24052/A/45781,NR/2024/24051/A/45782,NR/2024/24060/A/46018,NR/2024/24146/A/45791,NR/2024/24337/C,NR/2024/24336/C,NR/2024/24097/A/45774,NR/2024/24088/A/45777,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,WR/2024/25054/A/45989,GNA/NR/2024/12/01/1475,NER/2024/2770/A/45990,Total
3,00:30-00:45,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8599999999999

4,00:45-01:00,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8599999999999

5,01:00-01:15,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.80999999999995

6,01:15-01:30,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.80999999999995

7,01:30-01:45,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.80999999999995

8,01:45-02:00,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.80999999999995

9,02:00-02:15,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.90999999999997

10,02:15-02:30,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.90999999999997

11,02:30-02:45,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.90999999999997

12,02:45-03:00,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.38,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.90999999999997

13,03:00-03:15,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.34,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8699999999999

14,03:15-03:30,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.34,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8699999999999

15,03:30-03:45,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.34,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8699999999999

16,03:45-04:00,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.34,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.8699999999999

17,04:00-04:15,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.9599999999999

18,04:15-04:30,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.9599999999999

19,04:30-04:45,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.9599999999999

20,04:45-05:00,8.66,1.84,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,0.96,0,0,0,0,25.97,0,408.9599999999999

21,05:00-05:15,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,4.81,0,0,0,0,25.97,38.47,451.17999999999995

22,05:15-05:30,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,17.31,5.77,0,0,7.69,4.81,0,0,0,0,25.97,38.47,451.17999999999995

23,05:30-05:45,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,25.97,38.47,460.80999999999995

24,05:45-06:00,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,25.97,38.47,460.80999999999995

25,06:00-06:15,8.66,1.84,8.66,28.85,28.85,0,0,150,0,0,0.19,0,0.19,0,0.29,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,28.85,38.47,343.38

26,06:15-06:30,8.66,1.84,8.66,28.85,28.85,0,0,150,0,0,0.19,0,0.19,0,0.29,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,28.85,38.47,343.38

27,06:30-06:45,8.66,1.84,8.66,31.74,31.74,0,0,150,0,0,0.19,0,0.19,0,0.29,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,31.74,38.47,352.04999999999995

28,06:45-07:00,8.66,1.84,8.66,31.74,31.74,0,0,150,0,0,0.19,0,0.29,0,0.29,0.43,2.89,2.89,17.31,5.77,0,0,14.43,4.81,0,0,0,0,31.74,38.47,352.15

29,07:00-07:15,8.66,1.84,8.66,31.74,31.74,0,0,150,0,0,0.19,0,0.29,0,0.38,0.53,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,31.74,38.47,363.88

30,07:15-07:30,8.66,1.84,8.66,31.74,31.74,0,0,150,0,0,0.19,0,0.38,0,0.38,0.53,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,31.74,38.47,363.9699999999999

31,07:30-07:45,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0.29,0,0.38,0,0.48,0.53,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,34.62,38.47,372.80999999999995

32,07:45-08:00,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0.29,0,0.38,0,0.58,0.53,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,34.62,38.47,372.90999999999997

33,08:00-08:15,11.54,1.84,11.54,36.55,36.55,0,0,150,0,0,0.29,0,0.48,0,0.58,0.82,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,36.55,38.47,384.8499999999999

34,08:15-08:30,11.54,1.84,11.54,36.55,36.55,0,0,150,0,0,0.29,0,0.48,0,0.67,0.82,2.89,2.89,28.85,5.77,0,0,14.43,4.81,0,0,0,0,36.55,38.47,384.93999999999994

35,08:30-08:45,14.43,1.84,14.43,36.55,36.55,0,0,150,0,0,0.29,0,0.48,0,0.67,0.82,2.89,0,28.85,5.77,0,0,7.69,4.81,0,0,0,0,36.55,38.47,381.09000000000003

36,08:45-09:00,14.43,1.84,14.43,36.55,36.55,0,0,150,0,0,0.29,0,0.48,0,0.67,0.82,2.89,0,28.85,5.77,0,0,7.69,4.81,0,0,0,0,36.55,38.47,381.09000000000003

37,09:00-09:15,14.43,1.74,14.43,28.85,28.85,0,0,150,0,3.85,0.29,25.87,0.48,10.68,0.77,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,376.27000000000004

38,09:15-09:30,14.43,1.74,14.43,28.85,28.85,0,0,150,0,3.85,0.38,30.39,0.58,6.16,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,376.65000000000003

39,09:30-09:45,14.43,1.74,14.43,28.85,28.85,0,0,150,0,3.85,0.38,34.62,0.67,1.92,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,376.73

40,09:45-10:00,14.43,1.74,14.43,28.85,28.85,0,0,150,0,3.85,0.38,36.55,0.67,0,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,376.74

41,10:00-10:15,14.43,1.84,14.43,28.85,28.85,0,0,150,0,4.81,0.38,27.6,0.58,8.94,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,377.7

42,10:15-10:30,14.43,1.84,14.43,28.85,28.85,0,0,150,0,4.81,0.38,30.78,0.58,5.77,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,377.71

43,10:30-10:45,14.43,1.84,14.43,28.85,28.85,0,0,150,0,4.81,0.38,33.57,0.58,2.98,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,377.71000000000004

44,10:45-11:00,14.43,1.84,14.43,28.85,28.85,0,0,150,0,4.81,0.38,35.88,0.58,0.67,0.96,0.82,2.89,0,28.85,5.77,0,16.35,7.69,4.81,0,0,0,0,28.85,0,377.71000000000004

45,11:00-11:15,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.58,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.14

46,11:15-11:30,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

47,11:30-11:45,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

48,11:45-12:00,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.48,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.33000000000004

49,12:00-12:15,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

50,12:15-12:30,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

51,12:30-12:45,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

52,12:45-13:00,14.43,1.84,14.43,25.97,25.97,0,0,150,0,6.73,0.38,36.55,0.67,0,0.96,0.82,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,367.23

53,13:00-13:15,8.66,1.74,8.66,25.97,25.97,0,0,150,0,5.77,0.38,36.55,0.67,0,1.06,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,354.68000000000006

54,13:15-13:30,8.66,1.74,8.66,25.97,25.97,0,0,150,0,5.77,0.38,36.55,0.67,0,0.96,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,354.58000000000004

55,13:30-13:45,8.66,1.74,8.66,25.97,25.97,0,0,150,0,5.77,0.38,36.55,0.67,0,0.96,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,354.58000000000004

56,13:45-14:00,8.66,1.74,8.66,25.97,25.97,0,0,150,0,5.77,0.38,36.55,0.67,0,0.96,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,354.58000000000004

57,14:00-14:15,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,35.88,0.67,0.67,0.87,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.6300000000001

58,14:15-14:30,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,33.66,0.77,2.89,0.87,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.73

59,14:30-14:45,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,31.16,0.67,5.39,0.87,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.63

60,14:45-15:00,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,28.28,0.67,8.27,0.87,0.77,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.63

61,15:00-15:15,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,25.01,0.67,11.54,0.96,0.63,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.58000000000004

62,15:15-15:30,8.66,1.84,8.66,25.97,25.97,0,0,150,0,4.81,0.38,21.35,0.67,15.2,0.96,0.63,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,25.97,0,353.58000000000004

63,15:30-15:45,8.66,1.84,8.66,31.74,31.74,0,0,150,0,4.81,0.38,31.93,0.67,4.62,1.06,0.63,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,31.74,0,370.99000000000007

64,15:45-16:00,8.66,1.84,8.66,31.74,31.74,0,0,150,0,4.81,0.38,27.7,0.67,8.85,0.96,0.63,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,31.74,0,370.89000000000004

65,16:00-16:15,8.66,1.74,8.66,31.74,31.74,0,0,150,0,2.89,0.38,23.28,0.67,13.27,0.96,0.48,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,31.74,0,368.72

66,16:15-16:30,8.66,1.74,8.66,31.74,31.74,0,0,150,0,2.89,0.58,18.85,0.67,17.7,0.87,0.48,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,31.74,0,368.83000000000004

67,16:30-16:45,9.62,1.74,9.62,36.55,36.55,0,32,150,0,2.89,0.38,14.33,0.67,17.31,0.87,0.48,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,36.55,0,412.07000000000005

68,16:45-17:00,9.62,1.74,9.62,36.55,36.55,0,32,150,0,2.89,0.38,10.1,0.67,11.54,0.87,0.48,3.85,0,28.85,5.77,0,16.35,7.69,0,0,0,0,0,36.55,0,402.0700000000001

69,17:00-17:15,14.43,1.84,14.43,37.51,37.51,0,12,150,0,0.96,0.38,0,0.67,0,0.96,0.48,3.85,0,28.85,5.77,0,0,7.69,3.85,0,0,0,0,37.51,0,358.69000000000005

70,17:15-17:30,14.43,1.84,14.43,37.51,37.51,0,14,150,0,0.96,0.38,0,0.58,0,0.96,0.48,3.85,0,28.85,5.77,0,0,7.69,3.85,0,0,0,0,37.51,0,360.6

71,17:30-17:45,14.43,1.84,14.43,37.51,37.51,0,19,150,0,0.96,0.38,0,0.58,0,0.96,0.48,3.85,0,28.85,5.77,0,0,7.69,3.85,0,0,0,0,37.51,0,365.6

72,17:45-18:00,14.43,1.84,14.43,37.51,37.51,0,27,150,0,0.96,0.38,0,0.58,0,0.96,0.48,3.85,0,28.85,5.77,0,0,7.69,3.85,0,0,0,0,37.51,0,373.6

73,18:00-18:15,14.43,1.84,14.43,37.51,37.51,0,32,150,0,0,0.38,0,0.58,0,0.96,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,759.47

74,18:15-18:30,14.43,1.84,14.43,37.51,37.51,0,32,150,0,0,0.38,0,0.58,0,0.87,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,759.3800000000001

75,18:30-18:45,14.43,1.84,14.43,37.51,37.51,0,32,150,0,0,0.38,0,0.58,0,0.87,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,759.3800000000001

76,18:45-19:00,14.43,1.84,14.43,37.51,37.51,0,32,150,0,0,0.38,0,0.58,0,0.87,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,759.3800000000001

77,19:00-19:15,8.66,1.84,8.66,37.51,37.51,0,32,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,746.01

78,19:15-19:30,8.66,1.84,8.66,37.51,37.51,0,32,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,746.01

79,19:30-19:45,8.66,1.84,8.66,37.51,37.51,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,714.01

80,19:45-20:00,8.66,1.84,8.66,37.51,37.51,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,104.84,0,7.69,3.85,0,150,50,38.47,37.51,38.47,714.01

81,20:00-20:15,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,34.62,38.47,700.5000000000001

82,20:15-20:30,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,34.62,38.47,700.5000000000001

83,20:30-20:45,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,34.62,38.47,700.5000000000001

84,20:45-21:00,8.66,1.84,8.66,34.62,34.62,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,34.62,38.47,700.5000000000001

85,21:00-21:15,8.66,1.74,8.66,31.74,31.74,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,31.74,0,653.29

86,21:15-21:30,8.66,1.74,8.66,31.74,31.74,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,31.74,0,653.29

87,21:30-21:45,8.66,1.74,8.66,31.74,31.74,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,31.74,0,653.29

88,21:45-22:00,8.66,1.74,8.66,31.74,31.74,0,0,150,0,0,0,0,0,0,0,0.53,3.85,0,28.85,5.77,0,0,7.69,3.85,0,250,50,38.47,31.74,0,653.29

89,22:00-22:15,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.48,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.9200000000001

90,22:15-22:30,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.48,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.9200000000001

91,22:30-22:45,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.48,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.9200000000001

92,22:45-23:00,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.48,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.9200000000001

93,23:00-23:15,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.87

94,23:15-23:30,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.87

95,23:30-23:45,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.87

96,23:45-24:00,8.66,1.74,8.66,25.97,25.97,95.13,0,150,31.71,0,0,0,0,0,0,0.43,2.89,0,28.85,5.77,0,0,7.69,0.96,0,250,50,38.47,25.97,0,758.87

