Column1,Block,NR/2024/21954/A/31683,NR/2024/21983/A/31399,NR/2024/22398/A/31617,NR/2024/21814/A/31672,NR/2024/21970/A/31668,NR/2024/21961/A/31644,NR/2024/21938/A/31645,NR/2024/22010/A/31712,NR/2024/21909/A/31621,NR/2024/21940/A/31684,NR/2024/21968/A/31666,NR/2024/22470/C,NR/2024/22052/A/31662,NR/2024/22481/C,NR/2024/22058/A/31663,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22468/C,NR/2024/22469/C,NR/2024/21658/A/31386,NR/2024/22014/A/31379,NR/2024/21860/A/31618,NR/2024/21966/A/31409,NR/2024/22042/A/31378,NR/2024/21974/A/31671,NR/30092023/31122025/SH-07,NR/2024/21971/A/31669,NR/2024/21956/A/31686,NR/2024/21943/A/31681,NR/2024/21918/A/31710,NR/2024/22279/A/31373,NR/2024/22080/A/31468,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
3,00:30-00:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.097

4,00:45-01:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.097

5,01:00-01:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.047

6,01:15-01:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.047

7,01:30-01:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.047

8,01:45-02:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,24.0835,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17.28,72.22,192.58,48.14,48.14,38.52,24.0835,8.43,1538.047

9,02:00-02:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,38.52,26.8708,8.43,1543.3416000000002

10,02:15-02:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,38.52,26.8708,8.43,1543.3416000000002

11,02:30-02:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,38.52,26.8708,8.43,1543.3416000000002

12,02:45-03:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,38.52,26.8708,8.43,1543.3416000000002

13,03:00-03:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.8216000000002

14,03:15-03:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.8216000000002

15,03:30-03:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.8216000000002

16,03:45-04:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.58,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,17,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.8216000000002

17,04:00-04:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.5916

18,04:15-04:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,8.67,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1504.5916

19,04:30-04:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1503.6216

20,04:45-05:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,67.4,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1503.6216

21,05:00-05:15,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1460.2916

22,05:15-05:30,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1460.2916

23,05:30-05:45,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1460.2916

24,05:45-06:00,24,0,240.72,48.14,8.75,113.75,37.92,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.53,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.82,72.22,192.58,48.14,48.14,0,26.8708,8.43,1460.2916

25,06:00-06:15,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1308.2616000000003

26,06:15-06:30,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,0,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1308.2616000000003

27,06:30-06:45,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,0.14,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1308.4016000000001

28,06:45-07:00,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,0.61,0,0,0,0,0,27.92,163.93,0.63,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1308.8716000000002

29,07:00-07:15,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.02,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1309.3716000000002

30,07:15-07:30,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.52,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1309.8716000000002

31,07:30-07:45,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.9,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1310.2516000000003

32,07:45-08:00,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,2.03,0,0,0,0,0,27.92,163.93,0.72,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1310.3816000000002

33,08:00-08:15,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,1.83,0,0,0,0,0,27.92,163.93,0.96,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1309.4616000000003

34,08:15-08:30,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,2.09,0,0,0,0,0,27.92,163.93,0.96,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1309.7216000000003

35,08:30-08:45,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,3.14,0,0,0,0,0,27.92,163.93,0.96,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1310.7716000000003

36,08:45-09:00,24,0,240.72,48.14,8.75,0,0,11.69,0,83.95,26.26,4.93,0,0,0,0,0,27.92,163.93,0.96,1.93,0,0,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,192.58,48.14,48.14,0,26.8708,8.43,1312.5616000000002

37,09:00-09:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,5.65,39.48,2.89,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1366.2415999999998

38,09:15-09:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.17,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1366.7615999999998

39,09:30-09:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.2,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1366.7915999999998

40,09:45-10:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.36,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1366.9515999999999

41,10:00-10:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.76,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1367.3515999999997

42,10:15-10:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.9,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,16.36,72.22,0,0,0,0,26.8708,8.43,1368.4915999999998

43,10:30-10:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.16,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1370.7816

44,10:45-11:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.23,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.8516

45,11:00-11:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.86,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1372.4816

46,11:15-11:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.81,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.4316

47,11:30-11:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.79,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.4116

48,11:45-12:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.5,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1370.1216

49,12:00-12:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.92,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.5416

50,12:15-12:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,9.06,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1372.6816

51,12:30-12:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.33,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.9516

52,12:45-13:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.58,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1372.2016

53,13:00-13:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.8,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.4216

54,13:15-13:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,9.54,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1373.1616

55,13:30-13:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,7.64,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1371.2616

56,13:45-14:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.33,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1369.9516

57,14:00-14:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,9.47,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1373.0916

58,14:15-14:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.61,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,19.39,72.22,0,0,0,0,26.8708,8.43,1372.2316

59,14:30-14:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,8.63,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1362.7916

60,14:45-15:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.49,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,6.74,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1360.6516

61,15:00-15:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.8,42.37,0,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1361.9216

62,15:15-15:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.92,41.21,1.16,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1362.0416

63,15:30-15:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,6.31,39.19,3.18,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,7.7,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1361.4316

64,15:45-16:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,4.72,33.7,8.67,10.59,0,0,27.92,163.93,0.96,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1361.7716

65,16:00-16:15,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,5.88,32.26,10.11,10.59,0,0,27.92,163.93,0.82,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1362.7916

66,16:15-16:30,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,5.08,29.27,13.1,10.59,0,0,27.92,163.93,0.82,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1361.9916

67,16:30-16:45,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,4.66,24.84,11.65,10.59,0,0,27.92,163.93,0.82,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1355.6915999999999

68,16:45-17:00,24,48.14,240.72,48.14,8.75,0,0,11.69,192.58,83.95,26.26,2.82,19.07,8.95,10.59,0,0,27.92,163.93,0.82,1.93,0,48.14,3.85,26.26,26.8708,26.26,24.07,38.52,90.51,4.81,9.63,8.75,9.93,72.22,0,0,0,0,26.8708,8.43,1345.3816000000002

