Column1,Block,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/7432,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2143,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/SR/2025/02/01/6460,NR/2024/24418/A/53372,NER/2025/2918/A/53657,GNA/WR/2025/01/01/8625,ER/2025/15683/A/53655,NR/2025/25070/A/53654,NR/2025/24882/A/53409,WR/2025/26047/A/53662,NR/2025/24992/A/53407,NR/2025/25290/C,NR/2025/25289/C,Total
44,10:45-11:00,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

45,11:00-11:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

46,11:15-11:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

47,11:30-11:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

48,11:45-12:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

49,12:00-12:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

50,12:15-12:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

51,12:30-12:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

52,12:45-13:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

53,13:00-13:15,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

54,13:15-13:30,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

55,13:30-13:45,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

56,13:45-14:00,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.61999999999995

57,14:00-14:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

58,14:15-14:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

59,14:30-14:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

60,14:45-15:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.86,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.7199999999999

61,15:00-15:15,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.67,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.5299999999999

62,15:15-15:30,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.67,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.5299999999999

63,15:30-15:45,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.67,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.5299999999999

64,15:45-16:00,26.99,0,1.29,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.67,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.5299999999999

65,16:00-16:15,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.28999999999996

66,16:15-16:30,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.28999999999996

67,16:30-16:45,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,0,5.76,38.4,14.4,313.28999999999996

68,16:45-17:00,26.99,0,1.19,0,0,23.04,26.99,23.04,23.04,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,0,5.76,31.11,20.93,312.53000000000003

69,17:00-17:15,26.99,0,1.29,0,0,34.56,26.99,34.56,34.56,8.64,8.64,75,0.53,9.16,0,7.35,17.28,4.8,0,9.6,0,0,299.95

70,17:15-17:30,26.99,0,1.29,0,0,34.56,26.99,34.56,34.56,8.64,8.64,75,0.53,9.16,0,7.35,17.28,4.8,0,9.6,0,0,299.95

71,17:30-17:45,26.99,0,1.29,0,0,34.56,26.99,34.56,34.56,8.64,8.64,75,0.53,9.16,0,7.35,17.28,4.8,0,9.6,0,0,299.95

72,17:45-18:00,26.99,0,1.29,0,0,34.56,26.99,34.56,34.56,8.64,8.64,75,0.53,9.16,0,7.35,17.28,4.8,0,9.6,0,0,299.95

73,18:00-18:15,32,0,1.29,50,200,36.48,24.45,43.2,36.48,13.44,13.44,75,0.53,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,612.8999999999999

74,18:15-18:30,32,0,1.29,50,200,36.48,10.86,43.2,36.48,13.44,13.44,75,0.53,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,599.31

75,18:30-18:45,32,50,1.29,50,200,36.48,3.58,43.2,36.48,13.44,13.44,75,0.53,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,642.03

76,18:45-19:00,32,50,1.29,50,200,36.48,3.58,43.2,36.48,13.44,13.44,75,0.53,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,642.03

77,19:00-19:15,32,50,1.29,50,200,36.48,32,43.2,36.48,13.44,13.44,75,0.62,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,670.54

78,19:15-19:30,32,50,1.29,50,200,36.48,32,43.2,36.48,13.44,13.44,75,0.62,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,670.54

79,19:30-19:45,32,50,1.29,50,200,36.48,32,43.2,36.48,13.44,13.44,75,0.62,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,670.54

80,19:45-20:00,32,50,1.29,50,200,36.48,32,43.2,36.48,13.44,13.44,75,0.62,9.16,0,7.35,17.28,4.8,38.4,9.6,0,0,670.54

81,20:00-20:15,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.62,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,575

82,20:15-20:30,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.62,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,575

83,20:30-20:45,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.62,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,575

84,20:45-21:00,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.62,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,575

85,21:00-21:15,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.58,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.96

86,21:15-21:30,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.58,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.96

87,21:30-21:45,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.58,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.96

88,21:45-22:00,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.58,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.96

89,22:00-22:15,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.91

90,22:15-22:30,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.91

91,22:30-22:45,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.91

92,22:45-23:00,26.99,50,1.29,50,150,31.68,26.99,31.68,31.68,8.64,8.64,75,0.53,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,574.91

93,23:00-23:15,26.99,50,1.29,50,150,25.92,26.99,25.92,25.92,8.64,8.64,75,0.48,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,557.58

94,23:15-23:30,26.99,50,1.29,50,150,25.92,26.99,25.92,25.92,8.64,8.64,75,0.48,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,557.58

95,23:30-23:45,26.99,50,1.29,50,150,25.92,26.99,25.92,25.92,8.64,8.64,75,0.48,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,557.58

96,23:45-24:00,26.99,50,1.29,50,150,25.92,26.99,25.92,25.92,8.64,8.64,75,0.48,9.16,0,7.35,17.28,3.84,38.4,5.76,0,0,557.58

