Time,Block,NR/2023/14277/C,NR/2023/11697/A,NR/2023/14115/F,NR/2023/13858/A,NR/2023/13284/A,NR/2023/13983/F,NR/2023/14196/D,NR/2023/11204/A,NR/2023/11954/A,NR/2023/14256/D,NR/2023/14113/F,NR/2023/11325/A,NR/2023/11315/A,NR/2023/13283/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14121/F,NR/2023/13283/A/II,NR/2023/11739/A,NR/2023/14114/F,NR/2023/13859/A,NR/2023/12646/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14120/F,NR/2023/14263/C,NR/2023/13983/F/II,NR/2023/13573/A/II,NR/2023/14257/D,NR/2023/13704/A,NR/2023/13704/A/II,NR/2023/11205/A,NR/2023/11892/A,NR/2023/14136/F,NR/2023/14117/F,NR/2023/14258/D,NR/2023/14270/C,NR/2023/11328/A,NR/2023/14255/D,NR/2023/11654/A,NR/2023/11470/A,NR/2023/14116/F,NR/2023/11264/A,NR/2023/11469/A,NR/2023/14118/F,NR/2023/14260/D,NR/2023/14261/D,NR/2023/14259/D,Total

3,00:30-00:45,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.870000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1835.17

4,00:45-01:00,0.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.870000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1835.17

5,01:00-01:15,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.680000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.98

6,01:15-01:30,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.680000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.98

7,01:30-01:45,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.680000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.98

8,01:45-02:00,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.680000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.360000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.98

9,02:00-02:15,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.580000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.180000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.7

10,02:15-02:30,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.580000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.180000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.7

11,02:30-02:45,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.580000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.180000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.7

12,02:45-03:00,30.000000,33.400000,0.950000,77.440000,77.920000,0.000000,4.840000,83.250000,36.520000,45.500000,0.380000,24.200000,22.260000,1.230000,63.160000,50.530000,0.610000,22.970000,42.580000,0.520000,142.300000,23.160000,98.740000,1.020000,0.610000,9.680000,0.580000,2.710000,18.390000,6.430000,0.350000,232.430000,66.700000,0.000000,0.930000,147.860000,19.180000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1864.7

13,03:00-03:15,30.000000,33.400000,0.950000,77.440000,77.920000,0.290000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.240000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

14,03:15-03:30,30.000000,33.400000,0.950000,77.440000,77.920000,0.290000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.240000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

15,03:30-03:45,30.000000,33.400000,0.950000,77.440000,77.920000,0.290000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.240000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

16,03:45-04:00,30.000000,33.400000,0.950000,77.440000,77.920000,0.290000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.240000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

17,04:00-04:15,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

18,04:15-04:30,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

19,04:30-04:45,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

20,04:45-05:00,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,98.740000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,18.990000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1703.23

21,05:00-05:15,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1600.98

22,05:15-05:30,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1600.98

23,05:30-05:45,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1600.98

24,05:45-06:00,30.000000,33.400000,0.950000,77.440000,77.920000,0.530000,4.840000,48.400000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,232.430000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0,0,1600.98

25,06:00-06:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,0.6,1.4,1234.53

26,06:15-06:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,2.7,6.3,1241.53

27,06:30-06:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,4.5,10.5,1247.53

28,06:45-07:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,38.720000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,7.5,17.5,1257.53

29,07:00-07:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,0.000000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0,10.5,24.5,1228.81

30,07:15-07:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,0.000000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0.19,10.5,24.5,1229

31,07:30-07:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,0.000000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0.44,15,35,1244.25

32,07:45:08:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.680000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.930000,147.860000,15.480000,48.400000,0.000000,258.460000,21.300000,0.870000,21.590000,85.160000,0.870000,0.8,21.6,50.4,1266.61

33,08:00-08:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,18.990000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,1.27,27,63,1289.14

34,08:15-08:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,18.990000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,1.73,32.4,75.6,1307.6

35,08:30-08:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,18.990000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,2.23,39,91,1330.1

36,08:45:09:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,0.000000,0.980000,147.860000,18.990000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,2.56,43.5,101.5,1345.43

37,09:00:09:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,3.19,48.9,114.1,1382.72

38,09:15-09:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,3.65,52.5,122.5,1395.18

39,09:30-09:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.26,58.5,136.5,1415.79

40,09:45-10:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,0.000000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.26,61.8,144.2,1426.79

41,10:00-10:15,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.26,64.5,150.5,1526.78

42,10:15-10:30,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,4.36,67.5,157.5,1536.88

43,10:30-10:45,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,70.5,164.5,1547.75

44,10:45-11:00,30.000000,0.000000,0.950000,77.440000,0.000000,0.970000,4.840000,7.740000,0.000000,45.500000,0.380000,24.200000,22.260000,0.000000,63.160000,53.240000,0.610000,24.200000,42.580000,0.520000,142.300000,0.000000,90.990000,1.020000,0.610000,9.680000,0.000000,0.000000,18.390000,6.780000,0.000000,15.810000,0.000000,24.200000,0.980000,147.860000,13.450000,48.400000,0.000000,258.460000,21.300000,0.970000,21.590000,85.160000,0.980000,5.23,75,175,1562.75

