Time,Block,NR/2024/20037/A/21516,NR/2024/20560/A/21778,NR/2024/19760/A/21706,NR/2024/20050/A/21886,NR/2024/20090/A/21462,NR/2024/19355/A/21928,NR/2024/20557/A/21780,NR/2024/19791/A/21851,NR/2024/19779/A/21421,NR/2024/20513/A/21522,NR/2024/20142/A/21518,NR/2024/20552/A/21513,NR/2024/20109/A/21926,NR/2024/19757/A/21802,NR/2024/19588/A/21546,NR/2024/20130/A/21487,NR/2024/20558/A/21779,NR/2024/20553/A/21515,NR/2024/20554/A/21503,NR/2024/19699/A/21804,NR/2024/20661/C,NR/2024/20211/A/21524,NR/2024/20598/A/21757,NR/2024/19637/A/21497,NR/2024/20524/A/21785,NR/2024/20631/C,NR/2024/20144/A/21519,NR/2024/19919/A/21848,NR/2024/20572/A/21812,NR/2024/20597/A/21911,NR/2024/19966/A/21493,NR/2024/19432/A/21809,NR/2024/20141/A/21517,NR/2024/20048/A/21896,NR/2024/20515/A/21521,NR/2024/20212/A/21523,NR/2024/20516/A/21520,NR/2024/19988/A/21704,NR/2024/20632/C,NR/2024/20644/C,NR/2024/19918/A/21850,NR/2024/20540/A/21526,NR/2024/20662/C,NR/2024/19475/A/21760,NR/2024/19683/A/21458,NR/2024/20599/A/21755,NR/2024/20041/A/21860,NR/2024/20537/A/21923,NR/2024/20630/C,Total

3,00:30-00:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.630000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2354.28

4,00:45-01:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.630000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2354.28

5,01:00-01:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.580000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,0.000000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2321.3

6,01:15-01:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.580000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,0.000000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2321.3

7,01:30-01:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.580000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,0.000000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2321.3

8,01:45-02:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.580000,0.680000,0.520000,28.980000,241.500000,48.670000,66.840000,0.480000,32.930000,48.300000,0.000000,48.300000,96.600000,1.590000,0.000000,0.000000,19.320000,167.120000,0.880000,309.120000,0.000000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,289.800000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,2321.3

9,02:00-02:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1919.48

10,02:15-02:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,48.300000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,7.730000,96.600000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1919.48

11,02:30-02:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,7.730000,0.000000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1774.58

12,02:45-03:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,241.500000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,7.730000,0.000000,193.200000,1.930000,0.000000,0.000000,0.000000,0,1774.58

13,03:00-03:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

14,03:15-03:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

15,03:30-03:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

16,03:45-04:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

17,04:00-04:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

18,04:15-04:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

19,04:30-04:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

20,04:45-05:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.480000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,309.120000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1773.56

21,05:00-05:15,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1537.91

22,05:15-05:30,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1537.91

23,05:30-05:45,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1537.91

24,05:45-06:00,72.450000,32.930000,0.000000,144.900000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,48.300000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,13.520000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1537.91

25,06:00-06:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0,1331.19

26,06:15-06:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0.4,1331.59

27,06:30-06:45,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,0.75,1331.94

28,06:45-07:00,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.530000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,1.04,1332.23

29,07:00-07:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.680000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,1.44,1332.78

30,07:15-07:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.680000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,1.91,1333.25

31,07:30-07:45,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.680000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,2.61,1333.95

32,07:45:08:00,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.680000,0.680000,0.520000,0.000000,183.540000,48.670000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,3.19,1334.53

33,08:00-08:15,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,3.91,1530.07

34,08:15-08:30,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,73.420000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,4.58,1530.74

35,08:30-08:45,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,5.27,1579.72

36,08:45:09:00,72.450000,32.930000,0.000000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,0.000000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,6.760000,0.000000,193.200000,1.930000,0.000000,0.000000,57.960000,5.69,1580.14

37,09:00:09:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,9.660000,0.000000,193.200000,1.930000,0.000000,48.300000,57.960000,6.3,1704.4

38,09:15-09:30,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,9.660000,0.000000,193.200000,1.930000,0.000000,48.300000,57.960000,6.83,1704.93

39,09:30-09:45,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,9.660000,0.000000,193.200000,1.930000,0.000000,48.300000,57.960000,7.42,1705.52

40,09:45-10:00,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,0.000000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,0.000000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,9.660000,0.000000,193.200000,1.930000,0.000000,48.300000,57.960000,5.99,1704.09

41,10:00-10:15,72.450000,32.930000,48.300000,0.000000,1.930000,96.600000,10.970000,64.800000,0.970000,0.680000,0.520000,0.000000,183.540000,243.200000,66.840000,0.480000,32.930000,0.000000,0.000000,48.300000,0.000000,1.590000,24.150000,24.150000,0.000000,167.120000,0.880000,121.710000,32.930000,24.150000,0.000000,24.150000,0.350000,0.000000,0.880000,0.610000,0.980000,96.600000,9.660000,0.000000,0.000000,11.590000,0.000000,193.200000,1.930000,24.150000,48.300000,57.960000,8.05,1780.53

