Column1,Block,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/27962/A/85051,NR/2025/30086/A/85080,NR/2025/30084/A/85081,NR/2025/29910/A/85086,NR/2025/29628/A/85090,NR/2025/29353/A/84777,NR/2025/30217/A/85077,NR/2025/28725/A/85063,NR/2025/30067/A/85188,NR/2025/27970/A/85055,NR/2025/29352/A/84778,NR/2025/27968/A/85054,NR/2025/30101/A/85118,NR/2025/30121/A/84644,NR/2025/30082/A/85072,NR/2025/26975/A/85100,NR/2025/29167/A/85066,NR/2025/30083/A/85082,NR/2025/29439/A/84773,NR/2025/29440/A/84634,NR/2025/30191/A/84642,NR/2025/29986/A/84834,NR/2025/29915/A/85064,NR/2025/27978/A/85122,NR/2025/27964/A/85053,NR/2025/27963/A/85052,NR/2025/30459/C,NR/2025/30398/C,NR/2025/30423/C,NR/2025/30402/C,NR/2025/30425/C,NR/2025/30403/C,NR/2025/30404/C,NR/2025/30405/C,NR/2025/30447/C,NR/2025/30463/C,NR/2025/30464/C,NR/2025/30468/C,NR/2025/30436/C,NR/2025/30466/C,NR/2025/30437/C,NR/2025/30467/C,NR/2025/30472/C,NR/2025/29992/A/85258,NR/2025/30439/C,NR/2025/30484/C,NR/2025/30470/C,NR/2025/30105/A/85079,NR/2025/29985/A/84833,NR/2025/30334/A/85126,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.91,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.4600000000005

4,00:45-01:00,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.91,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.4600000000005

5,01:00-01:15,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.77,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.32

6,01:15-01:30,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.77,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.32

7,01:30-01:45,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.77,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.32

8,01:45-02:00,135.71,49.09,225.22,43.75,15.94,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,25.1,0.77,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2456.32

9,02:00-02:15,135.71,49.09,225.22,43.75,15.84,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,0,0.67,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2431.0200000000004

10,02:15-02:30,135.71,49.09,225.22,43.75,15.84,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,0,0.67,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2431.0200000000004

11,02:30-02:45,135.71,49.09,225.22,43.75,15.84,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,0,0.67,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2431.0200000000004

12,02:45-03:00,135.71,49.09,225.22,43.75,15.84,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,105.88,81.81,7.7,143.41,205.01,0,28.88,144.38,48.12,6.74,48.12,26.47,54.14,8.75,0,0.67,48.12,134.75,21.18,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2431.0200000000004

13,03:00-03:15,135.71,0,225.22,43.75,15.76,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,144.38,48.12,6.74,48.12,5.78,54.14,8.75,0,0.63,48.12,134.75,0,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2105.6800000000003

14,03:15-03:30,135.71,0,225.22,43.75,15.76,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,144.38,48.12,6.74,48.12,5.78,54.14,8.75,0,0.63,48.12,134.75,0,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2105.6800000000003

15,03:30-03:45,135.71,0,225.22,43.75,15.76,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,144.38,48.12,6.74,48.12,5.78,54.14,8.75,0,0.63,48.12,134.75,0,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2105.6800000000003

16,03:45-04:00,135.71,0,225.22,43.75,15.76,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,144.38,48.12,6.74,48.12,5.78,54.14,8.75,0,0.63,48.12,134.75,0,96.25,0,144.38,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,2105.6800000000003

17,04:00-04:15,135.71,0,225.22,43.75,15.56,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,134.75,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1762.5800000000002

18,04:15-04:30,135.71,0,225.22,43.75,15.56,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,134.75,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1762.5800000000002

19,04:30-04:45,135.71,0,225.22,43.75,15.56,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,134.75,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1762.5800000000002

20,04:45-05:00,135.71,0,225.22,43.75,15.56,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,19.25,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,134.75,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1762.5800000000002

21,05:00-05:15,135.71,0,225.22,43.75,15.29,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1624.8999999999999

22,05:15-05:30,135.71,0,225.22,43.75,15.29,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,12.51,0,0,0,0,0,1624.8999999999999

23,05:30-05:45,135.71,0,225.22,43.75,15.29,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,1.88,0,0,0,1625.82

24,05:45-06:00,135.71,0,225.22,43.75,15.29,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.63,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,2.82,1,0,0.44,1628.1999999999998

25,06:00-06:15,135.71,0,225.22,43.75,15.11,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.82,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,3.75,3,0,1.71,1632.41

26,06:15-06:30,135.71,0,225.22,43.75,15.11,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.82,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,4.67,7,0,3.39,1639.0100000000002

27,06:30-06:45,135.71,0,225.22,43.75,15.11,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.82,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,5.92,11,0,5.65,1646.5200000000002

28,06:45-07:00,135.71,0,225.22,43.75,15.11,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.82,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,5.92,14,0,8.51,1652.38

29,07:00-07:15,135.71,0,225.22,43.75,15.02,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.87,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,5.29,25,0,12.72,1666.9199999999996

30,07:15-07:30,135.71,0,225.22,43.75,15.02,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.87,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,6.54,32,0,16.99,1679.4399999999996

31,07:30-07:45,135.71,0,225.22,43.75,15.02,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.87,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,7.8,46,0,21.68,1699.3899999999996

32,07:45-08:00,135.71,0,225.22,43.75,15.02,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.87,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,7.8,60,0,26.9,1718.6099999999997

33,08:00-08:15,135.71,0,225.22,43.75,14.92,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.96,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,9.05,70,6.35,29.18,1738.4799999999998

34,08:15-08:30,135.71,0,225.22,43.75,14.92,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.96,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,11.55,0,10.3,81,7.34,34.83,1757.3699999999997

35,08:30-08:45,135.71,0,225.22,43.75,14.92,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.96,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,13.48,0,11.24,91,8.35,40.14,1776.56

36,08:45-09:00,135.71,0,225.22,43.75,14.92,20.76,81.81,15.26,19.25,26.5,26.5,96.25,26.25,26.25,16.59,76.63,81.81,7.7,143.41,0,0,28.88,0,48.12,6.74,48.12,5.78,0,8.75,0,0.96,48.12,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.87,0,27.91,0,0,44.28,0,13.48,0,12.46,102,9.37,45.63,1795.29

37,09:00-09:15,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,13.72,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,112,9.63,50.52,1839.54

38,09:15-09:30,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,123,9.63,60.51,1861.78

39,09:30-09:45,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,133,9.63,66.11,1877.3799999999999

40,09:45-10:00,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,144,9.63,75.04,1897.31

41,10:00-10:15,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,151,9.63,79.38,1908.65

42,10:15-10:30,135.71,0,225.22,43.75,14.83,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,161,9.63,83.72,1922.99

43,10:30-10:45,135.71,0,225.22,43.75,14.19,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,172,9.63,88.06,1937.69

44,10:45-11:00,135.71,0,225.22,43.75,14.19,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,182,9.63,92.4,1952.0300000000002

45,11:00-11:15,135.71,0,225.22,43.75,14.09,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,193,9.63,96.33,1966.8600000000001

46,11:15-11:30,135.71,0,225.22,43.75,14.09,20.76,81.81,15.26,19.25,26.7,26.7,0,0,0,0,0,81.81,0,0,0,0,28.88,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,0,48.12,48.12,48.12,143.41,44.28,0,0,96.25,0.96,76.63,16.59,14.97,163.87,14.58,27.91,43.75,37.19,0,96.25,13.48,7.7,0,193,9.63,100,1970.5300000000002

