Time,Block,NR/2023/16242/C,NR/2023/16223/C,NR/2023/16218/C,NR/2023/15309/F,NR/2023/12053/A,NR/2023/16186/D,NR/2023/12592/A,NR/2023/12431/A,NR/2023/12168/A,NR/2023/14898/A,NR/2023/14745/A,NR/2023/12052/A,NR/2023/15937/F,NR/2023/12148/A,NR/2023/16224/C,NR/2023/12422/A,NR/2023/12347/A,NR/2023/15057/F,NR/2023/12167/A,NR/2023/14746/A,NR/2023/16227/C,NR/2023/16217/C,NR/2023/14895/A,NR/2023/16214/C,NR/2023/13635/A,NR/2023/13862/A,NR/2023/16195/C,NR/2023/15402/F,NR/2023/12591/A,NR/2023/14737/A,NR/2023/16184/D,ER/2023/10115/C,NR/2023/16216/C,Total

3,00:30-00:45,0.000000,0.000000,148.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.870000,24.180000,85.990000,62.870000,0.000000,95.760000,17.600000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1472.79

4,00:45-01:00,0.000000,0.000000,148.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.870000,24.180000,85.990000,62.870000,0.000000,95.760000,17.600000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1472.79

5,01:00-01:15,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.680000,24.180000,85.990000,62.870000,0.000000,95.760000,17.500000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.5

6,01:15-01:30,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.680000,24.180000,85.990000,62.870000,0.000000,95.760000,17.500000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.5

7,01:30-01:45,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.680000,24.180000,85.990000,62.870000,0.000000,95.760000,17.500000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.5

8,01:45-02:00,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.680000,24.180000,85.990000,62.870000,0.000000,95.760000,17.500000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.5

9,02:00-02:15,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.580000,24.180000,85.990000,62.870000,0.000000,95.760000,17.410000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.31

10,02:15-02:30,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.580000,24.180000,85.990000,62.870000,0.000000,95.760000,17.410000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.31

11,02:30-02:45,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.580000,24.180000,85.990000,62.870000,0.000000,95.760000,17.410000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.31

12,02:45-03:00,0.000000,0.000000,0.000000,4.840000,36.500000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.580000,24.180000,85.990000,62.870000,0.000000,95.760000,17.410000,25.030000,23.150000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1324.31

13,03:00-03:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.220000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.55

14,03:15-03:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.220000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.55

15,03:30-03:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.220000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.55

16,03:45-04:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.220000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.55

17,04:00-04:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.130000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.46

18,04:15-04:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.130000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.46

19,04:30-04:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.130000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.46

20,04:45-05:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,98.660000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.130000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1201.46

21,05:00-05:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,0.000000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.030000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1102.7

22,05:15-05:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,0.000000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.030000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1102.7

23,05:30-05:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,0.000000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.030000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1102.7

24,05:45-06:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,36.850000,0.000000,0.530000,24.180000,85.990000,0.000000,0.000000,95.760000,17.030000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,1102.7

25,06:00-06:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.850000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,979.83

26,06:15-06:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.850000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0,0.000000,0,979.83

27,06:30-06:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.850000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0.13,0.000000,0,979.96

28,06:45-07:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.850000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,0.58,0.000000,0,980.41

29,07:00-07:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,1.1,0.000000,0,980.84

30,07:15-07:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,1.54,0.000000,0,981.28

31,07:30-07:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,1.97,0.000000,0,981.71

32,07:45:08:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.680000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,2.33,0.000000,0,982.07

33,08:00-08:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,2.9,0.000000,0,982.93

34,08:15-08:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,3.55,0.000000,0,983.58

35,08:30-08:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,3.63,0.000000,0,1022.35

36,08:45:09:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,67.630000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,0.000000,95.760000,16.760000,25.030000,0.000000,8.070000,0.000000,50.060000,62.870000,4.06,0.000000,0,1022.78

37,09:00:09:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,63.900000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,4.64,0.000000,9.67,1048.11

38,09:15-09:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,4.84,0.000000,9.67,1044.06

39,09:30-09:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,5.03,30.000000,9.67,1074.25

40,09:45-10:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,0.000000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,5.43,60.000000,9.67,1104.65

41,10:00-10:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,5.61,90.000000,9.67,1225.76

42,10:15-10:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,6,120.000000,9.67,1256.15

43,10:30-10:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,6.29,120.000000,9.67,1256.44

44,10:45-11:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,6.63,120.000000,9.67,1256.78

45,11:00-11:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.15,100.000000,9.67,1237.21

46,11:15-11:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.25,100.000000,9.67,1237.31

47,11:30-11:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.54,100.000000,9.67,1237.6

48,11:45-12:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.74,100.000000,9.67,1237.8

49,12:00-12:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.22,100.000000,9.67,1258.7

50,12:15-12:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.51,100.000000,9.67,1258.99

51,12:30-12:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.71,100.000000,9.67,1259.19

52,12:45-13:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.580000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.71,100.000000,9.67,1259.19

53,13:00-13:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.71,100.000000,9.67,1259.28

54,13:15-13:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,8.51,100.000000,9.67,1259.08

55,13:30-13:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.5,120.000000,9.67,1278.07

56,13:45-14:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,80.070000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,90.930000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.670000,25.030000,0.000000,9.080000,6.770000,50.060000,62.870000,7.25,120.000000,9.67,1277.82

57,14:00-14:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,58.580000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,6.72,90.000000,9.67,1264.51

58,14:15-14:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,58.510000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,6.53,60.000000,9.67,1234.25

59,14:30-14:45,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,57.520000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,6.29,30.000000,9.67,1203.02

60,14:45-15:00,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,58.210000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.970000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,5.8,0.000000,9.67,1173.22

61,15:00-15:15,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,57.400000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.920000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,5.49,0.000000,9.67,1172.05

62,15:15-15:30,0.000000,0.000000,0.000000,4.840000,0.000000,38.690000,100.120000,58.420000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.920000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,5.42,0.000000,9.67,1173

63,15:30-15:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,58.790000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.920000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,5.32,0.000000,9.67,1134.58

64,15:45-16:00,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,59.010000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.920000,24.180000,0.000000,0.000000,11.120000,95.760000,16.760000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,4.06,0.000000,9.67,1133.54

65,16:00-16:15,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.820000,24.180000,0.000000,0.000000,11.120000,95.760000,16.850000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,3.46,0.000000,9.67,1133.57

66,16:15-16:30,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.820000,24.180000,0.000000,0.000000,11.120000,95.760000,16.850000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,2.66,0.000000,9.67,1132.77

67,16:30-16:45,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,100.120000,59.650000,46.620000,77.380000,24.180000,63.120000,193.460000,22.250000,96.730000,0.000000,106.400000,0.820000,24.180000,0.000000,0.000000,11.120000,95.760000,16.850000,25.030000,23.150000,9.080000,6.770000,50.060000,62.870000,2.42,0.000000,9.67,1132.53

