Block,Time,BSIUL,KOTESHWR,NLCEXP,RAMPUR,RSTPSU7,VALLURNTECL,AURY_GF,AURY_LF,CHAMERA3,DADRT2,DULHASTI,KHSTPP-I,KHSTPP-II,KISHANGANGA,NAPP,NLCIIST2,RAPPC,RIHAND2,SIMHST2,TEHRI,DHAULIGNGA,KKNPPU2,KOLDAM,SEWA2,SINGRAULI,UNCHAHAR4,ANTA_CRF,DADRI_CRF,DADRI_LF,CHAMERA2,MAPS,NJPC,NLCTS2EXP,PARBATI2,RAPPB,RAPPD,RIHAND3,TANDA2,TelanganaSTPP,URI,ANTA_GF,AURY_RF,BRBCL,KKNP,SALAL,UNCHAHAR1,ANTA_RF,KGSU1AND2,KUDGI,NNTPP,NTPL,TANAKPUR,UNCHAHAR3,DADRI_GF,DADRI_RF,CHAMERA1,FSTPP I & II,JHAJJAR,KGSU3AND4,NLCIIST1,RIHAND1,RSTPSU1TO6,TALA,UNCHAHAR2,URI2,PARBATI3,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,ANTA_LF,AURY_CRF
6,01:15-01:30,19.56,10.43,0,3.11,0,0,0,0,35.03,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,1.93,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

7,01:30-01:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

8,01:45-02:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,6.27,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

9,02:00-02:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

10,02:15-02:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.57,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

11,02:30-02:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

12,02:45-03:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,83.67,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

13,03:00-03:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

14,03:15-03:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

15,03:30-03:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,28.1,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

16,03:45-04:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

17,04:00-04:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,12.12,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

18,04:15-04:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,24.64,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,428.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

19,04:30-04:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,24.72,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

20,04:45-05:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,0,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,39.51,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

21,05:00-05:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,39.51,21.64,53.27,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

22,05:15-05:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,52.28,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,16.88,418.77,0,0.98,0,0,0

23,05:30-05:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,52.28,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,19.94,418.77,0,0.98,0,0,0

24,05:45-06:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,0,18.9,150.34,2.3,0,0,0,48.81,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,52.28,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,19.94,418.77,0,0.98,0,0,0

25,06:00-06:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,2.4,18.9,150.34,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,52.28,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,23.02,418.77,0,0.98,0,0,0

26,06:15-06:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,4.79,18.9,150.34,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,52.36,0,85.48,20,0,52.28,21.64,53.54,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,23.02,418.77,0,0.98,0,0,0

27,06:30-06:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,7.19,18.9,143.68,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,23.02,410.62,0,0.98,0,0,0

28,06:45-07:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,9.59,18.9,143.68,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,0,27.68,0,92.26,13.27,18.2,448.67,0,0,46.5,0,0,44.5,37.27,23.02,410.62,0,0.98,0,0,0

29,07:00-07:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.55,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,9.59,18.9,143.68,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,0,27.68,0,92.26,0,18.2,670.67,0,0,46.5,0,0,44.5,37.27,23.02,410.62,0,0.98,0,0,0

30,07:15-07:30,19.56,10.43,0,3.11,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,9.59,18.9,143.68,2.3,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,0,27.68,0,92.26,0,18.2,670.67,0,0,46.5,0,0,45,37.27,23.02,410.62,0,0.98,0,0,0

31,07:30-07:45,19.56,10.43,0,3.11,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,25.19,10.95,0,7.19,18.9,143.68,3.2,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,6.27,27.68,0,92.26,0,18.2,670.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

32,07:45-08:00,19.56,10.43,0,3.11,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,12.12,10.95,0,4.04,18.9,143.68,3.2,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.27,0,0,0,0,6.27,27.68,0,92.26,0,18.2,670.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

33,08:00-08:15,19.56,10.43,0,3.11,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,1.93,18.9,124.38,3.2,0,0,0,32.53,0,78.4,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.01,0,0,0,0,6.27,27.68,0,92.26,0,18.2,670.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

34,08:15-08:30,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,1.93,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.01,0,0,0,0,6.27,27.68,0,92.26,0,18.2,565.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

35,08:30-08:45,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.01,0,0,0,0,0.77,27.68,0,92.26,0,18.2,565.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

36,08:45-09:00,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,53.01,0,0,0,0,0.77,27.68,0,92.26,0,18.2,565.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

37,09:00-09:15,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,52.74,0,0,0,0,0.77,27.68,0,92.26,0,18.2,565.67,0,0,46.5,0,0,45,39.68,19.94,410.62,0,0.98,0,0,0

38,09:15-09:30,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,15.02,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,52.74,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,39.68,19.94,410.62,0,0.98,0,0,0

39,09:30-09:45,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,124.38,3.2,0,0,0,32.53,0,110.67,0,7.52,0,0,130.79,5.7,0,15.45,0,85.48,20,0,52.28,21.64,52.74,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,39.68,19.94,410.62,0,0.98,0,0,0

40,09:45-10:00,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,110.67,0,3.76,0,0,130.79,5.7,0,5.52,0,85.48,20,0,52.28,21.64,52.74,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,39.68,19.94,410.62,0,0.98,0,0,0

41,10:00-10:15,19.56,10.43,0,4.33,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,110.67,0,0,0,0,130.79,5.7,0,5.52,0,85.48,20,0,52.28,21.64,52.22,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

42,10:15-10:30,19.56,10.43,0,2.89,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,72.81,0,0,0,0,130.79,5.7,0,15.45,0,85.48,20,0,52.28,21.64,52.22,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

43,10:30-10:45,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.13,0,85.48,20,0,52.28,21.64,52.22,0,0,0,0,0.77,27.68,0,92.26,0,18.2,450.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

44,10:45-11:00,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,52.22,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,19.94,410.62,0,0.98,0,0,0

45,11:00-11:15,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.7,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,16.88,410.62,0,0.98,0,0,0

46,11:15-11:30,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.7,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,16.88,410.62,0,0.98,0,0,0

47,11:30-11:45,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.7,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

48,11:45-12:00,19.56,10.43,0,2.01,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,21.88,0,0,18.9,143.68,3.2,0,0,0,32.53,0,50.4,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.7,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

49,12:00-12:15,19.56,10.43,0,3.13,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,143.68,3.2,0,0,0,32.53,0,78.63,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.7,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

50,12:15-12:30,19.56,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,143.68,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

51,12:30-12:45,19.56,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

52,12:45-13:00,19.56,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

53,13:00-13:15,13.04,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

54,13:15-13:30,13.04,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,0.77,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

55,13:30-13:45,13.04,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,1.15,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

56,13:45-14:00,13.04,10.43,0,3.65,0,0,0,0,23.33,688.92,59.5,45.53,148.3,8.63,25.51,0,68.73,124.58,0,0,10.95,0,0,18.9,150.34,3.2,0,0,0,48.81,0,91.84,0,0,0,0,130.79,5.7,0,49.68,0,85.48,20,0,52.28,21.64,51.17,0,0,0,0,1.15,27.68,0,92.26,0,18.2,430.67,0,0,46.5,0,0,45,37.27,0,410.62,0,0.98,0,0,0

