Column1,Block,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/2024/24434/A/48969,NR/2025/24857/C,NR/2025/24855/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8058,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/9606,NR/2025/24850/C,GNA/NR/2025/01/15/4189,NR/2024/24418/A/48960,NR/2025/24856/C,NR/2024/24507/A/49228,NR/2024/24508/A/49231,WR/2024/25501/A/49248,NR/2024/24614/A/49232,NR/2024/24435/A/48968,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,NR/2025/24849/C,NR/2025/24840/C,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/8625,NR/2024/24573/A/49010,NER/2024/2820/A/49237,Total
3,00:30-00:45,14.37,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.54999999999995

4,00:45-01:00,14.37,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.54999999999995

5,01:00-01:15,14.37,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.6499999999999

6,01:15-01:30,14.37,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.6499999999999

7,01:30-01:45,14.37,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.6499999999999

8,01:45-02:00,14.37,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,404.6499999999999

9,02:00-02:15,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.9

10,02:15-02:30,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.9

11,02:30-02:45,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.9

12,02:45-03:00,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.9

13,03:00-03:15,8.62,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.79999999999995

14,03:15-03:30,8.62,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.79999999999995

15,03:30-03:45,8.62,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.79999999999995

16,03:45-04:00,8.62,0,0,0,0,1.37,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,5.75,0,398.79999999999995

17,04:00-04:15,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,0,0,393.15

18,04:15-04:30,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,0,0,393.15

19,04:30-04:45,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,0,0,393.15

20,04:45-05:00,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,9.58,47.9,28.74,0,0,47.9,0,0,0,393.15

21,05:00-05:15,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.43,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,438.23

22,05:15-05:30,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.43,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,438.23

23,05:30-05:45,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.43,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,438.23

24,05:45-06:00,8.62,0,0,0,0,1.47,25.87,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.43,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,438.23

25,06:00-06:15,8.62,0,0,0,0,1.37,43.11,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,455.31999999999994

26,06:15-06:30,8.62,0,0,0,0,1.37,43.11,25.87,26.82,0,31,20.12,47.9,25.87,19.16,0,0,0,0.38,0,17.24,8.71,0,0,16.29,47.9,28.74,0,0,47.9,0,0,38.32,455.31999999999994

27,06:30-06:45,8.62,0,0,0,0,1.37,43.11,33.53,26.82,0,31,20.12,47.9,33.53,19.16,0,0,0,0.38,0,17.24,8.71,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,38.32,499.38

28,06:45-07:00,8.62,0,0,0,0,1.37,43.11,33.53,26.82,0,31,20.12,47.9,33.53,19.16,0,0,0,0.38,0,17.24,8.71,0,0,16.29,47.9,28.74,0,57.48,47.9,0,0,38.32,528.12

29,07:00-07:15,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,57.48,47.9,50,0,38.32,608.3500000000001

30,07:15-07:30,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,76.64,47.9,50,0,38.32,627.5100000000001

31,07:30-07:45,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,76.64,47.9,50,0,38.32,626.5100000000001

32,07:45-08:00,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,76.64,47.9,50,0,38.32,626.5100000000001

33,08:00-08:15,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,159.03,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,95.8,47.9,50,0,38.32,804.7

34,08:15-08:30,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,160.94,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,95.8,47.9,50,0,38.32,806.61

35,08:30-08:45,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,161.9,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,95.8,47.9,50,0,38.32,807.57

36,08:45-09:00,14.37,0,0,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,167.65,0.86,0,28.74,14.37,0,0,16.29,47.9,28.74,0,95.8,47.9,50,0,38.32,813.32

37,09:00-09:15,14.37,0,3.83,0,0,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,28.74,154.24,0.86,0,0,0,0,0,16.29,47.9,28.74,14.37,124.54,47.9,0,0,0,744.0600000000001

38,09:15-09:30,14.37,0,3.83,0,0,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,28.74,158.07,0.86,0,0,0,0,0,16.29,47.9,28.74,14.37,124.54,47.9,0,0,0,747.89

39,09:30-09:45,14.37,0,3.83,0,0,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,28.74,93.88,0.86,0,0,0,0,0,16.29,47.9,28.74,14.37,124.54,47.9,0,0,0,683.7

40,09:45-10:00,14.37,0,3.83,0,0,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,28.74,98.67,0.86,0,0,0,0,0,16.29,47.9,28.74,14.37,124.54,47.9,0,0,0,688.49

41,10:00-10:15,14.37,0,4.79,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,7.85,0,6.52,16.29,47.9,28.74,0,153.28,47.9,0,0,0,619.62

42,10:15-10:30,14.37,0,4.79,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,0,28.74,7.85,0,6.52,16.29,47.9,28.74,0,153.28,47.9,0,0,0,619.62

43,10:30-10:45,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,7.85,0,6.52,16.29,47.9,28.74,0,153.28,47.9,0,0,0,672.3100000000001

44,10:45-11:00,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,7.85,0,6.52,16.29,47.9,28.74,0,153.28,47.9,0,0,0,672.3100000000001

45,11:00-11:15,14.37,0,6.71,38.32,1.25,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,512.5200000000001

46,11:15-11:30,14.37,0,6.71,38.32,2.4,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,513.6700000000001

47,11:30-11:45,14.37,0,6.71,38.32,4.6,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,515.87

48,11:45-12:00,14.37,0,6.71,38.32,7.28,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.5500000000001

49,12:00-12:15,12.45,0,6.71,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.9300000000001

50,12:15-12:30,12.45,0,6.71,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.9300000000001

51,12:30-12:45,14.37,0,6.71,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,520.85

52,12:45-13:00,14.37,0,6.71,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.86,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,520.85

53,13:00-13:15,14.37,0,5.75,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,519.8000000000001

54,13:15-13:30,14.37,0,5.75,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,519.8000000000001

55,13:30-13:45,14.37,0,5.75,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,519.8000000000001

56,13:45-14:00,14.37,0,5.75,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,519.8000000000001

57,14:00-14:15,14.37,0,4.79,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.84

58,14:15-14:30,14.37,0,4.79,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.84

59,14:30-14:45,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.94

60,14:45-15:00,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.77,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.94

61,15:00-15:15,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.67,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.84

62,15:15-15:30,14.37,0,4.79,38.32,9.58,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.67,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.84

63,15:30-15:45,14.37,0,4.79,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.67,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.74

64,15:45-16:00,14.37,0,4.79,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.67,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,518.74

65,16:00-16:15,14.37,0,2.87,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.48,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,516.6300000000001

66,16:15-16:30,14.37,0,2.87,38.32,9.58,1.37,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.48,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,0,47.9,0,0,0,516.6300000000001

67,16:30-16:45,14.37,0,2.87,28.64,17.72,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.48,4.79,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,544.9300000000001

68,16:45-17:00,14.37,0,2.87,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.48,0,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,493.78000000000003

69,17:00-17:15,14.37,0,0.96,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.48,0,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,491.87000000000006

70,17:15-17:30,14.37,0,0.96,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.48,0,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,491.87000000000006

71,17:30-17:45,14.37,0,0.96,0,0,1.47,43.11,36.4,26.82,0,32,20.12,47.9,36.4,19.16,0,0,0,0.48,0,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,491.87000000000006

72,17:45-18:00,14.37,0,0.96,0,0,1.47,43.11,36.4,26.82,0,31,20.12,47.9,36.4,19.16,0,0,0,0.48,0,28.74,14.37,0,0,16.29,47.9,28.74,0,28.74,47.9,0,0,0,490.87000000000006

73,18:00-18:15,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,116.88,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,28.74,47.9,50,0,38.32,813.4300000000001

74,18:15-18:30,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,118.79,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,28.74,47.9,50,0,38.32,815.34

75,18:30-18:45,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,119.75,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,28.74,47.9,50,0,38.32,816.2

76,18:45-19:00,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,124.54,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,28.74,47.9,50,0,38.32,820.99

77,19:00-19:15,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,122.62,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,790.42

78,19:15-19:30,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,31,20.12,47.9,36.4,19.16,30,0,124.54,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,792.34

79,19:30-19:45,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,32,20.12,47.9,36.4,19.16,30,0,130.29,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,799.1899999999999

80,19:45-20:00,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,32,20.12,47.9,36.4,19.16,30,0,136.99,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,805.89

81,20:00-20:15,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,32,20.12,47.9,36.4,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,668.9

82,20:15-20:30,14.37,0,0,0,0,1.47,43.11,36.4,26.82,50,32,20.12,47.9,36.4,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,668.9

83,20:30-20:45,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,27,20.12,47.9,36.4,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,663.8

84,20:45-21:00,14.37,0,0,0,0,1.37,43.11,36.4,26.82,50,27,20.12,47.9,36.4,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,38.32,663.8

85,21:00-21:15,14.37,0,0,0,0,1.37,43.11,34.49,26.82,50,27,20.12,47.9,34.49,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,0,621.66

86,21:15-21:30,14.37,0,0,0,0,1.37,43.11,34.49,26.82,50,27,20.12,47.9,34.49,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,0,621.66

87,21:30-21:45,14.37,0,0,0,0,1.37,43.11,34.49,26.82,50,27,20.12,47.9,34.49,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,0,621.66

88,21:45-22:00,14.37,0,0,0,0,1.37,43.11,34.49,26.82,50,1.3,20.12,47.9,34.49,19.16,30,0,0,0.57,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,50,0,0,595.96

89,22:00-22:15,8.62,0,0,0,0,1.37,34.49,34.49,26.82,50,0,20.12,47.9,34.49,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,530.2

90,22:15-22:30,8.62,0,0,0,0,1.37,34.49,34.49,26.82,50,0,20.12,47.9,34.49,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,530.2

91,22:30-22:45,8.62,0,0,0,0,1.37,34.49,34.49,26.82,50,0,20.12,47.9,34.49,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,530.2

92,22:45-23:00,8.62,0,0,0,0,1.37,34.49,34.49,26.82,50,0,20.12,47.9,34.49,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,530.2

93,23:00-23:15,8.62,0,0,0,0,1.37,28.74,28.74,26.82,50,0,20.12,47.9,28.74,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,512.95

94,23:15-23:30,8.62,0,0,0,0,1.37,28.74,28.74,26.82,50,0,20.12,47.9,28.74,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,512.95

95,23:30-23:45,8.62,0,0,0,0,1.37,28.74,28.74,26.82,50,0,20.12,47.9,28.74,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,512.95

96,23:45-24:00,8.62,0,0,0,0,1.37,28.74,28.74,26.82,50,0,20.12,47.9,28.74,19.16,30,0,0,0.48,0,28.74,14.37,38.32,0,16.29,47.9,28.74,0,0,47.9,0,0,0,512.95

