,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,TELANGANA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MANIPUR,NA,MAHARASHTRA,NA,NA,JAMMU AND KASHMIR,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,DELHI,DELHI,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,MEGHALAYA,NA,TAMIL NADU,DELHI,
,,SEIL,HP,HP,KAMENG,SHPPBPL,SHPPBPL,GBHHPL,HP,HP,Teesta_III,Meghalaya_Ben,NAVABHARAT,SHPPBPL,IPCL_WB,SHPPBPL,JPL,CHANJUII,SHPPBPL,TS1PL_BKN,JPNIGRIE_JNSTPP,Manipur_Ben,JSPL_DCPP,B_S_ISPAT_MH,SKS Raigarh,APNRL,SAPU1234,BRPL,SHPPBPL,SHPPBPL,TANGEDCO,BYPL,BRPL,Arunachal_Ben,SHPPBPL,SOLAPUR_SOLAR,ILFS,HP,SHPPBPL,Nagaland_Ben,Meghalaya_Ben,TS1PL_BKN,TANGEDCO,BRPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,ODISHA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,TPDDL,BYPL,BRPL,TPDDL,MHIL,MAX-HPTL,DIAPL,BYPL,BRPL,BRPL,BYPL,BRPL,JHPL-DL,NDMC,BMDRC,BRPL,TPDDL,BAL224,BYPL,BRPL,STT,BRPL,NDMC,NDMC,TPDDL,MES (Delhi),VL-CPP 1215,BAL234,BAL184,BRPL,VLSEZ,ASIL_UP,BYPL,UHL,MES (Delhi),BRPL,BRPL,AISHER,BYPL,BYPL,BRPL,BYPL,VLSEZ,
,,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,East-West-North,North East-East-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,West-North,East-North,North-North,North-East,North-North,North-North,South-West-North,North-East,North-North,North East-East-North,North-North,West-North,South-West-North,North-North,North-North,North East-East-North,North East-East-North,North-North,South-West-North,North-East,
19,04:30-04:45,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.160000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,12.670000,12.250000,0,75.530000,0.000000,1024.07

20,04:45-05:00,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.160000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,12.670000,12.250000,0,75.530000,0.000000,1024.07

21,05:00-05:15,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.060000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,0.000000,12.250000,0,0.000000,0.000000,935.77

22,05:15-05:30,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.060000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,0.000000,12.250000,0,0.000000,0.000000,935.77

23,05:30-05:45,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.060000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,0.000000,12.250000,0,0.000000,0.000000,935.77

24,05:45-06:00,24.170000,33.840000,13.050000,78.310000,0.580000,0.930000,31.600000,27.840000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,16.060000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,64.970000,0.820000,0.000000,12.250000,0,0.000000,0.000000,935.77

25,06:00-06:15,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,31.600000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.970000,0.510000,0,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,0.000000,0.820000,0.000000,12.250000,0,0.000000,0.000000,845.67

26,06:15-06:30,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,31.600000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.970000,0.510000,1.5,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,0.000000,0.820000,0.000000,12.250000,3.5,0.000000,0.000000,850.67

27,06:30-06:45,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,31.600000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.970000,0.510000,3,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0,236.680000,0.000000,0.820000,0.000000,12.250000,7,0.000000,0.000000,855.67

28,06:45-07:00,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,31.600000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.970000,0.510000,6,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0.24,236.680000,0.000000,0.820000,0.000000,12.250000,14,0.000000,0.000000,865.91

29,07:00-07:15,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.870000,0.510000,9,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0.34,236.680000,0.000000,0.820000,0.000000,12.250000,21,0.000000,50.000000,924.88

30,07:15-07:30,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.870000,0.510000,13.5,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0.44,236.680000,0.000000,0.820000,0.000000,12.250000,31.5,0.000000,50.000000,939.98

31,07:30-07:45,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.870000,0.510000,19.5,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,0.76,236.680000,0.000000,0.820000,0.000000,12.250000,45.5,0.000000,50.000000,960.3

32,07:45:08:00,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.870000,0.510000,22.5,43.030000,2.900000,48.340000,6.770000,33.840000,41.570000,2.900000,0.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,1.2,236.680000,0.000000,0.820000,0.000000,12.250000,52.5,0.000000,50.000000,970.74

33,08:00-08:15,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.780000,0.510000,27,43.030000,2.900000,48.340000,6.770000,62.840000,41.570000,2.900000,50.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,1.6,236.680000,0.000000,0.820000,0.000000,12.250000,63,0.000000,50.000000,1065.05

34,08:15-08:30,24.170000,33.840000,13.050000,81.110000,0.580000,0.930000,30.570000,0.000000,14.500000,0.000000,0.000000,116.020000,1.020000,0.000000,0.930000,21.510000,15.780000,0.510000,34.8,43.030000,2.900000,48.340000,6.770000,62.840000,41.570000,2.900000,50.000000,0.900000,0.360000,0.000000,49.000000,0.000000,9.960000,0.610000,2.08,236.680000,0.000000,0.820000,0.000000,12.250000,81.2,0.000000,50.000000,1091.53

