Time,Block,NR/2023/12813/F,NR/2023/14054/D,NR/2023/14049/D,NR/2023/14071/C,NR/2023/11709/A,NR/2023/14050/D,NR/2023/12924/F,NR/2023/10786/A,NR/2023/10959/A,ER/2023/8656/C,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12920/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12919/F,NR/2023/13369/F,NR/2023/10650/A,NR/2023/12917/F,NR/2023/14052/D,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/14051/D,NR/2023/12814/F,NR/2023/11507/A,NR/2023/12661/A,NR/2023/10720/A,NR/2023/14061/C,NR/2023/14059/C,NR/2023/10956/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/14062/C,NR/2023/10705/A,NR/2023/13679/F,NR/2023/12706/A,NR/2023/12915/F,NR/2023/12916/F,NR/2023/11266/A,NR/2023/12921/F,NR/2023/10561/A,NR/2023/10435/A,Total

3,00:30-00:45,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

4,00:45-01:00,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

5,01:00-01:15,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.530000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.68

6,01:15-01:30,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.530000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.68

7,01:30-01:45,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.530000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.68

8,01:45-02:00,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.530000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.68

9,02:00-02:15,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

10,02:15-02:30,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

11,02:30-02:45,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

12,02:45-03:00,62.920000,24.200000,0,19.680000,23.170000,0,0.610000,98.740000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,83.250000,0.920000,0,36.520000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1812.63

13,03:00-03:15,62.920000,24.200000,0,19.500000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.87

14,03:15-03:30,62.920000,24.200000,0,19.500000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.87

15,03:30-03:45,62.920000,24.200000,0,19.500000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.87

16,03:45-04:00,62.920000,24.200000,0,19.500000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.87

17,04:00-04:15,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.78

18,04:15-04:30,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.78

19,04:30-04:45,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.78

20,04:45-05:00,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,98.740000,21.280000,0.000000,0.440000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,35.660000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1717.78

21,05:00-05:15,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,0.000000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1618.06

22,05:15-05:30,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,0.000000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1618.06

23,05:30-05:45,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,0.000000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1618.06

24,05:45-06:00,62.920000,24.200000,0,19.410000,0.000000,0,0.610000,0.000000,21.280000,0.000000,0.480000,54.210000,23.230000,0.930000,24.200000,48.400000,0.820000,0.000000,48.400000,0.920000,0,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,232.430000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1618.06

25,06:00-06:15,62.920000,24.200000,0,19.410000,0.000000,1.4,0.610000,0.000000,21.280000,0.000000,0.530000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,0.6,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1285.39

26,06:15-06:30,62.920000,24.200000,0,19.410000,0.000000,6.3,0.610000,0.000000,21.280000,0.000000,0.530000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,2.7,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1292.39

27,06:30-06:45,62.920000,24.200000,0,19.410000,0.000000,10.5,0.610000,0.000000,21.280000,0.000000,0.530000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,4.5,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1298.39

28,06:45-07:00,62.920000,24.200000,0,19.410000,0.000000,17.5,0.610000,0.000000,21.280000,0.000000,0.530000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,7.5,0.000000,0.610000,63.160000,43.560000,0.000000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,0.000000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1308.39

29,07:00-07:15,62.920000,24.200000,0,19.410000,0.000000,24.5,0.610000,0.000000,21.280000,0.000000,0.680000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,10.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1436.64

30,07:15-07:30,62.920000,24.200000,0.19,19.410000,0.000000,28,0.610000,0.000000,21.280000,0.000000,0.680000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,12,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1441.83

31,07:30-07:45,62.920000,24.200000,0.44,19.410000,0.000000,35,0.610000,0.000000,21.280000,0.000000,0.680000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,15,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1452.08

32,07:45:08:00,62.920000,24.200000,0.8,19.410000,0.000000,42,0.610000,0.000000,21.280000,0.000000,0.680000,0.000000,0.000000,0.930000,24.200000,48.400000,0.820000,0.000000,7.740000,0.920000,18,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.930000,48.400000,24.200000,1462.44

33,08:00-08:15,62.920000,24.200000,1.27,16.450000,0.000000,54.6,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,23.4,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1531.49

34,08:15-08:30,62.920000,24.200000,1.73,16.450000,0.000000,70,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,30,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1553.95

35,08:30-08:45,62.920000,24.200000,2.23,16.450000,0.000000,81.2,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,34.8,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1570.45

36,08:45:09:00,62.920000,24.200000,2.56,16.450000,0.000000,95.2,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,0.000000,7.740000,0.920000,40.8,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,34.640000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1590.78

37,09:00:09:15,62.920000,24.200000,3.19,16.450000,0.000000,108.5,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,46.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1636.65

38,09:15-09:30,62.920000,24.200000,3.65,16.450000,0.000000,119.7,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,51.3,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1653.11

39,09:30-09:45,62.920000,24.200000,4.08,16.450000,0.000000,127.4,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,54.6,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1664.54

40,09:45-10:00,62.920000,24.200000,4.54,16.450000,0.000000,133,0.610000,0.000000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,57,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,36.680000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1673

41,10:00-10:15,62.920000,24.200000,5.01,16.450000,0.000000,143.5,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,61.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1780.48

42,10:15-10:30,62.920000,24.200000,5.41,16.450000,0.000000,156.1,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,66.9,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1798.88

43,10:30-10:45,62.920000,24.200000,5.7,16.450000,0.000000,163.8,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,70.2,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1810.17

44,10:45-11:00,62.920000,24.200000,5.96,16.450000,0.000000,171.5,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,73.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1821.43

45,11:00-11:15,62.920000,24.200000,6.31,16.450000,0.000000,171.5,0.610000,90.990000,21.280000,53.000000,0.970000,0.000000,0.000000,0.980000,24.200000,48.400000,0.970000,24.200000,7.740000,0.920000,73.5,0.000000,0.610000,63.160000,43.560000,38.720000,85.670000,255.460000,62.920000,23.720000,114.050000,37.700000,85.150000,48.400000,64.370000,1.020000,23.230000,79.380000,15.810000,4.840000,6.780000,0.370000,0.520000,63.620000,0.980000,48.400000,24.200000,1821.78

