Column1,Block,GNA/NR/2024/11/01/1868,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,NR/2024/23769/A/43516,NR/2024/23809/A/43518,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/2024/23963/A/43554,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/3646,WR/2024/24788/A/43679,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5474,NR/2024/24020/C,NR/2024/23918/A/43517,NR/2024/24019/C,NR/2024/23420/A/43522,Total
3,00:30-00:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

4,00:45-01:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

5,01:00-01:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

6,01:15-01:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

7,01:30-01:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

8,01:45-02:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

9,02:00-02:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

10,02:15-02:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

11,02:30-02:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

12,02:45-03:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.48,379.61

13,03:00-03:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

14,03:15-03:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

15,03:30-03:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

16,03:45-04:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

17,04:00-04:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

18,04:15-04:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

19,04:30-04:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

20,04:45-05:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

21,05:00-05:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

22,05:15-05:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

23,05:30-05:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

24,05:45-06:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,0,25.94,190.26,0,0,0,0.43,379.56

25,06:00-06:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,0,0,0,0.43,125.78

26,06:15-06:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,0,0,0,0.43,125.78

27,06:30-06:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,0,0,0,0.43,125.78

28,06:45-07:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,0,0,0,0.43,125.78

29,07:00-07:15,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,31.7,0,0,0,0,0.58,143.21

30,07:15-07:30,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,31.7,0,0,0,0,0.58,143.21

31,07:30-07:45,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,31.7,0,0,0,0,0.58,143.21

32,07:45-08:00,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,31.7,0,0,0,0,0.58,143.21

33,08:00-08:15,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,36.51,0,0,0,0,0.96,158.01999999999998

34,08:15-08:30,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,36.51,0,0,0,0,0.96,158.01999999999998

35,08:30-08:45,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,36.51,0,0,0,0,0.96,158.01999999999998

36,08:45-09:00,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,36.51,0,0,0,0,0.96,158.01999999999998

37,09:00-09:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,26.42,3.84,26.42,0.86,182.89

38,09:15-09:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.45,3.84,22.38,0.86,182.88

39,09:30-09:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,3.84,22.1,0.86,182.89000000000001

40,09:45-10:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,3.84,22.1,0.86,182.89000000000001

41,10:00-10:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

42,10:15-10:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

43,10:30-10:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

44,10:45-11:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

45,11:00-11:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

46,11:15-11:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

47,11:30-11:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

48,11:45-12:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

49,12:00-12:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

50,12:15-12:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

51,12:30-12:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

52,12:45-13:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,6.72,22.1,0.86,185.77

53,13:00-13:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,5.76,22.1,0.77,184.72

54,13:15-13:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,5.76,22.1,0.77,184.72

55,13:30-13:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,5.76,22.1,0.77,184.72

56,13:45-14:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,5.76,22.1,0.77,184.72

57,14:00-14:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.96,183.95000000000002

58,14:15-14:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.96,183.95000000000002

59,14:30-14:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.96,183.95000000000002

60,14:45-15:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.96,183.95000000000002

61,15:00-15:15,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

62,15:15-15:30,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0,2.38,0,0,25.94,0,30.74,4.8,22.1,0.86,183.85000000000002

63,15:30-15:45,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,0,25.94,0,28.24,4.8,24.59,0.86,184.8

64,15:45-16:00,8.65,0,25.94,25.94,0,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,0,25.94,0,24.11,4.8,28.72,0.86,184.8

65,16:00-16:15,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0.96,2.3,0,0,31.7,0,19.69,2.88,27.86,0.77,194.71

66,16:15-16:30,8.65,0,31.7,31.7,0,5.76,4.8,0,0,17.29,8.65,0.96,2.3,0,0,31.7,0,15.18,2.88,18.73,0.77,181.07

67,16:30-16:45,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0.96,2.3,0,0,36.51,0,10.57,2.88,10.57,0.77,182.72999999999996

68,16:45-17:00,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,0.96,2.3,0,0,36.51,0,6.24,2.88,2.88,0.77,170.70999999999998

69,17:00-17:15,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,1.92,2.3,0,0,36.51,0,0,0.96,0,0.58,160.44

70,17:15-17:30,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,1.92,2.3,0,0,36.51,0,0,0.96,0,0.58,160.44

71,17:30-17:45,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,1.92,2.3,0,0,36.51,0,0,0.96,0,0.58,160.44

72,17:45-18:00,8.65,0,36.51,36.51,0,5.76,4.8,0,0,17.29,8.65,1.92,2.3,0,0,36.51,0,0,0.96,0,0.58,160.44

73,18:00-18:15,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,1.92,2.38,0,38.43,36.51,0,0,0,0,0.62,398.03

74,18:15-18:30,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,1.92,2.38,0,38.43,36.51,0,0,0,0,0.62,398.03

75,18:30-18:45,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,1.92,2.38,0,38.43,36.51,0,0,0,0,0.62,398.03

76,18:45-19:00,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,1.92,2.38,0,38.43,36.51,0,0,0,0,0.62,398.03

77,19:00-19:15,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,1.92,2.38,0,38.43,36.51,0,0,0,0,0.62,398.03

78,19:15-19:30,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,36.51,0,0,0,0,0.62,397.06999999999994

79,19:30-19:45,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,36.51,0,0,0,0,0.62,397.06999999999994

80,19:45-20:00,8.65,150,36.51,36.51,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,36.51,0,0,0,0,0.62,397.06999999999994

81,20:00-20:15,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,34.59,0,0,0,0,0.62,441.31000000000006

82,20:15-20:30,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,34.59,0,0,0,0,0.62,441.31000000000006

83,20:30-20:45,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,34.59,0,0,0,0,0.62,441.31000000000006

84,20:45-21:00,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.38,0,38.43,34.59,0,0,0,0,0.62,441.31000000000006

85,21:00-21:15,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.48,0,38.43,34.59,0,0,0,0,0.62,441.4100000000001

86,21:15-21:30,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0.96,2.48,0,38.43,34.59,0,0,0,0,0.62,441.4100000000001

87,21:30-21:45,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0,2.48,0,38.43,34.59,0,0,0,0,0.62,440.45000000000005

88,21:45-22:00,8.65,200,34.59,34.59,50,5.76,4.8,0,0,17.29,8.65,0,2.48,0,38.43,34.59,0,0,0,0,0.62,440.45000000000005

89,22:00-22:15,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,38.43,25.94,190.26,0,0,0,0.62,668.1800000000001

90,22:15-22:30,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,38.43,25.94,190.26,0,0,0,0.62,668.1800000000001

91,22:30-22:45,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,38.43,25.94,190.26,0,0,0,0.62,668.1800000000001

92,22:45-23:00,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.48,63.42,38.43,25.94,190.26,0,0,0,0.62,668.1800000000001

93,23:00-23:15,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.38,63.42,38.43,25.94,190.26,0,0,0,0.62,668.08

94,23:15-23:30,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.38,63.42,38.43,25.94,190.26,0,0,0,0.62,668.08

95,23:30-23:45,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.38,63.42,38.43,25.94,190.26,0,0,0,0.62,668.08

96,23:45-24:00,8.65,200,25.94,25.94,50,5.76,4.8,0,0,17.29,8.65,0,2.38,63.42,38.43,25.94,190.26,0,0,0,0.62,668.08

