Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/04/01/4420,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/9334,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05
15,03:30-03:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.35,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.84,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,0,9.62,2.88,9.62,73.66,24.5,0,23.67,0,73.67,24.5,0,73.5

16,03:45-04:00,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.35,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.84,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,0,9.62,2.88,9.62,72,24.67,0,23.67,0,72,24.67,0,73.99

17,04:00-04:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.74,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,0,9.62,2.88,9.62,70.34,25,0,23.67,0,70.33,25,0,75

18,04:15-04:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,1.15,4.67,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.74,48.08,72.11,114.97,100.17,32,0,21.9,3.25,19.23,0,0,9.62,2.88,9.62,68,25.33,0,24,0,68,25.33,0,76.01

19,04:30-04:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,2.31,4.67,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.74,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,66,25.83,0,23.67,0,66,25.83,0,77.51

20,04:45-05:00,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,2.31,4.67,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,86.73,8.74,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,63.34,26.33,0,23,0,63.33,26.33,0,79.01

21,05:00-05:15,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.77,2.31,4.6,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,68.82,8.65,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,64,23.17,0,23,0,64,23.17,0,69.49

22,05:15-05:30,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.27,2.31,4.6,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,68.82,8.65,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,64.34,22.67,0,23.33,0,64.33,22.67,0,67.99

23,05:30-05:45,0,0,0,0,0,6,0,0,0,0,0,26.22,96.15,0,29.27,2.31,4.6,0,4.5,0,2.88,1.92,8.74,2.88,271.86,203.44,72.11,9.62,2.4,0,68.82,8.65,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,59,20.67,0,23.33,0,59,20.67,0,61.99

24,05:45-06:00,0,0,0,0,0,6,0,0,0,0,0.06,26.22,96.15,0,28.77,2.31,4.6,0,4.5,0,2.88,1.92,8.74,2.88,271.86,184.21,72.11,9.62,2.4,0,68.82,8.65,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,58.66,20.83,0,23.67,0,58.67,20.83,0,62.51

25,06:00-06:15,1,1,0,0,0.07,6,0,0,0,0.01,1.6,26.22,96.15,0,28.26,2.31,4.52,0,4.5,0,2.88,1.92,8.74,2.88,271.86,184.21,72.11,9.62,2.4,0,68.82,8.56,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,60.34,21,0,18,0,60.33,21,0,63

26,06:15-06:30,2,5,0,0,1.71,6,0,0.25,1,0.34,4.59,26.22,96.15,0,27.76,2.31,4.52,0,4.5,0,2.88,1.92,8.74,2.88,271.86,203.44,72.11,9.62,2.4,0,68.82,8.56,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,60.34,20.83,0.74,18.29,2,60.33,20.83,5.6,62.51

27,06:30-06:45,3,7,1,0,7.74,6,1,2.53,2,1.55,8.86,26.22,96.15,0,27.76,2.31,4.52,0,4.5,0,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,0,68.82,8.56,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,0,9.62,2.88,9.62,60.34,17.67,22.66,18.31,5,60.33,17.67,15.5,52.99

28,06:45-07:00,4,9,4,1,14.88,6,3,6.17,3,2.98,14.55,26.22,96.15,1.04,27.76,2.31,4.52,0,4.5,1.04,2.88,1.92,8.74,2.88,271.86,230.76,72.11,9.62,2.4,1.04,68.82,8.56,48.08,72.11,114.97,100.17,32,0,21.9,5.96,19.23,0,17.6,9.62,2.88,9.62,60,17.67,32.68,18.21,8,60,17.67,30,52.99

29,07:00-07:15,7,13,14,6,26.47,6,5,10.29,7,5.3,21.45,26.22,96.15,1.91,27.25,1.15,4.44,0,4.5,1.91,2.88,1.92,8.74,2.88,271.86,182.68,72.11,9.62,2.4,1.91,56.64,8.46,48.08,72.11,65.97,100.17,32,0,28.84,3.25,19.23,0,24.32,9.62,2.88,9.62,54.66,16,32.25,11.67,13,54.67,16,32.25,48

30,07:15-07:30,9,19,28,12,40.43,6,7,15.82,12,8.09,29.23,26.22,96.15,2.98,27.25,1.15,4.44,0,4.5,2.98,2.88,1.92,8.74,2.88,271.86,168.92,72.11,9.62,2.4,2.98,56.64,8.46,48.08,72.11,65.97,100.17,32,0,28.84,3.25,19.23,0,24.32,9.62,2.88,9.62,49,14.67,31.99,11,16,49,14.67,31.99,43.99

31,07:30-07:45,15,30,42,18,55.78,6,12,22.4,19,11.16,36.95,26.22,96.15,4.13,26.24,1.15,4.44,0,4.03,4.13,2.88,1.92,8.74,2.88,271.86,194.89,72.11,9.62,2.4,4.13,58.33,8.46,48.08,72.11,89.53,100.17,32,0,28.84,3.25,19.23,0,24.32,9.62,2.88,9.62,48,13.17,31.6,10.33,22,48,13.17,31.6,39.49

32,07:45-08:00,18,37,56,24,73.18,6,16,30.13,27,14.64,45.06,26.22,96.15,5.36,25.23,1.15,4.44,0,4.03,5.36,2.88,1.92,8.74,2.88,271.86,194.89,72.11,9.62,2.4,5.36,58.33,8.46,48.08,72.11,81.04,100.17,32,0,28.84,3.25,19.23,0,24.32,9.62,2.88,9.62,43.66,12,30.7,9.67,30,43.67,12,30.7,36

33,08:00-08:15,22,43,84,36,91.79,6,22,38.08,37,18.36,53.51,26.22,96.15,6.76,25.23,1.15,4.44,0,4.03,6.76,2.88,1.92,8.74,2.88,230.76,153.84,72.11,9.62,2.4,6.76,46.15,8.37,48.08,72.11,72.56,100.17,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,40.66,11.33,31.56,9.33,31.57,40.67,11.33,31.57,34.01

34,08:15-08:30,25,50,102,43,111.12,6,27,45.89,43,22.22,61.94,26.22,96.15,8.22,26.24,1.15,4.44,0,4.03,8.22,2.88,1.92,8.74,2.88,192.3,153.84,72.11,9.62,2.4,8.22,46.15,8.37,48.08,72.11,70.11,100.17,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,38,10.67,31.9,8.33,31.9,38,10.67,31.9,31.99

35,08:30-08:45,29,59,116,49,127.36,6,30,53.54,49,25.47,69.89,26.22,96.15,9.57,26.24,1.15,4.44,0,4.03,9.57,2.88,1.92,8.74,2.88,149.52,153.84,72.11,9.62,2.4,9.57,46.15,8.37,48.08,72.11,70.11,100.17,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,35.66,9.67,31.9,7.33,31.9,35.67,9.67,31.9,28.99

36,08:45-09:00,33,65,130,55,144.99,6,33,60.94,56,29,91.92,26.22,96.15,10.81,26.24,1.15,4.44,0,4.03,10.81,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,2.4,10.81,46.15,8.37,48.08,72.11,70.11,71.32,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,32.66,9,32.24,6.67,32.23,32.67,9,32.23,27

37,09:00-09:15,37,73,144,61,162.2,6,35,67.76,63,32.44,98.81,26.22,96.15,12.02,26.24,1.15,4.44,0,4.03,12.02,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,12.02,46.15,8.28,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,25.34,8.67,32.24,6.67,32.23,25.33,8.67,32.23,25.99

38,09:15-09:30,39,79,154,66,178.74,6,37,74.23,67,35.75,106.02,26.22,96.15,13.06,26.24,1.15,4.44,0,4.03,13.06,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,13.06,46.15,8.28,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,24.34,8.33,32.24,6.67,32.23,24.33,8.33,32.23,25.01

39,09:30-09:45,43,85,165,70,195.2,6,40,80.32,75,39.04,112.81,26.22,96.15,14.09,26.24,1.15,4.44,0,4.03,14.09,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,14.09,46.15,8.28,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,23.66,8,32.24,6.67,32.23,23.67,8,32.23,24

40,09:45-10:00,45,90,179,76,210.66,6,41,86.24,81,42.13,119.05,26.22,96.15,14.99,26.24,1.15,4.44,0,4.03,14.99,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,14.99,46.15,8.28,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,23,8,32.24,6.67,32.23,23,8,32.23,24

41,10:00-10:15,48,95,189,81,224.15,6,43,91.36,87,44.83,124.67,26.22,96.15,15.87,25.23,2.21,4.37,0,3.87,15.87,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,15.87,46.15,8.19,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,24.66,7.5,32.24,7,32.23,24.67,7.5,32.23,22.5

42,10:15-10:30,49,98,196,84,233.91,6,45,94.81,90,46.78,130.03,26.22,96.15,16.63,25.23,2.21,4.37,0,3.87,16.63,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,16.63,46.15,8.19,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,26.34,7.5,32.24,7,32.23,26.33,7.5,32.23,22.5

43,10:30-10:45,50,100,210,90,240.81,6,46,97.82,93,48.16,135.19,26.22,96.15,17.27,25.23,2.21,4.37,0,3.87,17.27,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.27,46.15,8.19,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,28.34,7.33,32.24,7.33,32.23,28.33,7.33,32.23,22.01

44,10:45-11:00,50,100,210,90,241.67,6,47,99.6,95,48.33,139.41,26.22,96.15,17.84,25.23,2.21,4.37,0,3.87,17.84,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.84,46.15,8.19,48.08,72.11,70.11,52.88,26.16,0,28.84,3.25,19.23,0,26.16,9.62,2.88,9.62,30,7.33,32.24,7.67,32.23,30,7.33,32.23,22.01

45,11:00-11:15,50,100,210,90,241.67,6,48,100,98,48.33,141.57,26.22,96.15,17.78,25.23,3.96,4.3,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.1,48.08,72.11,70.11,52.88,26.16,0,28.84,5.73,19.23,0,26.16,9.62,2.88,9.62,42.66,8.67,32.4,10,32.4,42.67,8.67,32.4,25.99

46,11:15-11:30,50,100,210,90,241.67,6,48,100,98,48.33,141.46,26.22,96.15,17.78,25.23,3.96,4.3,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.1,48.08,72.11,70.11,52.88,26.16,0,28.84,5.63,19.23,0,26.16,9.62,2.88,9.62,43.34,8.67,32.4,10,32.4,43.33,8.67,32.4,25.99

47,11:30-11:45,50,100,210,90,241.67,6,49,100,98,48.33,140.34,26.22,96.15,17.78,25.23,3.96,4.3,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.1,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,44,11.5,32.4,9.67,32.4,44,11.5,32.4,34.5

48,11:45-12:00,50,100,210,90,241.67,6,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.3,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.1,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,44.66,11.33,32.4,9.67,32.4,44.67,11.33,32.4,34.01

49,12:00-12:15,50,100,210,90,241.67,6,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.01,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,44.66,11.17,32.4,10,32.4,44.67,11.17,32.4,33.49

50,12:15-12:30,50,100,210,90,241.67,6,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.01,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,45.34,10.83,32.4,10.33,32.4,45.33,10.83,32.4,32.51

51,12:30-12:45,50,100,210,90,241.67,6,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.01,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,46.66,10.83,32.4,12,32.4,46.67,10.83,32.4,32.51

52,12:45-13:00,50,100,210,90,241.67,6,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,8.01,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,47.34,10.83,32.4,12.67,32.4,47.33,10.83,32.4,32.51

53,13:00-13:15,50,100,210,90,241.67,6.4,49,100,98,48.33,146.06,26.22,96.15,17.78,25.23,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,7.91,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,48.34,10.83,32.4,13.33,32.4,48.33,10.83,32.4,32.51

54,13:15-13:30,50,100,210,90,241.67,6.6,49,100,98,48.33,136.09,26.22,96.15,17.78,26.24,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,7.91,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,49.34,10.83,32.4,14,32.4,49.33,10.83,32.4,32.51

55,13:30-13:45,50,100,210,90,241.67,6.8,48,100,98,48.33,128.57,26.22,96.15,17.78,26.75,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,7.91,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,50.66,11.5,32.4,14.67,32.4,50.67,11.5,32.4,34.5

56,13:45-14:00,50,100,210,90,241.67,7,48,100,98,48.33,121.62,26.22,96.15,17.78,26.75,3.96,4.22,0,3.87,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,7.91,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,52,12.83,32.4,16,32.4,52,12.83,32.4,38.51

57,14:00-14:15,47,93,207,88,241.67,7.2,47,100,97,48.33,116.85,26.22,96.15,17.78,26.75,3.96,4.44,0,4.03,17.78,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.78,46.15,7.83,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,55,16.67,32.4,16.67,32.4,55,16.67,32.4,49.99

58,14:15-14:30,46,92,203,87,241.67,7.4,46,99.2,95,48.33,113.93,26.22,96.15,17.22,26.75,3.96,4.44,0,4.03,17.22,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,17.22,46.15,7.83,48.08,72.11,70.11,52.88,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,57.66,17.5,32.4,17.33,32.4,57.67,17.5,32.4,52.5

59,14:30-14:45,45,89,196,84,241.67,9.4,45,98.36,91,48.33,110.22,26.22,96.15,16.66,26.75,3.96,4.44,0,4.03,16.66,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,16.66,46.15,7.83,48.08,72.11,70.11,84.61,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,63.34,18.33,32.4,18,32.4,63.33,18.33,32.4,55.01

60,14:45-15:00,43,87,189,81,237.5,9.6,43,95.68,89,47.5,105.34,26.22,96.15,16.02,27.25,3.96,4.44,0,4.03,16.02,2.88,1.92,8.74,2.88,149.52,133.65,72.11,9.62,4.12,16.02,46.15,7.83,48.08,72.11,70.11,79.8,26.16,0,28.84,4.69,19.23,0,26.16,9.62,2.88,9.62,64.34,18.67,32.4,18.67,32.4,64.33,18.67,32.4,55.99

