Time,Block,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20931/A/27327,NR/2024/21096/A/27384,NR/2024/21076/A/27411,NR/30092023/31122025/SH-07,NR/2024/21183/A/27415,NR/2024/21572/C,NR/2024/20688/A/27153,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/R2,NR/2024/21568/C,NR/2024/21496/A/27376,NR/2024/21146/A/27168,NR/2024/21108/A/27379,NR/2024/21199/A/27141,NR/2024/21227/A/27380,NR/2024/21153/A/27172,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20966/A/27085,NR/2024/21543/C,NR/2024/21152/A/27084,NR/2024/21150/A/27167,NR/2024/21542/C,NR/2024/21571/C,NR/2024/21558/C,NR/2024/21023/A/27142,NR/2024/21072/A/27397,NR/2024/21087/A/27152,NR/2024/21142/A/27116,NR/16072024/16072024/IEX_240715_01547,NR/2024/21144/A/27138,NR/2024/20711/A/27446,NR/2024/21099/A/27118,NR/2024/21570/C,NR/2024/21103/A/27381,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20573/A/27369,NR/2024/21549/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21156/A/27171,NR/2024/20574/A/27368,NR/2024/21113/A/27395,NR/30092023/26122029/SH-06,NR/2024/21141/A/27117,NR/2024/21210/A/27115,NR/2024/21148/A/27166,NR/2024/21545/C,NR/2024/21500/A/27139,NR/2024/21186/A/27406,NR/2024/21173/A/27150,NR/16072024/16072024/DD20240716NR25607,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21089/A/27396,NR/2024/21160/A/27169,NR/2024/21158/A/27165,NR/2024/21238/A/27417,NR/2024/21555/C,NR/2024/21062/A/27362,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21339/A/27113,NR/2024/21075/A/27416,NR/2024/21485/A/27445,NR/2024/21159/A/27170,NR/2024/21565/C,NR/2024/19779/A/27094,NR/2024/21544/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total

3,00:30-00:45,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.420000,21.130000,37.360000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,48.790000,98.920000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,37.460000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,144.060000,0.620000,0,0,0,2598.04

4,00:45-01:00,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.420000,21.130000,37.650000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,48.310000,100.360000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,38.320000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,144.060000,0.620000,0,0,0,2600.15

5,01:00-01:15,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.430000,21.130000,38.030000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,47.830000,91.720000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,39.380000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,72.030000,0.580000,0,0,0,2207.32

6,01:15-01:30,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.430000,21.130000,37.940000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,48.210000,92.680000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,40.240000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,7.680000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,72.030000,0.580000,0,0,0,2209.43

7,01:30-01:45,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.430000,21.130000,37.740000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,48.600000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,40.720000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,72.030000,0.580000,0,0,0,2116.46

8,01:45-02:00,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,31.430000,21.130000,37.650000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,12.150000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,47.730000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,41.010000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,31.430000,47.500000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,72.030000,0.580000,0,0,0,2115.79

9,02:00-02:15,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,0.000000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.580000,0,0,0,1762.95

10,02:15-02:30,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,0.000000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.580000,0,0,0,1762.95

11,02:30-02:45,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,10.960000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.580000,0,0,0,1772.95

12,02:45-03:00,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,10.960000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,38.420000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.580000,0,0,0,1772.95

13,03:00-03:15,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.35

14,03:15-03:30,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.35

15,03:30-03:45,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.35

16,03:45-04:00,6.940000,12.650000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1703.31

17,04:00-04:15,6.940000,12.200000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.86

18,04:15-04:30,6.940000,12.200000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.86

19,04:30-04:45,6.940000,12.200000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.86

20,04:45-05:00,6.940000,12.200000,48.020000,96.040000,0.000000,67.230000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1702.86

21,05:00-05:15,6.940000,12.200000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1659.64

22,05:15-05:30,6.940000,12.200000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,6.720000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1659.64

23,05:30-05:45,6.940000,12.200000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1658.68

24,05:45-06:00,6.940000,12.200000,48.020000,96.040000,0.000000,24.010000,90.280000,26.330000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,72.030000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,18.010000,0.000000,0.000000,0.610000,6.000000,37.100000,32.000000,0.000000,48.020000,0.520000,7.200000,5.760000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,11.670000,240.100000,0.870000,0.000000,0.530000,0,0,0,1658.68

