Time,Block,NR/2023/17344/F,WR/2023/17681/A,NR/2023/17165/A,WR/2023/19090/A,NR/2023/17865/C,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17864/C,NR/2023/17496/F,WR/2023/17681/A/II,Total
34,08:15-08:30,0.970000,100.000000,29.050000,0.000000,2.73,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,420.03

35,08:30-08:45,0.970000,100.000000,29.050000,0.000000,3.18,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,420.48

36,08:45:09:00,0.970000,100.000000,29.050000,0.000000,3.65,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,420.95

37,09:00:09:15,0.970000,100.000000,29.050000,0.000000,4.16,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,421.46

38,09:15-09:30,0.970000,100.000000,29.050000,0.000000,4.6,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,421.9

39,09:30-09:45,0.970000,100.000000,29.050000,0.000000,5.01,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,422.31

40,09:45-10:00,0.970000,100.000000,29.050000,0.000000,5.36,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,422.66

41,10:00-10:15,0.970000,100.000000,29.050000,0.000000,5.69,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,422.9

42,10:15-10:30,0.970000,100.000000,29.050000,0.000000,5.96,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.17

43,10:30-10:45,0.970000,100.000000,29.050000,0.000000,6.19,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.4

44,10:45-11:00,0.970000,100.000000,29.050000,0.000000,6.58,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.79

45,11:00-11:15,0.970000,100.000000,29.050000,0.000000,6.73,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.94

46,11:15-11:30,0.970000,100.000000,29.050000,0.000000,6.88,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.09

47,11:30-11:45,0.970000,100.000000,29.050000,0.000000,7.05,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.26

48,11:45-12:00,0.970000,100.000000,29.050000,0.000000,7.1,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.31

49,12:00-12:15,0.970000,100.000000,29.050000,0.000000,7.16,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.37

50,12:15-12:30,0.970000,100.000000,29.050000,0.000000,7.21,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.42

51,12:30-12:45,0.970000,100.000000,29.050000,0.000000,7.31,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.52

52,12:45-13:00,0.970000,100.000000,29.050000,0.000000,7.09,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.3

53,13:00-13:15,0.970000,100.000000,29.050000,0.000000,7.05,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.26

54,13:15-13:30,0.970000,100.000000,29.050000,0.000000,6.97,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,424.18

55,13:30-13:45,0.970000,100.000000,29.050000,0.000000,6.67,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.88

56,13:45-14:00,0.970000,100.000000,29.050000,0.000000,6.44,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.65

57,14:00-14:15,0.970000,100.000000,29.050000,0.000000,6.12,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.33

58,14:15-14:30,0.970000,100.000000,29.050000,0.000000,5.81,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,423.02

59,14:30-14:45,0.970000,100.000000,29.050000,0.000000,5.52,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,422.73

60,14:45-15:00,0.970000,100.000000,29.050000,0.000000,5.13,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,422.34

61,15:00-15:15,0.970000,100.000000,29.050000,0.000000,4.84,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,422.05

62,15:15-15:30,0.970000,100.000000,29.050000,0.000000,4.36,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,421.57

63,15:30-15:45,0.970000,100.000000,29.050000,0.000000,3.68,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,420.89

64,15:45-16:00,0.970000,100.000000,29.050000,0.000000,2.9,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,420.11

65,16:00-16:15,0.870000,100.000000,29.050000,0.000000,2.42,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,419.53

66,16:15-16:30,0.870000,100.000000,29.050000,0.000000,1.75,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,418.86

67,16:30-16:45,0.870000,100.000000,29.050000,0.000000,1.63,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,418.74

68,16:45-17:00,0.870000,100.000000,29.050000,0.000000,1,0.000000,20.400000,255.480000,0.000000,4.530000,6.780000,0.000000,418.11

69,17:00-17:15,0.770000,100.000000,29.050000,0.000000,0.7,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.8

70,17:15-17:30,0.770000,100.000000,29.050000,0.000000,0.34,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.44

71,17:30-17:45,0.770000,100.000000,29.050000,0.000000,0.15,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.25

72,17:45-18:00,0.770000,100.000000,29.050000,0.000000,0,0.000000,20.400000,255.480000,0.000000,4.620000,6.780000,0.000000,417.1

73,18:00-18:15,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

74,18:15-18:30,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

75,18:30-18:45,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

76,18:45-19:00,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

77,19:00-19:15,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

78,19:15-19:30,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

79,19:30-19:45,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

80,19:45-20:00,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

81,20:00-20:15,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

82,20:15-20:30,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

83,20:30-20:45,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

84,20:45-21:00,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.720000,6.780000,100.000000,261.68

85,21:00-21:15,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

86,21:15-21:30,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

87,21:30-21:45,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

88,21:45-22:00,0.730000,0.000000,29.050000,100.000000,0,0.000000,20.400000,0.000000,0.000000,4.620000,6.780000,100.000000,261.58

89,22:00-22:15,0.680000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.46

90,22:15-22:30,0.680000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.46

91,22:30-22:45,0.680000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.46

92,22:45-23:00,0.680000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.46

93,23:00-23:15,0.630000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.41

94,23:15-23:30,0.630000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.41

95,23:30-23:45,0.630000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.41

96,23:45-24:00,0.630000,0.000000,29.050000,100.000000,0,179.140000,20.400000,0.000000,76.880000,4.530000,6.780000,100.000000,517.41

