Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/6775,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/6528,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3945,NR/01102023/31052040/LT-31,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/8738,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,GNARE/SR/2025/01/13/4532,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3514
7,01:30-01:45,0,40,0,0,0,14.33,14.34,0,0,0,0,8.67,0,0,0,43,0,40,0,20.17,0,0,0,0,26.9,25.74,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,18.61,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

8,01:45-02:00,0,39.66,0,0,0,14.17,14.16,0,0,0,0,8.33,0,0,0,42.5,0,39.67,0,20.17,0,0,0,0,26.9,25.74,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,19.01,26.9,28.82,59.4,0,48.04,209.43,0,1.56,0,1.43,0,0,0,0,19.21

9,02:00-02:15,0,30.66,0,0,0,14,14,0,0,0,0,8.33,0,0,0,42,0,30.67,0,20.17,0,0,0,0,26.9,25.23,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,20.41,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

10,02:15-02:30,0,30,0,0,0,13.83,13.84,0,0,0,0,8,0,0,0,41.5,0,30,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,20.81,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

11,02:30-02:45,0,28.66,0,0,0,13.17,13.16,0,0,0,0,8,0,0,0,39.5,0,28.67,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.81,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

12,02:45-03:00,0,27.34,0,0,0,13,13,0,0,0,0,7.67,0,0,0,39,0,27.33,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,17.21,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

13,03:00-03:15,0,21.34,0,0,0,13,13,0,0,0,0,7.67,0,0,0,39,0,21.33,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,14.01,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

14,03:15-03:30,0,20.66,0,0,0,12.83,12.84,0,0,0,0,7.67,0,0,0,38.5,0,20.67,0,20.17,0,0,0,0,26.9,24.73,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,14.41,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

15,03:30-03:45,0,20.66,0,0,0,10.33,10.33,0,0,0,0,7.67,0,0,0,31.01,0,20.67,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,14.61,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

16,03:45-04:00,0,20,0,0,0,10.33,10.33,0,0,0,0,7.33,0,0,0,31.01,0,20,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,15.01,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.43,0,0,0,0,19.21

17,04:00-04:15,0,19.34,0,0,0,10.17,10.17,0,0,0,0,7.33,0,0,0,30.49,0,19.33,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,13.01,26.9,28.82,59.4,0,48.04,209.43,0,1.37,0,1.38,0,0,0,0,19.21

18,04:15-04:30,0,19.34,0,0,0,10.17,10.17,0,0,0,0,7.33,0,0,0,30.49,0,19.33,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,13.21,26.9,28.82,59.4,0,48.04,209.43,0,1.37,0,1.38,0,0,0,0,19.21

19,04:30-04:45,0,18.66,0,0,0,10.17,10.17,0,0,0,0,7,0,0,0,30.49,0,18.67,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.4,26.9,28.82,59.4,0,48.04,209.43,0,1.37,0,1.38,0,0,0,0,19.21

20,04:45-05:00,0,19,0,0,0,10.17,10.17,0,0,0,0,7,0,0,0,30.49,0,19,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.2,26.9,28.82,59.4,0,48.04,209.43,0,1.37,0,1.38,0,0,0,0,19.21

21,05:00-05:15,0,19.66,0,0,0,9.83,9.83,0,0,0,0,7,0,0,0,29.51,0,19.67,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.4,26.9,28.82,59.4,0,48.04,209.43,0,1.47,0,1.38,0,0,0,0,19.21

22,05:15-05:30,0,19.34,0,0,0,9.33,9.33,0,0,0,0,6.67,0,0,0,28.01,0,19.33,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.6,26.9,28.82,59.4,0,48.04,232.49,0,1.47,0,1.38,0,0,0,0,19.21

23,05:30-05:45,0,23.34,0,0,0,8.83,8.83,0,0,0,0,6.67,0,0,0,26.51,0,23.33,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,65.33,16.4,26.9,28.82,59.4,0,48.04,251.7,0,1.47,0,1.38,0,0,0,0,19.21

24,05:45-06:00,0,23.34,0,0,0,8.33,8.33,0,0,0,0,6.67,0,0,0,25.01,0,23.33,0,20.17,0,0,0,0,26.9,24.22,8.65,0.99,26.9,0,0,26.9,48.04,52.84,0,70.06,48.04,0,95.42,16.2,26.9,28.82,59.4,0,48.04,271.64,0,1.47,0,1.38,0,0,0,0,19.21

25,06:00-06:15,0,23.34,0,0,0,7.67,7.67,0,0,0,0,6.67,0,0.02,0,22.99,0,23.33,0,20.17,0,0,0,0,25.94,24.22,8.65,0.99,43.23,0,0,25.94,48.04,81.66,0,65.92,48.04,0,119.43,16,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.38,0,0,0,0,19.21

26,06:15-06:30,0.01,23.34,0,0,0,7.5,7.5,0,0,0.04,0,6.67,0,0.05,0,22.5,0,23.33,0,20.17,0,0,0,0,25.94,24.22,8.65,0.99,43.23,0,0,25.94,48.04,100.09,0,65.92,48.04,0,130.42,15.6,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.38,0,0,0,0,19.21

27,06:30-06:45,1.01,22.66,0,0,0,7.5,7.5,0,0,0.09,0,6.67,0,1.8,0,22.5,0,22.67,0,20.17,0,0,0,0,33.62,24.22,8.65,0.99,43.23,0,0,33.62,48.04,100.09,0,65.92,48.04,0,130.42,18.41,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.38,0,0,0,0,19.21

28,06:45-07:00,4,21.66,0,0.01,0,7.5,7.5,0,0,0.14,0,6.67,0,3.38,0,22.5,1,21.67,0.05,20.17,0,0,0,0,33.62,24.22,8.65,0.99,43.23,0,0,33.62,48.04,100.09,0,65.92,48.04,0,130.42,18.41,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.38,0,0,0,0,19.21

29,07:00-07:15,12.08,20,1,0.07,0,7.5,7.5,0,0,0.83,0,6.67,0,6.66,0.13,22.5,3,20,0.32,20.17,50,90.31,0,5.76,36.51,23.72,14.41,0.99,43.23,0,30.74,36.51,48.04,100.09,0,65.92,48.04,0,130.42,18.61,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

30,07:15-07:30,20.77,19.34,2,0.14,0,7.5,7.5,2,1,8.67,0,6.67,1,11.68,0.69,22.5,7,19.33,0.71,20.17,50,90.31,0,5.76,36.51,23.72,14.41,0.99,43.23,0.06,30.74,36.51,48.04,100.09,0.06,114.9,48.04,0.06,130.42,18.61,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

31,07:30-07:45,30.35,14.66,3,0.21,1,7.5,7.5,5,2,9.33,1,6.67,4,19.15,2.18,22.5,10,14.67,1.05,20.17,50,90.31,0,5.76,36.51,23.72,14.41,0.99,43.23,0.24,30.74,36.51,48.04,100.09,0.25,114.9,48.04,0.24,130.42,19.01,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

32,07:45-08:00,30.21,14.66,5,5,3,7.67,7.67,7,2,10,2,6.67,7,29.59,4.58,22.99,18,14.67,25,20.17,50,90.31,0,5.76,36.51,23.72,14.41,0.99,43.23,0.53,30.74,36.51,48.04,100.09,0.55,114.9,48.04,0.53,130.42,19.21,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

33,08:00-08:15,31.1,14.66,7,5,4,7,7,8,3,10,3,6.67,11,31.1,7.68,21,25,14.67,25,20.17,50,90.31,0,5.76,36.51,24.22,14.41,0.99,43.23,0.96,30.74,36.51,48.04,100.09,0.98,114.9,48.04,0.96,130.42,19.41,26.9,28.82,86.66,96.07,48.04,271.64,0,1.47,0,1.38,0,9.61,0,7.69,19.21

34,08:15-08:30,29.4,14.66,9,5.3,6,6.83,6.83,9,5,10,4,6.67,14,29.4,35.56,20.51,29.4,14.67,26.5,20.17,50,90.31,0,5.76,36.51,24.73,14.41,0.99,43.23,1.5,30.74,36.51,48.04,100.09,1.54,114.9,48.04,1.5,130.42,19.61,26.9,28.82,86.66,96.07,48.04,271.64,0,1.47,0,1.38,0,9.61,0,7.69,19.21

35,08:30-08:45,29.9,14.66,11,8.45,7,6.67,6.67,10,5,10.15,5,6.67,18,29.9,48.23,19.99,29.9,14.67,42.23,20.17,50,90.31,0,5.76,36.51,24.73,14.41,0.99,43.23,2.16,30.74,36.51,48.04,100.09,2.21,114.9,48.04,2.16,130.42,16.01,26.9,28.82,86.66,96.07,48.04,271.64,0,1.47,0,1.38,0,9.61,0,7.69,19.21

36,08:45-09:00,30.3,14,12,11.92,9,6.67,6.67,11,6,10.25,6,6.67,21,30.3,62.74,19.99,30.3,14,59.62,20.17,50,90.31,0,5.76,36.51,24.73,14.41,0.99,43.23,3.78,30.74,36.51,48.04,100.09,3.88,114.9,48.04,3.78,130.42,16.41,26.9,28.82,86.66,96.07,48.04,271.64,0,1.47,0,1.38,0,9.61,0,7.69,19.21

37,09:00-09:15,30.3,14,15,11.46,10,6.67,6.67,12,8,16.67,6,6.67,25,30.3,74.63,19.99,30.3,14,57.31,20.17,0,90.31,0,5.76,36.51,25.23,14.41,0.99,43.23,5.92,30.74,36.51,48.04,100.09,6.07,114.9,48.04,5.92,130.42,16.41,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

38,09:15-09:30,30.3,14,17,14.08,12,6.67,6.67,13,9,22.63,7,6.67,28,30.3,85.35,19.99,30.3,14,70.38,20.17,0,90.31,0,5.76,36.51,25.23,14.41,0.99,43.23,7.39,30.74,36.51,48.04,100.09,7.57,114.9,48.04,7.39,130.42,16.81,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

39,09:30-09:45,30.3,14,17,5,15,6.67,6.67,15,8,10,8,6.67,35,30.3,95.38,19.99,30.3,14,25,20.17,0,90.31,0,5.76,36.51,25.23,14.41,0.99,43.23,2.48,30.74,36.51,48.04,100.09,2.55,114.9,48.04,2.48,130.42,15.6,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

40,09:45-10:00,30.3,14,19,6.42,16,6.67,6.67,17,9,12.05,9,6.67,39,30.3,104.25,19.99,30.3,14,32.12,20.17,0,90.31,0,5.76,36.51,25.23,14.41,0.99,43.23,2.48,30.74,36.51,48.04,100.09,2.55,114.9,48.04,2.48,130.42,15.8,26.9,28.82,86.66,96.07,48.04,271.64,0,1.37,0,1.38,0,9.61,0,7.69,19.21

41,10:00-10:15,30.3,14,22,8.11,18,6.67,6.67,22,11,15.62,10,6.67,42,30.3,112.14,19.99,30.3,14,40.55,20.17,0,0,0,0,36.51,25.23,14.41,0.99,43.23,2.87,0,36.51,48.04,100.09,2.94,114.9,48.04,2.87,130.42,16,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.43,0,0,0,0,19.21

42,10:15-10:30,30.3,14,25,10.15,19,6.67,6.67,23,13,20.71,12,6.67,46,30.3,113.63,19.99,30.3,14,50.72,20.17,0,0,0,0,36.51,24.73,14.41,0.99,43.23,2.87,0,36.51,48.04,100.09,2.94,65.92,48.04,2.87,130.42,16,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.43,0,0,0,0,19.21

43,10:30-10:45,30.3,13.34,37,28.85,33,6.67,6.67,28,18,57.67,14,6.67,77,30.3,120.25,19.99,30.3,13.33,144.24,20.17,0,0,0,0,36.51,24.73,14.41,0.99,43.23,3.44,0,36.51,48.04,100.09,3.52,65.92,48.04,3.44,130.42,16,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.43,0,0,0,0,19.21

44,10:45-11:00,30.3,13.34,43,33.05,39,6.67,6.67,33,22,64.33,16,6.67,91,30.3,125.46,19.99,30.3,13.33,165.27,20.17,0,0,0,0,36.51,24.73,14.41,0.99,43.23,4.78,0,36.51,48.04,100.09,4.9,65.92,48.04,4.78,130.42,16,26.9,28.82,86.66,0,48.04,271.64,0,1.47,0,1.43,0,0,0,0,19.21

45,11:00-11:15,30.3,13.34,53,40.13,46,6.67,6.67,35,27,73,16,6.67,109,30.3,129.01,19.99,30.3,13.33,200.62,20.17,0,0,0,0,36.51,24.73,14.41,1.03,43.23,7.64,0,36.51,48.04,100.09,7.83,65.92,48.04,7.64,130.42,18.6,26.9,28.82,76.17,0,48.04,271.64,0,1.47,0,1.48,0,0,0,0,19.21

46,11:15-11:30,30.3,13.34,63,43.69,54,6.67,6.67,37,32,81.67,21,6.67,126,30.3,131.71,19.99,30.3,13.33,218.46,20.17,0,0,0,0,36.51,24.73,14.41,1.03,43.23,10.51,0,36.51,48.04,100.09,10.77,65.92,48.04,10.51,130.42,18.4,26.9,28.82,76.17,0,48.04,271.64,0,1.47,0,1.48,0,0,0,0,19.21

47,11:30-11:45,30.3,13.34,90,45,78,6.67,6.67,40,45,85,21,6.67,182,30.3,134.12,19.99,30.3,13.33,225,20.17,0,0,0,0,36.51,24.22,14.41,1.03,43.23,10.51,0,36.51,48.04,100.09,10.77,65.92,48.04,10.51,130.42,18,26.9,28.82,76.17,0,48.04,271.64,0,1.47,0,1.48,0,0,0,0,19.21

48,11:45-12:00,30.3,13.34,93,45,82,6.67,6.67,43,47,86.68,25,6.67,193,30.3,135.99,19.99,30.3,13.33,225,20.17,0,0,0,0,36.51,23.21,14.41,1.03,43.23,11.46,0,36.51,48.04,100.09,11.75,65.92,48.04,11.46,130.42,17,26.9,28.82,76.17,0,48.04,271.64,0,1.47,0,1.48,0,0,0,0,19.21

49,12:00-12:15,29.96,13.34,93,46.17,82,6.67,6.67,43,47,86.68,25,6.67,193,29.97,123.44,19.99,29.97,13.33,230.83,20.17,0,0,0,0,36.51,20.69,14.41,1.03,43.23,12.42,0,36.51,48.04,81.66,12.73,70.06,48.04,12.42,106.4,16.4,26.9,28.82,64,0,48.04,271.64,0,1.37,0,1.48,0,0,0,0,19.21

50,12:15-12:30,29.96,13.34,93,46.17,82,6.67,6.67,45,47,86.68,25,6.67,193,29.97,125.25,19.99,29.97,13.33,230.83,20.17,0,0,0,0,36.51,20.18,14.41,1.03,43.23,13.37,0,36.51,48.04,52.84,13.7,70.06,48.04,13.37,95.42,15.8,26.9,28.82,64,0,48.04,271.64,0,1.37,0,1.48,0,0,0,0,19.21

51,12:30-12:45,29.96,13.34,93,46.17,82,6.67,6.67,45,47,86.68,28,6.67,193,29.97,126.43,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,19.68,8.65,1.03,34.59,14.29,0,34.59,48.04,52.84,14.64,70.06,48.04,14.29,65.33,17.8,26.9,28.82,59.4,0,48.04,271.64,0,1.37,0,1.48,0,0,0,0,19.21

52,12:45-13:00,29.96,13.34,93,46.17,82,6.67,6.67,47,47,86.68,30,6.67,193,29.97,127.06,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,19.68,8.65,1.03,34.59,14.46,0,34.59,48.04,52.84,14.82,70.06,48.04,14.46,65.33,17.4,26.9,28.82,59.4,0,48.04,271.64,0,1.37,0,1.48,0,0,0,0,19.21

53,13:00-13:15,29.96,13.34,97,46.17,82,6.67,6.67,47,48,86.68,42,6.67,193,29.97,126.46,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,19.68,8.65,1.07,34.59,14.57,0,34.59,48.04,52.84,14.94,70.06,48.04,14.57,65.33,16.8,26.9,28.82,59.4,0,48.04,230.57,0,1.47,0,1.53,0,0,0,0,19.21

54,13:15-13:30,29.96,13.34,97,46.17,82,6.67,6.67,50,48,86.68,42,6.67,193,29.97,124.64,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,19.68,8.65,1.07,34.59,14.59,0,34.59,48.04,52.84,14.96,70.06,48.04,14.59,65.33,16.4,26.9,28.82,59.4,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

55,13:30-13:45,29.96,13.34,89,46.17,82,6.67,6.67,50,44,86.68,41,6.67,193,29.97,124.77,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,19.68,8.65,1.07,34.59,14.43,0,34.59,48.04,52.84,14.79,70.06,48.04,14.43,65.33,16,26.9,28.82,59.4,0,48.04,149.4,0,1.47,0,1.53,0,0,0,0,19.21

56,13:45-14:00,29.96,13.34,87,46.17,82,6.67,6.67,53,43,86.68,40,6.67,193,29.97,120.21,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,20.18,8.65,1.07,34.59,14.14,0,34.59,48.04,52.84,14.5,70.06,48.04,14.14,65.33,15,26.9,28.82,59.4,0,48.04,149.4,0,1.47,0,1.53,0,0,0,0,19.21

57,14:00-14:15,29.96,13.34,88,46.17,81,6.67,6.67,55,44,86.68,37,6.67,189,29.97,115.82,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,20.18,8.65,1.07,34.59,13.73,0,34.59,48.04,52.84,14.08,70.06,48.04,13.73,65.33,14.4,26.9,28.82,59.4,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

58,14:15-14:30,29.96,13.34,85,46.17,78,6.67,6.67,55,43,86.68,36,6.67,182,29.97,110.54,19.99,29.97,13.33,230.83,20.17,0,0,0,0,34.59,20.18,8.65,1.07,34.59,13.25,0,34.59,48.04,52.84,13.58,70.06,48.04,13.25,65.33,13.4,26.9,28.82,59.4,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

59,14:30-14:45,29.96,13.34,82,45.67,73,6.67,6.67,75,41,86.67,35,6.67,172,29.97,104.85,19.99,29.97,13.33,228.33,20.17,0,0,0,0,34.59,20.69,8.65,1.07,34.59,12.72,0,34.59,48.04,52.84,13.04,70.06,48.04,12.72,65.33,12.21,26.9,28.82,59.4,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

60,14:45-15:00,29.96,13.34,76,44.8,69,6.67,6.67,72,38,86.67,33,6.67,161,29.97,98.62,19.99,29.97,13.33,223.99,20.17,0,0,0,0,34.59,20.69,8.65,1.07,34.59,12.12,0,34.59,48.04,52.84,12.42,70.06,48.04,12.12,65.33,11.21,26.9,28.82,59.4,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

61,15:00-15:15,30.8,13.34,70,42.36,61,6.67,6.67,72,35,83.87,31,6.67,144,30.8,93.97,19.99,30.8,13.33,211.8,20.17,0,0,0,0,28.82,21.19,8.65,1.14,34.59,11.32,0,28.82,48.04,52.84,11.6,70.06,48.04,11.32,65.33,10.61,26.9,28.82,61.48,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

62,15:15-15:30,30.8,13.34,63,39.59,57,6.67,6.67,66,32,77.48,29,6.67,133,30.8,86.6,19.99,30.8,13.33,197.96,20.17,0,0,0,0,28.82,22.2,8.65,1.14,34.59,10.09,0,28.82,48.04,52.84,10.34,70.06,48.04,10.09,65.33,10.01,26.9,28.82,61.48,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

63,15:30-15:45,32.7,13.34,56,36.58,51,6.67,6.67,62,28,72.85,26,6.67,119,32.7,78.27,19.99,27,13.33,182.87,20.17,0,0,0,0,28.82,21.7,8.65,1.14,34.59,9.26,0,28.82,48.04,81.66,9.49,65.92,48.04,9.26,65.33,19.4,26.9,28.82,61.48,0,48.04,192.14,0,1.47,0,1.53,0,0,0,0,19.21

