Column1,Block,NR/2024/24227/A/46330,NR/2024/24224/A/46317,NR/2024/24225/A/46328,NR/2024/24071/A/46247,NR/2024/24146/A/46238,NR/2024/24097/A/46242,WR/2024/25054/A/46458,NR/2024/24400/C,NR/2024/24401/C,NR/2024/23952/A/46223,NR/2024/24088/A/46244,NR/2024/24051/A/46249,NR/2024/24060/A/46470,NR/2024/24052/A/46248,NER/2024/2770/A/46452,NR/2024/24399/C,NR/2024/24402/C,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/23/2645,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/7739,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,Total
3,00:30-00:45,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

4,00:45-01:00,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

5,01:00-01:15,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.22999999999996

6,01:15-01:30,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.22999999999996

7,01:30-01:45,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.22999999999996

8,01:45-02:00,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.22999999999996

9,02:00-02:15,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.32

10,02:15-02:30,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.32

11,02:30-02:45,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.32

12,02:45-03:00,0,0,0,0,5.77,7.7,0,0,0,0.38,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.32

13,03:00-03:15,0,0,0,0,5.77,7.7,0,0,0,0.34,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.28000000000003

14,03:15-03:30,0,0,0,0,5.77,7.7,0,0,0,0.34,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.28000000000003

15,03:30-03:45,0,0,0,0,5.77,7.7,0,0,0,0.34,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.28000000000003

16,03:45-04:00,0,0,0,0,5.77,7.7,0,0,0,0.34,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.74,47.56,0,0,0,150,465.28000000000003

17,04:00-04:15,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

18,04:15-04:30,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

19,04:30-04:45,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

20,04:45-05:00,0,0,0,0,5.77,7.7,0,0,0,0.43,0.96,0,17.32,2.89,0,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,465.28

21,05:00-05:15,0,0,0,0,5.77,7.7,0,0,0,0.43,4.81,0,17.32,2.89,38.48,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,507.60999999999996

22,05:15-05:30,0,0,0,0,5.77,7.7,0,0,0,0.43,4.81,0,17.32,2.89,38.48,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,507.60999999999996

23,05:30-05:45,0,0,0,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,517.23

24,05:45-06:00,0,0,0,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,22.3,8.74,8.74,0,0,26.23,22.3,142.69,1.65,47.56,0,0,0,150,517.23

25,06:00-06:15,0.19,0.29,0.19,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.74,0,0,0,0,150,520.1400000000001

26,06:15-06:30,0.19,0.29,0.19,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,24.05,8.74,8.74,192.4,0,26.23,24.05,0,1.74,0,0,0,0,150,523.6400000000001

27,06:30-06:45,0.19,0.29,0.19,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,24.05,8.74,8.74,192.4,0,26.23,24.05,0,1.74,0,0,0,0,150,523.6400000000001

28,06:45-07:00,0.19,0.29,0.29,0,5.77,14.43,0,0,0,0.43,4.81,2.89,17.32,2.89,38.48,0,0,24.05,13.47,13.47,192.4,0,26.23,24.05,0,1.74,0,0,0,0,150,533.2

29,07:00-07:15,0.19,0.29,0.29,0,5.77,14.43,0,0,0,0.53,4.81,2.89,28.86,2.89,38.48,0,0,24.05,13.47,13.47,192.4,0,26.23,24.05,0,1.74,0,0,0,0,150,544.8400000000001

30,07:15-07:30,0.19,0.38,0.29,0,5.77,14.43,0,0,0,0.53,4.81,2.89,28.86,2.89,38.48,0,0,24.05,13.47,13.47,192.4,0,26.23,24.05,0,1.74,0,0,0,0,150,544.9300000000001

31,07:30-07:45,0.29,0.58,0.38,0,5.77,14.43,0,0,0,0.53,4.81,2.89,28.86,2.89,38.48,0,0,24.05,13.47,13.47,192.4,0,43.29,24.05,0,1.74,0,0,0,0,150,562.3800000000001

32,07:45-08:00,0.29,0.58,0.38,0,5.77,14.43,0,0,0,0.53,4.81,2.89,28.86,2.89,38.48,0,0,24.05,13.47,13.47,192.4,0,43.29,24.05,0,1.74,0,0,0,0,150,562.3800000000001

33,08:00-08:15,0.29,0.67,0.48,0,5.77,14.43,0,0,0,0.82,4.81,2.89,28.86,2.89,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,572.3900000000001

34,08:15-08:30,0.38,0.67,0.48,0,5.77,14.43,0,0,0,0.82,4.81,2.89,28.86,2.89,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,572.48

35,08:30-08:45,0.38,0.77,0.48,0,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,562.96

36,08:45-09:00,0.38,0.77,0.48,0,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,38.48,0,0,33.67,13.47,13.47,192.4,0,43.29,33.67,0,1.65,0,0,0,0,150,572.58

37,09:00-09:15,0.38,0.77,0.48,3.85,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,0,0,0,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.65,0,0,0,0,150,511.43

38,09:15-09:30,0.38,0.87,0.58,3.85,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,0,0,0,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.65,0,0,0,0,150,511.63

39,09:30-09:45,0.38,0.87,0.58,3.85,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,0,0,0,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.65,0,0,0,0,150,511.63

40,09:45-10:00,0.38,0.87,0.58,3.85,5.77,7.7,0,0,0,0.82,4.81,0,28.86,2.89,0,0,0,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.65,0,0,0,0,150,511.63

41,10:00-10:15,0.38,0.87,0.58,4.81,5.77,7.7,0,8.47,15.01,0.82,4.81,0,28.86,2.89,0,13.66,11.54,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.74,0,0,0,0,150,561.3600000000001

42,10:15-10:30,0.38,0.87,0.58,4.81,5.77,7.7,0,8.47,15.01,0.82,4.81,0,28.86,2.89,0,16.35,8.47,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.74,0,0,0,0,150,560.98

43,10:30-10:45,0.38,0.87,0.58,4.81,5.77,7.7,0,8.47,15.01,0.82,4.81,0,28.86,2.89,0,19.05,5.58,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.74,0,0,0,0,150,560.79

44,10:45-11:00,0.38,0.87,0.58,4.81,5.77,7.7,0,8.47,15.01,0.82,4.81,0,28.86,2.89,0,21.55,3.08,33.67,8.74,8.74,192.4,0,26.23,33.67,0,1.74,0,0,0,0,150,560.79

45,11:00-11:15,0.38,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.28,1.06,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,560.33

46,11:15-11:30,0.38,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,24.15,0,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,560.1400000000001

47,11:30-11:45,0.38,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,24.05,0,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,560.0400000000001

48,11:45-12:00,0.48,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.95,0,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,560.0400000000001

49,12:00-12:15,0.48,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.95,0,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.65,0,0,0,0,150,559.95

50,12:15-12:30,0.38,0.87,0.58,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.95,0,28.86,14.43,14.43,192.4,0,26.23,28.86,0,1.65,0,0,0,0,150,559.85

51,12:30-12:45,0.38,0.96,0.67,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.95,0,28.86,10.58,10.58,192.4,0,26.23,28.86,0,1.65,0,0,0,0,150,552.33

52,12:45-13:00,0.38,0.96,0.67,6.73,5.77,7.7,0,8.47,15.01,0.82,0,0,28.86,3.85,0,23.95,0,28.86,10.58,10.58,192.4,0,26.23,28.86,0,1.65,0,0,0,0,150,552.33

53,13:00-13:15,0.48,0.96,0.67,5.77,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,23.95,0,22.3,10.58,10.58,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,538.3

54,13:15-13:30,0.38,0.96,0.58,5.77,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,23.95,0,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,534.4300000000001

55,13:30-13:45,0.38,1.06,0.58,5.77,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,24.05,0,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,534.6300000000001

56,13:45-14:00,0.38,0.96,0.58,5.77,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,24.15,0,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,534.6300000000001

57,14:00-14:15,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,19.34,1.83,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,530.69

58,14:15-14:30,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,17.7,3.94,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,531.1600000000001

59,14:30-14:45,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,15.78,6.35,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,531.6500000000001

60,14:45-15:00,0.48,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.77,0,0,28.86,3.85,0,13.47,9.14,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.65,0,0,0,0,150,532.23

61,15:00-15:15,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.63,0,0,28.86,3.85,0,11.16,12.31,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.74,0,0,0,0,150,532.94

62,15:15-15:30,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.63,0,0,28.86,3.85,0,8.85,15.68,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.74,0,0,0,0,150,534

63,15:30-15:45,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.63,0,0,28.86,3.85,0,15.87,4.91,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.74,0,0,0,0,150,530.25

64,15:45-16:00,0.38,0.96,0.58,4.81,5.77,7.7,0,8.47,15.01,0.63,0,0,28.86,3.85,0,13.47,8.66,22.3,8.74,8.74,192.4,0,26.23,22.3,0,1.74,0,0,0,0,150,531.6000000000001

65,16:00-16:15,0.38,0.96,0.58,2.89,5.77,7.7,0,8.47,15.01,0.48,0,0,28.86,3.85,0,11.16,0,28.86,8.74,8.74,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,531.6800000000001

66,16:15-16:30,0.38,0.96,0.67,2.89,5.77,7.7,0,8.47,15.01,0.48,0,0,28.86,3.85,0,8.85,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,538.9200000000001

67,16:30-16:45,0.38,0.96,0.77,2.89,5.77,7.7,0,0,0,0.48,0,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,506.69000000000005

68,16:45-17:00,0.38,0.96,0.67,2.89,5.77,7.7,0,0,0,0.48,0,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,0,0,0,150,506.59000000000003

69,17:00-17:15,0.38,0.96,0.67,0.96,5.77,7.7,0,0,0,0.48,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,525.48

70,17:15-17:30,0.38,0.96,0.58,0.96,5.77,7.7,0,0,0,0.48,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,525.3900000000001

71,17:30-17:45,0.38,1.06,0.58,0.96,5.77,7.7,0,0,0,0.48,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,525.49

72,17:45-18:00,0.38,0.96,0.58,0.96,5.77,7.7,0,0,0,0.48,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,0,0,0,150,525.3900000000001

73,18:00-18:15,0.38,0.96,0.58,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,150,50,0,150,801.44

74,18:15-18:30,0.38,0.87,0.58,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,150,50,0,150,801.3499999999999

75,18:30-18:45,0.38,0.87,0.58,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,150,50,0,150,801.3499999999999

76,18:45-19:00,0.38,0.87,0.58,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,43.29,28.86,0,1.65,0,150,50,0,150,801.3499999999999

77,19:00-19:15,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,38.48,28.86,0,1.65,0,150,50,0,150,794.71

78,19:15-19:30,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,38.48,28.86,0,1.65,0,150,50,0,150,794.71

79,19:30-19:45,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,38.48,28.86,0,1.65,0,150,50,0,150,794.71

80,19:45-20:00,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,38.48,28.86,0,1.65,0,150,50,0,150,794.71

81,20:00-20:15,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,250,50,0,150,882.5500000000001

82,20:15-20:30,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,250,50,0,150,882.5500000000001

83,20:30-20:45,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,250,50,0,150,882.5500000000001

84,20:45-21:00,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,38.48,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.74,0,250,50,0,150,882.5500000000001

85,21:00-21:15,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.65,0,250,50,0,150,843.98

86,21:15-21:30,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,0,0,0,28.86,13.47,13.47,192.4,0,26.23,28.86,0,1.65,0,250,50,0,150,843.98

87,21:30-21:45,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,0,0,0,22.3,13.47,13.47,192.4,0,26.23,22.3,0,1.65,0,250,50,0,150,830.86

88,21:45-22:00,0,0,0,0,5.77,7.7,38.48,0,0,0.53,3.85,0,28.86,3.85,0,0,0,22.3,13.47,13.47,192.4,0,26.23,22.3,0,1.65,0,250,50,0,150,830.86

89,22:00-22:15,0,0,0,0,5.77,7.7,38.48,0,0,0.48,0.96,0,28.86,2.89,0,0,0,22.3,13.47,13.47,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1017.21

90,22:15-22:30,0,0,0,0,5.77,7.7,38.48,0,0,0.48,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.75

91,22:30-22:45,0,0,0,0,5.77,7.7,38.48,0,0,0.48,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.75

92,22:45-23:00,0,0,0,0,5.77,7.7,38.48,0,0,0.48,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.75

93,23:00-23:15,0,0,0,0,5.77,7.7,38.48,0,0,0.43,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.7

94,23:15-23:30,0,0,0,0,5.77,7.7,38.48,0,0,0.43,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.7

95,23:30-23:45,0,0,0,0,5.77,7.7,38.48,0,0,0.43,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.7

96,23:45-24:00,0,0,0,0,5.77,7.7,38.48,0,0,0.43,0.96,0,28.86,2.89,0,0,0,22.3,8.74,8.74,192.4,0,26.23,22.3,142.69,1.65,47.56,250,50,0,150,1007.7

