Column1,Block,NR/2025/24640/C,NR/2024/24434/A/47518,NR/2025/24641/C,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,WR/2024/25501/A/47746,GNA/WR/2025/01/01/8625,NR/2024/24566/A/47530,NR/2025/24634/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/24635/C,GNA/NR/2025/01/01/7459,NR/2024/24507/A/47775,NR/2024/24508/A/47774,SR/2024/15456/A/47721,NER/2024/2820/A/47740,NR/2024/24614/A/47777,NR/2024/24435/A/47543,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/24642/C,NR/2025/24633/C,GNA/NR/2025/01/01/3514,NR/2024/24418/A/47524,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8058,GNA/WR/2024/11/01/4200,Total
6,01:15-01:30,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

7,01:30-01:45,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

8,01:45-02:00,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

9,02:00-02:15,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

10,02:15-02:30,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

11,02:30-02:45,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

12,02:45-03:00,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

13,03:00-03:15,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.12999999999994

14,03:15-03:30,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.12999999999994

15,03:30-03:45,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.12999999999994

16,03:45-04:00,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.12999999999994

17,04:00-04:15,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

18,04:15-04:30,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

19,04:30-04:45,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

20,04:45-05:00,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,25.94,17.29,8.73,0,0,0,9.61,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,369.21999999999997

21,05:00-05:15,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,38.43,0,16.33,0,0,0,0,19.22,0.43,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,414.33

22,05:15-05:30,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,38.43,0,16.33,0,0,0,0,19.22,0.43,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,414.33

23,05:30-05:45,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,38.43,0,16.33,0,0,0,0,19.22,0.43,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,414.33

24,05:45-06:00,0,0,0,48.04,8.65,0,0,5.76,0,1.65,0,25.94,17.29,8.73,0,38.43,0,16.33,0,0,0,0,19.22,0.43,0,48.04,48.04,28.82,25.94,20.18,25.94,26.9,0,414.33

25,06:00-06:15,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,28.82,17.29,8.73,413.14,38.43,0,16.33,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,28.82,20.18,28.82,26.9,0,836.15

26,06:15-06:30,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,28.82,17.29,8.73,413.14,38.43,0,16.33,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,28.82,20.18,28.82,26.9,0,836.15

27,06:30-06:45,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,31.71,17.29,8.73,413.14,38.43,0,16.33,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,31.71,20.18,31.71,26.9,0,844.8199999999999

28,06:45-07:00,0,0,0,48.04,8.65,0,0,5.76,0,1.74,0,31.71,17.29,8.73,413.14,38.43,0,16.33,0,0,0,0,19.22,0.38,0,48.04,48.04,28.82,31.71,20.18,31.71,26.9,0,844.8199999999999

29,07:00-07:15,0,0,0,48.04,14.41,0,50,5.76,0,1.65,0,31.71,28.82,14.41,192.16,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,31.71,20.18,31.71,26.9,0,697.2000000000002

30,07:15-07:30,0,0,0,48.04,14.41,0,50,5.76,0,1.65,0,31.71,28.82,14.41,192.16,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,31.71,20.18,31.71,26.9,0,697.2000000000002

31,07:30-07:45,0,0,0,48.04,14.41,0,50,5.76,0,1.65,0,36.51,28.82,14.41,192.16,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,36.51,26.9,0,711.5999999999999

32,07:45-08:00,0,0,0,48.04,14.41,0,50,5.76,0,1.65,0,36.51,28.82,14.41,192.16,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,36.51,26.9,0,711.5999999999999

33,08:00-08:15,0,0,0,48.04,14.41,0,50,5.76,0,1.74,0,36.51,28.82,14.41,0,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,526.26

34,08:15-08:30,0,0,0,48.04,14.41,0,50,5.76,0,1.74,0,36.51,28.82,14.41,0,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,526.26

35,08:30-08:45,0,0,0,48.04,14.41,0,50,5.76,0,1.74,0,36.51,28.82,14.41,0,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,526.26

36,08:45-09:00,0,0,0,48.04,14.41,0,50,5.76,0,1.74,0,36.51,28.82,14.41,0,38.43,0,16.33,0,0,0,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,526.26

37,09:00-09:15,0,3.84,0,48.04,14.41,0,0,5.76,14.41,1.65,28.82,36.51,0,0,0,0,0,16.33,0,0,0,30.75,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,472.33

38,09:15-09:30,0,3.84,0,48.04,14.41,0,0,5.76,14.41,1.65,28.82,36.51,0,0,0,0,0,16.33,0,0,0,30.75,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,472.33

39,09:30-09:45,0,3.84,0,48.04,14.41,0,0,5.76,14.41,1.65,28.82,36.51,0,0,0,0,0,16.33,0,0,0,78.79,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,520.37

40,09:45-10:00,0,3.84,0,48.04,14.41,0,0,5.76,14.41,1.65,28.82,36.51,0,0,0,0,0,16.33,0,0,0,78.79,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,520.37

41,10:00-10:15,19.5,4.8,28.54,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,7.87,0,0,6.54,16.33,0,0,4.8,78.79,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,574.26

42,10:15-10:30,22,4.8,26.04,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,7.87,0,0,6.54,16.33,0,0,4.8,78.79,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,574.26

43,10:30-10:45,25.08,4.8,22.58,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,7.87,0,0,6.54,16.33,0,0,4.8,98,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,593.09

44,10:45-11:00,29.11,4.8,18.16,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,7.87,0,0,6.54,16.33,0,0,4.8,98,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,592.7

45,11:00-11:15,28.82,6.73,18.35,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.53

46,11:15-11:30,30.75,6.73,16.53,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.64

47,11:30-11:45,33.63,6.73,13.84,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.83

48,11:45-12:00,33.63,6.73,13.93,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.92

49,12:00-12:15,33.63,6.73,13.93,48.04,14.41,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.83

50,12:15-12:30,33.63,6.73,14.03,48.04,14.41,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.93

51,12:30-12:45,33.63,6.73,14.03,48.04,14.41,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.93

52,12:45-13:00,33.63,6.73,13.93,48.04,14.41,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.86,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,496.83

53,13:00-13:15,33.63,5.76,13.93,48.04,8.65,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,490.01000000000005

54,13:15-13:30,33.63,5.76,13.93,48.04,8.65,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,490.01000000000005

55,13:30-13:45,33.63,5.76,13.84,48.04,8.65,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.9200000000001

56,13:45-14:00,33.63,5.76,13.84,48.04,8.65,0,0,5.76,0,1.65,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.9200000000001

57,14:00-14:15,33.63,4.8,13.84,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.05

58,14:15-14:30,33.63,4.8,13.84,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.05

59,14:30-14:45,33.63,4.8,13.84,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.05

60,14:45-15:00,33.63,4.8,13.84,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.77,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,489.05

61,15:00-15:15,33.63,4.8,13.84,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.67,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,488.95

62,15:15-15:30,30.75,4.8,16.62,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.67,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,488.85

63,15:30-15:45,25.94,4.8,21.33,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.67,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,488.75

64,15:45-16:00,20.18,4.8,17.58,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.67,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,479.24

65,16:00-16:15,18.26,2.88,26.71,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,484.34000000000003

66,16:15-16:30,13.45,2.88,21.81,48.04,8.65,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,474.63

67,16:30-16:45,8.65,2.88,16.91,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,470.69

68,16:45-17:00,5.28,2.88,12.2,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,4.8,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,462.61

69,17:00-17:15,0,0.96,0,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,0,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,438.4099999999999

70,17:15-17:30,0,0.96,0,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,0,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,438.4099999999999

71,17:30-17:45,0,0.96,0,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,0,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,438.4099999999999

72,17:45-18:00,0,0.96,0,48.04,14.41,0,0,5.76,0,1.74,0,36.51,28.82,14.41,0,0,0,16.33,0,0,0,0,19.22,0.48,0,48.04,48.04,28.82,36.51,20.18,43.24,26.9,0,438.4099999999999

73,18:00-18:15,0,0,0,48.04,14.41,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,711.57

74,18:15-18:30,0,0,0,48.04,14.41,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,711.57

75,18:30-18:45,0,0,0,48.04,14.41,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,711.57

76,18:45-19:00,0,0,0,48.04,14.41,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,711.57

77,19:00-19:15,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,705.91

78,19:15-19:30,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,705.91

79,19:30-19:45,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,705.91

80,19:45-20:00,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,67.26,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,705.91

81,20:00-20:15,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,105.69,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,744.3399999999999

82,20:15-20:30,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,105.69,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,744.3399999999999

83,20:30-20:45,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,105.69,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,744.3399999999999

84,20:45-21:00,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,105.69,38.43,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,43.24,26.9,50,744.3399999999999

85,21:00-21:15,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,230.59,0,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,36.51,26.9,50,824.0799999999998

86,21:15-21:30,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,230.59,0,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,36.51,26.9,50,824.0799999999998

87,21:30-21:45,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,230.59,0,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,36.51,26.9,50,824.0799999999998

88,21:45-22:00,0,0,0,48.04,8.65,38.43,50,5.76,0,1.74,0,36.51,28.82,14.41,230.59,0,0,16.33,0,0,0,0,19.22,0.58,30,48.04,48.04,28.82,36.51,20.18,36.51,26.9,50,824.0799999999998

89,22:00-22:15,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

90,22:15-22:30,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

91,22:30-22:45,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

92,22:45-23:00,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

93,23:00-23:15,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

94,23:15-23:30,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

95,23:30-23:45,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

96,23:45-24:00,0,0,0,48.04,8.65,38.43,0,5.76,0,1.74,0,25.94,28.82,14.41,288.24,0,0,16.33,0,0,0,0,19.22,0.48,30,48.04,48.04,28.82,25.94,20.18,25.94,26.9,50,799.92

