Time,Block,NR/2023/18183/A/2569,NR/2023/18074/A/2472,WR/2023/20937/A/2568,WR/2023/20914/A/2556,NR/2023/18204/A/2457,NR/2024/18234/C,Total
17,04:00-04:15,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

18,04:15-04:30,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

19,04:30-04:45,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

20,04:45-05:00,0.000000,0.390000,0.000000,0.000000,5.780000,0,6.17

21,05:00-05:15,0.000000,0.430000,0.000000,0.000000,5.780000,0,6.21

22,05:15-05:30,0.000000,0.430000,0.000000,0.000000,5.780000,0,6.21

23,05:30-05:45,0.000000,0.430000,0.000000,0.000000,5.780000,0,6.21

24,05:45-06:00,0.000000,0.430000,0.000000,0.000000,5.780000,0,6.21

25,06:00-06:15,158.480000,0.390000,0.000000,0.000000,5.780000,0,164.65

26,06:15-06:30,158.480000,0.390000,0.000000,0.000000,5.780000,0,164.65

27,06:30-06:45,158.480000,0.390000,0.000000,0.000000,5.780000,0,164.65

28,06:45-07:00,158.480000,0.390000,0.000000,0.000000,5.780000,0,164.65

29,07:00-07:15,158.480000,0.530000,0.000000,0.000000,5.780000,0,164.79

30,07:15-07:30,158.480000,0.530000,0.000000,0.000000,5.780000,0.19,164.98

31,07:30-07:45,158.480000,0.530000,0.000000,0.000000,5.780000,0.42,165.21

32,07:45:08:00,158.480000,0.530000,0.000000,0.000000,5.780000,0.73,165.52

33,08:00-08:15,158.480000,0.870000,0.000000,0.000000,5.780000,1.09,166.22

34,08:15-08:30,158.480000,0.870000,0.000000,0.000000,5.780000,1.48,166.61

35,08:30-08:45,158.480000,0.870000,0.000000,0.000000,5.780000,1.91,167.04

36,08:45:09:00,158.480000,0.870000,0.000000,0.000000,5.780000,2.36,167.49

37,09:00:09:15,0.000000,0.870000,0.000000,0.000000,5.780000,2.81,9.46

38,09:15-09:30,0.000000,0.870000,0.000000,0.000000,5.780000,3.25,9.9

39,09:30-09:45,0.000000,0.870000,0.000000,0.000000,5.780000,3.68,10.33

40,09:45-10:00,0.000000,0.870000,0.000000,0.000000,5.780000,4.08,10.73

41,10:00-10:15,0.000000,0.870000,0.000000,0.000000,5.780000,4.48,11.13

42,10:15-10:30,0.000000,0.870000,0.000000,0.000000,5.780000,4.91,11.56

43,10:30-10:45,0.000000,0.870000,0.000000,0.000000,5.780000,4.95,11.6

44,10:45-11:00,0.000000,0.870000,0.000000,0.000000,5.780000,5.1,11.75

45,11:00-11:15,0.000000,0.870000,0.000000,0.000000,5.780000,5.69,12.34

46,11:15-11:30,0.000000,0.870000,0.000000,0.000000,5.780000,5.87,12.52

47,11:30-11:45,0.000000,0.870000,0.000000,0.000000,5.780000,6.06,12.71

48,11:45-12:00,0.000000,0.870000,0.000000,0.000000,5.780000,6.08,12.73

49,12:00-12:15,0.000000,0.870000,0.000000,0.000000,5.780000,6.24,12.89

50,12:15-12:30,0.000000,0.870000,0.000000,0.000000,5.780000,6.25,12.9

51,12:30-12:45,0.000000,0.870000,0.000000,0.000000,5.780000,6.31,12.96

52,12:45-13:00,0.000000,0.870000,0.000000,0.000000,5.780000,6.19,12.84

53,13:00-13:15,0.000000,0.770000,0.000000,0.000000,5.780000,6.1,12.65

54,13:15-13:30,0.000000,0.770000,0.000000,0.000000,5.780000,6.03,12.58

55,13:30-13:45,0.000000,0.770000,0.000000,0.000000,5.780000,5.77,12.32

56,13:45-14:00,0.000000,0.770000,0.000000,0.000000,5.780000,5.78,12.33

57,14:00-14:15,0.000000,0.770000,0.000000,0.000000,5.780000,5.44,11.99

58,14:15-14:30,0.000000,0.770000,0.000000,0.000000,5.780000,4.79,11.34

59,14:30-14:45,0.000000,0.770000,0.000000,0.000000,5.780000,4.91,11.46

60,14:45-15:00,0.000000,0.770000,0.000000,0.000000,5.780000,4.5,11.05

61,15:00-15:15,0.000000,0.670000,0.000000,0.000000,5.780000,3.98,10.43

62,15:15-15:30,0.000000,0.670000,0.000000,0.000000,5.780000,3.5,9.95

63,15:30-15:45,0.000000,0.670000,0.000000,0.000000,5.780000,3.27,9.72

64,15:45-16:00,0.000000,0.670000,0.000000,0.000000,5.780000,2.78,9.23

65,16:00-16:15,0.000000,0.480000,0.000000,0.000000,5.780000,2.29,8.55

66,16:15-16:30,0.000000,0.480000,0.000000,0.000000,5.780000,1.87,8.13

67,16:30-16:45,0.000000,0.480000,0.000000,0.000000,5.780000,1.47,7.73

68,16:45-17:00,0.000000,0.480000,0.000000,0.000000,5.780000,1.08,7.34

69,17:00-17:15,0.000000,0.480000,0.000000,0.000000,5.780000,0.69,6.95

70,17:15-17:30,0.000000,0.480000,0.000000,0.000000,5.780000,0.4,6.66

71,17:30-17:45,0.000000,0.480000,0.000000,0.000000,5.780000,0.2,6.46

72,17:45-18:00,0.000000,0.480000,0.000000,0.000000,5.780000,0,6.26

73,18:00-18:15,0.000000,0.480000,25.000000,55.000000,5.780000,0,86.26

74,18:15-18:30,0.000000,0.480000,25.000000,55.000000,5.780000,0,86.26

75,18:30-18:45,0.000000,0.480000,25.000000,55.000000,5.780000,0,86.26

76,18:45-19:00,0.000000,0.480000,25.000000,55.000000,5.780000,0,86.26

77,19:00-19:15,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

78,19:15-19:30,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

79,19:30-19:45,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

80,19:45-20:00,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

81,20:00-20:15,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

82,20:15-20:30,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

83,20:30-20:45,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

84,20:45-21:00,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

85,21:00-21:15,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

86,21:15-21:30,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

87,21:30-21:45,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

88,21:45-22:00,158.480000,0.580000,25.000000,55.000000,5.780000,0,244.84

89,22:00-22:15,0.000000,0.480000,0.000000,55.000000,5.780000,0,61.26

90,22:15-22:30,0.000000,0.480000,0.000000,55.000000,5.780000,0,61.26

91,22:30-22:45,0.000000,0.480000,0.000000,55.000000,5.780000,0,61.26

92,22:45-23:00,0.000000,0.480000,0.000000,55.000000,5.780000,0,61.26

93,23:00-23:15,0.000000,0.480000,0.000000,0.000000,5.780000,0,6.26

94,23:15-23:30,0.000000,0.480000,0.000000,0.000000,5.780000,0,6.26

95,23:30-23:45,0.000000,0.480000,0.000000,0.000000,5.780000,0,6.26

96,23:45-24:00,0.000000,0.480000,0.000000,0.000000,5.780000,0,6.26

