Column1,Block,WR/2025/26499/A/60307,WR/2025/26426/A/60061,NR/2025/25159/A/59949,NR/2025/25516/A/60247,NR/2025/25744/C,NR/2025/25518/A/60260,NR/2025/25517/A/60253,NR/2025/25745/C,WR/2025/26427/A/60227,WR/2025/26582/A/60305,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/9482,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/WR/2025/01/01/8625,Total
6,01:15-01:30,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.37

7,01:30-01:45,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.37

8,01:45-02:00,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,200,42,237.82,79.27,32,8.67,0,949.37

9,02:00-02:15,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.37

10,02:15-02:30,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.37

11,02:30-02:45,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.37

12,02:45-03:00,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.46,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.37

13,03:00-03:15,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

14,03:15-03:30,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

15,03:30-03:45,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

16,03:45-04:00,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

17,04:00-04:15,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

18,04:15-04:30,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

19,04:30-04:45,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

20,04:45-05:00,0,168.21,0.43,0,0,0,0,0,24.09,24.09,0,17.35,6.36,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.2700000000001

21,05:00-05:15,0,168.21,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.27,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.23

22,05:15-05:30,0,168.21,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.27,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.23

23,05:30-05:45,0,168.21,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.27,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.23

24,05:45-06:00,0,168.21,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.27,6.75,32,0,23.41,23.41,23.41,0,42,237.82,79.27,32,8.67,0,749.23

25,06:00-06:15,0,168.21,0.53,0,0,0,0,0,0,0,0,17.35,6.18,6.75,32,0,23.41,23.41,23.41,0,42,0,0,32,8.67,0,383.9200000000001

26,06:15-06:30,0,168.21,0.53,0,0,0,0,0,0,0,0,17.35,6.18,6.75,32,0,23.41,23.41,23.41,0,42,0,0,32,8.67,0,383.9200000000001

27,06:30-06:45,0,168.21,0.53,0,0,0,0,0,0,0,0.04,17.35,6.18,6.75,32,0,23.41,23.41,23.41,0,42,0,0,32,8.67,0,383.96000000000004

28,06:45-07:00,0,168.21,0.53,0,0,0,0,0,0,0,0.08,17.35,6.18,6.75,32,0,23.41,23.41,23.41,0,42,0,0,32,8.67,0,384.00000000000006

29,07:00-07:15,40.48,168.21,0.58,0,0,0,0,0,0,0,0.4,17.35,6.09,6.75,32,0,28.91,28.91,28.91,0,0,0,0,32,8.67,0,399.2600000000001

30,07:15-07:30,40.48,168.21,0.58,0,0,0,0,0,0,0,2.83,17.35,6.09,6.75,32,0,28.91,28.91,28.91,0,0,0,0,32,8.67,0,401.6900000000001

31,07:30-07:45,40.48,168.21,0.58,0,0,0,0,0,0,0,5.83,17.35,6.09,6.75,32,0,28.91,28.91,28.91,0,0,0,0,32,8.67,0,404.6900000000001

32,07:45-08:00,40.48,168.21,0.58,0,0,0,0,0,0,0,13.2,17.35,6.09,6.75,32,0,28.91,28.91,28.91,0,0,0,0,32,8.67,0,412.06000000000006

33,08:00-08:15,40.48,0,0.96,0.21,0,0.13,0.17,0,0,0,23.5,17.35,6.09,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,263.71000000000004

34,08:15-08:30,40.48,0,0.96,0.44,0,0.26,0.36,0,0,0,31.77,17.35,6.09,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,272.53000000000003

35,08:30-08:45,40.48,0,0.96,0.66,0,0.4,0.54,0,0,0,40.54,17.35,6.09,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,281.84000000000003

36,08:45-09:00,40.48,0,0.96,0.91,0,0.41,0.74,0,0,0,49.05,17.35,6.09,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,290.81

37,09:00-09:15,40.48,0,0.92,1.06,14.46,0.58,0.87,38.55,0,0,57.34,17.35,5.99,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,352.42

38,09:15-09:30,40.48,0,0.92,1.16,14.46,0.58,0.87,38.55,0,0,65.15,17.35,5.99,6.75,32,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,360.33000000000004

39,09:30-09:45,40.48,0,0.92,1.16,14.46,0.58,0.87,38.55,0,0,72.4,17.35,5.99,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,361.45000000000005

40,09:45-10:00,40.48,0,0.92,1.06,14.46,0.58,0.77,38.55,0,0,78.84,17.35,5.99,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,367.69000000000005

41,10:00-10:15,40.48,0,0.92,1.16,14.46,0.58,0.77,38.55,0,0,90.91,17.35,5.91,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,379.78000000000003

42,10:15-10:30,40.48,0,0.92,1.16,14.46,0.58,0.77,38.55,0,0,95,17.35,5.91,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,383.87

43,10:30-10:45,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,98.33,17.35,5.91,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,387.39000000000004

44,10:45-11:00,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,5.91,6.75,25.87,0,31.8,31.8,31.8,0,0,0,0,32,8.67,0,389.06

45,11:00-11:15,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

46,11:15-11:30,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

47,11:30-11:45,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

48,11:45-12:00,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

49,12:00-12:15,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

50,12:15-12:30,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

51,12:30-12:45,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

52,12:45-13:00,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.18,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

53,13:00-13:15,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.7

54,13:15-13:30,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.7

55,13:30-13:45,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.7

56,13:45-14:00,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.7

57,14:00-14:15,40.48,0,0.92,1.25,14.46,0.58,0.87,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.7

58,14:15-14:30,40.48,0,0.92,1.25,14.46,0.58,0.96,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

59,14:30-14:45,40.48,0,0.92,1.25,14.46,0.58,0.96,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

60,14:45-15:00,40.48,0,0.92,1.25,14.46,0.58,0.96,38.55,0,0,100,17.35,6.09,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,403.79

61,15:00-15:15,40.48,0,0.67,1.25,5.01,0.58,0.96,38.55,0,0,99.88,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,393.87

62,15:15-15:30,40.48,0,0.67,1.25,5.97,0.58,0.96,38.55,0,0,98.45,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,393.40000000000003

63,15:30-15:45,40.48,0,0.67,1.25,7.23,0.58,0.96,38.55,0,0,91.29,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,387.5

64,15:45-16:00,40.48,0,0.67,1.25,8.96,0.58,0.96,38.55,0,0,86.59,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,384.53000000000003

65,16:00-16:15,40.48,0,0.53,1.25,14.46,0.58,0.96,38.55,0,0,79.84,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,383.14000000000004

66,16:15-16:30,40.48,0,0.53,1.24,14.46,0.67,0.86,38.55,0,0,73.89,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,377.17

67,16:30-16:45,40.48,0,0.53,1.04,14.46,0.56,0.72,38.55,0,0,65.76,17.35,5.99,6.75,25.87,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,368.59000000000003

68,16:45-17:00,40.48,0,0.53,0.85,14.46,0.4,0.59,38.55,0,0,59.83,17.35,5.99,6.75,25.62,0,36.62,36.62,36.62,0,0,0,0,32,8.67,0,361.93

69,17:00-17:15,40.48,0,0.53,0.62,0,0.24,0.43,0,0,0,49.43,17.35,6.09,6.75,25.51,0,36.62,36.62,36.62,0,0,0,0,32,8.67,100,397.96

70,17:15-17:30,40.48,0,0.53,0.4,0,0.15,0.25,0,0,0,42.09,17.35,6.09,6.75,25.51,0,36.62,36.62,36.62,0,0,0,0,32,8.67,100,390.13000000000005

71,17:30-17:45,40.48,0,0.53,0.16,0,0.07,0.11,0,0,0,32.82,17.35,6.09,6.75,25.51,0,36.62,36.62,36.62,0,0,0,0,32,8.67,100,380.40000000000003

72,17:45-18:00,40.48,0,0.53,0,0,0,0,0,0,0,24.39,17.35,6.09,6.75,15.39,0,36.62,36.62,36.62,0,0,0,0,32,8.67,100,361.51

73,18:00-18:15,40.48,0,0.53,0,0,0,0,0,0,0,16.39,17.35,6.27,6.75,15.39,50,36.62,36.62,36.62,0,0,0,0,32,0,100,395.02

74,18:15-18:30,40.48,0,0.53,0,0,0,0,0,0,0,10.39,17.35,6.27,6.75,0,50,36.62,36.62,36.62,0,0,0,0,32,0,100,373.63

75,18:30-18:45,40.48,0,0.53,0,0,0,0,0,0,0,5.39,17.35,6.27,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,448.63

76,18:45-19:00,40.48,0,0.53,0,0,0,0,0,0,0,0.29,17.35,6.27,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,443.53000000000003

77,19:00-19:15,40.48,0,0.63,0,0,0,0,0,0,0,0.12,17.35,6.46,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,443.65

78,19:15-19:30,40.48,0,0.63,0,0,0,0,0,0,0,0,17.35,6.46,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,443.53000000000003

79,19:30-19:45,40.48,0,0.63,0,0,0,0,0,0,0,0,17.35,6.46,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,443.53000000000003

80,19:45-20:00,40.48,0,0.63,0,0,0,0,0,0,0,0,17.35,6.46,6.75,31,50,36.62,36.62,36.62,50,0,0,0,31,0,100,443.53000000000003

81,20:00-20:15,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

82,20:15-20:30,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

83,20:30-20:45,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

84,20:45-21:00,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

85,21:00-21:15,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

86,21:15-21:30,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

87,21:30-21:45,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

88,21:45-22:00,40.48,48.18,0.63,0,0,0,0,0,0,0,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,0,0,31,0,100,516.8399999999999

89,22:00-22:15,40.48,48.18,0.53,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,100,882.01

90,22:15-22:30,40.48,48.18,0.53,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,100,882.01

91,22:30-22:45,40.48,48.18,0.53,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,100,882.01

92,22:45-23:00,40.48,48.18,0.53,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,100,882.01

93,23:00-23:15,40.48,48.18,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,0,781.96

94,23:15-23:30,40.48,48.18,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,0,781.96

95,23:30-23:45,40.48,48.18,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,0,781.96

96,23:45-24:00,40.48,48.18,0.48,0,0,0,0,0,24.09,24.09,0,17.35,6.59,6.75,31,75,36.62,36.62,36.62,50,0,237.82,79.27,31,0,0,781.96

