Time,Block,WR/2023/20577/A/2400,NR/2023/18219/C,NR/2023/18105/A/2344,NR/2023/18074/A/2312,NR/2023/17525/A,NR/2023/18062/A/2332,WR/2023/20256/A/2403,WR/2023/19446/A,NR/2023/17270/A,NR/2023/18218/C,NER/2023/1802/C,Total
33,08:00-08:15,0.000000,1.2,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,134.49

34,08:15-08:30,0.000000,1.79,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,135.08

35,08:30-08:45,0.000000,2.25,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,135.54

36,08:45:09:00,0.000000,2.51,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,135.8

37,09:00:09:15,0.000000,3.08,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,136.37

38,09:15-09:30,0.000000,3.54,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,136.83

39,09:30-09:45,0.000000,4.02,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,137.31

40,09:45-10:00,0.000000,4.4,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,137.69

41,10:00-10:15,0.000000,4.83,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,138.12

42,10:15-10:30,0.000000,5.27,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,138.56

43,10:30-10:45,0.000000,5.63,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,138.92

44,10:45-11:00,0.000000,5.73,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,50.000000,1.740000,0.000000,139.02

45,11:00-11:15,0.000000,6.02,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.31

46,11:15-11:30,0.000000,6.29,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.58

47,11:30-11:45,0.000000,6.38,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.67

48,11:45-12:00,0.000000,6.39,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.68

49,12:00-12:15,0.000000,6.5,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.79

50,12:15-12:30,0.000000,6.5,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.79

51,12:30-12:45,0.000000,6.52,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.81

52,12:45-13:00,0.000000,6.54,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.83

53,13:00-13:15,0.000000,6.43,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.72

54,13:15-13:30,0.000000,6.15,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.44

55,13:30-13:45,0.000000,6.06,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.35

56,13:45-14:00,0.000000,5.95,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,189.24

57,14:00-14:15,0.000000,5.5,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,188.79

58,14:15-14:30,0.000000,5.21,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,188.5

59,14:30-14:45,0.000000,5.19,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,188.48

60,14:45-15:00,0.000000,4.65,0.960000,0.770000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,187.94

61,15:00-15:15,0.000000,4.35,0.960000,0.630000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,187.5

62,15:15-15:30,0.000000,3.92,0.960000,0.630000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,187.07

63,15:30-15:45,0.000000,3.45,0.960000,0.630000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,186.6

64,15:45-16:00,0.000000,2.92,0.960000,0.630000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,186.07

65,16:00-16:15,0.000000,2.51,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,185.51

66,16:15-16:30,0.000000,1.99,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,184.99

67,16:30-16:45,0.000000,1.52,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,184.52

68,16:45-17:00,0.000000,1.07,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,184.07

69,17:00-17:15,0.000000,0.67,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.67

70,17:15-17:30,0.000000,0.4,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.4

71,17:30-17:45,0.000000,0.2,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183.2

72,17:45-18:00,0.000000,0,0.960000,0.480000,0.000000,4.820000,0.000000,75.000000,100.000000,1.740000,0.000000,183

73,18:00-18:15,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

74,18:15-18:30,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

75,18:30-18:45,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

76,18:45-19:00,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

77,19:00-19:15,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

78,19:15-19:30,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

79,19:30-19:45,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

80,19:45-20:00,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,100.000000,1.740000,0.000000,263.05

81,20:00-20:15,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

82,20:15-20:30,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

83,20:30-20:45,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

84,20:45-21:00,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

85,21:00-21:15,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

86,21:15-21:30,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

87,21:30-21:45,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

88,21:45-22:00,55.000000,0,0.960000,0.530000,0.000000,4.820000,25.000000,75.000000,0.000000,1.740000,0.000000,163.05

89,22:00-22:15,55.000000,0,0.960000,0.480000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,189.11

90,22:15-22:30,55.000000,0,0.960000,0.480000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,189.11

91,22:30-22:45,55.000000,0,0.960000,0.480000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,189.11

92,22:45-23:00,55.000000,0,0.960000,0.480000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,189.11

93,23:00-23:15,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.06

94,23:15-23:30,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.06

95,23:30-23:45,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.06

96,23:45-24:00,0.000000,0,0.960000,0.430000,51.110000,4.820000,0.000000,75.000000,0.000000,1.740000,0.000000,134.06

