Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/10/9513,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/7459,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/8510,NR/01102023/22052037/LT-59,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/8456
7,01:30-01:45,0,0,0,0,0,62.5,0,20.83,0,0,5.8,0,0,0,0,15.67,20.84,47.67,47.67,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.39,0,0,9.62,31.29,2.89,7.68,4.03,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

8,01:45-02:00,0,0,0,0,0,61.5,0,20.5,0,0,5.8,0,0,0,0,15.67,20.5,46.67,46.67,9.62,9.62,32,32,0,0,1.92,48.12,260.45,4.45,115.09,9.39,0,0,9.62,31.29,2.89,7.68,4.03,52.5,36.58,272.15,92.26,0,3.54,0,48.12,2.89,2.89,8.04

9,02:00-02:15,0,0,0,0,0,60.5,0,20.17,0,0,6,0,0,0,0,15.33,20.16,46,46,9.62,9.62,32,32,0,0,1.92,48.12,130.23,4.23,115.09,9.31,0,0,9.62,31.29,2.89,7.68,4.03,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

10,02:15-02:30,0,0,0,0,0,60,0,20,0,0,6.4,0,0,0,0,14.67,20,45,45,9.62,9.62,32,32,0,0,1.92,48.12,130.23,4.23,115.09,9.31,0,0,9.62,31.29,2.89,7.68,4.03,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

11,02:30-02:45,0,0,0,0,0,59,0,19.67,0,0,7,0,0,0,0,14.33,19.66,48.33,48.33,9.62,9.62,32,32,0,0,1.92,48.12,130.23,4.23,115.09,9.31,0,0,9.62,31.29,2.89,7.68,4.03,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

12,02:45-03:00,0,0,0,0,0,57.5,0,19.17,0,0,7.4,0,0,0,0,14,19.16,48.67,48.67,9.62,9.62,32,32,0,0,1.92,48.12,130.23,4.23,115.09,9.31,0,0,9.62,31.29,2.89,7.68,4.03,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

13,03:00-03:15,0,0,0,0,0,56,0,18.67,0,0,7.4,0,0,0,0,14.33,18.66,49.33,49.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.21,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

14,03:15-03:30,0,0,0,0,0,55,0,18.33,0,0,7.8,0,0,0,0,13.67,18.34,49.67,49.67,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.21,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

15,03:30-03:45,0,0,0,0,0,54,0,18,0,0,8,0,0,0,0,12.67,18,50.33,50.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.21,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

16,03:45-04:00,0,0,0,0,0,53.5,0,17.83,0,0,8.2,0,0,0,0,11.33,17.84,51,51,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.21,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

17,04:00-04:15,0,0,0,0,0,52.5,0,17.5,0,0,8,0,0,0,0,11,17.5,49.33,49.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.03,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

18,04:15-04:30,0,0,0,0,0,54,0,18,0,0,7.6,0,0,0,0,11.33,18,49,49,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.03,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

19,04:30-04:45,0,0,0,0,0,56,0,18.67,0,0,7.4,0,0,0,0,11.67,18.66,49.33,49.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.03,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

20,04:45-05:00,0,0,0,0,0,57.5,0,19.17,0,0,7.4,0,0,0,0,12.33,19.16,50,50,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,115.09,9.03,0,0,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

21,05:00-05:15,0,0,0,0,0,59,0,19.67,0,0,6.8,0,0,0,0,13,19.66,50.33,50.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.85,0,0,9.62,31.29,2.89,7.68,3.72,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

22,05:15-05:30,0,0,0,0,0,61.5,0,20.5,0,0,6,0,0,0,0,13.67,20.5,51,51,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.85,0,0,9.62,31.29,2.89,7.68,3.72,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

23,05:30-05:45,0,0,0,0,0,63.5,0,21.17,0,0,5.6,0,0,0,0,14.33,21.16,52.33,52.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.85,0,0,9.62,30.79,2.89,7.68,3.72,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

24,05:45-06:00,0,0,0,0,0,65.5,0,21.83,0,0,5.2,0,0,0,0,15,21.84,53.67,53.67,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.85,0,0,9.62,30.28,2.89,7.68,3.72,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

25,06:00-06:15,0,0,0,0,0,69,3.47,23,4.55,0,4.6,0,0,0,0,16.67,23,53.33,53.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.66,0,0,9.62,29.78,2.89,7.68,3.57,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

26,06:15-06:30,0,0,0,1.18,0,70.5,10.49,23.5,12.18,0,4.4,0,0,0.24,0.39,17.67,23.5,54.33,54.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.66,0,0,9.62,29.78,2.89,7.68,3.57,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

27,06:30-06:45,1,0,1,1.87,1,72.5,22.64,24.17,23.36,1,3.2,0,0,0.38,0.16,18.33,24.16,54.67,54.67,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.66,0,0,9.62,29.27,2.89,7.68,3.57,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

28,06:45-07:00,2,1,3,7.72,4,74,32.82,24.67,33,4,3.2,1,1,1.55,1.39,19,24.66,55.33,55.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,115.09,8.66,0,0,9.62,28.77,2.89,7.68,3.57,0,36.58,272.15,92.26,0,3.46,0,48.12,2.89,2.89,8.04

29,07:00-07:15,3,6,5,16.36,14,67.5,31.6,22.5,31.6,9,3.2,7,3,3.27,4.41,18.33,22.5,56.33,56.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,115.09,8.47,0.1,0.11,9.62,28.27,2.89,7.68,3.57,0,36.58,272.15,92.26,0.11,3.46,0,48.12,2.89,2.89,8.04

30,07:15-07:30,8,12,7,28.28,28,61,30.35,20.33,30.35,14,3.2,10,5,5.66,8.39,17.33,20.34,58.33,58.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,115.09,8.47,0.26,0.26,9.62,28.27,2.89,7.68,3.57,0,36.58,272.15,92.26,0.26,3.46,0,48.12,2.89,2.89,8.04

31,07:30-07:45,13,18,12,44.21,42,54.5,28.35,18.17,28.35,22,3,10,5,8.84,13.74,16.33,18.16,60.33,60.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.47,1.09,1.09,9.62,28.27,2.89,7.68,3.57,0,36.58,272.15,92.26,1.09,3.46,0,48.12,2.89,2.89,8.04

32,07:45-08:00,19,24,16,59.99,56,49,26.64,16.33,26.63,26.63,3,17,8,12,20.64,15.33,16.34,62.33,62.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.47,2.26,2.25,9.62,28.77,2.89,7.68,3.57,0,36.58,272.15,92.26,2.25,3.46,0,48.12,2.89,2.89,8.04

33,08:00-08:15,30,30,21,85.89,70,63,29.46,21,29.47,29.47,3,25,13,17.18,28.39,14.33,21,51,51,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.29,3.58,3.58,9.62,28.77,2.89,7.68,3.42,0,36.58,272.15,100.27,3.58,3.46,0,48.12,2.89,2.89,8.04

34,08:15-08:30,39,37,25,107.08,88,57.5,30.3,19.17,30.3,30.3,3.2,37,18,21.42,36.21,13,19.16,48,48,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.29,4.9,4.91,9.62,28.77,2.89,7.68,3.42,0,36.58,272.15,100.27,4.91,3.46,0,48.12,2.89,2.89,8.04

35,08:30-08:45,44,45,29,125.01,105,52,31.9,17.33,31.9,31.9,3.2,43,22,25,44.43,12,17.34,46.33,46.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.29,6.3,6.3,9.62,28.77,2.89,7.68,3.42,0,36.58,272.15,100.27,6.3,3.46,0,48.12,2.89,2.89,8.04

36,08:45-09:00,52,52,32,145.49,123,47,31.9,15.67,31.9,31.9,3.2,53,27,29.1,52.54,10.67,15.66,45,45,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,8.29,7.75,7.75,9.62,29.27,2.89,7.68,3.42,0,36.58,272.15,100.27,7.75,3.46,0,48.12,2.89,2.89,8.04

37,09:00-09:15,59,58,34,165.16,137,51.5,32.24,17.17,32.23,32.23,2.8,60,30,33.03,60.52,18.33,17.16,44.33,44.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.2,9.12,9.11,9.62,28.26,2.89,7.68,3.42,0,36.58,231,100.27,9.11,3.46,0,48.12,2.89,2.89,8.04

38,09:15-09:30,67,64,36,183.84,151,56.5,32.24,18.83,32.23,32.23,2.8,67,33,36.77,67.94,23,18.84,43.33,43.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.2,10.36,10.36,9.62,29.27,2.89,7.68,3.42,0,36.58,192.5,100.27,10.36,3.46,0,48.12,2.89,2.89,8.04

39,09:30-09:45,73,70,39,201.17,165,61.5,32.5,20.5,32.5,32.5,2.8,73,37,40.24,74.96,25.67,20.5,42.67,42.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.2,11.51,11.5,9.62,29.27,2.89,7.68,3.42,0,36.58,149.68,100.27,11.5,3.46,0,48.12,2.89,2.89,8.04

40,09:45-10:00,80,76,41,217.15,179,67,32.5,22.33,32.5,32.5,2.8,80,40,43.43,81.51,27.67,22.34,42,42,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.2,12.49,12.5,9.62,29.27,2.89,7.68,3.42,0,36.58,149.68,100.27,12.5,3.46,0,48.12,2.89,2.89,8.04

41,10:00-10:15,85,81,43,231.09,189,67,32.5,22.33,32.5,32.5,2.6,87,43,46.22,87.29,29.67,22.34,48,48,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.1,13.49,13.49,9.62,29.27,2.89,7.68,3.42,0,36.58,149.68,100.27,13.49,3.36,0,48.12,2.89,2.89,8.04

42,10:15-10:30,89,84,45,243.37,196,72,32.5,24,32.5,32.5,2.6,90,45,48.68,92.91,31.33,24,49.67,49.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.1,14.29,14.28,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,14.28,3.36,0,48.12,2.89,2.89,8.04

43,10:30-10:45,93,87,48,243.37,203,77.5,32.5,25.83,32.5,32.5,2.6,90,45,48.68,97.29,33,25.84,50,50,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.1,14.97,14.97,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,14.97,3.36,0,48.12,2.89,2.89,8.04

44,10:45-11:00,95,88,48,243.37,207,83.5,32.5,27.83,32.5,32.5,2.6,90,45,48.68,100,34.33,27.84,49.67,49.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.1,15.61,15.61,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,15.61,3.36,0,48.12,2.89,2.89,8.04

45,11:00-11:15,98,90,49,243.37,210,86.5,32.5,28.83,32.5,32.5,2.6,90,45,48.68,100,36,28.84,49,49,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.02,16.16,16.16,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.16,3.36,0,48.12,2.89,2.89,8.04

46,11:15-11:30,98,90,49,243.37,210,89.5,32.5,29.83,32.5,32.5,2.8,90,45,48.68,100,37,29.84,48.33,48.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.02,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.36,0,48.12,2.89,2.89,8.04

47,11:30-11:45,98,90,49,243.37,210,92.5,32.5,30.83,32.5,32.5,2.8,90,45,48.68,100,38,30.84,49,49,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.02,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.36,0,48.12,2.89,2.89,8.04

48,11:45-12:00,98,90,50,243.37,210,95,32.5,31.67,32.5,32.5,2.8,90,45,48.68,100,38.33,31.66,50.67,50.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,8.02,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.36,0,48.12,2.89,2.89,8.04

49,12:00-12:15,98,90,50,243.37,210,99,32.5,33,32.5,32.5,3,90,45,48.68,100,33.33,33,64.33,64.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,7.83,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.46,0,48.12,2.89,2.89,8.04

50,12:15-12:30,98,90,50,243.37,210,99.5,32.5,33.17,32.5,32.5,3,90,45,48.68,100,31.67,33.16,70.67,70.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,7.83,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.46,0,48.12,2.89,2.89,8.04

51,12:30-12:45,98,90,50,243.37,210,99.5,32.5,33.17,32.5,32.5,3,90,45,48.68,100,31.33,33.16,74.33,74.33,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,7.83,16.59,16.59,9.62,30.28,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.46,0,48.12,2.89,2.89,8.04

52,12:45-13:00,98,90,50,243.37,210,101,32.5,33.67,32.5,32.5,3,90,45,48.68,100,31.33,33.66,76.67,76.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.69,66.04,7.83,16.59,16.59,9.62,31.29,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.46,0,48.12,2.89,2.89,8.04

53,13:00-13:15,98,90,50,243.37,210,102.5,32.5,34.17,32.5,32.5,3.4,90,45,48.68,100,31.67,34.16,79.67,79.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,7.74,16.59,16.59,9.62,31.29,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.64,0,48.12,2.89,2.89,8.04

54,13:15-13:30,98,90,50,243.37,210,104,32.5,34.67,32.5,32.5,3.6,90,45,48.68,100,32.67,34.66,82,82,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,7.74,16.59,16.59,9.62,31.29,2.89,7.68,3.42,0,36.58,149.68,100.27,16.59,3.64,0,48.12,2.89,2.89,8.04

55,13:30-13:45,98,90,50,243.37,210,105.5,32.5,35.17,32.5,32.5,4.2,90,45,48.68,100,33,35.16,82.67,82.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,7.74,16.59,16.59,9.62,31.29,2.89,7.68,3.42,0,36.58,149.68,67.38,16.59,3.64,0,48.12,2.89,2.89,8.04

56,13:45-14:00,98,90,49,243.37,210,106.5,32.5,35.5,32.5,32.5,4.6,90,45,48.68,100,33.67,35.5,84.67,84.67,9.62,9.62,32,32,0,0,1.92,0,130.23,3.84,66.04,7.74,16.59,16.59,9.62,31.29,2.89,7.68,3.42,0,36.58,149.68,67.38,16.59,3.64,0,48.12,2.89,2.89,8.04

57,14:00-14:15,97,88,48,243.37,207,106,32.5,35.33,32.5,32.5,4.4,90,45,48.68,100,34.33,35.34,88.33,88.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,66.04,7.64,16.59,16.59,9.62,31.29,2.89,7.68,3.57,0,36.58,149.68,67.38,16.59,3.92,0,48.12,2.89,2.89,8.04

58,14:15-14:30,95,87,48,243.37,203,106.5,32.5,35.5,32.5,32.5,4,90,45,48.68,100,34.33,35.5,91.67,91.67,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,66.04,7.64,16.23,16.23,9.62,31.29,2.89,7.68,3.57,0,36.58,149.68,100.27,16.23,3.92,0,48.12,2.89,2.89,8.04

59,14:30-14:45,93,84,47,243.37,196,106.5,32.5,35.5,32.5,32.5,3.6,90,45,48.68,100,35,35.5,92.33,92.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,66.04,7.64,15.67,15.67,9.62,31.29,2.89,7.68,3.57,0,36.58,149.68,100.27,15.67,3.92,0,48.12,2.89,2.89,8.04

60,14:45-15:00,92,81,45,243.37,189,106,32.5,35.33,32.5,32.5,3.2,85,43,48.68,100,35.33,35.34,91.33,91.33,9.62,9.62,32,32,0,0,1.92,0,130.23,4.07,66.04,7.64,15.07,15.06,9.62,31.29,2.89,7.68,3.57,0,36.58,149.68,100.27,15.06,3.92,0,48.12,2.89,2.89,8.04

61,15:00-15:15,89,78,43,243.37,182,104.5,32.66,34.83,32.67,32.67,4.6,80,40,48.68,100,35,34.84,91.67,91.67,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,66.04,7.92,14.43,14.43,9.62,31.29,2.89,7.68,3.88,0,36.58,192.5,100.27,14.43,4.11,0,48.12,2.89,2.89,8.04

62,15:15-15:30,86,73,41,232.47,172,103,32.66,34.33,32.67,32.67,4.6,77,38,46.49,97.89,34.67,34.34,92,92,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,66.04,7.92,13.67,13.66,9.62,31.29,2.89,7.68,3.88,0,36.58,231,100.27,13.66,4.11,0,48.12,2.89,2.89,8.04

63,15:30-15:45,79,69,39,217.1,161,101,32.66,33.67,32.67,32.67,4.6,73,37,43.42,91.98,34.67,33.66,92,92,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,66.04,7.92,12.81,12.8,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,100.27,12.8,4.11,0,48.12,2.89,2.89,8.04

64,15:45-16:00,73,64,36,202.36,151,99.5,32.66,33.17,32.67,32.67,4.6,67,33,40.47,85.9,34.33,33.16,92,92,9.62,9.62,32,32,0,0,1.92,0,130.23,4.23,66.04,7.92,11.82,11.82,9.62,31.29,2.89,7.68,3.88,0,36.58,272.15,100.27,11.82,4.11,0,48.12,2.89,2.89,8.04

65,16:00-16:15,66,58,34,185.06,137,78,32.66,26,32.67,32.67,4.8,60,30,37.01,77.84,33.67,26,87.67,87.67,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,66.04,8.2,10.79,10.79,9.62,31.29,2.89,7.68,4.27,0,36.58,272.15,100.27,10.79,4.2,0,48.12,2.89,2.89,8.04

66,16:15-16:30,59,52,30,167.21,123,75,32.66,25,32.67,32.67,5,53,27,33.44,71.54,32.67,25,85.33,85.33,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,66.04,8.2,9.63,9.63,9.62,31.29,2.89,7.68,4.27,0,36.58,272.15,100.27,9.63,4.2,0,48.12,2.89,2.89,8.04

67,16:30-16:45,51,45,27,148.24,105,71,32.66,23.67,32.67,32.67,5.6,43,22,29.65,64.07,31.67,23.66,84.67,84.67,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,66.04,8.2,7.58,7.57,9.62,31.29,2.89,7.68,4.27,0,36.58,272.15,100.27,7.57,4.2,0,48.12,2.89,2.89,8.04

68,16:45-17:00,43,37,25,128.48,88,67.5,32.66,22.5,32.67,32.67,6,33,17,25.7,56.56,30.67,22.5,85.33,85.33,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,66.04,8.2,6.42,6.42,9.62,31.29,2.89,7.68,4.27,0,36.58,272.15,100.27,6.42,4.2,0,48.12,2.89,2.89,8.04

69,17:00-17:15,37,30,21,109.15,70,61,33,20.33,33,32,6.4,27,13,21.83,48.41,29.33,20.34,85,85,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,66.04,8.57,5.19,5.19,9.62,31.29,2.89,7.68,4.5,0,36.58,272.15,100.27,5.19,4.11,0,48.12,2.89,2.89,8.04

70,17:15-17:30,30,22,16,87.82,53,55.5,32.34,18.5,31.71,16,6.8,18,9,17.56,40.79,27.67,18.5,85,85,9.62,9.62,32,32,50,0,1.92,0,130.23,4.6,115.09,8.57,3.9,3.9,9.62,31.29,2.89,7.68,4.5,0,36.58,272.15,100.27,3.9,4.11,0,48.12,2.89,2.89,8.04

