Column1,Block,NR/2024/22899/A/36546,NR/2024/23069/C,NR/2024/22888/A/36796,NR/2024/22860/A/36809,NR/2024/22898/A/36547,NR/2024/23038/A/36556,NR/2024/22832/A/36775,NR/2024/22833/A/36774,NR/2024/22837/A/36773,NR/2024/22816/A/36522,NR/2024/23062/C,NR/2024/22802/A/36777,NR/2024/23063/C,NR/2024/23017/A/36548,NR/2024/21658/A/36530,NR/2024/22874/A/36779,NR/2024/22848/A/36810,NR/2024/22734/A/36728,NR/2024/23058/C,NR/2024/22839/A/36769,NR/2024/22753/A/36738,NR/2024/22754/A/36739,NR/2024/22820/A/36482,NR/2024/22835/A/36755,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7196,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/2024/23061/C,Total
3,00:30-00:45,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.87,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.4999999999998

4,00:45-01:00,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.87,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.4999999999998

5,01:00-01:15,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.3099999999997

6,01:15-01:30,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.3099999999997

7,01:30-01:45,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.3099999999997

8,01:45-02:00,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,14.05,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1642.3099999999997

9,02:00-02:15,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1641.9399999999998

10,02:15-02:30,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1641.9399999999998

11,02:30-02:45,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1641.9399999999998

12,02:45-03:00,0,0,67.8,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.68,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,32.93,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1641.9399999999998

13,03:00-03:15,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.63,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3999999999996

14,03:15-03:30,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.63,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3999999999996

15,03:30-03:45,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.63,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3999999999996

16,03:45-04:00,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.63,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3999999999996

17,04:00-04:15,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3499999999997

18,04:15-04:30,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3499999999997

19,04:30-04:45,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3499999999997

20,04:45-05:00,0,0,67.8,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1595.3499999999997

21,05:00-05:15,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1552.7299999999998

22,05:15-05:30,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1552.7299999999998

23,05:30-05:45,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1552.7299999999998

24,05:45-06:00,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.58,48.42,84.43,96.85,242.12,6.78,181.59,60.53,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1551.7599999999998

25,06:00-06:15,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1309.2799999999997

26,06:15-06:30,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1309.2799999999997

27,06:30-06:45,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1309.2799999999997

28,06:45-07:00,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0.25,1309.5299999999997

29,07:00-07:15,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0.51,1309.7899999999997

30,07:15-07:30,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0.72,1309.9999999999998

31,07:30-07:45,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,1.11,1310.3899999999996

32,07:45-08:00,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,7.75,0.68,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,2.54,1311.8199999999997

33,08:00-08:15,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.45,1313.9899999999998

34,08:15-08:30,0,0,25.18,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,2.9,1313.4399999999998

35,08:30-08:45,0,0,25.16,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,8.72,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.66,1314.1799999999998

36,08:45-09:00,0,0,25.16,0,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.25,1314.7299999999998

37,09:00-09:15,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,0,164.89,0,28.09,9.68,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.25,1367.99

38,09:15-09:30,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.07,1369.75

39,09:30-09:45,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.17,1369.8500000000001

40,09:45-10:00,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,0,164.89,0,28.09,11.62,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,3.75,1370.43

41,10:00-10:15,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,11.62,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.13,1369.81

42,10:15-10:30,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.22,1370.87

43,10:30-10:45,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.23,1371.8799999999999

44,10:45-11:00,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.73,1372.3799999999999

45,11:00-11:15,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.16,1371.81

46,11:15-11:30,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,7.64,1375.29

47,11:30-11:45,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,8.04,1375.6899999999998

48,11:45-12:00,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,6.16,1373.81

49,12:00-12:15,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,5.58,1373.2299999999998

50,12:15-12:30,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,6.53,1374.1799999999998

51,12:30-12:45,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,6.63,1374.28

52,12:45-13:00,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,5.53,1373.1799999999998

53,13:00-13:15,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,5.24,1372.8899999999999

54,13:15-13:30,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.45,1372.1

55,13:30-13:45,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.97,1371.62

56,13:45-14:00,10.65,0,25.16,0,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.22,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.4,1372.05

57,14:00-14:15,10.65,0,25.16,13.56,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.1,1384.4099999999999

58,14:15-14:30,10.65,0,25.16,13.56,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.17,1384.48

59,14:30-14:45,10.65,0,25.16,13.56,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.32,1384.6299999999999

60,14:45-15:00,10.65,0,25.16,13.56,42.61,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,4.05,1385.36

61,15:00-15:15,10.65,18.98,25.16,13.56,23.63,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,2.12,1383.4299999999998

62,15:15-15:30,10.65,15.88,25.16,13.56,26.73,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,1.85,1383.1599999999999

63,15:30-15:45,10.65,12.3,25.16,13.56,30.31,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,3.04,1384.35

64,15:45-16:00,10.65,8.33,25.16,13.56,34.28,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.97,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.32,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,2.93,1384.24

65,16:00-16:15,10.65,25.37,25.16,13.56,17.24,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.87,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,2.69,1384.26

66,16:15-16:30,10.65,21.21,25.16,13.56,21.4,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.87,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,2.47,1384.04

67,16:30-16:45,10.65,17.05,25.16,13.56,25.57,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.87,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,0,1381.58

68,16:45-17:00,10.65,13.07,25.16,13.56,29.54,3.87,37.41,37.41,37.41,41.16,164.89,82.32,28.09,12.59,0.87,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,0,0,24.8,18.4,0,1.94,26.87,12.47,82.32,20.58,0,1381.57

69,17:00-17:15,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,12.59,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1328.2599999999998

70,17:15-17:30,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,12.59,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1328.2599999999998

71,17:30-17:45,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,12.59,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1328.2599999999998

72,17:45-18:00,0,0,25.16,13.56,0,3.87,37.41,37.41,37.41,0,164.89,0,28.09,12.59,0.82,48.42,84.43,96.85,242.12,6.78,0,0,4.84,91.04,26.87,41.16,13.68,41.16,0,24.8,18.4,82.32,1.94,26.87,12.47,82.32,20.58,0,1328.2599999999998

