Column1,Block,NR/2025/25752/A/64261,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,NR/2025/25945/A/64729,NR/2025/25947/A/64727,NR/2025/25996/C,WR/2025/27361/A/64742,NR/2025/25924/A/64379,WR/2025/27350/A/64398,NR/2025/25955/A/64723,NR/2025/25948/A/64725,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2341,GNA/WR/2025/04/01/4420,GNA/SR/2025/04/01/2597,Total
7,01:30-01:45,0,0,96.23,10.78,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,909.8199999999999

8,01:45-02:00,0,0,96.23,10.78,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,52.5,909.8199999999999

9,02:00-02:15,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.4499999999998

10,02:15-02:30,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.4499999999998

11,02:30-02:45,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.4499999999998

12,02:45-03:00,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.4499999999998

13,03:00-03:15,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.27

14,03:15-03:30,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.27

15,03:30-03:45,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.27

16,03:45-04:00,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,30,2.89,2.89,9.62,36.57,25.99,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,953.27

17,04:00-04:15,0,0,96.23,10.32,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,950.8199999999999

18,04:15-04:30,0,0,96.23,10.32,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,204.01,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,950.8199999999999

19,04:30-04:45,0,0,96.23,10.32,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.5699999999999

20,04:45-05:00,0,0,96.23,10.32,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.5699999999999

21,05:00-05:15,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.4699999999999

22,05:15-05:30,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.4699999999999

23,05:30-05:45,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.4699999999999

24,05:45-06:00,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.4699999999999

25,06:00-06:15,0,0,96.23,10.04,14.58,9.62,9.62,28.87,72.17,1.92,24.1,2.89,2.89,9.62,36.57,30,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.6699999999998

26,06:15-06:30,0,0.32,96.23,10.04,14.58,9.62,9.62,28.87,72.17,1.92,24.1,2.89,2.89,9.62,36.57,30,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,931.9899999999999

27,06:30-06:45,0,0.91,96.23,10.04,14.58,9.62,9.62,28.87,72.17,1.92,24.1,2.89,2.89,9.62,36.57,30,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,932.5799999999999

28,06:45-07:00,0,3.07,96.23,10.04,14.58,9.62,9.62,28.87,72.17,1.92,25.99,2.89,2.89,9.62,36.57,30,43.74,43.74,184.76,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,936.6299999999999

29,07:00-07:15,0,6.52,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,25.99,2.89,2.89,9.62,36.57,30,43.74,43.74,0,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,755.1299999999999

30,07:15-07:30,0,11.05,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,25.99,2.89,2.89,9.62,36.57,30,43.74,43.74,0,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,759.66

31,07:30-07:45,0,17.05,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,25.99,2.89,2.89,9.62,36.57,30,43.74,43.74,0,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,765.66

32,07:45-08:00,0,24.47,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,25.99,2.89,2.89,9.62,36.57,30,43.74,43.74,0,24.06,3.85,96.23,29.16,14.58,48.12,2.89,72.17,19.25,0,0,773.08

33,08:00-08:15,3.85,32.48,96.23,9.76,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,0,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,686.35

34,08:15-08:30,3.85,40.71,96.23,9.76,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,91.42,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,786

35,08:30-08:45,3.85,49.22,96.23,9.76,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,91.42,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,794.51

36,08:45-09:00,3.85,57.54,96.23,9.76,14.58,9.62,9.62,28.87,72.17,1.92,26.86,2.89,2.89,9.62,36.57,26.86,43.74,43.74,91.42,24.06,3.85,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,802.8299999999999

37,09:00-09:15,6.74,65.55,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,91.42,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,814.5399999999998

38,09:15-09:30,6.74,72.87,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,182.84,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,913.2799999999999

39,09:30-09:45,6.74,79.84,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,182.84,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,920.2499999999999

40,09:45-10:00,6.74,87.97,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,182.84,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,928.3799999999999

41,10:00-10:15,8.66,93.67,96.23,9.39,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,182.84,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,935.8199999999998

42,10:15-10:30,8.66,99.22,96.23,9.39,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,211.71,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,970.2399999999999

43,10:30-10:45,8.66,100,96.23,9.39,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,211.71,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,971.0199999999999

44,10:45-11:00,8.66,100,96.23,9.39,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,990.2599999999999

45,11:00-11:15,8.66,100,96.23,9.21,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,990.0799999999998

46,11:15-11:30,8.66,100,96.23,9.21,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,990.0799999999998

47,11:30-11:45,8.66,100,96.23,9.21,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,990.0799999999998

48,11:45-12:00,8.66,100,96.23,9.21,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,990.0799999999998

49,12:00-12:15,8.66,100,96.23,9.03,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.9199999999997

50,12:15-12:30,8.66,100,96.23,9.03,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.9199999999997

51,12:30-12:45,8.66,100,96.23,9.03,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.9199999999997

52,12:45-13:00,8.66,100,96.23,9.03,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.9199999999997

53,13:00-13:15,8.66,100,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.7299999999999

54,13:15-13:30,8.66,100,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.7299999999999

55,13:30-13:45,8.66,100,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.7299999999999

56,13:45-14:00,8.66,100,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.7299999999999

57,14:00-14:15,7.7,100,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.5499999999998

58,14:15-14:30,7.7,100,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,989.5499999999998

59,14:30-14:45,7.7,98,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,230.95,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,987.5499999999998

60,14:45-15:00,7.7,96.37,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,211.71,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,966.68

61,15:00-15:15,6.74,93.71,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,211.71,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,963.06

62,15:15-15:30,6.74,89.65,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,211.71,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,958.9999999999999

63,15:30-15:45,6.74,81.69,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,163.59,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,902.9199999999998

64,15:45-16:00,6.74,76.81,96.23,8.66,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,163.59,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,0,0,898.0399999999998

65,16:00-16:15,3.85,70.37,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,163.59,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,939.8599999999999

66,16:15-16:30,3.85,63.12,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,163.59,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,932.6099999999999

67,16:30-16:45,3.85,55.23,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,163.59,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,924.7199999999999

68,16:45-17:00,3.85,48.42,96.23,8.84,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,57.74,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,812.06

69,17:00-17:15,0,41.44,96.23,9.11,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,57.74,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,801.4999999999999

70,17:15-17:30,0,33.9,96.23,9.11,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,57.74,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,793.9599999999999

71,17:30-17:45,0,25.69,96.23,9.11,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,57.74,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,785.7499999999999

72,17:45-18:00,0,19.02,96.23,9.11,14.58,9.62,9.62,28.87,72.17,1.92,26.89,2.89,2.89,9.62,36.57,26.89,43.74,43.74,0,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,721.34

73,18:00-18:15,0,12.75,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,958.0099999999999

74,18:15-18:30,0,7.99,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,26.88,2.89,2.89,9.62,36.57,26.88,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,953.2499999999999

75,18:30-18:45,0,3.28,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,953.7799999999999

76,18:45-19:00,0,0.91,96.23,9.57,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,951.41

77,19:00-19:15,0,0,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.7799999999999

78,19:15-19:30,0,0,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.7799999999999

79,19:30-19:45,0,0,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.7799999999999

80,19:45-20:00,0,0,96.23,9.85,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,6.74,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.7799999999999

81,20:00-20:15,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.18

82,20:15-20:30,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.18

83,20:30-20:45,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.18

84,20:45-21:00,0,0,96.23,10.22,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.18

85,21:00-21:15,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.4599999999999

86,21:15-21:30,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.4599999999999

87,21:30-21:45,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.4599999999999

88,21:45-22:00,0,0,96.23,10.5,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,5.77,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,950.4599999999999

89,22:00-22:15,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,949.6799999999997

90,22:15-22:30,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,949.6799999999997

91,22:30-22:45,0,0,96.23,10.68,14.58,9.62,9.62,28.87,72.17,1.92,29.5,2.89,2.89,9.62,36.57,29.5,43.74,43.74,242.5,24.06,4.81,0,29.16,14.58,48.12,2.89,72.17,19.25,50,0,949.6799999999997

