Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/32857/A/95703,NR/2025/32534/A/95928,NR/2025/32653/A/95719,NR/2025/32535/A/95929,NR/2025/32535/A/95930,NR/2025/33346/C,NR/2025/32599/A/95912,NR/2025/32652/A/95718,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,NR/2025/33300/C,NR/2025/29992/A/95617,GNA/NR/2025/08/01/6187,NR/2025/33333/C,NR/2025/32397/A/95492,NR/2025/33330/C,NR/2025/33334/C,NR/2025/33260/C,NR/2025/31421/A/95975,NR/2025/32559/A/95940,GNA/NR/2025/08/01/4125,NR/2025/32610/A/95939,NR/2025/33316/C,NR/2025/33301/C,NR/2025/33287/C,NR/2025/32556/A/95941,NR/2025/32554/A/95894,NR/2025/32532/A/95920,NR/2025/32375/A/95972,NR/2025/31046/A/95937,NR/2025/32598/A/95961,NR/2025/32004/A/95945,NR/2025/33233/A/95960,NR/2025/32455/A/96035,NR/2025/32702/A/95601,NR/2025/32532/A/95919,NR/2025/31041/A/95935,NR/2025/31042/A/95936,NR/2025/33341/C,NR/2025/29440/A/95499,NR/2025/32534/A/95927,NR/2025/32262/A/95532,NR/2025/33343/C,NR/2025/31047/A/95938,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.5,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.86,0,53.99,0,0,1420.95

4,00:45-01:00,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.5,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.86,0,53.99,0,0,1420.95

5,01:00-01:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.93,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1421.1399999999999

6,01:15-01:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.93,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1421.1399999999999

7,01:30-01:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.93,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1421.1399999999999

8,01:45-02:00,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.65,26.93,26.93,95.98,47.99,15.21,47.99,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,47.99,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1421.1399999999999

9,02:00-02:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,0,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1420.9599999999998

10,02:15-02:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,0,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1420.9599999999998

11,02:30-02:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,0,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1420.9599999999998

12,02:45-03:00,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,105.58,14.4,0,12.48,0,76.78,0,191.96,0.62,0,53.99,0,0,1420.9599999999998

13,03:00-03:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,76.42,14.4,0,12.48,0,76.78,0,191.96,0.53,0,53.99,0,0,1391.71

14,03:15-03:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,76.42,14.4,0,12.48,0,76.78,0,191.96,0.53,0,53.99,0,0,1391.71

15,03:30-03:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,76.42,14.4,0,12.48,0,76.78,0,191.96,0.53,0,53.99,0,0,1391.71

16,03:45-04:00,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,76.78,81.58,76.42,14.4,0,12.48,0,76.78,0,191.96,0.53,0,53.99,0,0,1391.71

17,04:00-04:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1184.1599999999999

18,04:15-04:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1184.1599999999999

19,04:30-04:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1184.1599999999999

20,04:45-05:00,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.47,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1184.1599999999999

21,05:00-05:15,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1183.9699999999998

22,05:15-05:30,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,12.48,0,0,0,191.96,0.53,0,0,0,0,1183.9699999999998

23,05:30-05:45,0,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0,0,0,191.96,0.53,0,0,0,0,1182.0499999999997

24,05:45-06:00,0.16,0,0,0,0,0,0,0,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,8.64,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0,0,0,191.96,0.53,0,0,0,0,1182.2099999999998

25,06:00-06:15,0.79,0,0,0,0.06,0,0,1,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0.06,0,0,191.96,0.82,0.06,0,0,0,1175.6699999999996

26,06:15-06:30,1.94,0,0,0,0.1,0,0,4,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0.1,0,0,191.96,0.82,0.1,0,0,0,1179.9399999999996

27,06:30-06:45,3.75,0,0,0,0.1,0,0.84,8,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0.1,0,0,191.96,0.82,0.1,0,0,0,1186.5899999999997

28,06:45-07:00,6.4,0,0,0,0.1,0,1.37,14,0,20.71,24,8.72,19.2,24,18.28,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0,47.99,0,81.58,76.42,14.4,0,10.56,0.1,0,0,191.96,0.82,0.1,0,0,0,1195.7699999999998

29,07:00-07:15,9.96,0,0.06,0,0.1,0.06,1.97,20,0,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.09,47.99,0,81.58,76.42,14.4,0,10.56,0.1,0,0,191.96,0.86,0.1,0,0,0,1206.0899999999997

30,07:15-07:30,14.19,0,0.19,0,0.1,0.19,2.97,28,0,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,10.56,0.1,0,0,191.96,0.86,0.1,0,0,0,1219.7799999999997

31,07:30-07:45,19.25,0,0.19,0,0.02,0.19,3.85,39,0,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.02,0,0,191.96,0.86,0.02,0,0,0,1235.5199999999998

32,07:45-08:00,25.22,0,0.19,0,0.02,0.19,5.24,46,0,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.02,0,0,191.96,0.86,0.02,0,0,0,1249.8799999999999

33,08:00-08:15,28.44,1.15,0.19,0,0.04,0.19,6.17,70,1.63,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.04,0,0,191.96,0.96,0.04,0,0,0,1280.97

34,08:15-08:30,35.46,1.15,0.29,0,0.06,0.19,8.51,84,1.63,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.06,0,0,191.96,0.96,0.06,0,0,0,1304.49

35,08:30-08:45,42.62,1.15,0.19,0,0.09,0.19,5.86,98,1.63,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.09,0,0,191.96,0.96,0.09,0,0,0,1322.99

36,08:45-09:00,49.65,1.15,0.19,0,0.08,0.19,5.86,112,1.63,20.71,24,8.72,19.2,24,18.19,26.93,26.93,95.98,47.99,15.21,95.98,0,44.15,9.21,0,0,0,0,0,0,24,8.72,24,0,0,28.79,24,163.17,0.29,47.99,0,81.58,76.42,14.4,0,9.6,0.15,0,0,191.96,0.96,0.08,0,0,0,1344.0600000000002

37,09:00-09:15,56.33,1.15,0.29,0,0.1,0.19,5.86,126,1.63,20.71,24,8.72,19.2,24,18.19,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.38,0,0,81.58,0,14.4,0,10.56,0.19,0,0,191.96,0.96,0.1,0,47.99,0,1365.9900000000002

38,09:15-09:30,62.7,1.15,0.29,0,0.1,0.19,6.84,140,1.63,20.71,24,8.72,19.2,24,18.19,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1387.54

39,09:30-09:45,71.05,1.15,0.29,0,0.1,0.19,6.84,151,1.63,20.71,24,8.72,19.2,24,18.19,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1406.89

40,09:45-10:00,76.52,1.15,0.29,0,0.1,0.19,7.81,161,1.63,20.71,24,8.72,19.2,24,18.19,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.19,0,0,191.96,0.96,0.1,0,47.99,0,1423.23

41,10:00-10:15,81.57,1.15,0.29,1.44,0.1,0.29,7.81,165,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.19,0,0,191.96,0.96,0.1,0,47.99,0,1434

42,10:15-10:30,86.29,1.15,0.38,1.44,0.1,0.29,7.81,175,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.19,0,0,191.96,0.96,0.1,0,47.99,0,1448.8100000000002

43,10:30-10:45,91.87,1.15,0.38,1.44,0.1,0.29,11.51,186,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1469.19

44,10:45-11:00,96.18,1.15,0.38,1.44,0.1,0.29,12.78,189,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1477.87

45,11:00-11:15,98.43,1.15,0.38,1.44,0.1,0.29,14.05,196,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1488.29

46,11:15-11:30,99.8,1.15,0.38,1.44,0.1,0.29,15.49,196,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1491.1

47,11:30-11:45,100,1.15,0.38,1.44,0.1,0.29,16.86,196,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.48,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1492.67

48,11:45-12:00,100,1.15,0.38,1.44,0.1,0.29,18.14,196,1.63,20.71,24,8.72,19.2,24,18.37,26.94,26.94,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1494.05

49,12:00-12:15,100,1.15,0.38,1.44,0.1,0.29,19.32,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1495.2499999999998

50,12:15-12:30,100,1.15,0.38,1.44,0.1,0.29,19.62,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1495.55

51,12:30-12:45,100,1.15,0.38,1.44,0.1,0.29,19.88,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1495.81

52,12:45-13:00,100,1.15,0.38,1.44,0.1,0.29,20.16,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1496.09

53,13:00-13:15,100,1.15,0.38,1.44,0.1,0.29,8.79,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1484.7199999999998

54,13:15-13:30,100,1.15,0.38,1.44,0.1,0.29,8.79,196,1.63,20.71,24,8.72,19.2,24,18.37,26.95,26.95,95.98,47.99,15.21,95.98,0,0,9.21,24,0,24,24,44.15,0,0,8.72,0,76.42,0,191.96,0,0,0.58,0,0,81.58,0,14.4,0,10.56,0.29,0,0,191.96,0.96,0.1,0,47.99,0,1484.7199999999998

