Block,Time,LT-35,LT-36,LT-05,SH-07,L_NR_2012_04,L_NR_2019_11,L_NR_2020_02,LT-31,SH-06,LT-59,L_NR_2012_07,L_NR_2012_02,L_NR_2012_01,L_NR_2023_04,L_NR_2022_09,L_NR_2019_05,L_NR_2020_07,L_NR_2019_07,L_NR_2020_06,L_NR_2018_61,L_NR_2019_06,L_NR_2019_19,L_NR_2020_05,L_NR_2021_12,L_NR_2022_08,L_NR_2021_13,L_NR_2021_14,L_NR_2022_10,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17
18,04:15-04:30,0.000000,0.000000,70.630000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,201.700000,101.400000,25.170000,32.48,0,11.79,0,11.79,13.94,0,0,35.38,0,15.9,0,0,32.48,0,0,0

19,04:30-04:45,0.000000,0.000000,66.450000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,160.380000,101.400000,25.170000,31.14,0,11.67,0,11.69,13.74,0,0,35.06,0,9.33,0,0,31.14,0,0,0

20,04:45-05:00,0.000000,0.000000,66.450000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,160.380000,101.400000,25.170000,29.98,0,11.75,0,11.75,13.54,0,0,35.24,0,9.2,0,0,29.98,0,0,0

21,05:00-05:15,0.000000,0.000000,66.450000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,160.380000,101.400000,24.200000,24.8,0,11.31,0,11.31,12.4,0,0,33.92,0,9.1,0,0,24.8,0,0,0

22,05:15-05:30,0.000000,0.000000,66.450000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,160.380000,101.400000,23.230000,23.98,0,11.03,0,11.03,10.67,0,0,33.08,0,9.14,0,0,23.98,0,0,0

23,05:30-05:45,0.000000,0.000000,66.450000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,47.060000,160.380000,101.400000,22.260000,23.3,0,11.38,0,11.39,10.4,0,0.43911,34.17,0,9.4,0,0,23.3,0,0,0

24,05:45-06:00,0.000000,0.000000,94.930000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,22.260000,22.67,0,11.88,0,11.9,10.2,0,3.064012,35.69,0.14,9.7,0.03,0,22.67,0.67,0,0.33

25,06:00-06:15,0.000000,0.000000,94.930000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,63.440000,201.700000,101.400000,22.260000,22.06,0,8.52,1.38,8.52,10.38,17.81,6.58665,25.57,2.48,9.72,0.49,0.03,22.06,5.33,0.64,2.67

26,06:15-06:30,0.390000,0.390000,94.930000,0.000000,272.250000,10.780000,11.920000,0.390000,0.000000,10.360000,63.440000,201.700000,101.400000,22.260000,21.44,2.04,8.55,2.12,8.54,15.75,23.92,10.128804,25.62,4.8,9.8,0.96,0.03,21.44,6.67,1.65,3.33

27,06:30-06:45,0.710000,0.710000,70.630000,0.000000,272.250000,10.780000,11.920000,0.710000,0.000000,10.360000,47.060000,160.380000,101.400000,22.260000,20.84,5.85,8.62,6,8.63,15.48,32.63,13.895392,25.88,11.23,7.4,2.24,0.33,20.84,8.67,2.81,4.33

28,06:45-07:00,1.180000,1.180000,70.630000,0.000000,272.250000,10.780000,11.920000,1.180000,0.000000,10.360000,47.060000,160.380000,101.400000,22.260000,20.64,13.04,8.44,11,8.45,15.17,33,17.95472,25.34,17.49,7.44,3.5,1,20.64,9.33,4.36,4.67

29,07:00-07:15,1.920000,1.920000,70.630000,0.000000,232.320000,10.780000,11.640000,1.920000,0.000000,10.360000,37.750000,160.380000,101.400000,21.300000,20.46,22.31,8.28,17,8.28,15.49,26.03,22.511706,24.85,24.69,7.52,4.94,4,20.46,11.33,6.37,5.67

30,07:15-07:30,2.650000,2.650000,70.630000,0.000000,193.600000,10.780000,11.640000,2.650000,0.000000,10.360000,37.750000,160.380000,101.400000,21.300000,20.27,22.57,8.15,22.56,8.14,15.79,22.57,27.293126,24.42,35.96,7.6,7.19,8.33,20.27,17.33,8.83,8.67

31,07:30-07:45,3.470000,3.470000,70.630000,0.000000,151.670000,10.780000,11.640000,3.470000,0.000000,10.360000,37.750000,160.380000,101.400000,20.330000,20.14,22.9,8.06,22.9,8.07,11.67,22.9,31.840354,24.19,49.37,7.7,9.87,13.47,20.14,26,11.52,13

32,07:45:08:00,4.570000,4.570000,70.630000,0.000000,151.670000,10.780000,11.640000,4.570000,0.000000,10.360000,37.750000,160.380000,101.400000,19.360000,19.93,23.73,7.92,23.74,7.93,11.32,23.73,36.377824,23.78,63.97,7.79,12.79,20.17,19.93,33.34,14.4,16.66

33,08:00-08:15,5.340000,5.340000,70.630000,0.000000,151.670000,10.780000,11.500000,5.340000,0.000000,10.360000,37.750000,160.380000,101.400000,17.420000,19.73,25.9,7.62,25.9,7.62,10.96,25.9,41.003116,22.86,80.76,7.72,16.15,29.53,19.73,40.67,21.14,20.33

34,08:15-08:30,6.420000,6.420000,70.630000,0.000000,151.670000,10.780000,11.500000,6.420000,0.000000,10.360000,37.750000,160.380000,101.400000,16.460000,19.55,28.15,7.49,28.15,7.5,10.61,28.15,45.501554,22.49,100.18,7.76,20.04,36.9,19.55,46,24.84,23

35,08:30-08:45,7.660000,7.660000,70.630000,0.000000,151.670000,10.780000,11.500000,7.660000,0.000000,10.360000,37.750000,160.380000,101.400000,16.460000,19.2,28.98,7.53,28.99,7.53,10.29,28.98,50.243942,22.6,121.45,7.74,24.29,45.27,19.2,53.34,28.33,26.66

36,08:45:09:00,8.410000,8.410000,70.630000,0.000000,151.670000,10.780000,11.500000,8.410000,0.000000,10.360000,37.750000,160.380000,101.400000,17.420000,18.81,29.65,7.53,29.65,7.52,9.94,29.65,55.532778,22.57,135.55,7.7,27.11,52.87,18.81,61.34,31.45,30.66

37,09:00:09:15,8.900000,8.900000,70.630000,0.000000,151.670000,10.780000,11.400000,8.900000,0.000000,10.360000,37.750000,160.380000,101.400000,17.420000,18.4,29.65,7.62,29.65,7.62,9.61,29.65,61.485158,22.86,153.78,7.64,30.75,59.23,18.4,70,34,35

38,09:15-09:30,9.310000,9.310000,70.630000,0.000000,151.670000,10.780000,11.400000,9.310000,0.000000,10.360000,37.750000,160.380000,101.400000,19.360000,18.45,29.65,9.24,29.65,9.22,9.26,29.65,67.339958,27.67,171.63,7.62,34.33,64.2,18.45,50.67,36.15,25.33

39,09:30-09:45,9.560000,9.560000,70.630000,0.000000,193.600000,10.780000,11.400000,9.560000,0.000000,10.360000,37.750000,160.380000,101.400000,19.360000,18.58,29.98,9.25,29.99,9.25,16.05,29.98,72.423876,27.75,183.54,7.66,36.71,70.83,18.58,53.34,33.37,26.66

40,09:45-10:00,9.790000,9.790000,70.630000,0.000000,193.600000,10.780000,11.400000,9.790000,0.000000,10.360000,37.750000,160.380000,101.400000,18.390000,18.57,30.48,9.28,30.49,9.28,15.91,30.48,77.107716,27.84,196.5,7.78,39.3,76.3,18.57,86.67,35.5,43.33

41,10:00-10:15,9.850000,9.850000,70.630000,0.000000,232.320000,10.780000,11.310000,9.850000,0.000000,10.360000,37.750000,160.380000,77.440000,17.420000,18.56,30.48,9.28,30.49,9.28,15.67,30.48,80.5035,27.84,208.34,7.77,41.67,80.9,18.56,92,37.34,46

42,10:15-10:30,10.080000,10.080000,70.630000,0.000000,232.320000,10.780000,11.310000,10.080000,0.000000,10.360000,37.750000,125.840000,77.440000,17.420000,18.58,30.48,9.4,30.49,9.39,15.28,30.48,82.318488,28.17,219.14,7.83,43.83,85.23,18.58,93.34,38.87,46.66

43,10:30-10:45,10.080000,10.080000,70.630000,0.000000,272.250000,10.780000,11.310000,10.080000,0.000000,10.360000,37.750000,125.840000,77.440000,22.260000,18.62,30.48,9.43,30.49,9.43,11.47,30.48,83.9188,28.29,229.02,7.79,45.8,88.2,18.62,96,40.2,48

44,10:45-11:00,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.360000,37.750000,125.840000,77.440000,21.300000,18.55,31.33,8.7,31.34,8.7,11.19,31.33,85.987496,26.1,233.33,7.83,46.67,89.63,18.55,96.67,41.32,48.33

45,11:00-11:15,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.320000,37.750000,125.840000,48.400000,19.360000,20.11,32.17,8.75,32.16,8.75,10.68,32.17,87.997644,26.25,233.33,7.96,46.67,90.67,20.11,96,47.84,48

46,11:15-11:30,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,20.330000,20.11,32.17,8.7,32.16,8.7,10.47,32.17,88.680704,26.09,233.33,7.89,46.67,91.2,20.11,94.67,48.74,47.33

47,11:30-11:45,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,21.300000,20.15,32.5,8.82,32.5,8.82,10.47,32.5,88.963686,26.45,233.33,7.76,46.67,91.27,20.15,93.34,49.01,46.66

48,11:45-12:00,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,20.330000,20.45,32.5,8.82,32.5,8.82,10.67,32.5,90.251742,26.46,233.33,7.8,46.67,91.27,20.45,92,48.82,46

49,12:00-12:15,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.990000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,22.260000,20.11,32.5,8.68,32.5,8.67,11.07,32.5,97.62879,26.01,233.33,7.91,46.67,91.27,20.11,92,48.46,46

50,12:15-12:30,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.990000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,20.330000,20.11,32.5,8.82,32.5,8.83,11.2,32.5,101.658844,26.48,233.33,7.98,46.67,91.27,20.11,92,47.89,46

51,12:30-12:45,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.990000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,21.300000,18.45,32.5,9.26,32.5,9.28,8.5,32.5,100.31224,27.83,233.33,7.83,46.67,91.27,18.45,92,49.98,46

52,12:45-13:00,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.990000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,23.230000,18.56,32.5,9.22,32.5,9.22,8.72,32.5,105.152208,27.66,233.33,7.81,46.67,91.23,18.56,92.67,50,46.33

53,13:00-13:15,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.840000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,21.300000,18.62,32.5,9.28,32.5,9.28,8.9,32.5,105.786478,27.84,233.33,7.97,46.67,91.13,18.62,92.67,49.71,46.33

54,13:15-13:30,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.840000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,20.330000,18.78,32.5,9.43,32.5,9.43,9.11,32.5,105.347368,28.29,233.33,7.88,46.67,91.1,18.78,93.34,48.7,46.66

55,13:30-13:45,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.840000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,20.330000,18.96,32.5,8.09,32.5,8.09,9.32,32.5,117.056968,24.27,233.33,8.45,46.67,91.13,18.96,94.67,46.5,47.33

56,13:45-14:00,10.360000,10.360000,70.630000,0.000000,272.250000,10.780000,10.840000,10.360000,0.000000,10.320000,37.750000,125.840000,46.310000,21.300000,19.45,32.5,8.17,32.5,8.16,9.8,32.5,113.602636,24.49,233.33,8.78,46.67,90.9,19.45,94.67,44.14,47.33

57,14:00-14:15,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.040000,10.360000,0.000000,10.360000,54.120000,167.160000,46.310000,19.360000,19.45,32.5,8.22,32.5,8.22,9.67,32.5,108.967586,24.66,233.33,8.48,46.67,90,19.45,94.67,43.13,47.33

58,14:15-14:30,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.040000,10.360000,0.000000,10.360000,54.120000,167.160000,46.310000,20.330000,19.45,32.5,8.43,32.5,8.42,10.11,32.5,104.127618,25.27,233.33,8.64,46.67,89.43,19.45,92.67,41.1,46.33

59,14:30-14:45,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.040000,10.360000,0.000000,10.360000,54.120000,167.400000,75.350000,22.260000,19.45,32.5,8.63,32.5,8.63,10.52,32.5,99.268134,25.9,233.33,8.55,46.67,88.37,19.45,90,40.3,45

60,14:45-15:00,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.040000,10.360000,0.000000,10.360000,54.120000,167.400000,101.400000,23.230000,19.78,32.5,8.55,32.5,8.54,11.34,32.5,93.910992,25.63,227.71,8.78,45.54,86.57,19.78,84.67,39.19,42.33

61,15:00-15:15,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.360000,54.120000,167.400000,101.400000,23.230000,18.45,32.5,8.5,32.5,8.51,12.19,32.5,88.739252,25.53,215.56,8.44,43.11,82.47,18.45,80.67,37.88,40.33

62,15:15-15:30,10.360000,10.360000,116.200000,0.000000,272.250000,10.780000,11.310000,10.360000,0.000000,10.360000,54.120000,167.400000,101.400000,24.200000,18.87,32.5,8.51,32.5,8.52,12.79,32.5,83.743156,25.55,212.85,8.54,42.57,76.87,18.87,74.67,36.33,37.33

63,15:30-15:45,10.230000,10.230000,116.200000,0.000000,272.250000,10.780000,11.310000,10.230000,0.000000,10.360000,54.120000,193.690000,101.400000,24.200000,19.21,32.5,8.49,32.5,8.49,19.2,32.5,78.01521,25.48,200.57,8.71,40.11,72.53,19.21,69.34,37.22,34.66

64,15:45-16:00,10.040000,10.040000,116.200000,0.000000,272.250000,10.780000,11.310000,10.040000,0.000000,10.360000,54.120000,193.690000,101.400000,24.200000,19.91,32.5,8.57,32.5,8.57,19.65,32.5,71.457834,25.7,183.82,8.87,36.76,66.83,19.91,64,34.97,32

65,16:00-16:15,9.530000,9.530000,116.200000,0.000000,272.250000,10.780000,11.640000,9.530000,0.000000,10.360000,67.670000,242.090000,101.400000,26.140000,20.2,32.5,8.55,32.5,8.54,20.63,32.5,65.144408,25.63,169.25,8.97,33.85,60.87,20.2,65.34,32.2,32.66

66,16:15-16:30,8.950000,8.950000,116.200000,0.000000,272.250000,10.780000,11.640000,8.950000,0.000000,10.360000,67.670000,261.940000,101.400000,25.170000,20.78,32.5,8.5,32.5,8.51,22.18,32.5,58.674854,25.52,154.38,9.11,30.88,54.6,20.78,60,29.27,30

67,16:30-16:45,8.520000,8.520000,116.200000,0.000000,272.250000,10.780000,11.640000,8.520000,0.000000,10.360000,67.670000,261.940000,101.400000,25.170000,31.51,20.87,8.57,33,8.57,23.99,33,50.634262,25.71,137.95,15.72,27.59,48.23,31.51,52.67,25.93,26.33

68,16:45-17:00,7.680000,7.680000,116.200000,0.000000,272.250000,10.780000,11.640000,7.680000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,32.22,10.97,8.55,25,8.56,26.85,33,41.559322,25.67,121.59,15.99,24.32,41.9,32.22,46.67,22.62,23.33

69,17:00-17:15,6.790000,6.790000,116.200000,0.000000,272.250000,10.780000,11.920000,6.790000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,32.99,4.08,13.61,18,13.6,20.91,33,33.313812,40.81,104.37,16.25,20.87,33.6,32.99,38.67,21.45,19.33

70,17:15-17:30,5.190000,5.190000,116.200000,0.000000,272.250000,10.780000,11.920000,5.190000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,33.48,0.58,13.81,12,13.8,21.88,31.2,26.49297,41.41,87.99,16.66,17.6,27.57,33.48,32.67,17.97,16.33

71,17:30-17:45,3.080000,3.080000,116.200000,0.000000,272.250000,10.780000,11.920000,3.080000,0.000000,10.360000,67.670000,261.940000,101.400000,25.170000,34.16,0,14.25,8.3,14.25,22.35,27.29,20.804056,42.75,71.05,17.04,14.21,20.2,34.16,28,14.55,14

72,17:45-18:00,2.080000,2.080000,116.200000,0.000000,272.250000,10.780000,11.920000,2.080000,0.000000,10.360000,67.670000,261.940000,101.400000,25.170000,43.54,0,14.79,2.57,14.81,17.08,18.36,15.71038,44.42,54.51,17.08,10.9,11.2,43.54,20.67,11.3,10.33

73,18:00-18:15,1.590000,1.590000,116.200000,0.000000,272.250000,10.780000,11.920000,1.590000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,43.88,0,19.28,0,19.28,17.94,0,11.407102,57.83,40.33,17.24,8.06,7.47,43.88,16,8.46,8

74,18:15-18:30,1.170000,1.170000,116.200000,0.000000,272.250000,10.780000,11.920000,1.170000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,44.12,0,19.09,0,19.07,19.11,0,7.484386,57.22,28.26,17.48,5.65,2,44.12,12,6.07,6

75,18:30-18:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,44.38,0,18.85,0,18.86,19.92,0,4.010538,56.57,18.99,16.05,3.8,1,44.38,10,4.13,5

76,18:45-19:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,44.53,0,18.62,0,18.61,20.27,0,1.785714,55.85,11.76,16.05,2.35,0.33,44.53,4.67,2.57,2.33

77,19:00-19:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,67.670000,261.940000,101.400000,26.140000,44.43,0,18.56,0,18.57,20.31,0,0.575722,55.7,6.18,16.04,1.24,0.03,44.43,2,1.35,1

78,19:15-19:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,27.100000,44.31,0,18.37,0,18.38,21.42,0,0,55.13,1.88,15.92,0.38,0,44.31,0,0.42,0

79,19:30-19:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,27.100000,44.43,0,18,0,17.99,22.82,0,0,53.98,0.16,15.91,0.03,0,44.43,0.1,0,0.05

80,19:45-20:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,28.070000,43.71,0,17.84,0,17.84,25.28,0,0,53.52,0,15.74,0,0,43.71,0,0,0

81,20:00-20:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,26.140000,42.42,0,19.61,0,19.62,21.08,0,0,58.86,0,18.8,0,0,42.42,0,0,0

82,20:15-20:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,40.45,0,18.34,0,18.34,21.59,0,0,55.01,0,18.12,0,0,40.45,0,0,0

83,20:30-20:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,41.34,0,18.02,0,18.01,21.93,0,0,54.04,0,16.75,0,0,41.34,0,0,0

84,20:45-21:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,26.140000,42.89,0,17.38,0,17.38,14.29,0,0,52.13,0,15.66,0,0,42.89,0,0,0

85,21:00-21:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,42.63,0,17.4,0,17.39,15.25,0,0,52.17,0,14.91,0,0,42.63,0,0,0

86,21:15-21:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,42.49,0,14.74,0,14.72,15.98,0,0,44.17,0,15.36,0,0,42.49,0,0,0

87,21:30-21:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,42.45,0,14.32,0,14.34,16.65,0,0,43.01,0,12.36,0,0,42.45,0,0,0

88,21:45-22:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,32.18,0,14.22,0,14.23,17.26,0,0,42.67,0,12.66,0,0,32.18,0,0,0

89,22:00-22:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,24.200000,32.45,0,14.61,0,14.6,29.68,0,0,43.81,0,12.23,0,0,32.45,0,0,0

90,22:15-22:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,24.200000,32.55,0,14.49,0,14.5,29.01,0,0,43.5,0,12.69,0,0,32.55,0,0,0

91,22:30-22:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,32.57,0,14.19,0,14.19,28.6,0,0,42.56,0,12.44,0,0,32.57,0,0,0

92,22:45-23:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,32.75,0,13.93,0,13.91,27.61,0,0,41.74,0,13.42,0,0,32.75,0,0,0

93,23:00-23:15,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,33.66,0,16.75,0,16.74,26.41,0,0,50.24,0,14.89,0,0,33.66,0,0,0

94,23:15-23:30,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,33.73,0,17.49,0,17.5,26.06,0,0,52.49,0,15.61,0,0,33.73,0,0,0

95,23:30-23:45,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,25.170000,27.78,0,13.64,0,13.63,40.09,0,0,40.9,0,9.85,0,0,27.78,0,0,0

96,23:45-24:00,0.000000,0.000000,116.200000,0.000000,272.250000,10.780000,11.920000,0.000000,0.000000,10.360000,76.990000,261.940000,101.400000,24.200000,28.91,0,14.1,0,14.11,39.95,0,0,42.32,0,10,0,0,28.91,0,0,0

