Block,Time,DADRT2,CHAMERA3,TANDA2,DADRI_CRF,ANTA_CRF,URI,ANTA_GF,NAPP,RIHAND1,AURY_RF,CHAMERA2,ANTA_RF,URI2,DADRI_LF,DADRI_RF,NJPC,RAMPUR,UNCHAHAR4,SEWA2,UNCHAHAR2,JHAJJAR,KOTESHWR,RIHAND3,DULHASTI,UNCHAHAR1,SALAL,AURY_LF,RIHAND2,AURY_CRF,SINGRAULI_HYDRO,SINGRAULI,RAPPC,TANAKPUR,RAPPB,DADRI_GF,KISHANGANGA,KOLDAM,DHAULIGNGA,PARBATI3,BSIUL,UNCHAHAR3,AURY_GF,ANTA_LF,TEHRI,CHAMERA1,BRBCL,KHSTPP-I,SASAN,FSTPP I & II,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net

23,05:30-05:45,513.868334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,386.363863,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,23.668068,0.000000,0.000000,35.498549,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

24,05:45-06:00,513.868334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,386.363863,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,23.668068,0.000000,0.000000,35.498549,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

25,06:00-06:15,562.083334,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,391.185363,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,3.678195,6.288007,23.668068,0.000000,0.000000,35.498549,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

26,06:15-06:30,562.083334,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,398.506811,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,10.495474,7.356389,6.288007,23.668068,0.000000,0.000000,35.498549,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

27,06:30-06:45,562.083334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,386.363863,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,1.235268,0.000000,0.000000,5.297584,0.000000,20.990949,38.253224,18.864022,23.668068,0.000000,0.000000,35.498549,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

28,06:45-07:00,562.083334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,386.363863,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,1.235268,0.000000,0.000000,5.297584,0.000000,20.990949,38.253224,18.864022,23.668068,0.000000,0.000000,27.968553,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

29,07:00-07:15,558.226134,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,378.649463,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,6.423395,0.000000,0.000000,5.297584,0.000000,20.990949,38.253224,18.864022,23.668068,0.000000,0.000000,11.832849,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

30,07:15-07:30,558.226134,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,43.303458,378.649463,8.893262,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,6.423395,0.000000,0.000000,5.297584,0.000000,20.990949,38.253224,18.864022,23.668068,0.000000,0.000000,0.000000,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

31,07:30-07:45,510.011134,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,37.515224,378.649463,8.893262,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,6.423395,0.000000,0.000000,5.297584,0.000000,20.990949,38.253224,12.576015,23.668068,0.000000,0.000000,0.000000,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

32,07:45:08:00,461.796134,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.979687,9.174815,37.515224,367.801088,8.893262,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,6.423395,0.000000,0.000000,5.297584,0.000000,10.471193,19.126612,12.576015,23.668068,0.000000,0.000000,0.000000,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

33,08:00-08:15,413.581134,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.525020,9.174815,37.515224,360.903740,8.893262,125.918390,19.020948,15.395339,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,10.425666,3.678195,12.576015,18.666727,0.000000,0.000000,0.000000,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

34,08:15-08:30,370.187634,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.525020,9.174815,37.515224,360.903740,8.893262,125.918390,38.041894,15.395339,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,18.666727,0.000000,0.000000,0.000000,27.095596,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

35,08:30-08:45,370.187634,11.184643,4.730315,0.000000,0.000000,33.002203,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,25.788899,0.995011,2.525020,9.174815,25.009988,360.903740,8.893262,125.918390,38.041894,12.741489,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,15.816738,0.000000,0.000000,0.000000,27.095596,19.286003,44.742633,403.819911,16.166104,0.000000,142.909260,0,0,0,0,0

