Column1,Block,NR/2025/25752/A/67228,NR/2025/26254/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/28/7408,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/1389,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6490,NR/2025/26249/C,NR/2025/26214/C,NR/2025/26247/C,GNA/NR/2025/04/16/2341,NR/2025/26250/C,NR/2025/26251/C,GNA/SR/2025/04/01/2597,NR/2025/26253/C,NR/2025/25947/A/67681,NR/2025/26242/C,NR/2025/25948/A/67680,NR/2025/26031/A/67358,NR/2025/25955/A/67679,NR/2025/26252/C,WR/2025/27361/A/67690,NR/2025/26085/A/67181,NR/2025/26258/C,WR/2025/27350/A/67226,NR/2025/25945/A/67682,NR/2025/26255/C,Total
3,00:30-00:45,0,15.7,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.41,32,9.63,72.25,9.63,72.25,0,14.59,9.63,2.31,213.85,8.77,19.27,4.14,5.59,52.5,2.89,43.78,26.3,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1165.1899999999998

4,00:45-01:00,0,19.27,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.41,32,9.63,72.25,9.63,72.25,0,14.59,9.63,2.31,213.85,8.67,19.27,4.14,5.49,52.5,2.89,43.78,27.65,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1169.9099999999999

5,01:00-01:15,0,22.44,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.33,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,8.67,19.27,4.14,5.49,52.5,26.97,43.78,28.32,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1215.35

6,01:15-01:30,0,23.41,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.33,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,8.77,19.27,4.14,5.49,52.5,26.97,43.78,29,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1217.1

7,01:30-01:45,0,24.08,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.33,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,8.38,19.27,4.14,5.39,52.5,26.97,43.78,30.83,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1219.11

8,01:45-02:00,0,24.08,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.33,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,7.8,19.27,4.14,5.39,52.5,26.97,43.78,31.79,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1219.4899999999998

9,02:00-02:15,0,24.08,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.23,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,7.13,19.27,3.76,5.3,0,26.97,43.78,31.79,14.59,3.85,29.02,3.47,24.08,0.48,96.33,96.33,43.78,96.33,1262.0799999999997

10,02:15-02:30,0,23.02,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.23,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,213.85,6.55,19.27,3.76,5.3,0,26.97,43.78,31.79,14.59,3.85,29.02,3.47,24.08,0.48,96.33,96.33,43.78,96.33,1260.4399999999998

11,02:30-02:45,0,17.53,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.23,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,6.36,19.27,3.76,5.39,0,26.97,43.78,31.79,14.59,3.85,29.02,3.47,24.08,0.48,96.33,96.33,43.78,96.33,1252.97

12,02:45-03:00,0,11.75,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.23,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,6.26,19.27,3.76,5.39,0,26.97,43.78,31.79,14.59,3.85,29.02,3.47,24.08,0.48,96.33,96.33,43.78,96.33,1247.09

13,03:00-03:15,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.14,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,5.97,19.27,3.76,5.49,0,26.97,43.78,29.86,14.59,3.85,29.02,3.47,24.08,0.43,96.33,96.33,43.78,96.33,1242.71

14,03:15-03:30,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.14,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,5.78,19.27,3.76,5.2,0,26.97,43.78,27.94,14.59,3.85,29.02,3.47,24.08,0.43,96.33,96.33,43.78,96.33,1240.31

15,03:30-03:45,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.14,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,5.49,19.27,3.76,5.01,0,26.97,43.78,26.97,14.59,3.85,29.02,3.47,24.08,0.43,96.33,96.33,43.78,96.33,1238.86

16,03:45-04:00,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.14,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,213.85,5.2,19.27,3.76,4.82,0,26.97,43.78,25.05,14.59,3.85,29.02,3.47,24.08,0.43,96.33,96.33,43.78,96.33,1236.46

17,04:00-04:15,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,26.16,9.63,72.25,9.63,72.25,26.16,14.59,9.63,2.31,213.85,5.11,19.27,3.76,4.62,0,26.97,43.78,24.08,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1143.3400000000001

18,04:15-04:30,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,5.01,19.27,3.76,4.43,0,26.97,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1147.61

19,04:30-04:45,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,4.91,19.27,3.76,4.33,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1141.63

20,04:45-05:00,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.96,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,4.72,19.27,3.76,4.24,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1141.3500000000001

21,05:00-05:15,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.86,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,4.53,19.27,3.76,4.05,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1140.8700000000001

22,05:15-05:30,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.86,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,4.24,19.27,3.76,4.05,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1140.5800000000002

23,05:30-05:45,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.86,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,3.76,19.27,3.76,3.95,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1140.0000000000002

24,05:45-06:00,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.86,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,3.47,19.27,3.76,3.95,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,0,96.33,43.78,96.33,1139.7100000000003

25,06:00-06:15,0,9.63,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.77,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,2.22,19.27,3.76,3.95,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.58,0,96.33,43.78,96.33,1138.4700000000003

26,06:15-06:30,0,9.63,0.28,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.77,23.86,9.63,72.25,9.63,72.25,23.86,14.59,9.63,2.31,223.49,1.93,19.27,3.76,3.56,0,21.19,43.78,24.28,14.59,3.85,29.02,3.47,24.08,0.58,0,96.33,43.78,96.33,1138.75

27,06:30-06:45,0,9.63,3.5,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.77,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,242.75,1.93,19.27,3.76,3.28,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.58,0,96.33,43.78,96.33,1162.15

28,06:45-07:00,0,9.63,6.62,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.77,32,9.63,72.25,9.63,72.25,17.6,14.59,9.63,2.31,242.75,1.83,19.27,3.76,2.89,0,21.19,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.58,0,96.33,43.78,96.33,1164.78

29,07:00-07:15,0,9.63,10.5,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.68,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,2.31,242.75,1.73,19.27,3.76,2.6,0,21.19,43.78,22.93,14.59,3.85,29.02,3.47,24.08,0.63,0,96.33,43.78,96.33,1175.6399999999999

30,07:15-07:30,0,9.63,15.64,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.68,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,2.31,242.75,1.54,19.27,3.76,2.31,0,21.19,43.78,21.58,14.59,3.85,29.02,3.47,24.08,0.63,0,96.33,43.78,96.33,1178.95

31,07:30-07:45,0,9.63,22.01,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.68,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,2.31,242.75,1.44,19.27,3.76,2.12,0,21.19,43.78,20.23,14.59,3.85,29.02,3.47,24.08,0.63,0,96.33,43.78,96.33,1183.68

32,07:45-08:00,0,9.63,28.93,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.68,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,2.31,242.75,1.35,19.27,3.76,1.93,0,21.19,43.78,0,14.59,3.85,29.02,3.47,24.08,0.63,0,96.33,43.78,96.33,1170.09

33,08:00-08:15,3.85,9.63,36.51,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.5,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,3.85,29.02,0,24.08,0.96,0,0,43.78,96.33,1053.26

34,08:15-08:30,3.85,0,44.22,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.5,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,3.85,29.02,0,24.08,0.96,0,0,43.78,96.33,1051.3400000000001

35,08:30-08:45,3.85,0,51.58,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.5,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,3.85,29.02,0,24.08,0.96,0,0,43.78,96.33,1058.7

36,08:45-09:00,3.85,0,58.78,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.5,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,3.85,29.02,0,24.08,0.96,0,0,43.78,96.33,1065.9

37,09:00-09:15,6.74,0,65.71,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.4,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,980.26

38,09:15-09:30,6.74,0,72.05,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.4,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,21.19,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,986.6

39,09:30-09:45,6.74,0,77.64,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.4,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,971

40,09:45-10:00,6.74,0,82.63,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,9.4,32,9.63,72.25,9.63,72.25,25.68,14.59,9.63,0,223.49,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,975.9899999999999

41,10:00-10:15,8.67,0,87.21,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.57,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,987.48

42,10:15-10:30,8.67,0,91.48,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.57,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,991.75

43,10:30-10:45,8.67,0,94.88,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.57,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,995.15

44,10:45-11:00,8.67,0,97.86,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.57,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,998.13

45,11:00-11:15,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1000.09

46,11:15-11:30,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1000.09

47,11:30-11:45,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1000.09

48,11:45-12:00,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1000.09

49,12:00-12:15,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.29,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,999.99

50,12:15-12:30,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.29,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,0,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,999.99

51,12:30-12:45,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.29,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,1.93,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1001.92

52,12:45-13:00,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.29,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,2.89,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1002.88

53,13:00-13:15,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,4.82,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1004.6300000000001

54,13:15-13:30,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,4.82,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1004.6300000000001

55,13:30-13:45,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,6.74,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1006.5500000000001

56,13:45-14:00,8.67,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,7.71,14.59,4.82,29.02,0,24.08,0.96,0,0,43.78,0,1007.5200000000001

57,14:00-14:15,7.71,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.02,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,0,43.78,11.56,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,1011.2799999999997

58,14:15-14:30,7.71,0,100,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.02,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,18.3,43.78,13.49,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,1031.5099999999998

59,14:30-14:45,7.71,0,97.75,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.02,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,233.12,0,19.27,0,0,0,18.3,43.78,13.49,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,1029.2599999999998

60,14:45-15:00,7.71,0,92.41,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.02,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,14.45,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,1005.6099999999999

61,15:00-15:15,6.74,0,90.2,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,14.45,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,1002.52

62,15:15-15:30,6.74,0,86.08,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,15.41,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,999.3599999999998

63,15:30-15:45,6.74,0,82.34,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,16.38,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,996.5899999999998

64,15:45-16:00,6.74,0,76.68,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.11,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,21.19,43.78,16.38,14.59,5.78,29.02,0,24.08,0.96,0,0,43.78,0,993.82

65,16:00-16:15,3.85,0,70.35,0,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,16.38,14.59,6.74,29.02,0,24.08,0.82,0,0,43.78,96.33,1129.1399999999999

66,16:15-16:30,3.85,0,63.56,0,48.16,50,2.89,1.93,2.89,96.33,2.89,43.78,28.9,8.39,26.93,9.63,72.25,9.63,72.25,26.93,14.59,9.63,0,213.85,0,19.27,0,0,0,18.3,43.78,22.16,14.59,6.74,29.02,0,24.08,0.82,0,0,43.78,96.33,1128.1299999999999

