Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/3646,WR/2024/24788/A/43361,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9042,NR/2024/23909/A/43267,NR/2024/23769/A/43206,NR/2024/23420/A/43213,NR/2024/23809/A/43207,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5474,NR/2024/23918/A/43209,NR/2024/23971/C,NR/2024/23972/C,GNA/WR/2024/11/01/4200,Total
10,02:15-02:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

11,02:30-02:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

12,02:45-03:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

13,03:00-03:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

14,03:15-03:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

15,03:30-03:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

16,03:45-04:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

17,04:00-04:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

18,04:15-04:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

19,04:30-04:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

20,04:45-05:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

21,05:00-05:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

22,05:15-05:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

23,05:30-05:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

24,05:45-06:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,190.26,0,0,0,0,379.83000000000004

25,06:00-06:15,0,25.94,0,25.94,2.66,0,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,0,0,0,0,0,126.06000000000003

26,06:15-06:30,0,25.94,0,25.94,2.66,0,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,0,0,0,0,0,126.06000000000003

27,06:30-06:45,0,25.94,0,25.94,2.66,0,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,0,0,0,0,0,126.06000000000003

28,06:45-07:00,0,25.94,0,25.94,2.66,0,0,25.94,8.65,17.29,0,5.76,0.43,4.8,0,8.65,0,0,0,0,0,126.06000000000003

29,07:00-07:15,0,25.94,0,25.94,2.66,0,0,25.94,8.65,24.98,0,5.76,0.58,4.8,0,8.65,0,0,0,0,0,133.9

30,07:15-07:30,0,25.94,0,25.94,2.66,0,0,25.94,8.65,24.98,0,5.76,0.58,4.8,0,8.65,0,0,0,0,0,133.9

31,07:30-07:45,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.58,4.8,0,8.65,0,0,0,0,0,157.91000000000003

32,07:45-08:00,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.58,4.8,0,8.65,0,0,0,0,0,157.91000000000003

33,08:00-08:15,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,0,0,0,0,158.29000000000002

34,08:15-08:30,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,0,0,0,0,158.29000000000002

35,08:30-08:45,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,0,0,0,0,158.29000000000002

36,08:45-09:00,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,0,0,0,0,158.29000000000002

37,09:00-09:15,0,28.82,0,28.82,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,3.84,25.36,24.02,0,196.04000000000005

38,09:15-09:30,0,28.82,0,28.82,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,3.84,29.4,23.44,0,199.50000000000006

39,09:30-09:45,0,28.82,0,28.82,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,3.84,30.74,22.1,0,199.50000000000006

40,09:45-10:00,0,28.82,0,28.82,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,3.84,30.74,22.1,0,199.50000000000006

41,10:00-10:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,30.74,22.1,0,205.26000000000005

42,10:15-10:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,30.74,22.1,0,205.26000000000005

43,10:30-10:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,30.74,22.1,0,205.26000000000005

44,10:45-11:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,30.74,22.1,0,205.26000000000005

45,11:00-11:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

46,11:15-11:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

47,11:30-11:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

48,11:45-12:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

49,12:00-12:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

50,12:15-12:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

51,12:30-12:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

52,12:45-13:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,6.72,30.74,22.1,0,207.18000000000004

53,13:00-13:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.77,4.8,0,8.65,0,5.76,30.74,22.1,0,206.13000000000002

54,13:15-13:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.77,4.8,0,8.65,0,5.76,30.74,22.1,0,206.13000000000002

55,13:30-13:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.77,4.8,0,8.65,0,5.76,30.74,22.1,0,206.13000000000002

56,13:45-14:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.77,4.8,0,8.65,0,5.76,30.74,22.1,0,206.13000000000002

57,14:00-14:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,4.8,30.74,22.1,0,205.36000000000004

58,14:15-14:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,4.8,30.74,22.1,0,205.36000000000004

59,14:30-14:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,4.8,30.74,22.1,0,205.36000000000004

60,14:45-15:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.96,4.8,0,8.65,0,4.8,30.74,22.1,0,205.36000000000004

61,15:00-15:15,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,30.74,22.1,0,205.26000000000005

62,15:15-15:30,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,28.34,24.5,0,205.26000000000005

63,15:30-15:45,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,24.02,26.9,0,203.34000000000006

64,15:45-16:00,0,28.82,0,33.62,2.66,0,0,28.82,8.65,24.98,0,5.76,0.86,4.8,0,8.65,0,4.8,19.6,25.94,0,197.96000000000004

65,16:00-16:15,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.77,4.8,0,8.65,0,2.88,15.28,26.9,0,204.12000000000003

66,16:15-16:30,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.77,4.8,0,8.65,0,2.88,11.05,25.94,0,198.93000000000004

67,16:30-16:45,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.77,4.8,0,8.65,0,2.88,7.4,15.18,0,184.52000000000004

68,16:45-17:00,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.77,4.8,0,8.65,0,2.88,4.61,7.01,0,173.56000000000003

69,17:00-17:15,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.58,4.8,0,8.65,0,0.96,0,0,0,159.83000000000004

70,17:15-17:30,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,0.96,5.76,0.58,4.8,0,8.65,0,0.96,0,0,0,159.83000000000004

71,17:30-17:45,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,1.92,5.76,0.58,4.8,0,8.65,0,0.96,0,0,0,160.79000000000002

72,17:45-18:00,0,33.62,0,34.59,2.66,0,0,33.62,8.65,24.98,1.92,5.76,0.58,4.8,0,8.65,0,0.96,0,0,0,160.79000000000002

73,18:00-18:15,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

74,18:15-18:30,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

75,18:30-18:45,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

76,18:45-19:00,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

77,19:00-19:15,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

78,19:15-19:30,150,33.62,0,34.59,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,398.39

79,19:30-19:45,150,33.62,0,33.62,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,397.42

80,19:45-20:00,150,33.62,0,33.62,2.75,0,38.43,33.62,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,397.42

81,20:00-20:15,200,28.82,0,33.62,2.75,0,38.43,28.82,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,437.82

82,20:15-20:30,200,28.82,0,33.62,2.75,0,38.43,28.82,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,437.82

83,20:30-20:45,200,28.82,0,33.62,2.75,0,38.43,28.82,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,437.82

84,20:45-21:00,200,28.82,0,33.62,2.75,0,38.43,28.82,8.65,24.98,1.92,5.76,0.62,4.8,0,8.65,0,0,0,0,50,437.82

85,21:00-21:15,200,25.94,0,25.94,2.75,0,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,0,0,0,0,50,423.41999999999996

86,21:15-21:30,200,25.94,0,25.94,2.75,0,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,0,0,0,0,50,423.41999999999996

87,21:30-21:45,200,25.94,0,25.94,2.75,0,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,0,0,0,0,50,423.41999999999996

88,21:45-22:00,200,25.94,0,25.94,2.75,0,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,0,0,0,0,50,423.41999999999996

89,22:00-22:15,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,677.01

90,22:15-22:30,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0.96,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,677.01

91,22:30-22:45,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

92,22:45-23:00,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

93,23:00-23:15,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

94,23:15-23:30,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

95,23:30-23:45,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

96,23:45-24:00,200,25.94,0,25.94,2.66,63.42,38.43,25.94,8.65,24.98,0,5.76,0.62,4.8,0,8.65,190.26,0,0,0,50,676.05

