Block,Time Block,SIMHST2,SINGRAULI_HYDRO,TANDA2,SINGRAULI,TALST2,TANAKPUR,TALA,SASAN,SIMHST1,SEWA2,RIHAND2,RIHAND1,RAPPD,RSTPSU1TO6,SALAL,RSTPSU7,RIHAND3,RAPPC,JHAJJAR,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,NLCTS2EXP,RAMPUR,NNTPP,RAPPB,NTPL,PARBATI3,PARBATI2,KOTESHWR,KUDGI,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,URI2,ANTA_GF,UNCHAHAR3,TEHRI,TelanganaSTPP,ANTA_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,ANTA_LF,AURY_LF,ANTA_RF,DADRI_GF,DADRI_CRF,AURY_GF,DADRI_RF,AURY_RF,AURY_CRF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
12,02:45-03:00,0,1.04,5.34,120.62,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,134.82,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,6.28,32.67,45.35,12.64,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,19.07,50.46,0,0,28.46,36.12,15.53,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,1.04,4.17,120.62,0,11.46,28.58,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,6.28,32.67,45.35,15.02,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,18,50.46,0,0,27.69,34.53,14.59,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,1.04,4.17,120.62,0,11.46,28.58,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,6.28,32.67,45.35,15.73,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,18,50.46,0,0,27.69,34.53,14.59,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,1.04,4.17,120.62,0,11.46,28.32,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,17.3,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,16.92,50.46,0,0,27.69,34.53,14.13,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,1.04,4.17,120.62,0,11.46,28.18,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,17.29,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,16.92,50.46,0,0,27.69,34.53,14.13,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,1.04,4.17,120.62,0,11.46,28.05,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,16.93,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,20.42,50.46,0,0,33.32,34.53,15.8,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,1.04,4.17,120.62,0,11.46,27.93,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,18.73,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,20.42,50.46,0,0,33.32,34.53,15.84,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,1.04,4.17,120.62,0,11.46,28.02,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,18.63,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,17.79,50.46,0,0,28.73,34.53,15.84,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,1.04,4.17,120.62,0,11.46,28.02,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,12.55,32.67,45.35,18.83,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,17.32,50.46,0,0,27.69,34.53,14.02,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,1.04,4.17,120.62,0,11.46,27.98,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,115.43,40.87,20.02,53.3,12.55,32.67,45.35,24.05,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,16.92,50.46,0,0,27.69,34.01,13.07,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,1.04,4.17,120.62,0,11.46,27.98,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,86.71,40.87,20.02,53.3,12.55,32.67,45.35,24.05,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,16.92,50.46,0,0,27.69,34.01,13.07,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,1.04,4.17,120.62,0,11.46,27.71,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,130.64,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,124.24,40.87,20.02,53.3,18.83,32.67,45.35,23.13,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,20.42,50.46,0,0,33.32,34.01,15.84,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,1.04,4.17,120.62,0,11.46,27.71,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,130.64,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,164.81,40.87,20.02,53.3,18.83,32.67,45.35,20.15,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,20.42,50.46,0,0,33.32,34.01,15.84,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,1.04,4.17,120.62,0,11.46,27.53,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,130.64,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,150.39,40.87,20.02,53.3,0,32.67,45.35,20.52,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,20.42,50.46,0,0,33.32,50.4,15.84,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,1.04,4.17,120.62,0,11.46,27.48,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,130.64,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,150.39,40.87,20.02,53.3,0,32.67,45.35,24.05,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,20.42,50.46,0,0,33.32,50.4,15.84,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,0,1.04,4.17,127.6,0,11.46,27.31,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,130.64,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,164.81,40.87,20.02,53.3,0,32.67,45.35,24.05,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,20.42,50.46,0,0,33.32,50.4,15.84,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,0,1.04,4.17,136.27,0,11.46,27.45,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,127.14,40.87,20.02,53.3,0,32.67,45.35,22.81,40.57,142.74,0,0,8.3,6.79,43.82,0,0,37.51,0,20.42,50.46,0,0,33.32,50.4,15.84,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,0,1.04,3.01,137.96,0,11.46,28.47,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,86.71,40.87,15.55,53.3,0,32.67,45.35,21.94,40.57,120.99,0,0,8.3,6.79,34.2,0,0,37.51,0,17.96,37.86,0,0,29.25,29.75,13.29,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,0,1.04,3.01,137.96,0,11.46,28.47,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.49,40.87,15.55,53.3,0,32.67,45.35,21,40.57,113.74,0,0,8.3,6.79,34.2,0,0,37.51,0,14.66,25.23,0,0,23.82,29.75,11.87,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,0,1.04,3.01,137.96,0,11.46,28.47,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.49,40.87,15.55,53.3,0,32.67,45.35,21.29,40.57,113.74,0,0,8.3,6.79,34.2,0,0,24,0,16.44,12.62,0,0,23.82,31.88,11.87,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,0,1.04,3.01,137.96,0,11.46,28.47,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,124.33,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.49,40.87,11.96,53.3,0,32.67,45.35,17.23,40.57,94.03,0,0,8.3,6.79,28.14,0,0,24,0,16.44,0,0,0,23.82,31.88,11.87,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,1.04,4.41,137.96,0,11.46,28.12,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,16.78,40.57,94.03,0,0,8.3,6.79,28.14,0,0,23.25,0,16.44,0,0,0,30.26,36.12,13.06,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,1.04,4.41,137.96,0,11.46,27.85,314.02,0,0,120.57,94.63,23.69,0,79.41,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,21.98,40.57,97.42,0,0,8.3,6.79,28.14,0,0,23.25,0,16.44,0,0,0,30.26,36.12,13.06,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,1.04,4.41,137.96,0,11.46,27.71,314.02,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,17.33,40.57,102.87,0,0,8.3,6.79,28.14,0,0,23.25,0,16.44,0,0,0,30.26,36.12,12.56,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,1.04,4.41,137.96,0,11.46,27.64,318.53,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,22.66,27.05,102.93,0,0,8.3,6.79,28.14,0,0,23.25,0,16.44,0,0,0,30.26,36.12,12.56,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,1.04,4.41,137.96,0,11.46,28.18,323.94,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,20.44,13.52,104.05,0,0,8.3,6.79,28.14,0,0,23.25,0,13.61,0,0,0,24.44,34.01,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,1.04,4.41,137.96,0,11.46,28.5,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,21.46,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,19.43,0,105.69,0,0,8.3,6.79,28.14,0,0,23.25,0,13.61,0,0,0,24.44,34.01,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,1.04,4.41,137.96,0,11.46,30.16,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,18.98,0,113.74,0,0,8.3,6.79,28.14,0,0,23.25,0,13.61,0,0,0,24.44,50.4,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,1.04,4.41,137.96,0,11.46,30.16,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,10.71,53.3,0,32.67,45.35,18.28,0,112.65,0,0,8.3,6.79,28.14,0,0,23.25,0,13.61,0,0,0,24.44,50.4,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,1.04,4.41,137.96,0,11.46,30.66,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,18.76,0,140.03,0,0,8.3,6.79,37.34,0,0,37.51,0,13.61,0,0,0,24.44,50.4,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,1.04,4.41,137.96,0,11.46,30.66,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,17.81,0,142.74,0,0,8.3,6.79,37.77,0,0,37.51,0,13.61,0,0,0,24.44,50.4,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,13.91,13.52,142.74,0,0,8.3,6.79,37.77,0,0,23.25,0,13.61,0,0,0,24.44,31.88,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,78.85,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,13.95,27.05,142.74,0,0,8.3,6.79,37.77,0,0,23.25,0,13.61,0,0,0,24.44,31.88,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,78.29,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,15.68,40.57,142.74,0,0,8.3,6.79,37.77,0,0,23.25,0,13.61,0,0,0,24.44,31.88,10.41,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,78.29,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,8.14,40.87,14.1,53.3,0,32.67,45.35,18.71,40.57,142.74,0,0,8.3,6.79,37.77,0,0,23.25,0,18.92,0,0,0,30.8,31.88,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,53.08,40.87,14.1,53.3,0,32.67,45.35,19.11,40.57,142.74,0,0,8.3,6.79,37.77,0,0,24,0,18.92,0,0,0,30.8,34.01,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,81.96,40.87,16.86,53.3,0,32.67,45.35,19.67,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,18.92,0,0,0,30.8,34.01,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,120.46,40.87,16.86,53.3,0,32.67,45.35,18.64,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,18.92,0,0,0,30.8,29.75,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,101.21,40.87,16.86,53.3,0,32.67,45.35,19.4,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,18.92,0,0,0,30.8,29.75,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,101.21,40.87,16.86,53.3,0,32.67,45.35,16.7,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,18.92,0,0,0,30.8,21.25,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,1.04,4.41,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,9.76,0,33.03,40.87,16.86,53.3,0,32.67,45.35,19.18,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,18.92,0,0,0,30.8,21.25,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,1.04,2.94,137.96,0,11.46,30.5,324.84,0,0,120.57,94.63,23.69,0,77.73,0,125.93,62.97,123.27,0,0,0,169.2,0,23.45,0,5.49,0,0,0,20.04,0,5.31,0,34.64,40.87,14.1,47.97,0,32.67,45.35,18.48,40.57,125.54,0,0,7.62,6.79,37.16,0,0,23.25,0,18.92,0,0,0,30.8,21.25,14.49,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

