Time,Block,NR/2024/19779/A/18360,NR/2024/19637/A/18701,NR/2024/20180/C,NR/2024/20149/C,NR/2024/20034/A/18571,NR/2024/19475/A/18511,NR/2024/20181/C,NR/2024/20174/C,NR/2024/20040/A/18592,NR/2024/20082/A/18593,NR/2024/20165/C,NR/2024/20145/C,NR/2024/20031/A/18572,NR/2024/20037/A/18526,NR/2024/19966/A/18531,NR/2024/19699/A/18575,NR/2024/20168/C,NR/2024/19918/A/18591,NR/2024/20167/C,NR/2024/20090/A/18620,NR/2024/19588/A/18208,NR/2024/20175/C,NR/2024/20172/C,NR/2024/19760/A/18527,NR/2024/20182/C,NR/2024/20041/A/18614,NR/2024/20164/C,NR/2024/20151/C,NR/2024/19355/A/18664,NR/2024/20166/C,NR/2024/19432/A/18577,NR/2024/20179/C,NR/2024/20050/A/18610,NR/2024/20052/A/18504,NR/2024/20133/C,NR/2024/19683/A/18141,NR/2024/20177/C,NR/2024/20033/A/18573,NR/2024/20048/A/18612,NR/2024/20148/C,Total

3,00:30-00:45,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,39.620000,0.000000,144.960000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1915.97

4,00:45-01:00,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,39.620000,0.000000,144.960000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1915.97

5,01:00-01:15,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1760.38

6,01:15-01:30,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1760.38

7,01:30-01:45,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,0.000000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1641.51

8,01:45-02:00,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,0.000000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1641.51

9,02:00-02:15,0.630000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1272.36

10,02:15-02:30,0.630000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1272.36

11,02:30-02:45,0.630000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1272.36

12,02:45-03:00,0.630000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1272.36

13,03:00-03:15,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

14,03:15-03:30,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

15,03:30-03:45,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

16,03:45-04:00,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

17,04:00-04:15,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

18,04:15-04:30,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

19,04:30-04:45,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

20,04:45-05:00,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,9.660000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1214.28

21,05:00-05:15,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1223.95

22,05:15-05:30,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1223.95

23,05:30-05:45,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1223.95

24,05:45-06:00,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,163.080000,8.700000,0.480000,1.930000,0.000000,12.450000,54.360000,0,1223.95

25,06:00-06:15,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,0,992.98

26,06:15-06:30,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,0.1,993.08

27,06:30-06:45,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,0.44,993.42

28,06:45-07:00,0.530000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,0.84,993.82

29,07:00-07:15,0.680000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,1.28,994.41

30,07:15-07:30,0.680000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,1.79,994.92

31,07:30-07:45,0.680000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,2.34,995.47

32,07:45:08:00,0.680000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,8.700000,0.480000,1.930000,0.000000,12.450000,0.000000,3.02,996.15

33,08:00-08:15,0.970000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,3.6,997.98

34,08:15-08:30,0.970000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,4.2,998.58

35,08:30-08:45,0.970000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,4.91,999.29

36,08:45:09:00,0.970000,0.000000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,0.000000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,0.000000,48.320000,0.000000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,5.53,999.91

37,09:00:09:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,5.94,1159.78

38,09:15-09:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,6.48,1160.32

39,09:30-09:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,6.97,1160.81

40,09:45-10:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,9.660000,0.480000,1.930000,0.000000,12.450000,0.000000,7.39,1161.23

41,10:00-10:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,7.78,1165.49

42,10:15-10:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.14,1165.85

43,10:30-10:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.45,1166.16

44,10:45-11:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.66,1166.37

45,11:00-11:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.9,1166.61

46,11:15-11:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.08,1166.79

47,11:30-11:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.21,1166.92

48,11:45-12:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,0.000000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.25,1166.96

49,12:00-12:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.32,1180.56

50,12:15-12:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.3,1180.54

51,12:30-12:45,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.26,1180.5

52,12:45-13:00,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.12,1180.36

53,13:00-13:15,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,9.04,1180.28

54,13:15-13:30,0.970000,24.160000,0.000000,111.430000,37.330000,193.280000,0.000000,0.000000,14.500000,11.600000,0.520000,183.620000,37.330000,72.480000,38.660000,48.320000,0.000000,13.530000,0.880000,1.930000,66.870000,0.000000,0.000000,48.320000,48.320000,48.320000,0.350000,19.330000,96.640000,0.000000,24.160000,0.000000,0.000000,13.530000,0.480000,1.930000,0.000000,12.450000,0.000000,8.9,1180.14

