Column1,Time,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5126,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/WR/2025/08/25/1832,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/4452,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/4125,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,NR/01102023/31052040/LT-31
21,05:00-05:15,-0,20.44,30.93,0,28.78,9,10.32,28.77,0,0,0,0,12.65,0,0,0,10.32,0,0,0,0,0,0,0,0,32.01,0,70.17,81.78,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,56.4,0,14.58,144.32,230.9,0,28.93,81.78,81.78,40.89,0

22,05:15-05:30,-0,20.44,28.69,0,27.15,8.67,9.56,27.15,0,0,0,0,12.65,0,0,0,9.56,0,0,0,0,0,0,0,0.01,32.01,0,70.17,100.23,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,56.4,0,14.58,195.22,230.9,0,28.93,81.78,81.78,40.89,0

23,05:30-05:45,-0,20.44,26.45,0,25.49,8.33,8.82,25.48,0,0,0,0,12.65,0,0,0,8.82,0,0,0,0,0,0,0,0.07,28.01,0,70.17,100.23,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,83.68,0,14.58,224.08,270.59,0,28.93,81.78,81.78,40.89,0

24,05:45-06:00,-0,20.44,25.15,0,24.79,8,8.39,24.8,0,0,0,0,12.65,0,0,0,8.39,0.3,0,0,0,0,0,0.06,0.06,27.61,0,70.17,100.23,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,86.78,0,14.58,224.08,270.59,0,28.93,81.78,81.78,40.89,0

25,06:00-06:15,-0,20.44,24.02,3.56,34.66,8,8,34.67,0.09,0.04,0,0,12.65,0,0,0,8,1.79,1,1,0,1,0,0.36,1.41,24.01,0,70.17,79.85,20.76,19.24,14.58,3.22,4,15.25,0,0,0,20.44,76.28,0,14.58,198.41,270.59,0,28.93,81.78,81.78,40.89,0

26,06:15-06:30,-0,20.44,23.09,10.56,32.34,8,7.69,32.33,5.56,2.47,1,0,12.65,0,0,0,7.69,4.64,2,2,0,2,1,0.93,2.89,24.21,1,115.07,52.92,20.76,19.24,14.58,3.22,4,15.25,0,0,0,20.44,76.28,0,14.58,198.41,270.59,0,28.93,81.78,81.78,40.89,0

27,06:30-06:45,-0,20.44,33.49,21.6,37.66,7.67,11.17,37.67,15.56,5.96,4,0,12.65,0,0,0,11.17,9.05,3,5,0,4,2,1.81,4.58,29.01,3,95.02,52.92,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,76.28,0.78,14.58,198.41,270.59,1.01,28.93,81.78,81.78,40.89,1.01

28,06:45-07:00,-0,20.44,30.49,31.54,36,7.33,10.17,36,30.56,10.79,8,0,12.65,0,0,0,10.17,15.44,4,7,0,7,4,3.09,6.5,29.01,5,70.17,52.92,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,76.28,1.15,14.58,188.79,270.59,1.48,28.93,81.78,81.78,40.89,1.48

29,07:00-07:15,-0,20.44,28.01,33,35,7.33,9.33,35,33,16.67,12,0,12.65,0,0,0,9.33,23.69,5,11,0,11,6,4.74,10.76,33.01,7,70.17,52.92,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,56.4,1.73,14.58,159.93,270.59,2.25,28.93,81.78,81.78,40.89,2.25

30,07:15-07:30,-0,20.44,25.5,33,34.34,7.33,8.5,34.33,33,23.06,16,0,12.65,0,0,0,8.5,33.32,7,16,0,13,8,6.66,15.27,32.61,12,70.17,52.92,20.76,19.24,14.58,3.24,4,15.25,0,0,0,20.44,56.4,2.39,14.58,159.93,270.59,3.08,28.93,81.78,81.78,40.89,3.08

31,07:30-07:45,-0,20.44,23.51,33,33.66,7.67,7.83,33.67,33,28.28,24,0,12.65,0,0,0,7.83,44.7,8,17,0,18,8,8.94,20.16,40.02,16,70.17,52.92,20.76,19.24,14.58,3.24,4.69,15.25,0,0,0,20.44,38.04,3.08,14.58,138.54,230.9,3.98,28.93,81.78,81.78,40.89,3.98

32,07:45-08:00,-0,20.44,21.49,32.9,32.66,7.67,7.17,32.67,32.9,35.55,32,0,12.65,0,0,0,7.17,57.93,12,23,0,22,12,11.59,25.22,39.62,21,70.17,52.92,20.76,19.24,14.58,3.21,4.67,15.25,0,0,0,20.44,38.04,3.82,14.58,96.21,230.9,4.94,28.93,81.78,81.78,40.89,4.94

33,08:00-08:15,-0,20.44,19.99,33,25.34,7.67,6.67,25.33,33,43.08,33,0,12.65,0,0,0,6.67,69.95,16,30,0,30,15,13.99,31.2,40.02,27,70.17,52.92,20.76,19.24,14.58,3.21,4.42,15.25,0,0,0,20.44,38.04,4.58,14.58,96.21,230.9,5.93,28.93,81.78,81.78,40.89,5.93

34,08:15-08:30,-0,20.44,18.49,33,24.66,7.33,6.17,24.67,33,50.75,33,0,9.88,0,0,0,6.17,77.34,19,37,0,33,18,15.47,37.42,40.02,33,70.17,52.92,20.76,19.24,14.58,3.21,3.68,15.25,0,0,0,20.44,38.04,5.36,14.58,96.21,230.9,6.94,28.93,81.78,81.78,40.89,6.94

35,08:30-08:45,-0,20.44,16.99,33,23.66,7.33,5.67,23.67,33,70.07,33,0,9.88,0,0,0,5.67,94.9,17,43,0,35,22,18.98,43.85,44.02,37,70.17,52.92,20.76,19.24,14.58,3.21,3.68,15.25,0,0,0,20.44,38.04,6.11,14.58,96.21,192.42,7.91,28.93,81.78,81.78,40.89,7.91

36,08:45-09:00,-0,20.44,15.49,33,22.66,7,5.17,22.67,33,74.36,33,0,9.88,0,0,0,5.17,112.64,18,50,0,38,25,22.53,50.02,44.02,43,70.17,52.92,20.76,19.24,14.58,3.21,3.68,15.25,0,0,0,20.44,38.04,6.86,14.58,96.21,149.62,8.88,28.93,81.78,81.78,40.89,8.88

37,09:00-09:15,-0,20.44,14.51,33,21.66,6.67,4.83,21.67,33,78.36,33,0,9.88,0,0,0,4.83,129.57,19,55,0,44,28,25.92,55.59,43.86,49,70.17,52.92,20.76,19.24,14.58,3.21,4.5,15.25,0,0,0,20.44,38.04,7.94,14.58,96.21,149.62,10.28,28.93,81.78,81.78,40.89,10.28

38,09:15-09:30,-0,20.44,13.5,33,21,6.67,4.5,21,33,81.55,33,0,9.88,0,0,0,4.5,145.96,21,62,0,47,31,29.19,61.25,43.87,55,70.17,52.92,20.76,19.24,14.58,3.21,4.5,15.25,0,0,0,20.44,38.04,8.95,14.58,96.21,149.62,11.57,28.93,81.78,81.78,40.89,11.57

39,09:30-09:45,-0,20.44,12.49,33,20,6.33,4.17,20,33,88.57,33,0,9.88,0,0,0,4.17,161.28,24,52,0,57,26,32.26,66.88,43.52,61,70.17,52.92,20.76,19.24,14.58,3.21,4.5,15.25,0,0,0,20.44,38.04,9.9,14.58,96.21,149.62,12.81,28.93,81.78,81.78,40.89,12.81

40,09:45-10:00,-0,20.44,11.51,33,19.34,6,3.83,19.33,33,95.86,33,0,9.88,0,0,0,3.83,175.42,26,56,0,63,28,35.09,72.04,43.5,66,70.17,52.92,20.76,19.24,14.58,3.21,4.5,15.25,0,0,0,20.44,38.04,10.83,14.58,96.21,149.62,14.01,28.93,81.78,81.78,40.89,14.01

41,10:00-10:15,-0,20.44,15,33,12.93,6.33,5,12.92,33,108.42,33,0,9.88,0,0,0,5,188.52,27,63,0,68,32,37.7,71.85,43.56,70,70.17,52.92,20.76,19.24,14.58,4.6,6.64,15.25,0,0,0,20.44,38.04,9.14,14.58,96.21,149.62,11.82,28.93,81.78,81.78,40.89,11.82

42,10:15-10:30,-0,20.44,16.01,33,12.8,6.67,5.33,12.79,33,112.39,33,0,9.88,0,0,0,5.33,198.8,28,67,0,70,33,39.76,75.19,43.36,72,70.17,52.92,20.76,19.24,14.58,4.6,6.64,15.25,0,0,0,20.44,38.04,9.49,14.58,96.21,149.62,12.28,28.93,81.78,81.78,40.89,12.28

43,10:30-10:45,-0,20.44,16.01,33,12.67,6.33,5.33,12.67,33,112.6,33,0,9.88,0,0,0,5.33,208.8,30,80,0,72,40,41.76,80.19,43.7,76,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,38.04,9.84,14.58,96.21,149.62,12.73,28.93,81.78,81.78,40.89,12.73

44,10:45-11:00,-0,20.44,16.01,33,12.51,6.33,5.33,12.5,33,111.51,33,0,9.88,0,0,0,5.33,221.3,32,85,0,73,43,44.26,85.19,43.76,79,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,38.04,10.17,14.58,96.21,149.62,13.17,28.93,81.78,81.78,40.89,13.17

45,11:00-11:15,-112.4,20.44,15,33,12.41,6.33,5,12.41,33,109.97,33,0,9.88,0,0,0,5,223.33,39,90,0,83,45,44.67,96.67,43.74,81,70.17,52.92,20.76,19.24,14.58,4.6,8.51,15.25,0,0,0,20.44,55.96,10.49,14.58,159.93,149.62,13.58,28.93,81.78,81.78,40.89,13.58

