Time,Block,NR/2024/19030/A/15821,NR/2024/19121/A/15886,NR/2024/19560/C,NR/2024/18977/A/15753,NR/2024/19245/A/15859,NR/2024/18986/A/15950,NR/2024/19571/C,NR/2024/19143/A/15784,NR/2024/19075/A/15789,NR/2024/18855/A/15888,NR/2024/19483/A/16437,NR/2024/19566/C,NR/2024/18936/A/15736,NR/2024/18935/A/15735,NR/2024/19115/A/15786,NR/2024/19337/A/15858,NR/2024/19024/A/15860,NR/2024/19563/C,NR/2024/19567/C,NR/2024/19562/C,NR/2024/19469/A/15875,NR/2024/19561/C,NR/2024/19548/C,NR/2024/19290/A/16454,NR/2024/19484/A/16438,NR/2024/19576/C,NR/2024/19043/A/15809,NR/2024/19485/A/16439,NR/2024/18934/A/15734,NR/2024/19570/C,NR/2024/18996/A/16346,NR/2024/19547/C,NR/2024/19559/C,NR/2024/18978/A/15755,NR/2024/18976/A/15751,NR/2024/18919/A/16368,NR/2024/19172/A/16455,Total
6,01:15-01:30,0.000000,0.000000,144.800000,0.000000,0.000000,0.480000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,27.030000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1209.72

7,01:30-01:45,0.000000,0.000000,144.800000,0.000000,0.000000,0.480000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,27.030000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1209.72

8,01:45-02:00,0.000000,0.000000,144.800000,0.000000,0.000000,0.480000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,27.030000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1209.72

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

15,03:30-03:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

16,03:45-04:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

17,04:00-04:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

18,04:15-04:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

19,04:30-04:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

20,04:45-05:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,588.06

21,05:00-05:15,0.000000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,586.06

22,05:15-05:30,0.000000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,586.06

23,05:30-05:45,0.000000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,586.06

24,05:45-06:00,0.000000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,9.650000,115.840000,586.06

25,06:00-06:15,0.000000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,576.46

26,06:15-06:30,0.000000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0.3,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,576.76

27,06:30-06:45,0.000000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0.62,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,577.08

28,06:45-07:00,0.000000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,0.75,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,577.21

29,07:00-07:15,0.000000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,1.07,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,577.63

30,07:15-07:30,0.000000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,1.4,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,577.96

31,07:30-07:45,0.000000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,2.37,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,578.93

32,07:45:08:00,0.000000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,3.28,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,579.84

33,08:00-08:15,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,3.99,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,580.89

34,08:15-08:30,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,4.4,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,581.3

35,08:30-08:45,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,4.97,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,581.87

36,08:45:09:00,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,5.23,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,582.13

37,09:00:09:15,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,6.2,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,583.1

38,09:15-09:30,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,7.12,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,584.02

39,09:30-09:45,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,6.74,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,583.64

40,09:45-10:00,0.000000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,0.000000,0.000000,0.000000,0.000000,7.31,67.570000,43.870000,0.000000,0.000000,43.870000,0.000000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,584.21

41,10:00-10:15,0.000000,66.790000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,8.6,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,807.51

42,10:15-10:30,0.000000,66.790000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,7.73,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,806.64

43,10:30-10:45,0.000000,66.790000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,8.97,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,807.88

44,10:45-11:00,0.000000,66.790000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,9.34,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,808.25

45,11:00-11:15,0.000000,0.000000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,9.22,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,808.13

46,11:15-11:30,0.000000,0.000000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,9.21,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,808.12

47,11:30-11:45,0.000000,0.000000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,9.08,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,807.99

48,11:45-12:00,0.000000,0.000000,0.000000,57.920000,0.000000,0.970000,0.000000,0.000000,0.000000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,3.860000,0.000000,9.27,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,0.000000,0.000000,0.000000,115.840000,808.18

49,12:00-12:15,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,9.57,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,901.16

50,12:15-12:30,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,9.45,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,901.04

51,12:30-12:45,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,9.34,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.93

52,12:45-13:00,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,9.29,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.88

53,13:00-13:15,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,9.24,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.83

54,13:15-13:30,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,8.56,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.15

55,13:30-13:45,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,8.87,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.46

56,13:45-14:00,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,8.61,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900.2

57,14:00-14:15,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,8.41,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,900

58,14:15-14:30,19.310000,0.000000,0.000000,57.920000,1.930000,0.970000,0.000000,0.000000,19.310000,66.790000,14.620000,96.530000,6.760000,5.790000,48.260000,1.930000,4.830000,67.570000,0.000000,0.000000,1.930000,0.000000,7.98,67.570000,43.870000,0.000000,46.330000,43.870000,4.830000,0.000000,48.260000,52.510000,0.000000,14.480000,39.580000,0.000000,115.840000,899.57

