Time,Block,SR/2024/12690/C,NR/2024/19022/C,NR/2024/18759/A/11609,NR/2024/18806/A/11570,NR/2024/18874/A/11691,NR/2024/18807/A/11692,Total

29,07:00-07:15,0.00,0.9,0.530000,0.000000,1.930000,0.000000,3.36

30,07:15-07:30,0.00,1.35,0.530000,0.000000,1.930000,0.000000,3.81

31,07:30-07:45,0.00,1.89,0.530000,0.000000,1.930000,0.000000,4.35

32,07:45:08:00,0.00,2.49,0.530000,0.000000,1.930000,0.000000,4.95

33,08:00-08:15,0.00,3.05,0.960000,0.000000,1.930000,0.000000,5.94

34,08:15-08:30,0.00,3.66,0.960000,0.000000,1.930000,0.000000,6.55

35,08:30-08:45,0.00,4.25,0.960000,0.000000,1.930000,0.000000,7.14

36,08:45:09:00,0.00,4.79,0.960000,0.000000,1.930000,0.000000,7.68

37,09:00:09:15,0.00,5.43,0.920000,0.000000,1.930000,0.000000,8.28

38,09:15-09:30,0.00,5.79,0.920000,0.000000,1.930000,0.000000,8.64

39,09:30-09:45,0.00,5.98,0.920000,0.000000,1.930000,0.000000,8.83

40,09:45-10:00,0.00,6.27,0.920000,0.000000,1.930000,0.000000,9.12

41,10:00-10:15,0.00,6.56,0.920000,0.000000,1.930000,0.000000,9.41

42,10:15-10:30,0.00,6.75,0.920000,0.000000,1.930000,0.000000,9.6

43,10:30-10:45,0.00,6.95,0.920000,0.000000,1.930000,0.000000,9.8

44,10:45-11:00,0.00,7.14,0.920000,0.000000,1.930000,0.000000,9.99

45,11:00-11:15,0.00,7.62,0.920000,0.000000,1.930000,0.000000,10.47

46,11:15-11:30,0.00,7.91,0.920000,0.000000,1.930000,0.000000,10.76

47,11:30-11:45,0.00,8.3,0.920000,0.000000,1.930000,0.000000,11.15

48,11:45-12:00,0.00,8.55,0.920000,0.000000,1.930000,0.000000,11.4

49,12:00-12:15,0.00,8.92,0.920000,0.000000,1.930000,0.000000,11.77

50,12:15-12:30,0.00,9.02,0.920000,0.000000,1.930000,0.000000,11.87

51,12:30-12:45,0.00,8.97,0.920000,0.000000,1.930000,0.000000,11.82

52,12:45-13:00,0.00,9.12,0.920000,0.000000,1.930000,0.000000,11.97

53,13:00-13:15,0.00,9.22,0.820000,0.000000,1.930000,0.000000,11.97

54,13:15-13:30,0.00,9.25,0.820000,0.000000,1.930000,0.000000,12

55,13:30-13:45,0.00,9.12,0.820000,0.000000,1.930000,0.000000,11.87

56,13:45-14:00,0.00,8.68,0.820000,0.000000,1.930000,0.000000,11.43

57,14:00-14:15,0.00,8.3,0.920000,0.000000,1.930000,1.930000,13.08

58,14:15-14:30,0.00,8.2,0.920000,0.000000,1.930000,1.930000,12.98

59,14:30-14:45,0.00,8.01,0.920000,0.000000,1.930000,1.930000,12.79

60,14:45-15:00,0.00,7.33,0.920000,0.000000,1.930000,1.930000,12.11

61,15:00-15:15,0.00,7.14,0.920000,0.000000,1.930000,1.930000,11.92

62,15:15-15:30,0.00,6.75,0.920000,0.000000,1.930000,1.930000,11.53

63,15:30-15:45,0.00,6.56,0.920000,0.000000,1.930000,1.930000,11.34

64,15:45-16:00,0.00,6.27,0.920000,0.000000,1.930000,1.930000,11.05

65,16:00-16:15,0.00,5.79,0.630000,0.000000,1.930000,1.930000,10.28

66,16:15-16:30,0.00,5.6,0.630000,0.000000,1.930000,1.930000,10.09

67,16:30-16:45,0.00,4.82,0.630000,0.000000,1.930000,1.930000,9.31

68,16:45-17:00,0.00,3.86,0.630000,0.000000,1.930000,1.930000,8.35

69,17:00-17:15,0.00,3.38,0.630000,0.000000,1.930000,1.930000,7.87

70,17:15-17:30,0.00,2.12,0.630000,0.000000,1.930000,1.930000,6.61

71,17:30-17:45,0.00,1.74,0.630000,0.000000,1.930000,1.930000,6.23

72,17:45-18:00,0.00,1.45,0.630000,0.000000,1.930000,1.930000,5.94

73,18:00-18:15,0.00,0.19,0.630000,0.000000,1.930000,1.930000,4.68

74,18:15-18:30,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

75,18:30-18:45,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

76,18:45-19:00,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

77,19:00-19:15,0.00,0,0.720000,0.000000,1.930000,1.930000,4.58

78,19:15-19:30,0.00,0,0.720000,0.000000,1.930000,1.930000,4.58

79,19:30-19:45,0.00,0,0.720000,0.000000,1.930000,1.930000,4.58

80,19:45-20:00,0.00,0,0.720000,0.000000,1.930000,1.930000,4.58

81,20:00-20:15,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

82,20:15-20:30,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

83,20:30-20:45,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

84,20:45-21:00,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

85,21:00-21:15,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

86,21:15-21:30,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

87,21:30-21:45,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

88,21:45-22:00,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

89,22:00-22:15,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

90,22:15-22:30,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

91,22:30-22:45,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

92,22:45-23:00,0.00,0,0.680000,0.000000,1.930000,1.930000,4.54

93,23:00-23:15,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

94,23:15-23:30,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

95,23:30-23:45,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

96,23:45-24:00,0.00,0,0.630000,0.000000,1.930000,1.930000,4.49

