Time,Block,NR/2023/12592/A,NR/2023/16078/C,NR/2023/16085/C,NR/2023/15057/F,NR/2023/16084/C,NR/2023/16072/C,NR/2023/16067/D,NR/2023/14898/A,NR/2023/14737/A,NR/2023/16079/C,NR/2023/12591/A,NR/2023/14746/A,NR/2023/12052/A,NR/2023/13635/A,NR/2023/12168/A,NR/2023/15937/F,NR/2023/12347/A,NR/2023/12422/A,NR/2023/16080/C,NR/2023/15309/F,NR/2023/16071/C,NR/2023/13862/A,NR/2023/14745/A,NR/2023/12431/A,NR/2023/15402/F,NR/2023/12167/A,NR/2023/16091/C,NR/2023/16076/C,NR/2023/14895/A,NR/2023/16069/C,NR/2023/12053/A,NR/2023/12148/A,NR/2023/16066/D,Total
24,05:45-06:00,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,0.000000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1246.34

25,06:00-06:15,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1123.83

26,06:15-06:30,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1123.83

27,06:30-06:45,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0.25,1124.08

28,06:45-07:00,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0.85,1124.68

29,07:00-07:15,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,1.4,1125.23

30,07:15-07:30,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,1.86,1125.69

31,07:30-07:45,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,5.050000,0.000000,22.200000,2.22,1125.05

32,07:45:08:00,99.890000,0.000000,30.880000,0.680000,0.000000,17.920000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,5.050000,0.000000,22.200000,2.4,1125.23

33,08:00-08:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.830000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,5.050000,0.000000,22.200000,2.13,1163.76

34,08:15-08:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.830000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,5.050000,0.000000,22.200000,2.24,1163.87

35,08:30-08:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.830000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,5.050000,0.000000,22.200000,2.81,1164.44

36,08:45:09:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.830000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,4.19,1166.82

37,09:00:09:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,5.01,1174.31

38,09:15-09:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,4.86,1174.16

39,09:30-09:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,4.13,1175.45

40,09:45-10:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,0.000000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,4.91,1176.23

41,10:00-10:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,3.86,1265.9

42,10:15-10:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,3.56,1265.6

43,10:30-10:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,5.23,1267.27

44,10:45-11:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.740000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,5.69,1267.73

45,11:00-11:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.560000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,5.84,1267.7

46,11:15-11:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.560000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,7.05,1268.91

47,11:30-11:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.560000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,4.93,1266.79

48,11:45-12:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.560000,38.600000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,6.25,1268.11

49,12:00-12:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,5.95,1229.11

50,12:15-12:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,6.38,1229.54

51,12:30-12:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,6.77,1229.93

52,12:45-13:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,7.74,1230.9

53,13:00-13:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,8.070000,0.000000,22.200000,6.22,1229.38

54,13:15-13:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,5.45,1229.62

55,13:30-13:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,4.71,1228.88

56,13:45-14:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,90.720000,0.000000,58.870000,4.830000,28.950000,0.000000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,4.69,1228.86

57,14:00-14:15,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,2.42,1265.12

58,14:15-14:30,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,2.62,1265.32

59,14:30-14:45,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,6.66,1269.36

60,14:45-15:00,99.890000,0.000000,30.880000,0.970000,0.000000,17.460000,0.000000,77.210000,33.780000,0.000000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,6.62,1269.32

61,15:00-15:15,99.890000,38.600000,30.880000,0.920000,0.000000,17.560000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,4.5,1344.45

62,15:15-15:30,99.890000,38.600000,30.880000,0.920000,0.000000,17.560000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,9.080000,0.000000,22.200000,6.02,1345.97

63,15:30-15:45,99.890000,38.600000,30.880000,0.920000,0.000000,17.560000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,10.090000,0.000000,22.200000,4.21,1345.17

64,15:45-16:00,99.890000,38.600000,30.880000,0.920000,0.000000,17.560000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,10.090000,0.000000,22.200000,4.52,1345.48

65,16:00-16:15,99.890000,38.600000,30.880000,0.820000,0.000000,17.640000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,10.090000,0.000000,22.200000,2.64,1343.58

66,16:15-16:30,99.890000,38.600000,30.880000,0.820000,0.000000,17.640000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,10.090000,0.000000,22.200000,2.13,1343.07

67,16:30-16:45,99.890000,38.600000,30.880000,0.820000,0.000000,17.640000,0.000000,77.210000,33.780000,38.600000,49.940000,0.000000,62.970000,24.980000,46.520000,193.020000,106.160000,0.000000,58.870000,4.830000,28.950000,23.090000,24.130000,124.830000,6.760000,24.130000,0.000000,96.510000,95.540000,10.090000,0.000000,22.200000,2.85,1343.79

