Column1,Time,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8154,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/8128,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2997,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/1044,NR/01102023/22052037/LT-59
25,06:00-06:15,2.74,3.79,0,22.5,3.33,5.41,0,7.5,0,7.5,5.52,0,1,1,0,1,1.15,5.76,1,10.6,134.89,8.51,20.75,10.73,16.84,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,100.21,26.7,3.73,4.92,115.38,15.24,0,24.23,43.71,81.75,0,3.24,10.23

26,06:15-06:30,5.64,6.1,0,22.5,3.33,8.66,0,7.5,0,7.5,8.83,0,2,3,1,2,2.19,10.95,2,11.41,134.89,8.51,20.75,10.73,16.84,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,100.21,26.7,3.73,4.92,115.38,15.24,0,24.23,43.71,81.75,0,3.24,10.23

27,06:30-06:45,9.33,8.41,0,22.5,3.33,13.25,3,7.5,0,7.5,13.52,0,3,5,2,3,3.4,17,3,12.01,134.89,8.51,20.75,10.73,16.84,-0,68.85,100.2,0,26.7,133.46,1.11,224.82,19.24,100.21,26.7,3.73,4.92,115.38,15.24,1.45,24.23,43.71,81.75,1.45,3.24,0

28,06:45-07:00,13.93,10.71,0,22.5,3.33,18.93,5,7.5,0,7.5,19.31,0,7,7,3,4,4.02,20.09,6,12.61,134.89,8.51,20.75,10.73,16.84,-0,68.85,100.2,0,26.7,133.46,1.51,224.82,19.24,100.21,26.7,3.73,4.92,70.13,15.24,1.96,24.23,43.71,81.75,1.96,3.24,0

29,07:00-07:15,19.3,15.01,0,22.5,3.33,25.96,8,7.5,0,7.5,26.48,0,13,10,7,5,6.02,30.08,11,12.21,134.89,8.51,20.75,10.73,16.75,-0,59.84,100.2,0,26.7,133.46,2.17,224.82,19.24,100.21,26.7,3.73,6.33,70.13,15.24,2.82,24.73,43.71,81.75,2.82,3.24,0

30,07:15-07:30,25.03,19.3,0,22.5,3.33,33,13,7.5,0,7.5,33,0,17,15,8,6,7.95,39.73,14,12.21,134.89,8.51,20.75,10.73,16.75,-0,68.85,100.2,0,26.7,133.46,2.85,224.82,19.24,100.21,26.7,3.73,6.93,70.13,15.24,3.69,24.73,43.71,81.75,3.69,3.24,0

31,07:30-07:45,30.34,23.6,0,22.5,3.33,33,20,7.5,0,7.5,33,0,20,19,10,9,10.06,50.27,19,12.61,134.89,8.51,20.75,10.73,16.75,-0,68.85,100.2,0,26.7,133.46,3.54,224.82,19.24,100.21,26.7,3.73,6.9,70.13,15.24,4.57,25.24,43.71,81.75,4.57,3.24,0

32,07:45-08:00,36.11,27.89,0,22.5,3.33,33,28,7.5,0,7.5,33,0,27,25,13,12,12.29,61.44,25,12.61,134.89,8.51,20.75,10.73,16.75,-0,48.97,100.2,0,26.7,113.49,4.26,224.82,19.24,72.46,26.7,3.73,6.87,70.13,15.24,5.51,25.24,43.71,81.75,5.51,3.24,0

33,08:00-08:15,41.97,33.44,0,22.5,6.44,33,33,7.5,0,7.5,33,0,33,30,17,16,16.82,84.09,33,15.01,134.89,8.51,20.75,0,16.66,-0,38.47,100.2,0,26.7,94.26,5.13,224.82,19.24,72.46,26.7,3.73,6.84,70.13,15.24,6.63,25.74,43.71,81.75,6.63,3.24,0

34,08:15-08:30,47.89,38.98,0,22.5,6.58,33,33,7.5,0,7.5,33,0,39,36,19,19,19.34,96.69,36,14.81,134.89,8.51,20.75,0,16.66,-0,38.47,100.2,0,26.7,75.02,5.93,224.82,19.24,72.46,26.7,3.73,6.84,70.13,15.24,7.68,26.25,43.71,81.75,7.68,3.24,0

35,08:30-08:45,53.56,44.53,0,22.5,6.69,33,33,7.5,0,7.5,33,0,39,34,19,22,21.89,109.47,41,18.21,134.89,8.51,20.75,0,16.66,-0,38.03,100.2,0,26.7,74.79,6.73,224.82,19.24,72.46,26.7,0,6.8,70.13,15.24,8.7,24.23,43.71,81.75,8.7,3.24,0

36,08:45-09:00,39.02,50.08,0,22.5,6.82,33,33,7.5,0,7.5,33,0,45,37,23,25,24.47,122.32,47,18.01,134.89,8.51,20.75,0,16.66,-0,38.03,100.2,0,26.7,74.79,7.53,224.82,19.24,72.46,26.7,0,6.77,70.13,15.24,9.74,24.23,43.71,81.75,9.74,3.24,0

37,09:00-09:15,46.82,55.53,0,22.5,7,33,33,7.5,0,7.5,33,0,53,46,27,27,27.23,136.16,57,17.81,134.89,8.51,20.75,0,16.57,-90.81,38.03,100.2,0,26.8,74.79,8.16,224.82,19.24,72.46,26.8,0,6.77,70.13,15.24,10.56,25.24,43.71,81.75,10.56,3.24,0

38,09:15-09:30,52.67,60.97,0,22.5,7.22,33,33,7.5,0,7.5,33,0,59,51,29,30,30,149.99,60,17.61,134.89,8.51,20.75,0,16.57,-181.62,38.03,100.2,0,26.8,88,8.73,224.82,19.24,72.46,26.8,0,6.74,70.13,15.24,11.29,26.24,43.71,81.75,11.29,3.24,0

39,09:30-09:45,58.52,66.42,0,22.5,7.46,33,33,7.5,0,7.5,33,0,60,54,30,32,32.74,163.7,63,17.21,134.89,8.51,20.75,0,16.57,-181.62,38.03,100.2,0,26.8,107.24,9.37,224.82,19.24,110.79,26.8,0,6.88,70.13,15.24,12.12,26.24,43.71,81.75,12.12,3.24,0

40,09:45-10:00,68.02,71.87,0,22.5,7.74,33,33,7.5,0,7.5,33,0,65,58,33,34,35.44,177.17,67,17.21,134.89,8.51,20.75,0,16.57,-181.62,38.03,100.2,0,26.8,126.48,9.95,224.82,19.24,111.87,26.8,0,6.88,70.13,15.24,12.89,26.24,43.71,81.75,12.89,3.24,0

41,10:00-10:15,71.97,70.63,0,25.01,5.8,33,33,8.33,0,8.33,33,0,71,64,35,36,39.3,196.5,75,16.81,134.89,8.51,20.75,0,16.48,-181.62,38.03,100.2,0,26.8,133.46,10.33,224.82,19.24,111.87,26.8,0,6.91,70.13,15.24,13.37,26.24,43.71,81.75,13.37,3.24,0

42,10:15-10:30,75.12,75.65,0,25.99,6.23,33,33,8.67,0,8.67,33,0,77,69,38,37,41.09,205.42,80,16.01,134.89,8.51,20.75,0,16.48,-181.62,39.3,100.2,0,26.8,133.46,10.73,224.82,19.24,111.87,26.8,0,6.9,70.13,15.24,13.89,26.24,43.71,81.75,13.89,3.24,0

43,10:30-10:45,78.05,80.08,0,27.49,5.89,33,33,9.17,0,9.17,33,0,81,73,41,38,42.71,213.56,80,15.01,134.89,8.51,20.75,0,16.48,-181.62,40.58,100.2,0,26.8,133.46,11.1,224.82,19.24,111.87,26.8,0,6.89,70.13,15.24,14.38,26.24,43.71,81.75,14.38,3.24,0

44,10:45-11:00,81.07,84.36,0,29.51,5.98,33,33,9.83,0,9.83,33,0,85,76,42,39,44.19,220.96,80,14.01,134.89,8.51,20.75,0,16.48,-181.62,41.65,100.2,0,26.8,133.46,11.45,224.82,19.24,111.87,26.8,0,6.88,70.13,15.24,14.81,25.24,43.71,81.75,14.81,3.24,0

45,11:00-11:15,101.19,91.67,0,21.19,6.18,33,33,7.07,0,7.07,33,0,90,78,45,41,44.52,222.59,88,12.61,134.89,8.51,20.75,7.67,12.71,-181.62,42.88,100.2,0,26.8,133.46,11.63,224.82,19.24,111.87,26.8,0,6.88,70.13,15.24,15.05,25.24,43.71,81.75,15.05,3.24,0

46,11:15-11:30,103.11,91,0,21.66,6.47,33,33,7.23,0,7.23,33,0,90,78,45,42,44.66,223.32,90,12.61,134.89,8.51,20.75,7.67,12.71,-181.62,43.58,100.2,0,26.8,133.46,11.78,224.82,19.24,111.87,26.8,0,6.88,70.13,15.24,15.25,25.24,43.71,81.75,15.25,3.24,0

47,11:30-11:45,100.84,95,0,23.03,6.84,33,33,7.68,0,7.68,33,0,90,78,45,43,44.6,222.99,88,13.21,134.89,8.51,20.75,7.67,12.71,-181.62,62.28,100.2,0,26.8,133.46,13.07,224.82,19.24,111.87,26.8,0,6.92,70.13,15.24,16.92,26.24,43.71,81.75,16.92,3.24,0

48,11:45-12:00,97.69,95,0,25.54,7.24,33,33,8.51,0,8.51,33,0,90,78,45,43,44.57,222.85,88,13.21,134.89,8.51,20.75,7.67,12.71,-181.62,63.05,100.2,0,26.8,133.46,13.26,224.82,19.24,111.87,26.8,0,6.92,70.13,15.24,17.16,26.24,43.71,81.75,17.16,3.24,0

49,12:00-12:15,129.64,94.33,0,23.6,5.35,33,33,7.87,0,7.87,33,0,90,76,45,43,44.16,220.77,88,12.61,134.89,8.51,20.75,9.59,12.71,-181.62,75.82,100.2,0,26.85,133.46,13.12,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,16.99,26.24,43.71,81.75,16.99,3.24,0

50,12:15-12:30,125.48,93.33,0,27.12,5.97,33,33,9.04,0,9.04,33,0,90,76,45,43,43.61,218.02,88,12.21,134.89,8.51,20.75,9.59,12.71,-181.62,75.82,100.2,0,26.85,133.46,13.1,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,16.96,26.24,43.71,81.75,16.96,3.24,0

51,12:30-12:45,128.67,95,0,30.67,6.66,33,33,10.23,0,10.23,33,0,85,73,42,43,45.5,227.5,91,12.01,134.89,8.51,20.75,9.59,12.71,-181.62,75.82,100.2,0,26.85,133.46,12.98,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,16.8,27.25,43.71,81.75,16.8,3.24,0

52,12:45-13:00,131.24,94.33,0,33.65,7.46,33,33,11.21,0,11.21,33,0,85,73,42,43,45.17,225.83,91,12.41,134.89,8.51,20.75,9.59,12.71,-181.62,75.82,100.2,0,26.85,133.46,12.89,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,16.67,27.25,43.71,81.75,16.67,3.24,0

53,13:00-13:15,133.5,93,0,36.09,8.25,33,33,12.03,0,12.03,33,0,83,70,42,43,44.83,224.17,91,9.69,134.89,8.51,20.75,10.35,12.71,-181.62,75.82,100.2,0,26.85,133.46,12.65,224.82,19.24,111.87,26.85,0,6.92,70.13,15.24,16.36,27.25,43.71,81.75,16.36,3.24,9.31

54,13:15-13:30,126.8,91.67,0,38.41,9.05,33,33,12.8,0,12.8,33,0,81,70,41,43,44.5,222.5,91,9.77,134.89,8.51,20.75,10.35,12.71,-181.62,75.82,100.2,0,26.85,133.46,12.42,224.82,19.24,111.87,26.85,0,6.92,70.13,15.24,16.07,27.25,43.71,81.75,16.07,3.24,9.31

55,13:30-13:45,120.96,88.33,0,31.25,9.96,33,33,10.41,0,10.41,33,0,85,69,42,40,41.67,208.33,85,10.78,134.89,8.51,20.75,10.35,12.71,-181.62,75.82,52.9,0,26.85,133.46,12.13,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,15.69,27.25,43.71,81.75,15.69,3.24,9.31

56,13:45-14:00,117.56,85,0,34.88,10.89,33,33,11.62,0,11.62,33,0,84,67,42,40,41.33,206.67,85,11.93,134.89,8.51,20.75,10.35,12.71,-181.62,75.82,52.9,0,26.85,133.46,11.96,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,15.47,27.25,43.71,81.75,15.47,3.24,9.31

57,14:00-14:15,108.27,78.33,0,40.33,12.67,33,33,13.44,0,13.44,33,0,67,60,33,39,39.17,195.83,79,13.78,134.89,8.51,20.75,10.73,12.71,-181.62,75.82,52.9,0,26.85,133.46,11.77,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,15.23,27.25,43.71,81.75,15.23,3.24,9.69

58,14:15-14:30,104.2,77.33,0,43.83,12.67,33,33,14.61,0,14.61,33,0,63,60,32,38,37.5,187.5,77,15.27,134.89,8.51,20.75,10.73,12.71,-181.62,75.82,52.9,0,26.85,133.46,11.45,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,14.81,28.26,43.71,81.75,14.81,3.24,9.69

59,14:30-14:45,79.34,76,0,40.01,13,33,33,13.33,0,13.33,33,0,50,46,25,34,34.04,170.21,75,18.03,134.89,8.51,20.75,10.73,12.71,-181.62,75.82,100.2,0,26.85,133.46,9.56,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,12.37,28.26,43.71,81.75,12.37,3.24,9.69

60,14:45-15:00,74.58,75,0,42.49,13.33,33,33,14.17,0,14.17,33,0,49,45,24,33,32.46,162.29,72,20.26,134.89,8.51,20.75,10.73,12.71,-181.62,75.82,100.2,0,26.85,133.46,9.01,224.82,19.24,111.87,26.85,0,6.88,70.13,15.24,11.65,28.26,43.71,81.75,11.65,3.24,9.69

61,15:00-15:15,69.79,80,0,45,13.33,33,33,15,0,15,33,0,48,41,24,32,30.88,154.37,63,18.01,134.89,8.51,20.75,10.73,15,-90.81,55.94,100.2,0,26.85,133.46,8.87,224.82,19.24,84.13,26.85,0,6.83,70.13,15.24,11.48,28.26,43.71,81.75,11.48,3.24,10.47

62,15:15-15:30,64.55,78.33,0,47.51,14,33,33,15.83,0,15.83,33,0,47,41,23,30,29.29,146.46,62,18.01,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,8.51,224.82,19.24,84.13,26.85,0,6.83,70.13,15.24,11.01,28.26,43.71,81.75,11.01,3.24,10.47

63,15:30-15:45,58.31,73.33,0,47.51,15.09,33,33,15.83,0,15.83,33,0,16,13,8,27,29.09,145.47,55,27.01,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,8.16,224.82,19.24,84.13,26.85,5.6,6.83,70.13,15.24,10.56,28.26,43.71,81.75,10.56,0,10.47

64,15:45-16:00,52.89,66.67,0,49.01,15.71,33,33,16.33,0,16.33,33,0,15,13,7,26,27.43,137.16,49,27.61,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,7.8,224.82,19.24,84.13,26.85,5.6,6.83,70.13,15.24,10.1,28.26,43.71,81.75,10.1,0,10.47

65,16:00-16:15,37.98,51.28,0,42.75,16.24,33,24,14.25,0,14.25,33,0,13,13,7,21,24.63,123.17,47,28.01,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,4.2,224.82,19.24,84.13,26.85,6.06,6.83,70.13,15.24,5.43,27.25,43.71,81.75,5.43,0.94,10.47

66,16:15-16:30,32.61,48.52,0,43.59,16.75,33,16,14.54,0,14.54,33,0,10,13,5,18,22.44,112.22,45,29.01,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,3.72,224.82,19.24,84.13,26.85,6.06,6.83,70.13,15.24,4.81,27.25,43.71,81.75,4.81,1.41,10.47

67,16:30-16:45,28.2,45.55,0,44.89,18.33,33,8,14.96,0,14.96,33,0,10,9,5,12,17.06,85.32,27,29.61,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,3.19,224.82,19.24,84.13,26.85,6.06,6.83,70.13,15.24,4.13,27.25,43.71,81.75,4.13,1.41,10.47

68,16:45-17:00,28.39,42.26,0,47.01,18,33,5,15.68,0,15.68,33,0,10,9,5,9,14.9,74.49,27,31.01,134.89,8.51,20.75,10.73,15,-0,55.94,100.2,0,26.85,133.46,2.69,224.82,19.24,84.13,26.85,6.06,6.83,70.13,15.24,3.49,27.25,43.71,81.75,3.49,1.89,10.47

69,17:00-17:15,23.69,21.67,0,49.15,20.19,33,2,16.39,0,16.39,33,0,10,9,5,7,13.13,65.64,15,35.01,134.89,8.51,20.75,10.73,17.3,-0,86.75,100.2,0,26.85,133.46,2.34,224.82,19.24,108.17,26.85,6.53,6.83,70.13,15.24,3.02,27.25,43.71,81.75,3.02,2.36,10.47

70,17:15-17:30,18.97,20,0,50.43,19.93,31.92,0,16.82,0,16.82,32.56,0,10,9,5,6,11.28,56.39,13,35.01,134.89,8.51,20.75,10.73,17.3,-0,86.75,100.2,0,26.85,133.46,1.97,224.82,19.24,130.13,26.85,6.53,6.83,70.13,15.24,2.55,26.24,43.71,81.75,2.55,2.84,10.47

71,17:30-17:45,13.97,15,0,64.44,23.54,24.08,0,21.48,0,21.48,24.56,0,10,9,5,5,8.33,41.67,10,38.02,134.89,8.51,20.75,10.73,17.3,-0,86.75,100.2,0,26.85,133.46,1.6,224.82,19.24,130.13,26.85,6.53,6.83,78.62,15.24,2.08,26.24,43.71,81.75,2.08,3.24,10.47

72,17:45-18:00,9.3,15,0,66.79,23.13,16.78,0,22.26,0,22.26,17.12,0,9,9,4,4,7.5,37.5,8,38.02,134.89,8.51,20.75,10.73,17.3,-0,86.75,100.2,0,26.85,133.46,1.31,224.82,19.24,130.13,26.85,6.53,6.83,87.1,15.24,1.71,26.24,43.71,81.75,1.71,3.24,10.47

