Column1,Block,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7459,NR/2025/25752/A/61095,GNARE/NR/2024/12/20/3668,WR/2025/27369/A/61663,WR/2025/27361/A/61548,NR/2025/25791/A/61497,NR/2025/25790/A/61498,WR/2025/27350/A/61229,NR/2025/25827/C,NR/2025/25792/A/61496,NR/2025/25794/A/61495,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,NR/2025/25795/A/61494,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,Total
5,01:00-01:15,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

6,01:15-01:30,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

7,01:30-01:45,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,14.69,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.48,538.5300000000001

8,01:45-02:00,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,14.69,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.48,538.5300000000001

9,02:00-02:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,15.6,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.96,487.42

10,02:15-02:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,16.52,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.96,488.34000000000003

11,02:30-02:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,17.4,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.96,489.22

12,02:45-03:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,17.4,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.63,0,26.96,489.22

13,03:00-03:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,18.31,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,490.08

14,03:15-03:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,19.23,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,491

15,03:30-03:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,19.23,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,491

16,03:45-04:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,20.14,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,491.91

17,04:00-04:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.06,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,492.83

18,04:15-04:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.06,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,492.83

19,04:30-04:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,493.63000000000005

20,04:45-05:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.58,0,26.96,493.63000000000005

21,05:00-05:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.54,0,26.96,493.5900000000001

22,05:15-05:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.54,0,26.96,493.5900000000001

23,05:30-05:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.54,0,26.96,493.5900000000001

24,05:45-06:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.96,0,6.54,0,26.96,493.5900000000001

25,06:00-06:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,26.08,0,6.54,0,26.08,491.8300000000001

26,06:15-06:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.54,0,25.38,495.5500000000001

27,06:30-06:45,2.89,1.92,0,9.62,2.89,9.62,0,0.77,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.54,0,25.38,496.3200000000001

28,06:45-07:00,2.89,1.92,0,9.62,2.89,9.62,0,1.25,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.54,0,26.48,497.90000000000015

29,07:00-07:15,2.89,1.92,0,9.62,2.89,9.62,0,3.88,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,25.38,499.3300000000001

30,07:15-07:30,2.89,1.92,0,9.62,2.89,9.62,0,7.95,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,26.48,504.50000000000006

31,07:30-07:45,2.89,1.92,0,9.62,2.89,9.62,0,13.84,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,26.48,510.39000000000004

32,07:45-08:00,2.89,1.92,0,9.62,2.89,9.62,0,21.25,48.1,48.1,21.86,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,26.48,517.8000000000001

33,08:00-08:15,2.89,1.92,0,9.62,2.89,9.62,3.85,29.71,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,26.48,385.83000000000004

34,08:15-08:30,2.89,1.92,0,9.62,2.89,9.62,3.85,38.48,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,25.98,394.1

35,08:30-08:45,2.89,1.92,0,9.62,2.89,9.62,3.85,47.05,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,25.98,402.67

36,08:45-09:00,2.89,1.92,0,9.62,2.89,9.62,3.85,55.49,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.44,0,25.98,411.11

37,09:00-09:15,2.89,1.92,0,9.62,2.89,9.62,6.73,63.63,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,419.4600000000001

38,09:15-09:30,2.89,1.92,0,9.62,2.89,9.62,6.73,71.2,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,427.0300000000001

39,09:30-09:45,2.89,1.92,0,9.62,2.89,9.62,6.73,81.47,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,437.30000000000007

40,09:45-10:00,2.89,1.92,0,9.62,2.89,9.62,6.73,87.64,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,443.4700000000001

41,10:00-10:15,2.89,1.92,0,9.62,2.89,9.62,8.66,93.59,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,451.3500000000001

42,10:15-10:30,2.89,1.92,0,9.62,2.89,9.62,8.66,99.09,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,6.73,26.95,0,6.35,0,26.95,456.8500000000001

43,10:30-10:45,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.35,0,26.95,461.96000000000004

44,10:45-11:00,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.35,0,26.95,461.96000000000004

45,11:00-11:15,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

46,11:15-11:30,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

47,11:30-11:45,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

48,11:45-12:00,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

49,12:00-12:15,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

50,12:15-12:30,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

51,12:30-12:45,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

52,12:45-13:00,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.26,0,26.95,461.87

53,13:00-13:15,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,461.78000000000003

54,13:15-13:30,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,461.78000000000003

55,13:30-13:45,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,461.78000000000003

56,13:45-14:00,2.89,1.92,0,9.62,2.89,9.62,8.66,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,461.78000000000003

57,14:00-14:15,2.89,1.92,0,9.62,2.89,9.62,7.7,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,460.82000000000005

58,14:15-14:30,2.89,1.92,0,9.62,2.89,9.62,7.7,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,460.82000000000005

59,14:30-14:45,2.89,1.92,0,9.62,2.89,9.62,7.7,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,460.82000000000005

60,14:45-15:00,2.89,1.92,0,9.62,2.89,9.62,7.7,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,0,26.95,460.82000000000005

61,15:00-15:15,2.89,1.92,0,9.62,2.89,9.62,6.73,100,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,0,26.95,459.76000000000005

62,15:15-15:30,2.89,1.92,0,9.62,2.89,9.62,6.73,99.19,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,0,26.95,458.95000000000005

63,15:30-15:45,2.89,1.92,0,9.62,2.89,9.62,6.73,93.88,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,0,26.95,453.64000000000004

64,15:45-16:00,2.89,1.92,0,9.62,2.89,9.62,6.73,85.23,48.1,48.1,21.86,10.93,0,0,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,0,26.95,444.99

65,16:00-16:15,2.89,1.92,0,9.62,2.89,9.62,3.85,77.46,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,50,26.95,486.26

66,16:15-16:30,2.89,1.92,0,9.62,2.89,9.62,3.85,71.32,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,50,26.95,480.11999999999995

67,16:30-16:45,2.89,1.92,0,9.62,2.89,9.62,3.85,64.32,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,50,26.95,473.11999999999995

68,16:45-17:00,2.89,1.92,0,9.62,2.89,9.62,3.85,56.94,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.08,50,26.95,465.73999999999995

69,17:00-17:15,2.89,1.92,0,9.62,2.89,9.62,0,49.06,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,50,26.95,454.1

70,17:15-17:30,2.89,1.92,0,9.62,2.89,9.62,0,40.92,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,50,26.95,445.96000000000004

71,17:30-17:45,2.89,1.92,0,9.62,2.89,9.62,0,32.26,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,50,26.95,437.29999999999995

72,17:45-18:00,2.89,1.92,0,9.62,2.89,9.62,0,23.98,48.1,48.1,21.86,10.93,0,1.92,32.79,32.79,48.1,2.89,9.62,10.93,26.95,0,6.17,50,26.95,429.02

73,18:00-18:15,2.89,1.92,0,9.62,2.89,9.62,0,16.52,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.35,50,25.98,472.42

74,18:15-18:30,2.89,1.92,0,9.62,2.89,9.62,0,10.02,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.35,50,25.98,465.92

75,18:30-18:45,2.89,1.92,0,9.62,2.89,9.62,0,4.84,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.35,50,12.6,447.36

76,18:45-19:00,2.89,1.92,0,9.62,2.89,9.62,0,2.71,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.35,50,1.65,434.28

77,19:00-19:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.58,50,30.5,460.65

78,19:15-19:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.58,50,30.5,460.65

79,19:30-19:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.58,50,30.5,460.65

80,19:45-20:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.58,50,30.5,460.65

81,20:00-20:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

82,20:15-20:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

83,20:30-20:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

84,20:45-21:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

85,21:00-21:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

86,21:15-21:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

87,21:30-21:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

88,21:45-22:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,1.92,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,460.24

89,22:00-22:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,458.32000000000005

90,22:15-22:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,30.5,0,6.17,50,30.5,458.32000000000005

91,22:30-22:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

92,22:45-23:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

93,23:00-23:15,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

94,23:15-23:30,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

95,23:30-23:45,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

96,23:45-24:00,2.89,1.92,0,9.62,2.89,9.62,0,0,48.1,48.1,21.86,10.93,48.1,0,32.79,32.79,48.1,2.89,9.62,10.93,25.98,0,6.17,50,30.5,453.80000000000007

