Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/33621/C,NR/2025/32599/A/96805,NR/2025/33233/A/96819,NR/2025/32004/A/97073,NR/2025/32554/A/97054,NR/2025/33469/A/96778,NR/2025/29440/A/96595,NR/2025/32455/A/97134,NR/2025/31421/A/97125,NR/2025/31041/A/97060,NR/2025/31042/A/97061,NR/2025/32375/A/97122,NR/2025/31046/A/97063,NR/2025/31047/A/97062,NR/2025/32559/A/97067,NR/2025/32556/A/97068,NR/2025/32610/A/97066,NR/2025/32262/A/96610,NR/2025/32397/A/96552,NR/2025/29992/A/96690,NR/2025/32598/A/96823,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/33573/C,NR/2025/33624/C,NR/2025/33604/C,NR/2025/33558/C,NR/2025/33600/C,NR/2025/33602/C,NR/2025/33618/C,NR/2025/33619/C,NR/2025/33527/C,NR/2025/33595/C,NR/2025/33574/C,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/2025/32534/A/97026,NR/2025/32857/A/96591,NR/2025/32534/A/97027,NR/2025/32532/A/97024,NR/2025/32652/A/96568,NR/2025/32535/A/97028,NR/2025/32532/A/97025,NR/2025/32653/A/96571,NR/2025/32535/A/97029,Total
3,00:30-00:45,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.5,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,30.5,24.09,0,0,0,0,0,0,0,0,0,1527.3799999999999

4,00:45-01:00,0,0,0,14.45,105.98,163.8,12.53,0.87,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.5,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,30.5,24.09,0,0,0,0,0,0,0,0,0,1527.3799999999999

5,01:00-01:15,0,0,0,14.45,105.98,163.8,12.53,0.63,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.5,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,30.5,24.09,0,0,0,0,0,0,0,0,0,1527.1399999999999

6,01:15-01:30,0,0,0,14.45,105.98,163.8,12.53,0.63,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.5,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,30.5,24.09,0,0,0,0,0,0,0,0,0,1527.1399999999999

7,01:30-01:45,0,0,0,14.45,105.98,163.8,12.53,0.63,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1524

8,01:45-02:00,0,0,0,14.45,105.98,163.8,12.53,0.63,48.18,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,48.18,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1524

9,02:00-02:15,0,0,0,14.45,105.98,163.8,12.53,0.63,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1523.9899999999998

10,02:15-02:30,0,0,0,14.45,105.98,163.8,12.53,0.63,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1523.9899999999998

11,02:30-02:45,0,0,0,14.45,105.98,163.8,12.53,0.63,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1499.8999999999999

12,02:45-03:00,0,0,0,14.45,105.98,163.8,12.53,0.63,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1499.8999999999999

13,03:00-03:15,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1470.5299999999997

14,03:15-03:30,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1470.5299999999997

15,03:30-03:45,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1470.5299999999997

16,03:45-04:00,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,96.35,0,48.18,96.35,0,26.27,26.27,26.27,54.2,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1470.5299999999997

17,04:00-04:15,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1223.6299999999999

18,04:15-04:30,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1223.6299999999999

19,04:30-04:45,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1223.6299999999999

20,04:45-05:00,0,0,0,14.45,76.71,163.8,12.53,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1223.6299999999999

21,05:00-05:15,0,0,0,14.45,76.71,163.8,0,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1211.1

22,05:15-05:30,0,0,0,14.45,76.71,163.8,0,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1211.1

23,05:30-05:45,0,0,0,14.45,76.71,163.8,0,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1211.1

24,05:45-06:00,0.08,0,0,14.45,76.71,163.8,0,0.53,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,8.67,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,0,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1211.1799999999998

25,06:00-06:15,0.56,0,1,14.45,76.71,163.8,0,0.82,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1228.37

26,06:15-06:30,1.4,0,4,14.45,76.71,163.8,0,0.82,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1232.21

27,06:30-06:45,2.75,0.84,8,14.45,76.71,163.8,0,0.82,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0,0,0,0,0,0,0,0,0,1238.3999999999999

28,06:45-07:00,4.67,1.38,14,14.45,76.71,163.8,0,0.82,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.03,0,0,0.06,0,0.01,0,0,0,1246.9599999999996

29,07:00-07:15,7.09,1.98,18,14.45,76.71,163.8,0,0.87,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.08,0,0,0.15,0,0.08,0,0,0,1254.2399999999998

30,07:15-07:30,10.05,2.98,25,14.45,76.71,163.8,0,0.87,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.13,0,0,0.27,0,0.13,0,0,0,1265.42

31,07:30-07:45,13.8,3.86,28,14.45,76.71,163.8,0,0.87,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.19,0,0,0.39,0,0.19,0,0,0,1273.29

32,07:45-08:00,18,5.26,35,14.45,76.71,163.8,0,0.87,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,43.7,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.29,0,0.03,0.48,0,0.19,0.04,0,0.02,1286.1699999999998

33,08:00-08:15,22.45,6.2,42,14.45,76.71,163.8,11.56,0.96,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,48.18,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.29,1.16,0.13,0.48,1.64,0.19,0.16,0,0.11,1317.8

34,08:15-08:30,27.3,8.55,49,14.45,76.71,163.8,11.56,0.96,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,48.18,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.29,1.16,0.23,0.48,1.64,0.19,0.3,0,0.19,1332.32

35,08:30-08:45,32.15,5.89,56,14.45,76.71,163.8,13.49,0.96,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,48.18,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.29,1.16,0.3,0.48,1.64,0.19,0.39,0,0.26,1343.67

36,08:45-09:00,37.35,5.89,63,14.45,76.71,163.8,13.49,0.96,0,48.18,0,0,48.18,0,0,26.27,26.27,26.27,0,0,44.32,81.9,48.18,19.37,26.93,0,192.7,0,28.9,0,0,0,0,0,0,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.93,24.09,0.29,1.16,0.33,0.48,1.64,0.19,0.47,0,0.33,1356.05

37,09:00-09:15,42.69,5.89,84,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.4,0.48,1.64,0.19,0.5,0,0.35,1428.5299999999997

38,09:15-09:30,47.59,6.87,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.41,0.48,1.64,0.19,0.52,0,0.37,1441.4599999999998

39,09:30-09:45,46.47,6.87,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.43,0.48,1.64,0.19,0.54,0,0.38,1440.3899999999999

40,09:45-10:00,50.53,7.84,98,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.47,0.48,1.64,0.19,0.6,0,0.41,1452.5499999999997

41,10:00-10:15,72.97,7.84,98,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.61,0.48,1.64,0.19,0.75,1.45,0.53,1476.8499999999997

42,10:15-10:30,76,7.84,105,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.76,0.48,1.64,0.19,0.95,1.45,0.66,1487.36

43,10:30-10:45,79.02,11.55,112,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1500.26

44,10:45-11:00,82.04,12.83,119,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1511.56

45,11:00-11:15,83.24,14.11,119,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1514.04

46,11:15-11:30,84.07,15.55,119,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1516.31

47,11:30-11:45,81.67,16.93,84,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1480.29

48,11:45-12:00,83.33,18.21,84,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,19.37,26.94,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.94,24.09,0.29,1.16,0.48,0.48,1.64,0.19,0.67,1.45,0.39,1483.23

49,12:00-12:15,83.58,19.4,77,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.95,24.09,0.29,1.16,0,0.18,1.64,0.08,0.67,1.45,0.39,1471.9999999999998

50,12:15-12:30,83.72,19.69,81,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.95,24.09,0.29,1.16,0,0.2,1.64,0.09,0.67,1.45,0.39,1476.4599999999998

51,12:30-12:45,81.67,19.95,91,14.45,0,0,13.49,0.96,0,0,0,0,0,0,0,0,0,0,0,0,26.23,81.9,48.18,14.57,26.95,0,192.7,37.23,192.7,43.79,43.79,48.18,48.18,18.09,76.71,0,8.76,19.27,96.35,24.09,15.27,20.79,96.35,8.76,17.38,26.95,24.09,0.29,1.16,0,0.24,1.64,0.1,0.67,1.45,0.39,1484.7199999999998

