Column1,Block,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,NR/2025/33075/C,NR/2025/32857/A/94879,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/94941,NR/2025/32534/A/94943,NR/2025/32599/A/94565,NR/2025/32652/A/94893,NR/2025/32532/A/94935,NR/2025/32535/A/94945,NR/2025/32653/A/94891,NR/2025/32532/A/94936,NR/2025/32535/A/94946,NR/2025/32455/A/95040,NR/2025/33056/C,NR/2025/33027/C,NR/2025/33057/C,NR/2025/33029/C,NR/2025/33030/C,NR/2025/32262/A/94517,NR/2025/32559/A/94869,NR/2025/33066/C,NR/2025/33050/C,NR/2025/33045/C,NR/2025/33068/C,NR/2025/29440/A/94472,NR/2025/32004/A/94874,NR/2025/33069/C,NR/2025/32610/A/94868,NR/2025/29992/A/94527,NR/2025/33054/C,NR/2025/32375/A/94983,NR/2025/31041/A/94922,NR/2025/31421/A/94986,NR/2025/31042/A/94923,NR/2025/32598/A/94676,NR/2025/32397/A/94487,NR/2025/32554/A/94910,NR/2025/32702/A/94552,NR/2025/32556/A/94870,NR/2025/31047/A/94925,NR/2025/31046/A/94924,Total
28,06:45-07:00,20.4,14.33,81.58,30,40.79,28.86,23.61,20.4,20.71,19.2,14.54,15.21,81.58,14.54,1.37,0,7.59,0,0.19,17,0,0,0.1,0,0.38,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.82,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1196.49

29,07:00-07:15,20.4,14.33,81.58,26.12,40.79,28.86,26.12,20.4,20.71,19.2,14.54,15.21,81.58,14.54,1.97,0,11.8,0,0.19,24,0,0,0.19,0,0.38,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.86,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1207.06

30,07:15-07:30,20.4,14.33,81.58,26.12,40.79,28.86,26.12,20.4,20.71,19.2,14.54,15.21,81.58,14.54,2.97,0,16.2,0,0.19,34,0,0,0.19,0,0.38,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.86,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1222.46

31,07:30-07:45,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,3.85,0,20.88,0.09,0.19,46,0,0.12,0.19,0,0.38,0.07,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.86,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1241.94

32,07:45-08:00,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,5.24,0,25.87,0.2,0.29,60,0,0.26,0.19,0,0.48,0.14,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.86,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1262.84

33,08:00-08:15,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,6.17,1.15,31.37,0.32,0.29,74,1.63,0.41,0.19,0,0.48,0.28,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.96,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1286.56

34,08:15-08:30,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.51,1.15,36.96,0.42,0.29,88,1.63,0.55,0.19,0,0.48,0.36,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.96,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1308.81

35,08:30-08:45,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,5.86,1.15,42.64,0.54,0.29,102,1.63,0.69,0.19,0,0.48,0.46,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.96,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,13.44,26.17,0,0,1328.1200000000001

36,08:45-09:00,20.4,14.33,81.58,26.94,40.79,28.86,26.94,20.4,20.71,19.2,14.54,15.21,81.58,14.54,5.86,1.15,48.25,0.63,0.29,116,1.63,0.9,0.19,0,0.48,0.63,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.96,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,13.44,26.17,0,0,1348.2

37,09:00-09:15,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,5.86,1.15,55.21,0.77,0.29,130,1.63,0.96,0.19,0,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1415.24

38,09:15-09:30,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,6.84,1.15,59.63,0.77,0.29,144,1.63,0.96,0.19,0,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1434.6399999999999

39,09:30-09:45,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,6.84,1.15,63.83,0.77,0.29,158,1.63,0.96,0.19,0,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1452.84

40,09:45-10:00,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,7.81,1.15,68.06,0.77,0.29,172,1.63,0.96,0.19,0,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1472.04

41,10:00-10:15,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,7.81,1.15,76.97,0.77,0.29,186,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1496.39

42,10:15-10:30,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,7.81,1.15,82.65,0.77,0.29,196,1.63,0.96,0.19,1.44,0.48,0.67,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1512.07

43,10:30-10:45,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,11.51,1.15,88.33,0.45,0.29,203,1.63,0.63,0.19,1.44,0.48,0.36,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1527.49

44,10:45-11:00,20.4,14.33,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,12.78,1.15,93.71,0.45,0.29,203,1.63,0.63,0.19,1.44,0.48,0.36,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1534.14

45,11:00-11:15,20.4,11.3,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,14.05,1.15,96.81,0.48,0.29,203,1.63,0.49,0.19,1.44,0.48,0.28,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1535.2900000000002

46,11:15-11:30,20.4,11.3,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,15.49,1.15,98.33,0.48,0.29,203,1.63,0.49,0.19,1.44,0.48,0.28,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1538.25

47,11:30-11:45,20.4,11.3,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,16.86,1.15,98.33,0.48,0.29,203,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1539.9

48,11:45-12:00,20.4,11.3,81.58,26.95,40.79,28.86,26.95,20.4,20.71,19.2,14.54,15.21,81.58,14.54,18.14,1.15,98.33,0.48,0.29,203,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1541.18

49,12:00-12:15,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,19.32,1.15,93.33,0.48,0.29,210,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1544.38

50,12:15-12:30,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,19.62,1.15,93.33,0.48,0.29,210,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1544.68

51,12:30-12:45,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,19.88,1.15,86.67,0.48,0.29,210,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1538.28

52,12:45-13:00,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,20.16,1.15,86.67,0.48,0.29,210,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1538.5600000000002

53,13:00-13:15,20.4,11.3,81.58,26.96,40.79,28.86,26.96,20.4,20.71,19.2,14.54,15.21,81.58,14.54,8.79,1.15,91.53,0.48,0.29,210,1.63,0.67,0.19,1.44,0.48,0.38,0,43.62,163.17,37.09,0,0,0,0,191.96,76.42,44.15,47.99,0.96,0,47.99,0,0,43.62,0,0,0,0,81.58,0,0,13.44,0,0,0,1532.0500000000002

