Block,Time Block,UNCHAHAR2,UNCHAHAR1,KHSTPP-II,SIMHST2,SASAN,RSTPSU7,SIMHST1,SALAL,SEWA2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,RIHAND2,NLCTS2EXP,NNTPP,RAMPUR,RIHAND1,NTPL,PARBATI3,RAPPC,RSTPSU1TO6,PARBATI2,RAPPD,RIHAND3,RAPPB,JHAJJAR,FSTPP I & II,NAPP,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,TelanganaSTPP,TEHRIPSP,TEHRI,DHAULIGNGA,DADRT2,DULHASTI,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,TANDA2,SINGRAULI_HYDRO,TANAKPUR,TALST2,TALA,KHSTPP-I,KGSU3AND4,SINGRAULI,KUDGI,KOTESHWR,KGSU1AND2,DADRI_LF,DADRI_GF,DADRI_CRF,AURY_RF,DADRI_RF,ANTA_LF,UNCHAHAR4,VALLURNTECL,AURY_GF,URI2,ANTA_GF,UNCHAHAR3,AURY_CRF,ANTA_CRF,ANTA_RF,URI,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,43.28,20.82,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,185.55,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,217.78,53.26,32.64,12.54,45.32,10.25,40.54,5.34,0.94,10.72,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,19.11,0,0,0,0,0,0

7,01:30-01:45,43.28,20.82,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,142.89,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,91.78,53.26,32.64,12.54,45.32,7.73,40.54,5.34,0.94,11.09,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,19.11,0,0,0,0,0,0

8,01:45-02:00,40.53,18.05,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,133.71,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,91.78,53.26,32.64,12.54,45.32,8.2,40.54,5.34,0.94,11.09,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,21.24,0,0,0,0,0,0

9,02:00-02:15,37.66,18.05,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,133.71,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,91.78,53.26,32.64,12.54,45.32,7.51,40.54,5.34,0.94,11.33,0,9.7,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,23.13,0,0,0,21.24,0,0,0,0,0,0

10,02:15-02:30,43.28,20.82,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,133.71,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,91.78,53.26,32.64,12.54,45.32,8.87,40.54,5.34,0.94,11.58,0,9.7,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,21.24,0,0,0,0,0,0

11,02:30-02:45,33.82,15.5,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,137.08,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,94.67,53.26,32.64,12.54,45.32,9.74,40.54,5.34,0.94,11.58,0,9.7,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,20.66,0,0,0,21.24,0,0,0,0,0,0

12,02:45-03:00,33.82,15.5,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,139.96,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,94.67,53.26,32.64,12.54,45.32,11.2,40.54,5.34,0.94,11.58,0,9.7,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,20.66,0,0,0,21.24,0,0,0,0,0,0

13,03:00-03:15,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,157.32,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,163.82,53.26,32.64,12.54,45.32,15.37,40.54,5.34,0.94,10.84,0,9.56,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,20.66,0,0,0,27.61,0,0,0,0,0,0

14,03:15-03:30,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,157.32,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,118.74,53.26,32.64,12.54,45.32,16.77,40.54,5.34,0.94,10.84,0,9.56,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,20.66,0,0,0,27.61,0,0,0,0,0,0

15,03:30-03:45,43.28,20.82,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,109.13,53.26,32.64,12.54,45.32,14.15,40.54,5.34,0.94,10.84,0,9.33,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,37.48,0,26.63,0,0,0,27.61,0,0,0,0,0,0

16,03:45-04:00,43.28,20.16,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,109.13,53.26,32.64,12.54,45.32,15.4,40.54,5.34,0.94,10.84,0,9.19,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,27.61,0,0,0,0,0,0

17,04:00-04:15,43.28,20.82,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,34.32,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,94.7,53.26,32.64,12.54,45.32,17.06,40.54,5.34,0.94,11.46,0,9.05,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,27.61,0,0,0,0,0,0

18,04:15-04:30,43.28,20.82,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,34.32,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,87,53.26,32.64,12.54,45.32,16.14,40.54,5.34,0.94,11.46,0,8.92,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,27.61,0,0,0,0,0,0

19,04:30-04:45,43.28,20.82,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,34.32,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,58.15,53.26,32.64,12.54,45.32,17.54,40.54,5.34,0.94,11.46,0,8.62,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,27.61,0,0,0,0,0,0

20,04:45-05:00,43.28,20.82,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,34.32,62.78,0,0,23.58,125.84,0,164.05,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,56.23,53.26,32.64,12.54,45.32,20.62,40.54,5.34,0.94,11.46,0,8.35,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,27.61,0,0,0,0,0,0

21,05:00-05:15,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,37.17,62.78,0,0,23.58,125.84,0,157.8,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,65.84,53.26,32.64,12.54,45.32,23.66,40.54,5.34,0.94,11.46,0,8.35,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,2.22,0,0,22.49,0,20.66,0,0,0,27.61,0,0,0,0,0,0

22,05:15-05:30,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,37.17,62.78,0,0,23.58,125.84,0,157.8,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,70.65,53.26,32.64,12.54,45.32,24.04,40.54,5.34,0.94,11.46,0,8.05,43.79,0,129.59,0,29.27,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,27.61,0,0,0,0,0,0

23,05:30-05:45,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,14.6,23.54,0,0,0,169.07,0,0,0,54.88,0,89.89,53.26,32.64,18.81,45.32,24.04,40.54,4.11,0.94,11.46,0,7.78,34.17,0,129.59,0,29.27,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,50.36,0,0,0,0,0,0

24,05:45-06:00,33.82,15.5,113.66,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,13.76,23.54,0,0,0,169.07,0,0,0,54.88,0,89.7,53.26,32.64,18.81,45.32,21.47,40.54,4.11,0.94,11.46,0,7.64,34.17,0,129.59,0,29.27,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,50.36,0,0,0,0,0,0

25,06:00-06:15,33.82,15.5,113.66,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,13.76,23.54,0,0,0,169.07,0,0,0,54.88,0,151.31,53.26,32.64,18.81,45.32,22.98,40.54,4.11,0.94,11.46,0,8.35,34.17,0,129.59,0,29.27,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,50.36,0,0,0,0,0,0

26,06:15-06:30,33.82,15.5,113.66,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,13.76,23.54,0,0,0,169.07,0,0,0,54.88,0,151.31,53.26,32.64,18.81,45.32,24.04,40.54,4.11,0.94,11.46,0,8.35,34.17,0,129.59,0,19.73,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,21.24,0,0,0,0,0,0

27,06:30-06:45,33.82,15.5,139.06,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,16.79,23.54,0,0,0,169.07,0,0,0,54.88,0,151.31,53.26,32.64,18.81,45.32,23.86,40.54,5.34,0.94,11.46,0,8.35,43.38,0,129.59,0,19.51,0,0,0,0,0,0,0,2.22,0,0,20.99,0,20.66,0,0,0,21.24,0,0,0,0,0,0

28,06:45-07:00,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,47.19,62.78,0,0,23.58,125.84,0,157.8,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,156.34,53.26,32.64,18.81,45.32,18.74,40.54,5.34,0.94,11.46,0,8.48,43.79,0,129.59,0,19.51,0,0,0,0,0,0,0,2.22,0,0,20.99,0,20.66,0,0,0,21.24,0,0,0,0,0,0

29,07:00-07:15,28.19,12.73,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,51.49,62.78,0,0,23.58,125.84,0,136.64,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,70.65,53.26,32.64,18.81,45.32,21.82,40.54,5.34,0.94,11.46,0,8.62,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,17.16,0,0,0,21.24,0,0,0,0,0,0

30,07:15-07:30,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,51.49,62.78,0,0,23.58,125.84,0,136.64,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,51.42,53.26,32.64,18.81,45.32,20.22,40.54,5.34,0.94,11.46,0,8.62,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,20.66,0,0,0,21.24,0,0,0,0,0,0

31,07:30-07:45,33.82,15.5,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,51.49,62.78,0,0,23.58,125.84,0,136.64,14.33,23.54,0,0,0,169.07,0,0,0,54.88,0,50.31,53.26,32.64,18.81,45.32,18.34,27.03,4.41,0.94,11.46,0,8.92,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,37.48,0,20.66,0,0,0,50.36,0,0,0,0,0,0

32,07:45-08:00,28.19,12.73,122.94,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,51.49,62.78,0,0,23.58,125.84,0,136.64,10.7,23.54,0,0,0,169.07,0,0,0,54.88,0,50.31,53.26,32.64,18.81,45.32,20.22,13.51,4.11,0.94,11.46,0,9.47,37.74,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,37.48,0,17.16,0,0,0,50.36,0,0,0,0,0,0

33,08:00-08:15,30.24,13.05,128.36,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,136.64,10.7,23.54,0,0,0,169.07,0,0,0,41.16,0,50.31,53.26,32.64,18.81,45.32,20.14,0,4.11,0.94,11.46,0,9.75,37.74,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,37.48,0,16.43,0,0,0,50.36,0,0,0,0,0,0

34,08:15-08:30,30.24,13.05,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,136.64,10.7,23.54,0,0,0,169.07,0,0,0,27.44,0,8.14,53.26,32.64,18.81,45.32,18.22,0,4.11,0.94,11.46,0,9.9,43.55,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,16.43,0,0,0,50.36,0,0,0,0,0,0

35,08:30-08:45,30.24,13.05,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,10.7,23.54,0,0,0,169.07,0,0,0,13.72,0,8.14,53.26,32.64,12.54,45.32,19.19,0,4.11,0.96,11.46,0,10.18,43.63,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,16.43,0,0,0,21.24,0,0,0,0,0,0

36,08:45-09:00,30.24,13.05,142.63,0,265.09,0,0,78.23,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,10.7,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,20.04,0,4.11,0.96,11.46,0,10.18,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,16.43,0,0,0,21.24,0,0,0,0,0,0

37,09:00-09:15,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,10.7,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,20.18,0,4.11,0.96,11.46,0,10.32,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,13.89,0,0,0,21.24,0,0,0,0,0,0

38,09:15-09:30,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,10.7,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,19.38,0,4.11,0.96,11.46,0,10.32,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,13.89,0,0,0,21.24,0,0,0,0,0,0

39,09:30-09:45,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,20.99,0,5.34,0.96,11.46,0,9.3,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,13.89,0,0,0,50.36,0,0,0,0,0,0

40,09:45-10:00,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,17.76,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,22.7,0,5.34,0.96,11.46,0,9.3,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,20.99,0,13.89,0,0,0,50.36,0,0,0,0,0,0

41,10:00-10:15,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,17.21,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,21.07,0,5.34,0.96,11.46,0,8.73,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,50.36,0,0,0,0,0,0

42,10:15-10:30,24.42,10.41,142.63,0,265.09,0,0,72.64,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,18.5,0,5.34,0.96,11.46,0,9.72,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

43,10:30-10:45,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,16.53,0,5.34,0.96,11.46,0,9.75,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

44,10:45-11:00,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,17.88,0,5.34,0.96,11.46,0,9.78,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

45,11:00-11:15,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,17,0,5.34,0.96,11.46,0,9.52,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

46,11:15-11:30,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,17.46,0,5.34,0.96,11.46,0,9.56,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,2.22,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

47,11:30-11:45,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,19.14,0,5.34,0.96,11.46,0,9.95,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

48,11:45-12:00,24.42,10.41,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,18.54,0,5.34,0.96,11.46,0,9.95,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,26.99,0,13.89,0,0,0,36.1,0,0,0,0,0,0

49,12:00-12:15,28.75,13.05,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,22.15,0,5.34,0.96,11.46,0,11.37,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,23.99,0,17.39,0,0,0,36.1,0,0,0,0,0,0

50,12:15-12:30,28.75,13.05,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,19.74,0,5.34,0.96,11.46,0,11.37,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,23.99,0,17.39,0,0,0,36.1,0,0,0,0,0,0

51,12:30-12:45,28.75,13.05,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,18.17,0,5.34,0.92,11.46,0,11.43,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,23.99,0,17.39,0,0,0,36.1,0,0,0,0,0,0

52,12:45-13:00,28.75,13.05,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,20.53,0,5.34,0.92,11.46,0,11.45,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,23.99,0,17.39,0,0,0,36.1,0,0,0,0,0,0

53,13:00-13:15,28.75,13.05,142.63,0,265.09,0,0,65.94,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,0,62.78,0,0,0,125.84,0,127.46,18.04,23.54,0,0,0,169.07,0,0,0,0,0,8.14,53.26,32.64,12.54,45.32,20.53,0,5.34,0.92,11.46,0,16.83,43.79,0,129.59,0,9.75,0,0,0,0,0,0,0,3.1,0,0,23.99,0,17.39,0,0,0,36.1,0,0,0,0,0,0

