Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26198/A/69253,NR/2025/26504/C,NR/2025/26265/A/69209,NR/2025/26201/A/69244,NR/2025/26312/A/68735,NR/2025/25858/A/69198,NR/2025/26232/A/69211,NR/2025/25855/A/69197,NR/2025/26506/C,NR/2025/26289/A/69208,NR/2025/26335/A/68881,NR/2025/26199/A/69252,NR/2025/26191/A/68725,NR/2025/26153/A/68754,NR/2025/26197/A/69254,NR/2025/26233/A/69210,NR/2025/26291/A/69207,NR/2025/26101/A/68854,NR/2025/26336/A/69185,NR/2025/26286/A/68858,NR/2025/26202/A/69348,NR/2025/26236/A/68753,NR/2025/26002/A/69164,NR/2025/26200/A/69250,NR/2025/26085/A/68739,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/4138,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/7791,NR/2025/26496/C,NR/2025/26461/C,NR/2025/26503/C,NR/2025/26463/C,NR/2025/26464/C,NR/2025/26462/C,NR/2025/26473/C,NR/2025/26478/C,NR/2025/26465/C,Total
3,00:30-00:45,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.77,0,5.78,67.43,10.6,122.82,32,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,32,0,0,0,9.63,0,0,0,0,0,0,1410.8300000000004

4,00:45-01:00,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.77,0,5.78,67.43,10.6,122.82,32,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,32,0,0,0,9.63,0,0,0,0,0,0,1410.8300000000004

5,01:00-01:15,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,0,5.78,67.43,10.6,122.82,30,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1402.9900000000005

6,01:15-01:30,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,0,5.78,67.43,10.6,122.82,30,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1402.9900000000005

7,01:30-01:45,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,0,5.78,67.43,10.6,122.82,30,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1402.9900000000005

8,01:45-02:00,0,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,0,5.78,67.43,10.6,122.82,30,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1402.9900000000005

9,02:00-02:15,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.63,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,13,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1286.1900000000003

10,02:15-02:30,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.63,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,13,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1286.1900000000003

11,02:30-02:45,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.63,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,13,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1286.1900000000003

12,02:45-03:00,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.63,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,13,163.76,13.49,0,26.26,0,0,0,9.63,0,0,0,0,0,0,1286.1900000000003

13,03:00-03:15,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.73,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1286.0900000000001

14,03:15-03:30,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.73,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1286.0900000000001

15,03:30-03:45,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.73,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1286.0900000000001

16,03:45-04:00,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.73,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1286.0900000000001

17,04:00-04:15,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.54,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.9

18,04:15-04:30,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.54,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.9

19,04:30-04:45,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.54,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.9

20,04:45-05:00,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.54,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.9

21,05:00-05:15,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.26,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.6200000000001

22,05:15-05:30,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.26,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.6200000000001

23,05:30-05:45,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.26,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.6200000000001

24,05:45-06:00,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.48,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,12.26,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.6200000000001

25,06:00-06:15,0,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.58,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.99,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1285.4500000000003

26,06:15-06:30,1.73,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.58,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.99,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1287.1800000000003

27,06:30-06:45,4.44,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,1,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.58,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.99,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1290.8900000000003

28,06:45-07:00,7.84,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,4,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.58,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.99,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1297.2900000000002

29,07:00-07:15,10.62,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,14,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.62,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1309.79

30,07:15-07:30,13.52,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,28,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.62,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1326.69

31,07:30-07:45,16.81,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,18,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.62,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1319.98

32,07:45-08:00,22.48,26.27,51.03,0,26.27,0,0,4.82,0,0,48.16,21,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.67,96.33,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.62,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1328.65

33,08:00-08:15,23.33,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,32,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,7.71,0,8.76,0.96,0,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.58,0,0,0,9.63,0,0,0,0,0,0,1348.2200000000003

34,08:15-08:30,28.33,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,42,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,7.71,0,8.76,0.96,0,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.58,0,11.56,0,9.63,0,0,0,0,0,0,1374.7800000000002

35,08:30-08:45,38.33,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,53,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,7.71,0,8.76,0.96,0,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.58,0,11.56,0,9.63,0,0,0,0,0,0,1395.7800000000002

36,08:45-09:00,41.67,26.27,51.03,96.33,26.27,0,0,4.82,0,0,48.16,67,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,7.71,0,8.76,0.96,0,0,0,10.6,122.82,30,163.76,17.51,0,0,28.9,0,14.45,11.34,163.76,13.49,0,26.58,0,59.72,0,9.63,0,0,0,0,0,0,1461.2800000000004

37,09:00-09:15,33.33,26.27,0,0,26.27,0,0,0,0,5.82,0,70,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,11.16,163.76,13.49,0,26.66,0,59.72,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1489.08

38,09:15-09:30,40,26.27,0,0,26.27,0,0,0,0,5.82,0,74,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,11.16,163.76,13.49,0,26.66,0,59.72,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1499.75

39,09:30-09:45,45,26.27,0,0,26.27,0,0,0,0,5.82,0,112,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,11.16,163.76,13.49,0,26.66,0,88.62,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1571.65

40,09:45-10:00,50,26.27,0,0,26.27,0,0,0,0,5.82,0,123,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,11.16,163.76,13.49,0,26.66,0,88.62,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1587.65

41,10:00-10:15,66.7,26.27,0,0,26.27,0,0,0,0,5.82,0,154,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,9.92,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.89,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1653.6700000000003

42,10:15-10:30,70.05,26.27,0,0,26.27,0,0,0,0,5.82,0,165,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,9.92,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.89,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1668.0200000000002

43,10:30-10:45,74.35,26.27,0,0,26.27,0,0,0,0,5.82,0,175,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,9.54,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.89,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1681.9400000000003

44,10:45-11:00,76.76,26.27,0,0,26.27,0,0,0,0,5.82,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,10.31,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.89,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1692.1200000000001

45,11:00-11:15,88.2,26.27,0,0,26.27,0,0,0,0,5.82,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,12.14,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.51,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1705.0100000000002

46,11:15-11:30,91.88,26.27,0,0,26.27,0,0,0,0,5.82,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,12.91,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.51,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1709.46

47,11:30-11:45,91.88,26.27,0,0,26.27,0,0,0,0,5.82,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.51,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1710.0400000000002

48,11:45-12:00,91.88,26.27,0,0,26.27,0,0,0,0,5.82,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.51,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29.5,163.76,17.51,0,0,28.9,0,14.45,10.51,163.76,13.49,0,26.66,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1710.0400000000002

49,12:00-12:15,91.88,26.27,0,0,26.27,0,0,0,0,5.81,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.23,163.76,13.49,0,26.73,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1709.3300000000002

50,12:15-12:30,91.88,26.27,0,0,26.27,0,0,0,0,5.81,0,182,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,10.23,163.76,13.49,0,26.73,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1709.3300000000002

51,12:30-12:45,91.88,26.27,0,0,26.27,0,0,0,0,5.81,0,168,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.25,163.76,13.49,0,26.73,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1696.3500000000001

52,12:45-13:00,91.88,26.27,0,0,26.27,0,0,0,0,5.81,0,168,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.25,163.76,13.49,0,26.73,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1696.3500000000001

53,13:00-13:15,98.31,26.27,0,0,26.27,0,0,0,0,5.81,0,179,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,107.89,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1713.59

54,13:15-13:30,98.31,26.27,0,0,26.27,0,0,0,0,5.81,0,179,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,13.49,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,88.62,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1694.3199999999997

55,13:30-13:45,96.81,26.27,0,0,26.27,0,0,0,0,5.81,0,179,26.27,48.16,62.61,8.76,0,0,0,134.86,3.85,90.52,10.6,0,8.76,0.96,0,0,0,10.6,122.82,29,163.76,17.51,0,0,28.9,0,14.45,11.06,163.76,13.49,0,26.73,0,88.62,96.33,38.53,24.08,4.82,48.16,0,52.98,4.82,1689.9299999999998

