Time,Block,NR/2024/18285/A/3090,NR/2023/18183/A/3116,NR/2023/18074/A/2966,NR/2024/18328/C,WR/2023/20937/A/3115,WR/2023/20914/A/3097,Total
34,08:15-08:30,9.600000,158.480000,0.860000,1.39,0.000000,0.000000,170.33

35,08:30-08:45,9.600000,158.480000,0.860000,1.82,0.000000,0.000000,170.76

36,08:45:09:00,9.600000,158.480000,0.860000,2.29,0.000000,0.000000,171.23

37,09:00:09:15,9.600000,0.000000,0.860000,2.81,0.000000,0.000000,13.27

38,09:15-09:30,9.600000,0.000000,0.860000,3.32,0.000000,0.000000,13.78

39,09:30-09:45,9.600000,0.000000,0.860000,3.85,0.000000,0.000000,14.31

40,09:45-10:00,9.600000,0.000000,0.860000,4.31,0.000000,0.000000,14.77

41,10:00-10:15,9.600000,0.000000,0.860000,4.69,0.000000,0.000000,15.15

42,10:15-10:30,9.600000,0.000000,0.860000,5.12,0.000000,0.000000,15.58

43,10:30-10:45,9.600000,0.000000,0.860000,5.53,0.000000,0.000000,15.99

44,10:45-11:00,9.600000,0.000000,0.860000,5.86,0.000000,0.000000,16.32

45,11:00-11:15,9.600000,0.000000,0.860000,6.13,0.000000,0.000000,16.59

46,11:15-11:30,9.600000,0.000000,0.860000,6.21,0.000000,0.000000,16.67

47,11:30-11:45,9.600000,0.000000,0.860000,6.25,0.000000,0.000000,16.71

48,11:45-12:00,9.600000,0.000000,0.860000,6.5,0.000000,0.000000,16.96

49,12:00-12:15,9.600000,0.000000,0.860000,6.56,0.000000,0.000000,17.02

50,12:15-12:30,9.600000,0.000000,0.860000,6.8,0.000000,0.000000,17.26

51,12:30-12:45,9.600000,0.000000,0.860000,6.52,0.000000,0.000000,16.98

52,12:45-13:00,9.600000,0.000000,0.860000,6.69,0.000000,0.000000,17.15

53,13:00-13:15,9.600000,0.000000,0.770000,6.51,0.000000,0.000000,16.88

54,13:15-13:30,9.600000,0.000000,0.770000,6.56,0.000000,0.000000,16.93

55,13:30-13:45,9.600000,0.000000,0.770000,6.3,0.000000,0.000000,16.67

56,13:45-14:00,9.600000,0.000000,0.770000,6.21,0.000000,0.000000,16.58

57,14:00-14:15,9.600000,0.000000,0.770000,5.94,0.000000,0.000000,16.31

58,14:15-14:30,9.600000,0.000000,0.770000,5.82,0.000000,0.000000,16.19

59,14:30-14:45,9.600000,0.000000,0.770000,5.48,0.000000,0.000000,15.85

60,14:45-15:00,9.600000,0.000000,0.770000,5.1,0.000000,0.000000,15.47

61,15:00-15:15,9.600000,0.000000,0.670000,4.73,0.000000,0.000000,15

62,15:15-15:30,9.600000,0.000000,0.670000,4.31,0.000000,0.000000,14.58

63,15:30-15:45,9.600000,0.000000,0.670000,3.86,0.000000,0.000000,14.13

64,15:45-16:00,9.600000,0.000000,0.670000,3.37,0.000000,0.000000,13.64

65,16:00-16:15,9.600000,0.000000,0.480000,2.87,0.000000,0.000000,12.95

66,16:15-16:30,9.600000,0.000000,0.480000,2.43,0.000000,0.000000,12.51

67,16:30-16:45,9.600000,0.000000,0.480000,1.83,0.000000,0.000000,11.91

68,16:45-17:00,9.600000,0.000000,0.480000,1.36,0.000000,0.000000,11.44

69,17:00-17:15,9.600000,0.000000,0.480000,0.92,0.000000,0.000000,11

70,17:15-17:30,9.600000,0.000000,0.480000,0.59,0.000000,0.000000,10.67

71,17:30-17:45,9.600000,0.000000,0.480000,0.34,0.000000,0.000000,10.42

72,17:45-18:00,9.600000,0.000000,0.480000,0.14,0.000000,0.000000,10.22

73,18:00-18:15,9.600000,0.000000,0.480000,0,25.000000,55.000000,90.08

74,18:15-18:30,9.600000,0.000000,0.480000,0,25.000000,55.000000,90.08

75,18:30-18:45,9.600000,0.000000,0.480000,0,25.000000,55.000000,90.08

76,18:45-19:00,9.600000,0.000000,0.480000,0,25.000000,55.000000,90.08

77,19:00-19:15,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

78,19:15-19:30,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

79,19:30-19:45,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

80,19:45-20:00,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

81,20:00-20:15,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

82,20:15-20:30,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

83,20:30-20:45,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

84,20:45-21:00,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

85,21:00-21:15,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

86,21:15-21:30,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

87,21:30-21:45,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

88,21:45-22:00,9.600000,158.480000,0.580000,0,25.000000,55.000000,248.66

89,22:00-22:15,9.600000,0.000000,0.480000,0,0.000000,55.000000,65.08

90,22:15-22:30,9.600000,0.000000,0.480000,0,0.000000,55.000000,65.08

91,22:30-22:45,9.600000,0.000000,0.480000,0,0.000000,55.000000,65.08

92,22:45-23:00,9.600000,0.000000,0.480000,0,0.000000,55.000000,65.08

93,23:00-23:15,9.600000,0.000000,0.480000,0,0.000000,0.000000,10.08

94,23:15-23:30,9.600000,0.000000,0.480000,0,0.000000,0.000000,10.08

95,23:30-23:45,9.600000,0.000000,0.480000,0,0.000000,0.000000,10.08

96,23:45-24:00,9.600000,0.000000,0.480000,0,0.000000,0.000000,10.08

