Time,Block,NR/2024/19779/A/20426,NR/2024/20350/A/20061,NR/2024/20090/A/20201,NR/2024/20052/A/20058,NR/2024/19699/A/20572,NR/2024/20141/A/20277,NR/2024/20460/C,NR/2024/19760/A/20195,NR/2024/19355/A/20632,NR/2024/20472/C,NR/2024/20034/A/20546,NR/2024/19919/A/20519,NR/2024/19683/A/20231,NR/2024/20041/A/20610,NR/2024/20033/A/20564,NR/2024/19432/A/20578,NR/2024/20037/A/20160,NR/2024/20050/A/20607,NR/2024/19588/A/20279,NR/2024/19966/A/20270,NR/2024/20212/A/20274,NR/2024/20211/A/20273,NR/2024/20109/A/20631,NR/2024/20142/A/20276,NR/2024/20144/A/20275,NR/2024/20464/C,NR/2024/20446/C,NR/2024/19637/A/20247,NR/2024/19918/A/20522,NR/2024/20130/A/20268,NR/2024/20466/C,NR/2024/19757/A/20558,NR/2024/19475/A/20468,NR/2024/20048/A/20620,NR/2024/20448/C,NR/2024/20447/C,NR/2024/20031/A/20550,NR/2024/19791/A/20524,Total
15,03:30-03:45,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

16,03:45-04:00,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

17,04:00-04:15,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

18,04:15-04:30,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

19,04:30-04:45,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

20,04:45-05:00,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,11.880000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.61

21,05:00-05:15,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1268.88

22,05:15-05:30,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1268.88

23,05:30-05:45,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1268.88

24,05:45-06:00,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1268.88

25,06:00-06:15,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0,111.250000,37.270000,64.730000,1134.76

26,06:15-06:30,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0.19,111.250000,37.270000,64.730000,1134.95

27,06:30-06:45,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0.52,111.250000,37.270000,64.730000,1135.28

28,06:45-07:00,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0.84,111.250000,37.270000,64.730000,1135.6

29,07:00-07:15,0.680000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0.96,111.250000,37.270000,64.730000,1135.87

30,07:15-07:30,0.680000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,1.82,111.250000,37.270000,64.730000,1136.73

31,07:30-07:45,0.680000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,1.82,111.250000,37.270000,64.730000,1136.73

32,07:45:08:00,0.680000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,48.610000,192.980000,0.000000,0.93,111.250000,37.270000,64.730000,1135.84

33,08:00-08:15,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,1,111.250000,37.270000,64.730000,1331.47

34,08:15-08:30,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,73.330000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,2.74,111.250000,37.270000,64.730000,1333.21

35,08:30-08:45,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,121.570000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,2.62,111.250000,37.270000,64.730000,1381.33

36,08:45:09:00,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,121.570000,1.930000,0.000000,12.430000,14.310000,72.370000,0.000000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,57.890000,0.000000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,1.3,111.250000,37.270000,64.730000,1380.01

37,09:00:09:15,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,14.310000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,2.86,111.250000,43.850000,64.730000,1553.23

38,09:15-09:30,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,14.310000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,4.76,111.250000,43.850000,64.730000,1555.13

39,09:30-09:45,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,4.8,111.250000,43.850000,64.730000,1564.98

40,09:45-10:00,0.960000,0.000000,1.930000,9.650000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,5.61,111.250000,43.850000,64.730000,1565.79

41,10:00-10:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,5.75,111.250000,43.850000,64.730000,1569.79

42,10:15-10:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,6.58,111.250000,43.850000,64.730000,1570.62

43,10:30-10:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,3.54,111.250000,43.850000,64.730000,1567.58

44,10:45-11:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,4.34,111.250000,43.850000,64.730000,1568.38

45,11:00-11:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,3.8,111.250000,43.850000,64.730000,1567.84

46,11:15-11:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,6.86,111.250000,43.850000,64.730000,1570.9

47,11:30-11:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,8.45,111.250000,43.850000,64.730000,1572.49

48,11:45-12:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,0.000000,0.480000,0.000000,242.920000,192.980000,0.000000,9.5,111.250000,43.850000,64.730000,1573.54

49,12:00-12:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,9.65,111.250000,43.850000,64.730000,1587.2

50,12:15-12:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,7.55,111.250000,43.850000,64.730000,1585.1

51,12:30-12:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,5.73,111.250000,43.850000,64.730000,1583.28

52,12:45-13:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,9.16,111.250000,43.850000,64.730000,1586.71

53,13:00-13:15,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,7.64,111.250000,43.850000,64.730000,1585.19

54,13:15-13:30,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,6.4,111.250000,43.850000,64.730000,1583.95

55,13:30-13:45,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,7.83,111.250000,43.850000,64.730000,1585.38

56,13:45-14:00,0.960000,0.000000,1.930000,13.510000,48.240000,0.350000,0.000000,48.240000,96.490000,0.000000,43.850000,121.570000,1.930000,48.240000,14.620000,24.120000,72.370000,0.000000,66.760000,38.600000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,55.000000,24.120000,13.510000,0.480000,0.000000,242.920000,192.980000,0.000000,5.1,111.250000,43.850000,64.730000,1582.65

