Time,Block,NR/2023/15692/D,NR/2023/14898/A,NR/2023/15693/C,NR/2023/15723/C,NR/2023/15712/C,NR/2023/15303/F,NR/2023/15309/F,NR/2023/15706/C,NR/2023/12148/A,NR/2023/13862/A,NR/2023/13635/A,NR/2023/15412/F,NR/2023/14746/A,NR/2023/15306/F,NR/2023/15296/F,NR/2023/12431/A,NR/2023/15689/D,NR/2023/15695/C,NR/2023/12591/A,NR/2023/15057/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12347/A,NR/2023/12053/A,NR/2023/12422/A,NR/2023/15696/C,NR/2023/15402/F,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14895/A,Total
27,06:30-06:45,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,906.72

28,06:45-07:00,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,906.72

29,07:00-07:15,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,906.72

30,07:15-07:30,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,945.43

31,07:30-07:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,945.43

32,07:45:08:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,945.43

33,08:00-08:15,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,2.42,5.040000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,909.43

34,08:15-08:30,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,2.9,6.060000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,910.93

35,08:30-08:45,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,3.1,6.060000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,911.13

36,08:45:09:00,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,3.87,6.060000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,911.9

37,09:00:09:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,3.97,6.060000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,965.22

38,09:15-09:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.06,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,967.32

39,09:30-09:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.27,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,967.53

40,09:45-10:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.35,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,967.61

41,10:00-10:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.45,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1056.54

42,10:15-10:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.64,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1056.73

43,10:30-10:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.74,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1056.83

44,10:45-11:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,4.84,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1056.93

45,11:00-11:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,5.03,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1057.12

46,11:15-11:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,5.81,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1057.9

47,11:30-11:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,5.9,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1057.99

48,11:45-12:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,6.29,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1058.38

49,12:00-12:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,6.58,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1058.67

50,12:15-12:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,6.68,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1058.77

51,12:30-12:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,6.77,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1058.86

52,12:45-13:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,16.400000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,7.06,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1059.15

53,13:00-13:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,7.94,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1007.39

54,13:15-13:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,8.9,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1008.35

55,13:30-13:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,8.13,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1007.58

56,13:45-14:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,6.97,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,90.960000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1006.42

57,14:00-14:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,6.58,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1044.68

58,14:15-14:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,5.61,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1043.71

59,14:30-14:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,5.03,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1043.13

60,14:45-15:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,4.35,8.070000,42.570000,0.970000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1042.45

61,15:00-15:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,3.68,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1035.93

62,15:15-15:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,2.42,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1034.67

63,15:30-15:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,2.42,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1034.67

64,15:45-16:00,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,2.42,8.070000,42.570000,0.920000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1034.67

65,16:00-16:15,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,2.42,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1034.57

66,16:15-16:30,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,1.85,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1034

67,16:30-16:45,13.550000,70.160000,0.000000,17.42,0.000000,0.910000,4.840000,12.730000,22.260000,23.160000,21.290000,193.540000,0.000000,0.930000,0.970000,54.100000,1.74,8.070000,42.570000,0.820000,0.580000,24.190000,63.140000,24.190000,46.640000,106.450000,0.000000,0.000000,29.030000,6.770000,85.140000,62.900000,95.800000,1033.89

