Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15
28,06:45-07:00,27.110000,0.000000,26.130000,0.070000,2.410000,2.310000,2.980000,74.240000,0.070000,26.130000,72.030000,101.410000,212.040000,0.070000,272.310000,28.56,7.01,21,0.92,7,15,0.33,5.66,13.04,13.33,16.228245,7,13.33,0.18,2,3.5,1,1.5,1.08

29,07:00-07:15,25.170000,0.000000,26.130000,0.390000,2.410000,2.310000,2.980000,58.240000,0.400000,26.130000,72.030000,101.410000,212.040000,0.390000,272.310000,29.32,7.01,21,6.53,7,29.32,2.33,5.66,22.31,13.33,26.177415,7,13.33,1.3,8,7,4,3,2.55

30,07:15-07:30,25.170000,0.000000,26.130000,1.170000,2.410000,2.310000,2.980000,58.240000,1.190000,26.130000,72.030000,101.410000,212.040000,1.170000,272.310000,27.65,7.01,21,16.2,7,27.65,5,5.66,27.65,13.33,35.854005,7,13.33,3.24,6,10.5,3,4.5,4.69

31,07:30-07:45,25.170000,0.000000,26.130000,2.260000,2.410000,2.310000,2.980000,58.240000,2.320000,26.130000,72.030000,101.410000,212.040000,2.260000,272.310000,29.98,7.01,21,30.33,7,29.98,8.75,5.66,29.99,13.33,46.426215,7,13.33,6.06,11,21,6,9,7.47

32,07:45:08:00,25.170000,0.000000,26.130000,3.570000,2.410000,2.310000,2.980000,58.240000,3.660000,26.130000,72.030000,101.410000,212.040000,3.570000,272.310000,30.48,7.01,21,47.9,7,30.48,15.25,5.66,30.49,13.33,57.718815,7,13.33,9.58,21,36.4,10,15.6,11.72

33,08:00-08:15,25.170000,0.000000,26.130000,4.910000,2.410000,2.310000,2.980000,47.040000,5.020000,26.130000,72.030000,101.410000,212.040000,4.910000,272.310000,30.98,7.01,21,67.82,7,30.98,22.33,5.66,30.99,13.33,69.09903,7,13.33,13.56,20,58.1,10,24.9,15.27

34,08:15-08:30,25.170000,0.000000,26.130000,6.320000,2.410000,2.310000,2.980000,47.040000,6.480000,26.130000,72.030000,101.410000,212.040000,6.320000,272.310000,31.32,7.01,21,88.39,7,31.32,29.73,5.66,31.31,13.33,79.61283,7,13.33,17.68,24,72.8,12,31.2,18.99

35,08:30-08:45,26.140000,0.000000,26.130000,7.710000,2.410000,2.310000,2.980000,47.040000,7.900000,26.130000,67.770000,101.410000,212.040000,7.710000,272.310000,32.17,7.01,21,108.27,7,32.17,37.36,5.66,32.16,13.33,89.13366,7,13.33,21.65,29,88.9,14,38.1,22.66

36,08:45:09:00,26.140000,0.000000,26.130000,9.000000,2.410000,2.310000,2.980000,47.040000,9.230000,26.130000,67.770000,101.410000,212.040000,9.000000,272.310000,32.17,7.01,21,127.43,7,32.17,44.87,5.66,32.16,13.33,97.87569,7,13.33,25.48,39,108.5,19,46.5,26.01

37,09:00:09:15,26.140000,0.000000,26.130000,10.150000,2.410000,2.310000,2.980000,47.040000,10.400000,26.130000,67.770000,101.410000,212.040000,10.150000,272.310000,32.33,6.01,11.63,146.95,3.87,32.33,51.79,4.32,32.34,13.33,97.262385,3.88,13.33,29.39,45,122.5,23.01,52.5,29.02

38,09:15-09:30,26.140000,0.000000,26.130000,10.810000,2.410000,2.310000,2.980000,47.040000,11.080000,26.130000,67.770000,101.410000,212.040000,10.810000,272.310000,32.33,4.02,11.53,165.26,3.85,32.33,58.16,4.14,32.34,13.33,105.128265,3.84,13.33,33.05,50,137.2,25,58.8,31.75

39,09:30-09:45,26.140000,0.000000,26.130000,11.270000,2.410000,2.310000,2.980000,41.970000,11.560000,26.130000,67.770000,101.410000,212.040000,11.270000,272.310000,32.33,4.02,11.48,182.49,3.81,32.33,64.29,4.06,32.34,13.33,112.41978,3.83,13.33,36.5,53,147,27,63,34.19

40,09:45-10:00,26.140000,0.000000,26.130000,11.330000,2.410000,2.310000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,212.040000,11.330000,272.310000,32.33,4.02,11.45,197.34,3.81,32.33,69.61,4.12,32.34,13.33,118.72806,3.82,13.33,39.47,59,161,30,69,36.33

41,10:00-10:15,26.140000,0.000000,26.130000,11.330000,2.410000,2.470000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.43,211,3.8,32.33,74.55,4.14,32.34,13.44,124.539855,3.81,13.44,42.2,67,171.5,33,73.5,38.19

42,10:15-10:30,25.170000,0.000000,26.130000,11.330000,2.410000,2.470000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.42,223.72,3.79,32.33,77.55,4.12,32.34,13.33,129.582585,3.81,13.33,44.74,70,179.9,35,77.1,39.8

43,10:30-10:45,25.170000,0.000000,26.130000,11.330000,2.410000,2.470000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.41,233.1,3.8,32.33,80.62,4.08,32.34,13.33,131.432235,3.8,13.33,46.62,71,189,35,81,40.75

44,10:45-11:00,25.170000,0.000000,26.130000,11.330000,2.410000,2.470000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.4,243.33,3.8,32.33,83.22,4.04,32.34,6.97,135.287295,3.8,6.97,48.67,72,189,36,81,42.11

45,11:00-11:15,25.170000,0.000000,26.130000,11.330000,2.490000,2.540000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.35,243.33,3.79,32.33,85.39,3.96,32.34,6.97,138.460905,3.78,6.97,48.67,76,189,38,81,43.17

46,11:15-11:30,25.170000,0.000000,26.130000,11.330000,2.490000,2.540000,2.980000,41.970000,11.610000,26.130000,67.770000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.35,243.33,3.79,32.33,87.29,3.86,32.34,6.97,140.797305,3.78,6.97,48.67,78,189,39,81,43.97

47,11:30-11:45,25.170000,0.000000,26.130000,11.330000,1.950000,2.540000,2.890000,41.970000,11.610000,26.130000,96.820000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.35,243.33,3.79,32.33,88.36,3.8,32.34,6.98,142.510665,3.78,6.98,48.67,80,189,40,81,45

48,11:45-12:00,25.170000,0.000000,26.130000,11.330000,2.330000,2.540000,2.890000,41.970000,11.610000,26.130000,116.180000,101.410000,180.210000,11.330000,272.310000,32.33,4.02,11.35,243.33,3.79,32.33,88.94,3.71,32.34,7.16,143.211585,3.78,7.16,48.67,80,189,40,81,45.5

49,12:00-12:15,26.140000,0.000000,26.130000,11.330000,2.410000,2.540000,2.890000,53.020000,11.610000,26.130000,116.180000,101.410000,212.040000,11.330000,272.310000,32.33,6.01,11.35,243.33,3.79,32.33,89.34,3.71,32.34,7.15,143.425755,3.78,7.15,48.67,80,189,40,81,45.5

50,12:15-12:30,26.140000,0.000000,26.130000,11.330000,2.410000,2.540000,2.890000,53.020000,11.610000,26.130000,116.180000,101.410000,212.040000,11.330000,272.310000,32.33,6.01,11.35,243.33,3.79,32.33,89,3.71,32.34,6.98,141.692925,3.78,6.98,48.67,80,189,40,81,45.5

51,12:30-12:45,26.140000,0.000000,26.130000,11.330000,2.410000,2.540000,2.890000,53.020000,11.610000,26.130000,107.470000,101.410000,212.040000,11.330000,272.310000,32.33,6.01,11.35,243.33,3.79,32.33,89.22,3.71,32.34,6.98,139.551225,3.78,6.98,48.67,81,189,40,81,45.5

52,12:45-13:00,26.140000,0.000000,26.130000,11.330000,2.410000,2.540000,2.890000,53.020000,11.610000,26.130000,96.820000,101.410000,200.220000,11.330000,272.310000,32.33,6.61,11.35,243.33,3.79,32.33,88.56,3.69,32.34,6.98,136.27053,3.78,6.98,48.67,81,189,40,81,45

53,13:00-13:15,26.140000,0.000000,26.130000,11.330000,2.490000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,185.700000,11.330000,272.310000,32.33,7.21,11.35,243.33,3.79,32.33,87.53,3.69,32.34,7.23,132.308385,3.78,7.23,48.67,81,189,40,81,44.5

54,13:15-13:30,26.140000,0.000000,26.130000,11.330000,2.490000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,185.700000,11.330000,272.310000,32.33,7.21,11.35,243.33,3.79,32.33,86,3.69,32.34,7.29,127.78161,3.78,7.29,48.67,80,189,40,81,44.5

55,13:30-13:45,26.140000,0.000000,26.130000,11.330000,2.490000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,185.700000,11.330000,272.310000,32.33,7.21,11.35,243.33,3.79,32.33,83.98,3.71,32.34,7.46,120.470625,3.78,7.46,48.67,76,189,38,81,43.5

56,13:45-14:00,26.140000,0.000000,26.130000,11.330000,2.490000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,200.220000,11.330000,272.310000,32.33,7.21,11.35,243.33,3.79,32.33,82.63,3.69,32.34,7.51,115.71021,3.78,7.51,48.67,68,189,34,81,42.5

57,14:00-14:15,26.140000,0.000000,26.130000,11.330000,2.640000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,200.220000,11.330000,272.310000,32.33,7.21,11.35,237.92,3.79,32.33,80.52,3.69,32.34,7.56,109.742655,3.78,7.56,47.58,67,179.9,34,77.1,41

58,14:15-14:30,26.140000,0.000000,26.130000,11.330000,2.640000,2.610000,2.890000,53.020000,11.610000,26.130000,72.030000,101.410000,212.040000,11.330000,272.310000,32.33,7.21,11.35,227.16,3.79,32.33,77.66,3.68,32.34,7.85,102.91842,3.78,7.85,45.43,61,173.6,31,74.4,39

59,14:30-14:45,26.140000,0.000000,26.130000,11.330000,2.640000,2.610000,2.890000,53.020000,11.610000,26.130000,96.820000,101.410000,212.040000,11.330000,272.310000,32.33,7.21,11.4,214.49,3.8,32.33,74.11,3.68,32.34,8.03,96.094185,3.8,8.03,42.9,57,165.2,28,70.8,37.11

60,14:45-15:00,26.140000,0.000000,26.130000,11.330000,2.640000,2.610000,2.890000,53.020000,11.610000,26.130000,116.180000,101.410000,212.040000,11.330000,272.310000,32.33,7.21,11.4,203.81,3.8,32.33,70.35,3.69,32.34,8.25,88.325655,3.8,8.25,40.76,53,154,26,66,34.71

61,15:00-15:15,26.140000,0.000000,26.130000,11.270000,2.730000,2.610000,2.980000,53.020000,11.560000,26.130000,116.180000,101.410000,212.040000,11.270000,272.310000,32.5,7.21,11.41,192.53,3.8,32.5,65.34,3.69,32.5,9.84,82.017375,3.8,9.84,38.5,47,143.5,24,61.5,32.79

62,15:15-15:30,27.110000,0.000000,26.130000,10.710000,2.730000,2.610000,2.980000,53.020000,10.970000,26.130000,116.180000,101.410000,212.040000,10.710000,272.310000,32.5,7.21,11.42,178.45,3.79,32.5,60,3.69,32.5,11.84,73.508985,3.81,11.84,35.69,46,134.4,23,57.6,30.61

63,15:30-15:45,27.110000,0.000000,26.130000,9.960000,2.730000,2.610000,2.980000,58.090000,10.210000,26.130000,116.180000,101.410000,212.040000,9.960000,272.310000,32.5,7.21,11.44,162.53,3.82,32.5,54.15,3.69,32.5,12.67,63.78372,3.81,12.67,32.51,38,119,19,51,27.72

64,15:45-16:00,28.080000,0.000000,26.130000,8.810000,2.730000,2.610000,2.980000,58.090000,9.030000,26.130000,116.180000,101.410000,212.040000,8.810000,272.310000,32.5,7.21,11.45,143.36,3.8,32.5,47.86,3.69,32.5,12.67,54.019515,3.82,12.67,28.67,31,99.4,16,42.6,25.14

65,16:00-16:15,28.080000,0.000000,23.510000,7.560000,2.810000,2.690000,2.980000,58.090000,7.750000,23.510000,116.180000,101.410000,212.040000,7.560000,272.310000,32.67,7.21,11.48,126.95,3.81,32.67,41.07,3.71,32.66,13.33,43.466775,3.83,13.33,25.39,25,84,12,36,21.79

66,16:15-16:30,29.050000,0.000000,15.380000,6.150000,2.810000,2.690000,2.980000,58.090000,6.310000,15.380000,116.180000,101.410000,212.040000,6.150000,272.310000,32.67,7.21,11.53,108.91,3.84,32.67,34.23,3.74,32.66,14.33,31.89186,3.84,14.33,21.78,23,70,12,30,19

67,16:30-16:45,29.050000,0.000000,15.380000,4.810000,2.810000,2.690000,2.980000,58.090000,4.930000,15.380000,116.180000,101.410000,212.040000,4.810000,272.310000,33,7.21,11.64,87.62,3.87,24.41,26.99,3.81,20.87,14.33,21.699315,3.88,14.33,17.52,15,52.5,8,22.5,14

68,16:45-17:00,29.050000,0.000000,15.380000,3.530000,2.810000,2.690000,2.980000,58.090000,3.620000,15.380000,116.180000,101.410000,212.040000,3.530000,272.310000,33,7.21,11.95,67.33,3.98,12.88,20.25,3.94,10.97,14.33,13.424565,3.98,14.33,13.46,16,36.4,8,15.6,10

69,17:00-17:15,29.050000,0.000000,9.290000,2.270000,2.810000,2.690000,3.030000,58.090000,2.330000,9.290000,116.180000,101.410000,212.040000,2.270000,272.310000,24,7.21,12.25,47.5,4.08,0.6,13.15,6.66,4.08,14.33,7.28178,4.08,14.33,9.5,11,28,5,12,7.5

70,17:15-17:30,29.050000,0.000000,9.290000,1.220000,2.810000,2.690000,3.030000,58.090000,1.250000,9.290000,116.180000,101.410000,212.040000,1.220000,272.310000,16,7.21,12.98,28.99,4.32,1,6.7,6.66,0.58,19.64,2.57004,4.33,19.64,5.8,6,21,3,9,5

71,17:30-17:45,29.050000,0.000000,30.980000,0.490000,2.810000,2.690000,3.030000,58.090000,0.500000,0.000000,116.180000,101.410000,212.040000,0.490000,272.310000,8.82,7.21,13.66,14.65,4.56,0,1.4,6.66,0,20.45,0.827475,4.55,20.45,2.93,3,7,1,3,4

72,17:45-18:00,29.050000,0.000000,30.980000,0.070000,2.810000,2.690000,3.030000,58.090000,0.070000,0.000000,116.180000,101.410000,212.040000,0.070000,272.310000,2.73,7.21,17.82,5.28,5.93,0,1,7.62,0,21.77,0,5.94,21.77,1.06,1,3.5,1,1.5,3

73,18:00-18:15,29.050000,0.000000,30.980000,0.000000,2.810000,2.690000,3.030000,58.090000,0.000000,0.000000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,26.33,0.3,8.77,0,0.33,8.79,0,22.75,0,8.78,22.75,0.06,0,0,0,0,1

74,18:15-18:30,29.050000,0.000000,30.980000,0.000000,2.810000,2.690000,3.030000,58.090000,0.000000,0.000000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,27.81,0.93,9.27,0,0,9.75,0,24.11,0,9.27,24.11,0.19,0,0,0,0,0

75,18:30-18:45,29.050000,0.000000,0.000000,0.000000,2.640000,2.690000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,29.81,0,9.93,0,0,9.9,0,25.44,0,9.94,25.44,0,0,0,0,0,0

76,18:45-19:00,29.050000,0.000000,0.000000,0.000000,2.640000,2.690000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,31.63,0,10.55,0,0,10.03,0,25.21,0,10.54,25.21,0,0,0,0,0,0

77,19:00-19:15,30.010000,0.000000,0.000000,0.000000,2.640000,2.610000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,32.66,0,10.88,0,0,9.71,0,25.87,0,10.89,25.87,0,0,0,0,0,0

78,19:15-19:30,30.010000,0.000000,0.000000,0.000000,2.640000,2.610000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,33.16,0,11.06,0,0,10.34,0,26.11,0,11.05,26.11,0,0,0,0,0,0

79,19:30-19:45,30.010000,0.000000,6.570000,0.000000,2.100000,2.610000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,32.66,0,10.88,0,0,10.71,0,32.09,0,10.89,32.09,0,0,0,0,0,0

80,19:45-20:00,30.010000,0.000000,6.570000,0.000000,2.100000,2.610000,3.030000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,32.13,0,10.71,0,0,10.88,0,31.21,0,10.71,31.21,0,0,0,0,0,0

81,20:00-20:15,30.980000,0.000000,25.580000,0.000000,2.490000,2.610000,2.980000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,30.51,0,10.16,0,0,10.95,0,31.11,0,10.17,31.11,0,0,0,0,0,0

82,20:15-20:30,30.980000,0.000000,25.580000,0.000000,2.490000,2.610000,2.980000,58.090000,0.000000,30.980000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,29.08,0,9.69,0,0,10.86,0,31.77,0,9.69,31.77,0,0,0,0,0,0

83,20:30-20:45,30.980000,0.000000,26.130000,0.000000,2.490000,2.610000,2.980000,58.090000,0.000000,26.130000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,27.96,0,9.32,0,0,10.55,0,31.44,0,9.32,31.44,0,0,0,0,0,0

84,20:45-21:00,30.980000,0.000000,26.130000,0.000000,2.490000,2.610000,2.980000,58.090000,0.000000,26.130000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,27.06,0,9.02,0,0,10.21,0,26.77,0,9.02,26.77,0,0,0,0,0,0

85,21:00-21:15,30.980000,0.000000,26.130000,0.000000,2.570000,2.540000,2.890000,58.090000,0.000000,26.130000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,25.78,0,8.59,0,0,8.12,0,17.75,0,8.59,17.75,0,0,0,0,0,0

86,21:15-21:30,30.980000,0.000000,26.130000,0.000000,2.570000,2.540000,2.890000,58.090000,0.000000,26.130000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,24.64,0,8.22,0,0,8.02,0,17.21,0,8.21,17.21,0,0,0,0,0,0

87,21:30-21:45,30.980000,0.000000,26.130000,0.000000,2.570000,2.540000,2.890000,58.090000,0.000000,26.130000,116.180000,101.410000,212.040000,0.000000,272.310000,0,7.21,24.05,0,8.01,0,0,7.98,0,16.21,0,8.02,16.21,0,0,0,0,0,0

