Block,Time Block,SALAL,SEWA2,SASAN,RSTPSU7,NLCTS2EXP,RAPPC,NTPL,NNTPP,PARBATI3,RAPPB,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,RAMPUR,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,MAPS,KOTESHWR,KUDGI,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,CHAMERA1,BSIUL,BRBCL,KHSTPP-I,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,AURY_RF,DADRI_RF,ANTA_CRF,ANTA_RF,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR3,TANAKPUR,SIMHST2,UNCHAHAR4,TALA,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TEHRI,TANDA2,UNCHAHAR1,TALST2,SIMHST1,SINGRAULI_HYDRO,URI,VALLURNTECL,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,15.02,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,571.07,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

7,01:30-01:45,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,16.18,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,484.14,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

8,01:45-02:00,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,17.02,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,479.69,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

9,02:00-02:15,16.74,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,17.15,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,482.92,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

10,02:15-02:30,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,15.96,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,476.81,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

11,02:30-02:45,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,15.03,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,497.62,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

12,02:45-03:00,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,16.06,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,495.72,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

13,03:00-03:15,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,16.19,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,490.96,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

14,03:15-03:30,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,18.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,492.87,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

15,03:30-03:45,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,494.66,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,31.8,0,30.62,0,0,0,0,0

16,03:45-04:00,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,501.15,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,31.8,0,30.62,0,0,0,0,0

17,04:00-04:15,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,519.78,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

18,04:15-04:30,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,539.79,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

19,04:30-04:45,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,583,0,0,25.34,0,0,0,0,0,134.1,40.69,11.25,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

20,04:45-05:00,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,583,0,0,25.34,0,0,0,0,0,134.1,40.69,11.25,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

21,05:00-05:15,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,417.26,0,0,583,0,0,25.34,0,0,0,0,0,134.1,40.69,22.5,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

22,05:15-05:30,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,19.08,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,417.26,0,0,652.68,0,0,25.34,0,0,0,0,0,134.1,40.69,33.74,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

23,05:30-05:45,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,41.82,0,19.38,0,8.52,0,142.37,0,0,0,0,0,12.52,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,8.77,17.47,15.82,417.26,0,0,652.68,0,0,25.34,0,0,0,0,0,134.1,40.69,33.74,0,18.1,0,0,0.72,34.97,0,28.42,0,0,0,0,0

24,05:45-06:00,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,67.36,0,19.38,0,8.52,0,142.37,0,0,0,0,12.51,12.52,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,8.77,17.47,15.82,417.26,0,0,652.68,0,2.55,25.34,0,0,0,0,0,134.1,40.69,33.74,0,18.1,0,0,0.72,34.97,0,28.42,0,0,0,0,0

25,06:00-06:15,12.83,15.18,378,0,0,24.85,0,0,3.67,0,59.67,114.01,88.32,0,0,0,0,67.36,0,19.38,0,8.52,0,142.37,0,0,0,0,12.89,12.52,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,8.77,17.47,15.82,417.26,0,0,652.66,9.29,12.64,25.34,0,0,0,0,0,134.1,40.69,33.74,0,18.1,0,0,0.72,34.97,0,25.82,0,0,0,0,0

26,06:15-06:30,12.83,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,89.82,0,19.38,0,17.04,0,142.37,0,0,0,0,26.93,12.52,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,17.54,17.47,31.64,417.26,0,0,652.66,18.58,25.29,25.34,0,0,0,0,0,134.1,40.69,45,0,18.1,0,0,0.72,34.97,0,25.82,0,0,0,0,0

27,06:30-06:45,16.74,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,112.27,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.61,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.16,0,0,0.72,34.97,0,25.82,0,0,0,0,0

28,06:45-07:00,66.93,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,134.74,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.66,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.18,0,0,0.72,34.97,0,25.82,0,0,0,0,0

29,07:00-07:15,66.93,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,134.74,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.66,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.18,0,0,0.72,34.97,0,25.82,0,0,0,0,0

30,07:15-07:30,66.93,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,134.74,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.66,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.18,0,0,0.72,34.97,0,25.82,0,0,0,0,0

31,07:30-07:45,13.39,15.18,378,0,0,24.85,0,0,15.88,0,59.67,114.01,88.32,0,0,0,0,134.74,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.66,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.18,0,0,0.72,38.16,0,25.82,0,0,0,0,0

32,07:45-08:00,12.83,15.18,378,0,0,24.85,0,0,3.43,0,59.67,114.01,88.32,0,0,0,0,134.74,0,19.38,0,37.49,0,142.37,0,0,0,0,40.46,18.78,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,26.31,17.47,47.45,417.26,0,0,652.66,27.9,37.93,25.34,0,0,0,0,0,128.16,40.69,45,0,19.18,0,0,0.72,38.16,0,25.82,0,0,0,0,0

33,08:00-08:15,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,112.27,0,19.38,0,17.04,0,142.37,0,0,0,0,40.46,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,17.54,17.47,31.64,376.9,0,0,580.4,18.58,37.93,25.34,0,0,0,0,0,122.4,40.69,45,0,18.9,0,0,0.72,38.16,0,25.82,0,0,0,0,0

34,08:15-08:30,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,89.82,0,19.38,0,8.52,0,142.37,0,0,0,0,40.46,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,17.54,17.47,15.82,343.94,0,0,505.18,9.29,37.93,25.34,0,0,0,0,0,122.4,40.69,45,0,18.9,0,0,0.72,38.16,0,25.82,0,0,0,0,0

35,08:30-08:45,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,67.36,0,19.38,0,8.52,0,142.37,0,0,0,0,23.51,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,8.77,17.47,0,343.94,0,0,492.44,0,25.29,25.34,5.53,0,0,0,0,122.4,40.69,45,0,18.9,0,0,0.72,34.97,0,25.82,0,0,0,0,0

36,08:45-09:00,12.83,15.18,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,41.82,0,19.38,0,8.52,0,142.37,0,0,0,0,11.76,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,8.77,17.47,0,286.34,0,0,472.86,0,12.64,25.34,5.53,0,0,0,0,122.4,40.69,33.74,0,18.9,0,0,0.72,34.97,0,25.82,0,0,0,0,0

37,09:00-09:15,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,19.01,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,342.24,0,0,535.3,0,12.64,25.34,5.53,0,0,0,0,122.4,40.69,33.74,0,18.9,0,0,0.72,34.97,0,25.82,0,0,0,0,0

38,09:15-09:30,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,343.94,0,0,521.02,0,12.64,25.34,5.53,0,0,0,0,122.4,40.69,22.5,0,18.9,0,0,0.72,34.97,0,25.82,0,0,0,0,0

39,09:30-09:45,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,343.94,0,0,475.76,0,12.64,25.34,5.53,0,0,0,0,122.4,40.69,11.25,0,18.9,0,0,0.72,38.16,0,27.12,0,0,0,0,0

40,09:45-10:00,12.83,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,286.34,0,0,444.15,0,12.64,25.34,5.53,0,0,0,0,122.4,40.69,11.25,0,18.9,0,0,0.72,38.16,0,27.12,0,0,0,0,0

41,10:00-10:15,12.83,7.68,383.4,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,286.34,0,0,428.88,0,0,20.82,0,0,0,0,0,122.4,33.24,0,0,15.27,0,0,0.72,38.16,0,27.12,0,0,0,0,0

42,10:15-10:30,12.83,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,286.34,0,0,411.63,0,0,20.82,0,0,0,0,0,122.4,33.24,0,0,15.27,0,0,0.72,38.16,0,27.12,0,0,0,0,0

43,10:30-10:45,12.83,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,286.34,0,0,387.94,0,0,20.82,0,0,0,0,0,122.4,33.24,0,0,15.27,0,0,0.72,34.97,0,27.12,0,0,0,0,0

44,10:45-11:00,12.83,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,19.2,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0,286.34,0,0,374.93,0,0,20.82,0,0,0,0,0,122.4,33.24,0,0,15.27,0,0,0.72,34.97,0,27.12,0,0,0,0,0

45,11:00-11:15,66.93,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,127.9,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,285.23,0,0,365.15,0,0,18.51,0,0,0,0,0,122.4,29.69,0,0,15.89,0,0,0.72,34.97,0,27.12,0,0,0,0,0

46,11:15-11:30,66.93,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,127.25,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,18.51,0,0,0,0,0,122.4,25.44,0,0,15.89,0,0,0.72,34.97,0,27.12,0,0,0,0,0

47,11:30-11:45,66.93,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,127.25,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,15.94,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,27.12,0,0,0,0,0

48,11:45-12:00,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,127.25,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,15.94,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,27.12,0,0,0,0,0

49,12:00-12:15,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,126.95,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,16.93,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,27.12,0,0,0,0,0

50,12:15-12:30,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,126.95,0,0,0,0,0,6.26,19.2,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,16.93,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,27.12,0,0,0,0,0

51,12:30-12:45,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,116.22,0,0,0,0,0,6.26,19.2,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,16.93,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,31.77,0,0,0,0,0

52,12:45-13:00,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,115.06,0,0,0,0,0,6.26,19.2,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,365.15,0,0,16.93,0,0,0,0,0,122.4,25.44,0,0,13.55,0,0,0.72,34.97,0,31.77,0,0,0,0,0

53,13:00-13:15,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,96.35,0,0,0,0,0,6.26,19.2,25.91,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,22.38,0,0,13.55,0,0,0.72,34.97,0,31.77,0,0,0,0,0

54,13:15-13:30,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,96.35,0,0,0,0,0,6.26,19.2,25.91,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,22.38,0,0,13.55,0,0,0.72,34.97,0,31.77,0,0,0,0,0

55,13:30-13:45,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,87.31,0,0,0,0,0,6.26,19.2,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,22.38,0,0,11.77,0,0,0.72,34.97,0,31.77,0,0,0,0,0

56,13:45-14:00,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,87.31,0,0,0,0,0,6.26,19.2,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,22.38,0,0,11.47,0,0,0.72,34.97,0,31.77,0,0,0,0,0

57,14:00-14:15,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,78.31,0,0,0,0,0,6.26,19.2,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,22.38,0,0,12.13,0,0,0.72,34.97,0,31.77,0,0,0,0,0

58,14:15-14:30,25.66,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,97.25,0,0,0,0,0,6.26,19.2,29.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,25.44,10.94,0,12.13,0,0,0.72,34.97,0,31.77,0,0,0,0,0

59,14:30-14:45,12.83,7.68,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,97.25,0,0,0,0,0,6.26,19.2,30.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,25.44,11.13,0,12.13,0,0,0.72,34.97,0,31.77,0,0,0,0,0

60,14:45-15:00,12.83,5.06,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,97.25,0,0,0,0,0,6.26,19.2,29.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,25.44,22.5,0,12.13,0,0,0.72,34.97,0,31.77,0,0,0,0,0

61,15:00-15:15,12.83,10.11,384.48,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,113.04,0,0,0,0,0,6.26,19.2,35.07,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,229.5,0,0,361.1,0,0,16.93,0,0,0,0,0,122.4,25.44,22.5,0,12.13,0,0,0.72,34.97,0,31.77,0,0,0,0,0

