Column1,Block,NR/2025/26236/A/71327,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71720,NR/2025/26202/A/71840,NR/2025/26772/C,NR/2025/26191/A/71299,NR/2025/26773/C,NR/2025/26200/A/71790,NR/2025/26233/A/71774,NR/2025/26720/C,NR/2025/26721/C,NR/2025/26769/C,NR/2025/26336/A/71718,SR/2025/17039/C,NR/2025/26723/C,NR/2025/26725/C,NR/2025/26197/A/71799,NR/2025/26265/A/71773,NR/2025/26002/A/71756,NR/2025/26085/A/71252,NR/2025/25855/A/71738,NR/2025/26101/A/71458,NR/2025/26199/A/71794,NR/2025/26198/A/71796,NR/2025/26689/A/71386,NR/2025/25858/A/71739,NR/2025/26289/A/71772,NR/2025/26718/C,NR/2025/26201/A/71786,NR/2025/26719/C,NR/2025/26759/C,NR/2025/26312/A/71326,NR/2025/26232/A/71775,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,GNA/SR/2025/05/13/1025,NR/2025/26153/A/71328,NR/2025/26291/A/71771,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6957,GNA/SR/2025/05/13/2161,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/2474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,Total
13,03:00-03:15,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,472,25.86,30,144.45,28.94,10.23,0,13.48,0,10.59,2205.63

14,03:15-03:30,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,496,25.86,30,144.45,28.94,10.23,0,13.48,0,10.59,2229.63

15,03:30-03:45,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,516,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,10.23,0,13.48,0,10.59,2246.87

16,03:45-04:00,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,516,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,10.23,0,13.48,0,10.59,2246.87

17,04:00-04:15,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,446,26.55,26.55,144.45,28.94,9.96,0,13.48,0,10.59,2032.15

18,04:15-04:30,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,366,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.96,0,13.48,0,10.59,1952.1499999999999

19,04:30-04:45,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,286,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.96,0,13.48,0,10.59,1872.1499999999999

20,04:45-05:00,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,261,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.96,0,13.48,0,10.59,1847.1499999999999

21,05:00-05:15,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.48,0,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,261,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,0,26.55,26.55,144.45,28.94,9.76,0,13.48,0,10.59,1846.9499999999998

