Time,Block,NR/2024/20375/C,NR/2024/20082/A/19932,NR/2024/20383/C,NR/2024/20370/C,NR/2024/19918/A/19933,NR/2024/19475/A/19876,NR/2024/20374/C,NR/2024/20031/A/19900,NR/2024/20050/A/19895,NR/2024/20142/A/19687,NR/2024/20211/A/19689,NR/2024/20384/C,NR/2024/20033/A/19901,NR/2024/20141/A/19688,NR/2024/20052/A/19465,NR/2024/20034/A/19898,NR/2024/20040/A/19931,NR/2024/19760/A/19640,NR/2024/20037/A/19638,NR/2024/20385/C,NR/2024/20048/A/19896,NR/2024/20041/A/19897,NR/2024/20369/C,NR/2024/20090/A/19543,NR/2024/19779/A/19535,NR/2024/19699/A/19903,NR/2024/20212/A/19690,NR/2024/19432/A/19906,NR/2024/20144/A/19686,NR/2024/19966/A/19663,NR/2024/20130/A/19656,NR/2024/19637/A/19672,NR/2024/19588/A/19696,NR/2024/19355/A/20047,NR/2024/20109/A/20046,NR/2024/19683/A/19560,NR/2024/20368/C,Total
20,04:45-05:00,0.000000,11.590000,0.000000,11.590000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1000.33

21,05:00-05:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1046.69

22,05:15-05:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1046.69

23,05:30-05:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1046.69

24,05:45-06:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,90.540000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,30.180000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,1046.69

25,06:00-06:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,912.45

26,06:15-06:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0,912.45

27,06:30-06:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,0.58,913.03

28,06:45-07:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.530000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,1.08,913.53

29,07:00-07:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.680000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,1.61,914.21

30,07:15-07:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.680000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,1.29,913.89

31,07:30-07:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.680000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,1.99,914.59

32,07:45:08:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,8.690000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.680000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,2.46,915.06

33,08:00-08:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,3.04,916.9

34,08:15-08:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,3.57,917.43

35,08:30-08:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,2.8,916.66

36,08:45:09:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,0.000000,0.000000,0.000000,0.000000,0.000000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,0.000000,0.480000,0.000000,66.820000,96.580000,183.500000,1.930000,3.05,916.91

37,09:00:09:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,2.68,1075.89

38,09:15-09:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,2.79,1076

39,09:30-09:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,3.17,1076.38

40,09:45-10:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,9.660000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,111.360000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,4.49,1077.7

41,10:00-10:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.37,1030.61

42,10:15-10:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,7.38,1028.62

43,10:30-10:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,6.46,1027.7

44,10:45-11:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.24,1030.48

45,11:00-11:15,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.26,1030.5

46,11:15-11:30,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,5.51,1026.75

47,11:30-11:45,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,7.48,1028.72

48,11:45-12:00,0.000000,11.590000,0.000000,57.950000,0.000000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.51,1029.75

49,12:00-12:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.18,1043.94

50,12:15-12:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.4,1043.16

51,12:30-12:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.26,1044.02

52,12:45-13:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.66,1044.42

53,13:00-13:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.89,1043.65

54,13:15-13:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,6.25,1041.01

55,13:30-13:45,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.74,1043.5

56,13:45-14:00,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,9.06,1043.82

57,14:00-14:15,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.96,1043.72

58,14:15-14:30,0.000000,11.590000,0.000000,57.950000,13.520000,193.160000,0.000000,37.310000,0.000000,0.520000,1.590000,0.000000,12.440000,0.350000,13.520000,37.310000,14.490000,48.290000,0.000000,0.000000,0.000000,48.290000,55.530000,1.930000,0.970000,48.290000,0.610000,24.140000,0.880000,38.630000,0.480000,24.140000,66.820000,96.580000,183.500000,1.930000,8.59,1043.35

