Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/2024/22535/A/33112,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/33015,NR/2024/21983/A/33034,NR/2024/21954/A/33327,NR/2024/21974/A/33163,NR/2024/21940/A/33328,NR/2024/22709/C,NR/2024/22703/C,NR/2024/21956/A/33331,NR/2024/21970/A/33159,NR/2024/21814/A/33164,NR/2024/21968/A/33158,NR/2024/22534/A/33113,NR/2024/21961/A/33304,NR/2024/21971/A/33161,NR/2024/22498/A/33373,NR/2024/21933/A/33035,NR/2024/21911/A/33283,NR/2024/22042/A/33009,NR/2024/21860/A/33076,NR/2024/22010/A/33375,NR/2024/21943/A/33326,NR/2024/21966/A/33075,NR/2024/22623/A/33068,NR/2024/21918/A/33368,NR/2024/22014/A/33010,NR/2024/21938/A/33303,NR/2024/22279/A/33006,NR/2024/22705/C,GNA/NR/2024/08/21/5232,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,SR/2024/13958/C,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,GNA/NR/2024/08/21/1351,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22687/C,NR/2024/22704/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,Total
7,01:30-01:45,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.3026,48.28,26.3026,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1548.9552000000003

8,01:45-02:00,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.3026,48.28,26.3026,0,21.25,241.42,28.01,11.8,24.68,12.44,96.57,38.63,24.14,0,1548.9552000000003

9,02:00-02:15,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,38.63,24.14,0,1551.0116000000005

10,02:15-02:30,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,38.63,24.14,0,1551.0116000000005

11,02:30-02:45,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,38.63,24.14,0,1551.0116000000005

12,02:45-03:00,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,38.63,24.14,0,1551.0116000000005

13,03:00-03:15,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,0,24.14,0,1512.3816000000004

14,03:15-03:30,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,0,24.14,0,1512.3816000000004

15,03:30-03:45,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,0,24.14,0,1512.3816000000004

16,03:45-04:00,0,0,0,0.58,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,12.72,24.68,12.44,96.57,0,24.14,0,1512.3816000000004

17,04:00-04:15,0,0,0,0.53,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1516.4816000000003

18,04:15-04:30,0,0,0,0.53,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1516.4816000000003

19,04:30-04:45,0,0,0,0.53,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1516.4816000000003

20,04:45-05:00,0,0,0,0.53,0,24.07,37.3,84.19,0,0,67.6,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1516.4816000000003

21,05:00-05:15,0,0,0,0.53,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,231.77,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1704.7916

22,05:15-05:30,0,0,0,0.53,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,231.77,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1704.7916

23,05:30-05:45,0,0,0,0.53,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,32.59,4.83,164.41,0,96.57,231.77,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1704.7916

24,05:45-06:00,0,0,0,0.53,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,97.78,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,32.59,4.83,164.41,0,96.57,236.6,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.87,24.68,12.44,96.57,0,24.14,0,1708.6616

25,06:00-06:15,0,0,0,0.63,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,342.82,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1684.1516

26,06:15-06:30,0,0,0,0.63,0,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,236.6,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1577.9316000000001

27,06:30-06:45,0,0,0,0.63,0,24.07,37.3,84.19,0,0.08,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,231.77,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1573.1816000000001

28,06:45-07:00,0,0,0,0.63,0,24.07,37.3,84.19,0,0.66,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,236.6,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1578.5916000000002

29,07:00-07:15,0,0,0,0.72,0,24.07,37.3,84.19,0,1.2,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,241.42,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1584.0416000000002

30,07:15-07:30,0,0,0,0.72,0,24.07,37.3,84.19,0,1.8,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,193.14,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1536.3616000000002

31,07:30-07:45,0,0,0,0.72,0,24.07,37.3,84.19,0,2.3,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1343.7216000000003

32,07:45-08:00,0,0,0,0.72,0,24.07,37.3,84.19,0,2.7,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,7.73,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1344.1216000000004

33,08:00-08:15,0,0,0,0.97,0,24.07,37.3,84.19,0,3.53,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1346.1616000000004

34,08:15-08:30,0,0,0,0.97,0,24.07,37.3,84.19,0,3.96,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1346.5916000000004

35,08:30-08:45,0,0,0,0.97,0,24.07,37.3,84.19,0,4.14,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,8.69,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1346.7716000000003

36,08:45-09:00,0,0,0,0.97,0,24.07,37.3,84.19,0,4.31,24.14,12.44,48.28,37.3,0,0,37.3,0,0,0,3.86,48.28,11.72,38.63,0,9.66,90.78,1.93,0,4.83,164.41,0,96.57,0,26.8708,48.28,26.8708,0,21.25,241.42,28.01,16.41,24.68,12.44,96.57,0,24.14,0,1347.9116000000004

37,09:00-09:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,3.4,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,9.66,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.41,24.68,12.44,0,0,0,0,1400.1116

38,09:15-09:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,3.43,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,11.59,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.41,24.68,12.44,0,0,0,0,1402.0716

39,09:30-09:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,3.13,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,11.59,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.41,24.68,12.44,0,0,0,0,1401.7716

40,09:45-10:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,4.77,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,11.59,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.41,24.68,12.44,0,0,0,0,1403.4116000000001

41,10:00-10:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,3.71,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,11.59,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1402.1616

42,10:15-10:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,3.33,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1402.7416

43,10:30-10:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,5.38,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1404.7916

44,10:45-11:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,2.81,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1402.2216

45,11:00-11:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

46,11:15-11:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

47,11:30-11:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

48,11:45-12:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

49,12:00-12:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

50,12:15-12:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

51,12:30-12:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

52,12:45-13:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

53,13:00-13:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

54,13:15-13:30,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

55,13:30-13:45,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

56,13:45-14:00,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,16.22,24.68,12.44,0,0,0,0,1399.4116

57,14:00-14:15,0,10.62,0,0.97,48.28,24.07,37.3,84.19,0,0,24.14,12.44,48.28,37.3,42.49,0,37.3,21.25,24.14,96.57,3.86,48.28,11.72,38.63,96.57,12.55,90.78,1.93,0,4.83,164.41,0,0,0,26.8708,0,26.8708,0,0,241.42,28.01,15.03,24.68,12.44,0,0,0,0,1398.2215999999999

