Column1,Block,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/5886,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/4863,NR/2025/25387/C,GNARE/NR/2024/12/20/3668,NR/2025/25070/A/55116,NR/2025/25267/A/55106,NR/2025/25266/A/55102,NR/2025/25265/A/55104,NR/2025/25388/C,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,WR/2025/26047/A/55114,NR/2024/24418/A/54822,GNA/NR/2025/02/16/1676,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

4,00:45-01:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

5,01:00-01:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

6,01:15-01:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

7,01:30-01:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

8,01:45-02:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

9,02:00-02:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

10,02:15-02:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

11,02:30-02:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

12,02:45-03:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.38,286.79999999999995

13,03:00-03:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

14,03:15-03:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

15,03:30-03:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

16,03:45-04:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

17,04:00-04:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

18,04:15-04:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

19,04:30-04:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

20,04:45-05:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

21,05:00-05:15,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

22,05:15-05:30,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

23,05:30-05:45,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

24,05:45-06:00,23.07,75,15.85,23.07,23.07,0,22.92,8.65,22.92,8.65,0,0,14.28,0,0,0,0,0,0,0,0.38,47.56,0,1.29,286.71

25,06:00-06:15,32.68,75,0,32.68,32.68,0,21.28,8.65,21.28,8.65,0,0,14.28,0,0,0,0,0,0,0,0.43,0,0,1.29,248.90000000000003

26,06:15-06:30,32.68,75,0,32.68,32.68,0,13.47,8.65,13.47,8.65,0,0,14.28,0,0,0,0,0,0,0,0.43,0,0,1.29,233.28000000000003

27,06:30-06:45,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0,14.28,0,0,0,0,0,0,0,0.43,0,0,1.29,269.00000000000006

28,06:45-07:00,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0.04,14.28,0,0,0,0,0,0,0,0.43,0,0,1.29,269.04

29,07:00-07:15,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0.5,14.28,0,0,0,0,0,0,0,0.48,0,0,1.29,269.55000000000007

30,07:15-07:30,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0.59,14.28,0,0,0,0,0,0,0,0.48,0,0,1.29,269.64000000000004

31,07:30-07:45,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0.85,14.28,0,0,0,0,0,0,0,0.48,0,0,1.29,269.90000000000003

32,07:45-08:00,32.68,75,0,32.68,32.68,0,31.33,8.65,31.33,8.65,0,0.96,14.28,0,0,0,0,0,0,0,0.48,0,0,1.29,270.01000000000005

33,08:00-08:15,32.68,75,0,32.68,32.68,0,32,8.65,32,8.65,0,5.9,14.28,0,0,0,0,0,0,0,0.87,0,0,1.29,276.68

34,08:15-08:30,32.68,75,0,32.68,32.68,0,32,8.65,32,8.65,0,12.47,14.28,0,0,0,0,0,0,0,0.87,0,0,1.29,283.25000000000006

35,08:30-08:45,32.68,75,0,32.68,32.68,0,32,8.65,0.96,8.65,0,20.22,14.28,0.03,0.06,0.04,0,0,0,0,0.87,0,0,1.29,260.09000000000003

36,08:45-09:00,32.68,75,0,32.68,32.68,0,32,8.65,10.56,8.65,0,28.84,14.28,0.06,0.14,0.12,0,0,0,0,0.87,0,0,1.29,278.5

37,09:00-09:15,23.07,75,0,23.07,32.68,0,22.92,8.65,22.92,8.65,20.38,37.95,14.28,0.13,0.32,0.23,32.49,0,0,0,0.87,0,0,1.38,324.99

38,09:15-09:30,23.07,75,0,23.07,32.68,0,22.92,8.65,22.92,8.65,14.42,47.46,14.28,0.18,0.49,0.37,38.45,0,0,0,0.87,0,0,1.38,334.85999999999996

39,09:30-09:45,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,55.45,14.28,0.3,0.67,0.44,38.45,0,0,0,0.87,0,0,1.47,333.7

40,09:45-10:00,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,62.38,14.28,0.29,0.72,0.51,38.45,0,0,0,0.87,0,0,1.47,340.74

41,10:00-10:15,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,64.66,14.28,0.42,0.93,0.67,38.45,0,0,0,0.87,0,0,1.47,343.52

42,10:15-10:30,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,69.31,14.28,0.46,1.03,0.75,38.45,0,0,0,0.87,0,0,1.47,348.38999999999993

43,10:30-10:45,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,73.69,14.28,0.48,0.96,0.77,38.45,0,0,0,0.87,0,0,1.47,352.73999999999995

44,10:45-11:00,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,77.36,14.28,0.38,0.96,0.77,38.45,0,0,0,0.87,0,0,1.47,356.30999999999995

45,11:00-11:15,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,62.07,14.28,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,341.21999999999997

46,11:15-11:30,23.07,75,0,23.07,23.07,0,22.92,8.65,22.92,8.65,14.42,63.22,14.28,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,342.37

47,11:30-11:45,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,14.42,72.11,14.28,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,359.15999999999997

48,11:45-12:00,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,14.42,72.13,14.28,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,359.17999999999995

49,12:00-12:15,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,10.09,53.55,13.89,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.38,335.78999999999996

50,12:15-12:30,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,9.81,54.32,13.75,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.38,336.14

51,12:30-12:45,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,9.71,56.95,15.23,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.38,340.15000000000003

52,12:45-13:00,23.07,75,0,23.07,23.07,0,26.87,8.65,26.87,8.65,9.71,59.88,15.23,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.38,343.08000000000004

53,13:00-13:15,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,7.21,60.84,14.41,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,339.8500000000001

54,13:15-13:30,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,7.4,60.67,13.69,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,339.15000000000003

55,13:30-13:45,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,7.88,53.64,13.09,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,332

56,13:45-14:00,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,8.36,53.71,12.5,0.48,1.06,0.77,38.45,0,0,0,0.87,0,0,1.47,331.96000000000004

57,14:00-14:15,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,9.04,70.2,11.91,0.2,0.45,0.29,38.45,0,0,0,0.87,0,0,1.47,347.1700000000001

58,14:15-14:30,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,9.81,69.32,11.27,0.2,0.41,0.33,38.45,0,0,0,0.87,0,0,1.47,346.42

59,14:30-14:45,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,10.67,68.42,10.76,0.2,0.44,0.32,38.45,0,0,0,0.87,0,0,1.47,345.89

60,14:45-15:00,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,11.73,67.49,10.76,0.2,0.43,0.32,38.45,0,0,0,0.87,0,0,1.47,346.01

61,15:00-15:15,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,12.79,65.7,10.29,0.09,0.19,0.13,38.45,0,0,0,0.67,0,0,1.38,343.98

62,15:15-15:30,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,13.94,61.49,9.84,0.09,0.19,0.13,38.45,0,0,0,0.67,0,0,1.38,340.46999999999997

63,15:30-15:45,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,12.5,44.29,9.41,0.08,0.18,0.12,38.45,0,0,0,0.67,0,0,1.38,321.37000000000006

64,15:45-16:00,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,12.5,39.78,9.02,0.2,0.44,0.3,38.45,0,0,0,0.67,0,0,1.38,317.03000000000003

65,16:00-16:15,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,11.92,35.19,8.65,0.15,0.4,0.31,38.45,0,0,0,0.53,0,0,1.47,311.3599999999999

66,16:15-16:30,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,13.75,30.54,8.3,0.13,0.31,0.22,36.05,0,0,0,0.53,0,0,1.47,305.5900000000001

67,16:30-16:45,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,9.52,25.95,8.3,0.08,0.18,0.14,28.74,0,0,0,0.53,0,0,1.47,289.2

68,16:45-17:00,23.07,75,0,23.07,22.11,0,26.87,8.65,26.87,8.65,7.21,21.35,8.3,0.06,0.12,0.09,21.44,0,0,0,0.53,0,0,1.47,274.86000000000007

69,17:00-17:15,23.07,75,0,23.07,22.11,0,21.28,8.65,21.28,8.65,0,17.34,7.97,0.04,0.06,0.04,0,0,0,0,0.53,0,0,1.47,230.56

70,17:15-17:30,23.07,75,0,23.07,22.11,0,21.28,8.65,21.28,8.65,0,13.42,7.62,0,0.01,0.01,0,0,0,0,0.53,0,0,1.47,226.17

71,17:30-17:45,23.07,75,0,23.07,22.11,0,21.28,8.65,21.28,8.65,0,9.61,7.62,0,0,0,0,0,0,0,0.53,0,0,1.47,222.34000000000003

72,17:45-18:00,23.07,75,0,23.07,22.11,0,16.48,8.65,16.48,8.65,0,6.07,7.62,0,0,0,0,0,0,0,0.53,0,0,1.47,209.2

73,18:00-18:15,23.07,75,0,23.07,22.11,0,31,8.65,0,8.65,0,4.1,7.62,0,0,0,0,200,50,38.45,0.53,0,0,1.38,493.62999999999994

74,18:15-18:30,23.07,75,0,23.07,22.11,0,31,8.65,0,8.65,0,2.38,7.62,0,0,0,0,200,50,38.45,0.53,0,0,1.38,491.90999999999997

75,18:30-18:45,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0.98,7.62,0,0,0,0,200,50,38.45,0.53,0,0,1.38,571.51

76,18:45-19:00,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0,7.62,0,0,0,0,200,50,38.45,0.53,0,0,1.38,570.53

77,19:00-19:15,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0,7.62,0,0,0,0,200,50,38.45,0.62,0,0,1.47,570.71

78,19:15-19:30,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0,7.62,0,0,0,0,200,50,38.45,0.62,0,0,1.47,570.71

79,19:30-19:45,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0,7.62,0,0,0,0,200,50,38.45,0.62,0,0,1.47,570.71

80,19:45-20:00,23.07,75,0,23.07,22.11,50,31,8.65,31,8.65,0,0,7.62,0,0,0,0,200,50,38.45,0.62,0,0,1.47,570.71

81,20:00-20:15,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.62,0,0,1.47,508.38

82,20:15-20:30,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.62,0,0,1.47,508.38

83,20:30-20:45,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.62,0,0,1.47,508.38

84,20:45-21:00,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.62,0,0,1.47,508.38

85,21:00-21:15,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.58,0,0,1.38,508.24999999999994

86,21:15-21:30,23.07,75,0,23.07,22.11,50,32,8.65,17.67,8.65,0,0,7.62,0,0,0,0,150,50,38.45,0.58,0,0,1.38,508.24999999999994

87,21:30-21:45,23.07,75,0,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.58,0,0,1.38,514.7900000000001

88,21:45-22:00,23.07,75,0,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.58,0,0,1.38,514.7900000000001

89,22:00-22:15,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.53,47.56,0,1.38,578.15

90,22:15-22:30,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.53,47.56,0,1.38,578.15

91,22:30-22:45,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.53,47.56,0,1.38,578.15

92,22:45-23:00,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.53,47.56,0,1.38,578.15

93,23:00-23:15,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.48,47.56,0,1.38,578.1

94,23:15-23:30,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.48,47.56,0,1.38,578.1

95,23:30-23:45,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.48,47.56,0,1.38,578.1

96,23:45-24:00,23.07,75,15.85,23.07,22.11,50,32,8.65,25.65,7.21,0,0,7.62,0,0,0,0,150,50,38.45,0.48,47.56,0,1.38,578.1

