Block,Time,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/06022042/L_NR_2012_07,NR/15072024/15072024/IEX_240714_01531_1,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/01072024/31072024/R2,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,WR/01102023/29112042/L_NR_2019_05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/15072024/15072024/IEX_240714_01529,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04
27,06:30-06:45,13.12,39.82,3,7,5,3,0,5.32,5,0,2.62,0.580000,15.540000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,5,18.5,24.010000,131.810000,14.880000,6.66,17.12,0.000000,2.960000,11.740000,13.1,6.490000,65.870000,6.17,0.590000,12.816756,6.16,0.000000,0.000000,15,15,0.580000,0.000000

28,06:45-07:00,18.94,39.82,4,14,6,6,0,7.98,8,0,3.79,0.920000,14.640000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,12,18.5,24.010000,131.810000,14.880000,6.66,22.62,0.000000,2.960000,11.740000,22.03,6.490000,65.870000,6.17,0.940000,18.932514,6.16,0.000000,0.000000,15,15,0.920000,0.000000

29,07:00-07:15,28.87,39.82,5,21,8,9,0,11.95,11,0,5.77,1.340000,14.640000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,20,18.5,24.010000,131.810000,14.880000,6.66,28.12,0.000000,2.960000,11.740000,33,6.340000,65.870000,6.17,1.370000,25.535972,6.16,0.000000,0.000000,15,15,1.340000,0.000000

30,07:15-07:30,39.53,39.82,8,35,12.86,15,0,17.22,16,0,7.9,1.830000,14.640000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,30,18.5,24.010000,131.810000,14.880000,6.66,33,0.000000,2.960000,11.740000,33,6.340000,65.870000,6.17,1.880000,32.217462,6.16,0.000000,0.000000,15,15,1.830000,0.000000

31,07:30-07:45,49.88,39.82,10,42,15,18,0,16.67,20,0,9.98,2.410000,14.640000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,33,18.5,24.010000,131.810000,14.880000,6.66,33,0.000000,2.960000,11.740000,33,6.340000,70.010000,6.17,2.460000,41.532532,6.16,0.000000,0.000000,15,15,2.410000,0.000000

32,07:45:08:00,62.74,39.82,13,53,18,22,0,18.34,27,0,12.55,3.300000,14.640000,6.950000,72.030000,31.280000,200.590000,96.040000,62.980000,0.000000,96.040000,0.000000,8.160000,25.840000,192.080000,25.840000,100.050000,33,18.5,24.010000,131.810000,14.880000,6.66,33,0.000000,2.960000,11.740000,33,6.340000,70.010000,6.17,3.390000,48.321316,6.16,0.000000,0.000000,15,15,3.300000,0.000000

33,08:00-08:15,76.67,39.82,15,63,21.5,27,0,24,30,0,15.33,4.240000,14.640000,7.720000,0.000000,31.280000,164.150000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,112.370000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.340000,70.010000,6.17,4.350000,54.924774,6.16,0.000000,0.000000,15,15,4.240000,0.000000

34,08:15-08:30,92.19,39.42,17,77,24.5,33,0,31,36,0,18.44,5.180000,14.640000,7.720000,0.000000,31.280000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,93.160000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.340000,70.010000,6.17,5.300000,61.537986,6.16,0.000000,0.000000,15,15,5.180000,0.000000

35,08:30-08:45,108.25,39.22,20,91,27.5,39,0,37,43,0,21.65,6.120000,14.640000,7.720000,0.000000,31.280000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,93.160000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.880000,70.010000,6.17,6.270000,66.707606,6.16,0.000000,0.000000,15,15,6.120000,0.000000

36,08:45:09:00,124.04,38.42,24,105,30.5,45,0,44,49,0,24.81,7.020000,14.640000,7.720000,0.000000,31.280000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,105.640000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.880000,70.010000,6.17,7.190000,71.49682,6.16,0.000000,0.000000,15,15,7.020000,0.000000

37,09:00:09:15,138.67,38.42,26,116,31.5,49,0,50,54,0,27.73,7.830000,14.640000,7.490000,0.000000,31.280000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,107.560000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.880000,70.010000,6.17,8.020000,63.118134,6.16,0.000000,0.000000,15,15,7.830000,0.000000

38,09:15-09:30,152.48,38.82,29,126,34,54,0,56,60,0,30.49,8.600000,14.640000,7.490000,0.000000,31.280000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,119.090000,14.880000,6.66,33,0.000000,2.860000,11.740000,33,6.880000,70.010000,6.17,8.810000,66.707606,6.16,0.000000,0.000000,15,15,8.600000,0.000000

39,09:30-09:45,165.92,34.02,31,137,37.5,58,0,63,66,0,33.18,10.090000,14.640000,7.490000,0.000000,31.280000,173.760000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,129.650000,14.880000,6,33,0.000000,2.860000,11.740000,33,7.260000,70.010000,6.17,10.340000,73.906058,6.16,0.000000,0.000000,13.33,13.33,10.090000,0.000000

40,09:45-10:00,178.65,34.02,34,147,38.5,63,0,67,70,0,35.73,10.990000,14.640000,7.490000,0.000000,28.260000,144.940000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,140.220000,14.880000,6,33,0.000000,2.860000,11.740000,33,7.260000,70.010000,6.17,11.270000,81.20205,6.16,0.000000,0.000000,13.33,13.33,10.990000,0.000000

41,10:00-10:15,190.94,34.02,36,158,39.5,67,0,72,75,0,38.19,11.950000,14.640000,6.180000,0.000000,29.270000,202.570000,0.000000,67.740000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.260000,70.010000,6.17,12.240000,88.205422,6.16,0.000000,0.000000,13.33,13.33,11.950000,0.000000

42,10:15-10:30,201.3,34.42,37,165,41.5,70,0,76,78,0,40.26,12.770000,14.640000,6.800000,0.000000,29.270000,202.570000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.260000,70.010000,6.17,13.080000,94.769864,6.16,0.000000,0.000000,13.33,13.33,12.770000,0.000000

43,10:30-10:45,211.79,34.82,39,172,42.5,73,0,79,81,0,42.36,13.530000,14.640000,6.800000,0.000000,29.270000,202.570000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.260000,70.010000,6.17,13.870000,81.953108,6.16,0.000000,0.000000,13.33,13.33,13.530000,0.000000

44,10:45-11:00,220.87,35.62,40,175,43.5,75,0,83,85,0,44.17,13.950000,14.640000,6.800000,0.000000,29.270000,202.570000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,100.050000,33,18.5,0.000000,172.870000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.260000,70.010000,6.17,14.300000,84.17702,6.16,0.000000,0.000000,13.33,13.33,13.950000,0.000000

45,11:00-11:15,229.23,41.01,42,179,44.5,76,0,85,88,0,45.84,14.360000,6.450000,6.570000,0.000000,29.270000,221.780000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,71.240000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.030000,70.010000,6.17,14.720000,87.483626,6.16,0.000000,0.000000,13.33,13.33,14.360000,0.000000

46,11:15-11:30,230,41.01,43,179,44.5,76,0,86,89,0,46,15.330000,6.450000,6.570000,0.000000,29.270000,258.210000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.030000,70.010000,6.17,15.710000,90.380564,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

47,11:30-11:45,230,43.01,43,179,44.5,76,0,87,90,0,46,15.330000,3.840000,6.570000,0.000000,29.270000,210.190000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.030000,70.010000,6.17,15.710000,93.68717,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

48,11:45-12:00,230,43.01,44,179,45.5,76,0,87,91,0,46,15.330000,3.840000,6.570000,0.000000,30.280000,162.170000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,7.030000,70.010000,6.17,15.710000,96.720664,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

49,12:00-12:15,230,43.01,43,179,45.5,76,0,87,90,0,46,15.330000,3.840000,6.340000,0.000000,30.280000,114.150000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,6.880000,65.870000,6.17,15.710000,127.309208,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

50,12:15-12:30,230,43.01,43,179,45.5,76,0,87,90,0,46,15.330000,3.840000,6.340000,0.000000,30.280000,109.490000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,6.880000,65.870000,6.17,15.710000,125.943648,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

51,12:30-12:45,215,43.01,43,179,45.5,76,0,87,90,0,43,15.330000,3.840000,6.340000,0.000000,30.280000,109.490000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,6.880000,65.870000,6.17,15.710000,125.065788,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

52,12:45-13:00,216.31,43.01,43,179,44.5,76,0,87,90,0,43.26,15.330000,3.840000,6.340000,0.000000,30.280000,109.490000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.770000,11.740000,33,6.880000,65.870000,6.17,15.710000,123.68072,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

53,13:00-13:15,213.53,43.01,45,179,44.5,76,0,86,91,0,42.7,15.330000,3.840000,6.570000,0.000000,31.290000,109.490000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.860000,11.740000,33,6.720000,65.870000,6.17,15.710000,122.16885,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

54,13:15-13:30,211.69,43.01,45,179,44.5,76,0,85,91,0,42.34,15.330000,3.840000,6.570000,0.000000,31.290000,109.490000,0.000000,57.340000,0.000000,0.000000,0.000000,8.160000,25.840000,0.000000,25.840000,52.820000,33,18.5,0.000000,154.620000,14.880000,6,33,0.000000,2.860000,11.740000,33,6.720000,65.870000,6.17,15.710000,120.774028,6.16,0.000000,0.000000,13.33,13.33,15.330000,0.000000

