Block,Time Block,NAPP,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,NLCEXP,NJPC,MAPS,KHSTPP-II,KHSTPP-I,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,JHAJJAR,CHAMERA2,CHAMERA3,BSIUL,BRBCL,CHAMERA1,NNTPP,NTPL,PARBATI3,RAPPB,PARBATI2,NLCIIST1,NLCIIST2,RAMPUR,NLCTS2EXP,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,UNCHAHAR1,UNCHAHAR3,TEHRIPSP,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,ANTA_GF,UNCHAHAR4,VALLURNTECL,URI2,RAPPC,RIHAND2,RIHAND1,RAPPD,RIHAND3,SIMHST2,RSTPSU1TO6,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
20,04:45-05:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,10.19,7.37,56.87,323.6,47.31,33.95,12.61,20.7,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.3,12.8,12.02,14.89,0,28.47,0,24.27,48.59,0,0,1.05,0,36.92,66,113.86,83.54,24.33,88.87,0,0,405.12,0,0,79.81,0,0,0,0,0,0

21,05:00-05:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,13.36,73.46,56.87,323.6,47.31,33.95,12.61,24.18,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

22,05:15-05:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,13.36,7.39,56.87,323.6,47.31,33.95,12.61,24.18,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

23,05:30-05:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,13.36,7.39,56.87,323.6,47.31,33.95,12.61,24.18,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,81.58,53.71,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

24,05:45-06:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,13.36,7.39,56.87,323.6,47.31,33.95,12.61,19.77,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,94.61,53.71,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

25,06:00-06:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,115.1,29.45,0,0,42.42,13.36,7.39,56.87,323.6,47.31,33.95,12.61,19.33,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,132.52,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

26,06:15-06:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,13.36,7.39,56.87,323.6,47.31,33.95,12.61,24.18,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.92,14.22,13.98,17.91,0,28.47,0,28.66,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

27,06:30-06:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,10.19,7.39,56.87,323.6,47.31,33.95,12.61,23.31,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.3,14.22,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

28,06:45-07:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,42.42,10.19,7.39,56.87,323.6,47.31,33.95,12.61,21.84,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.66,0,9.3,14.22,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

29,07:00-07:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,323.6,47.31,33.95,12.61,23.97,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.87,0,9.3,14.22,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

30,07:15-07:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,323.6,47.31,33.95,12.61,23.13,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,3.87,0,9.3,14.22,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,79.81,0,0,0,0,0,0

31,07:30-07:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,323.6,47.31,33.95,12.61,20.24,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,3.76,0,9.3,13.51,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

32,07:45-08:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,323.6,47.31,33.95,12.61,20.57,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,3.78,0,9.3,13.51,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

33,08:00-08:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,323.6,47.31,33.95,6.31,21.26,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,28.47,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

34,08:15-08:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,18.38,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,18.98,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

35,08:30-08:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,18.94,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,9.49,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

36,08:45-09:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,20.78,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

37,09:00-09:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,18.27,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

38,09:15-09:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,18.31,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,79.81,0,0,0,0,0,0

39,09:30-09:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,21.66,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,78.69,0,0,0,0,0,0

40,09:45-10:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,21.22,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,128.83,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,78.69,0,0,0,0,0,0

41,10:00-10:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,20.3,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,78.69,0,0,0,0,0,0

42,10:15-10:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,18.6,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,106.17,83.54,24.33,128.05,0,0,405.12,0,0,78.69,0,0,0,0,0,0

43,10:30-10:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,16.53,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,4.3,0,11.65,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,78.69,0,0,0,0,0,0

44,10:45-11:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,95.3,29.45,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,14.63,40.78,0,0,63.94,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,113.87,4.3,0,11.65,13.51,10.75,14.33,0,0,0,23.99,48.59,0,0,1.05,0,36.92,66,67.47,53.11,24.33,70.43,0,0,405.12,0,0,78.69,0,0,0,0,0,0

45,11:00-11:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,78.91,28.11,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,13.54,27.18,0,0,59.48,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.3,0,11.65,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

46,11:15-11:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,78.91,28.11,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,13.56,27.18,0,0,59.48,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.3,0,11.65,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

47,11:30-11:45,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,78.91,28.11,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,16.16,13.59,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.3,0,9.3,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

48,11:45-12:00,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,78.91,28.11,0,0,31.82,10.19,7.39,56.87,188.12,47.31,33.95,6.31,19.64,0,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.23,0,9.3,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

49,12:00-12:15,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,106.56,32.76,0,0,31.82,14.11,7.39,56.87,188.12,47.31,33.95,6.31,22.26,0,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.17,0,9.92,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

50,12:15-12:30,23.69,10.1,0,0,10.3,8.43,0,0,175.25,0,106.56,32.76,0,0,31.82,14.11,7.39,56.87,188.12,47.31,33.95,6.31,21.66,0,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.2,0,9.92,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

51,12:30-12:45,23.69,20.2,0,0,10.3,8.43,0,0,175.25,0,106.56,32.76,0,0,31.82,14.11,7.39,56.87,188.12,47.31,33.95,6.31,18.54,0,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.3,0,9.92,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

52,12:45-13:00,23.69,20.2,0,0,10.3,8.43,0,0,175.25,0,106.56,32.76,0,0,31.82,14.11,7.39,56.87,188.12,47.31,33.95,6.31,19.84,0,0,0,57.99,0,56.16,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,1.12,147.48,4.3,0,9.92,13.51,10.75,14.33,0,0,0,23.99,51.26,0,0,1.05,0,36.92,66,122.04,95.84,24.33,120.02,0,0,405.12,0,0,78.69,0,0,0,0,0,0

