Time,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/SKS-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/jitpl,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21956/A/30543,NR/2024/21966/A/30308,NR/2024/21814/A/30522,NR/2024/21971/A/30518,NR/2024/21909/A/30486,NR/2024/22248/C,NR/2024/21961/A/30521,NR/2024/21968/A/30516,NR/2024/21918/A/30552,NR/2024/22081/A/30600,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22080/A/30176,NR/2024/21983/A/30275,NR/2024/21932/A/30300,NR/2024/21938/A/30520,NR/2024/21970/A/30517,NR/2024/21658/A/30250,NR/2024/21974/A/30519,NR/2024/21860/A/30601,NR/2024/22042/A/30248,NR/2024/22010/A/30563,NR/2024/21954/A/30538,NR/2024/21940/A/30540,NR/2024/22247/C,NR/01102023/23072042/L_NR_2012_04,NR/2024/21943/A/30537,NR/2024/22014/A/30249,NR/2024/22246/C,NR/2024/22245/C,Total
22,05:15-05:30,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1387.83

23,05:30-05:45,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1387.83

24,05:45-06:00,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,81.270000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,27.090000,8.760000,0.530000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1387.83

25,06:00-06:15,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.670000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1279.61

26,06:15-06:30,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.670000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1279.61

27,06:30-06:45,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.670000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0,1279.61

28,06:45-07:00,15.910000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.670000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0.19,1279.8

29,07:00-07:15,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.770000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0.48,1280.64

30,07:15-07:30,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.770000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,0.9,1281.06

31,07:30-07:45,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.770000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.31,1281.47

32,07:45:08:00,16.360000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,7.710000,0.000000,0.000000,0.000000,8.760000,0.770000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.29,1281.45

33,08:00-08:15,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,0.000000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.22,1281.07

34,08:15-08:30,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,0.000000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.12,1280.97

35,08:30-08:45,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,0.000000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.42,1281.27

36,08:45:09:00,16.830000,26.910000,48.160000,0.000000,8.760000,48.160000,8.590000,192.640000,0.000000,24.080000,0.000000,48.160000,26.270000,0.000000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,0.000000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,2.43,1282.28

37,09:00:09:15,16.830000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.05,1282.9

38,09:15-09:30,16.830000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,4.34,1284.19

39,09:30-09:45,16.830000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.84,1283.69

40,09:45-10:00,16.830000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.85,1283.7

41,10:00-10:15,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.37,1269.89

42,10:15-10:30,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.92,1270.44

43,10:30-10:45,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.7,1270.22

44,10:45-11:00,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,4.12,1270.64

45,11:00-11:15,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,4.68,1271.2

46,11:15-11:30,3.500000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,4.38,1270.9

47,11:30-11:45,0.000000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,3.67,1266.69

48,11:45-12:00,0.000000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,1.5,1264.52

49,12:00-12:15,13.610000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,5.66,1282.29

50,12:15-12:30,13.610000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,163.980000,6.8,1283.43

51,12:30-12:45,13.610000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,109.320000,4.57,1226.54

52,12:45-13:00,13.610000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,109.320000,5.74,1227.71

53,13:00-13:15,13.610000,26.910000,0.000000,0.000000,8.760000,0.000000,8.590000,0.000000,0.000000,24.080000,48.160000,48.160000,26.270000,192.640000,0.000000,0.000000,26.270000,90.540000,240.800000,26.910000,0.000000,6.740000,48.160000,0.000000,0.000000,8.760000,0.960000,26.270000,48.160000,3.850000,11.690000,24.000000,83.970000,27.930000,0.000000,38.530000,1.930000,109.320000,5.54,1227.51

