Time,Block,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17165/A,NR/2023/17836/C,NR/2023/17839/C,WR/2023/17681/A,WR/2023/19090/A,NR/2023/17835/C,WR/2023/17681/A/II,Total
77,19:00-19:15,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

78,19:15-19:30,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

79,19:30-19:45,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

80,19:45-20:00,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

81,20:00-20:15,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

82,20:15-20:30,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

83,20:30-20:45,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

84,20:45-21:00,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.440000,0.000000,100.000000,0,100.000000,296.15

85,21:00-21:15,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.350000,0.000000,100.000000,0,100.000000,296.06

86,21:15-21:30,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.350000,0.000000,100.000000,0,100.000000,296.06

87,21:30-21:45,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.350000,0.000000,100.000000,0,100.000000,296.06

88,21:45-22:00,0.000000,0.000000,0.000000,20.400000,6.770000,0.720000,62.820000,0.000000,5.350000,0.000000,100.000000,0,100.000000,296.06

89,22:00-22:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.680000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.06

90,22:15-22:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.680000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.06

91,22:30-22:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.680000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.06

92,22:45-23:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.680000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.06

93,23:00-23:15,0.000000,42.710000,99.420000,20.400000,6.770000,0.630000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.01

94,23:15-23:30,0.000000,42.710000,99.420000,20.400000,6.770000,0.630000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.01

95,23:30-23:45,0.000000,42.710000,99.420000,20.400000,6.770000,0.630000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.01

96,23:45-24:00,0.000000,42.710000,99.420000,20.400000,6.770000,0.630000,62.820000,0.000000,5.260000,0.000000,100.000000,0,100.000000,438.01

