,,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,GOA,NA,KERALA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MP,GOA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,NA,NA,MAHARASHTRA,KERALA,NA,KARNATAKA,NA,MEGHALAYA,
,,Meghalaya_Ben,SHPPBPL,ITCWIND,BYPL,GOA_Beneficiary,JPNIGRIE_JNSTPP,KSEB,SHPPBPL,KAMENG,LAPL-UP,SOLAPUR_SOLAR,JPL-2,HP,B_S_ISPAT_MH,UTTARAKHAND,HP,TS1PL_BKN,SHPPBPL,JPL-2,SHPPBPL,Meghalaya_Ben,SKS Raigarh,HP,TS1PL_BKN,ITCWIND,JP BINA,GOA_Beneficiary,TANGEDCO,SHPPBPL,GBHHPL,SKS Raigarh,SHPPBPL,TPC MSEB,TANGEDCO,SHPPBPL,LMEL MSEB,SHPPBPL,HP,KAMENG,SHPPBPL,GBHHPL,Meghalaya_Ben,IPCL_WB,KWHEP,TS1PL_BKN,B_S_ISPAT_MH,KSEB,TS1PL_BKN,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BMDRC,ITCLH,AMNSIL,BRPL,TPDDL,BRPL,BAL234,BRPL,BYPL,MES (Delhi),TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,BAL184,BRPL,UHL,BYPL,NDMC,BRPL,BRPL,ITCLH,BRPL,BRPL,BYPL,MHIL,DIAPL,NDMC,BAL224,BYPL,BRPL,MAX-HPTL,BYPL,AISHER,BYPL,TPDDL,JHPL-DL,DIAPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,BYPL,MES (Delhi),BRPL,BYPL,
,,North East-East-North,North-North,South-East-North,North-East-West,West-East-North,West-North,South-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,South-East-North,North-North,South-West-North,West-North,North East-East-North,
32,07:45:08:00,62.990000,0.930000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,2.79,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.680000,28.900000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.870000,10.140000,0.870000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,39.2,6.760000,7.720000,16.8,4.830000,84.940000,0.000000,1519.73

33,08:00-08:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.34,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,45.5,6.760000,7.720000,19.5,4.830000,84.940000,0.000000,1503.78

34,08:15-08:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.34,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,4.830000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,49.7,6.760000,7.720000,21.3,4.830000,84.940000,0.000000,1509.78

35,08:30-08:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.34,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,52.5,6.760000,7.720000,22.5,4.830000,84.940000,0.000000,1514.74

36,08:45:09:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.34,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,0.000000,21.530000,53.9,6.760000,7.720000,23.1,4.830000,84.940000,0.000000,1516.74

37,09:00:09:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.61,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,56,6.760000,7.720000,24,4.830000,84.940000,0.000000,1544.15

38,09:15-09:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,2.61,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,58.1,6.760000,7.720000,24.9,4.830000,84.940000,0.000000,1547.15

39,09:30-09:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.38,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,60.9,6.760000,7.720000,26.1,4.830000,84.940000,0.000000,1551.92

40,09:45-10:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.38,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,0.000000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,62.3,6.760000,7.720000,26.7,4.830000,84.940000,0.000000,1553.92

41,10:00-10:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.38,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,64.4,6.760000,7.720000,27.6,4.830000,84.940000,0.000000,1647.67

42,10:15-10:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.48,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,67.9,6.760000,7.720000,29.1,4.830000,84.940000,0.000000,1652.77

43,10:30-10:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,5.21,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,71.4,6.760000,7.720000,30.6,4.830000,84.940000,0.000000,1659.5

44,10:45-11:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,6.08,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,74.9,6.760000,7.720000,32.1,4.830000,84.940000,0.000000,1665.37

45,11:00-11:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,6.95,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,77.7,6.760000,7.720000,33.3,4.830000,84.940000,0.000000,1670.24

46,11:15-11:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,7.82,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,78.4,6.760000,7.720000,33.6,4.830000,84.940000,0.000000,1672.11

47,11:30-11:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,7.82,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,77.7,6.760000,7.720000,33.3,4.830000,84.940000,0.000000,1671.11

48,11:45-12:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,7.82,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,76.3,6.760000,7.720000,32.7,4.830000,84.940000,0.000000,1669.11

49,12:00-12:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,8.59,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,75.6,6.760000,7.720000,32.4,4.830000,84.940000,0.000000,1668.88

50,12:15-12:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,8.59,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,77.7,6.760000,7.720000,33.3,4.830000,84.940000,0.000000,1671.88

51,12:30-12:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,9.46,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,80.5,6.760000,7.720000,34.5,4.830000,84.940000,0.000000,1676.75

52,12:45-13:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,8.59,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,83.3,6.760000,7.720000,35.7,4.830000,84.940000,0.000000,1679.88

53,13:00-13:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,8.59,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,85.4,6.760000,7.720000,36.6,4.830000,84.940000,0.000000,1682.88

54,13:15-13:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,7.82,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,85.4,6.760000,7.720000,36.6,4.830000,84.940000,0.000000,1682.11

55,13:30-13:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,6.95,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,84.7,6.760000,7.720000,36.3,4.830000,84.940000,0.000000,1680.24

56,13:45-14:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,6.08,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,90.750000,0.610000,5.790000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,83.3,6.760000,7.720000,35.7,4.830000,84.940000,0.000000,1677.37

57,14:00-14:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,5.21,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,82.6,6.760000,7.720000,35.4,4.830000,84.940000,0.000000,1714.04

58,14:15-14:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,4.34,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,81.9,6.760000,7.720000,35.1,4.830000,84.940000,0.000000,1712.17

59,14:30-14:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.48,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,81.9,6.760000,7.720000,35.1,4.830000,84.940000,0.000000,1711.31

60,14:45-15:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,0.000000,3.48,193.080000,178.120000,0.000000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,82.6,6.760000,7.720000,35.4,4.830000,84.940000,0.000000,1712.31

61,15:00-15:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,2.9,193.080000,178.120000,0.000000,48.270000,77.230000,7.2,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,81.2,6.760000,7.720000,34.8,4.830000,84.940000,0.000000,1755.55

62,15:15-15:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.93,193.080000,178.120000,0.000000,48.270000,77.230000,6.9,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,77.7,6.760000,7.720000,33.3,4.830000,84.940000,0.000000,1749.28

63,15:30-15:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.93,193.080000,178.120000,0.000000,48.270000,77.230000,6.6,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,72.8,6.760000,7.720000,31.2,4.830000,84.940000,0.000000,1741.98

64,15:45-16:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.93,193.080000,178.120000,0.000000,48.270000,77.230000,6.6,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,15.4,0.970000,42.470000,24.140000,106.190000,0.610000,5.790000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,0.000000,24.140000,24.140000,21.530000,67.9,6.760000,7.720000,29.1,4.830000,84.940000,0.000000,1750.38

65,16:00-16:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.93,193.080000,178.120000,0.000000,48.270000,77.230000,6.6,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,15.4,0.820000,42.470000,24.140000,106.190000,0.610000,1.930000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,24.140000,21.530000,63,6.760000,7.720000,27,4.830000,84.940000,0.000000,1743.23

66,16:15-16:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.84,193.080000,178.120000,0.000000,48.270000,77.230000,7.5,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,17.5,0.820000,42.470000,24.140000,106.190000,0.610000,1.930000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,24.140000,21.530000,58.1,6.760000,7.720000,24.9,4.830000,84.940000,0.000000,1739.14

67,16:30-16:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.84,193.080000,178.120000,0.000000,48.270000,77.230000,9,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,21,0.820000,42.470000,24.140000,106.190000,0.610000,1.930000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,24.140000,21.530000,52.5,6.760000,7.720000,22.5,4.830000,84.940000,0.000000,1736.14

68,16:45-17:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.08,193.080000,178.120000,0.000000,48.270000,77.230000,4.8,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,11.2,0.820000,42.470000,24.140000,106.190000,0.610000,1.930000,0.000000,0.520000,0.000000,23.100000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,24.140000,21.530000,46.2,6.760000,7.720000,19.8,4.830000,84.940000,0.000000,1712.38

69,17:00-17:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.08,193.080000,178.120000,0.000000,48.270000,77.230000,4.2,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,9.8,0.820000,42.470000,24.140000,48.270000,0.610000,1.930000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,40.6,6.760000,7.720000,17.4,4.830000,84.940000,0.000000,1597.22

70,17:15-17:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,1.08,193.080000,178.120000,0.000000,48.270000,77.230000,3.9,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,9.1,0.820000,42.470000,24.140000,48.270000,0.610000,1.930000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,35.7,6.760000,7.720000,15.3,4.830000,84.940000,0.000000,1589.22

71,17:30-17:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0.48,193.080000,178.120000,0.000000,48.270000,77.230000,5.1,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,11.9,0.820000,42.470000,24.140000,48.270000,0.610000,1.930000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,30.1,6.760000,7.720000,12.9,4.830000,84.940000,0.000000,1584.62

72,17:45-18:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.760000,0.950000,21.240000,38.620000,0.19,193.080000,178.120000,0.000000,48.270000,77.230000,4.8,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,11.2,0.820000,42.470000,24.140000,48.270000,0.610000,1.930000,0.000000,0.520000,0.000000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,23.8,6.760000,7.720000,10.2,4.830000,84.940000,0.000000,1574.33

73,18:00-18:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,5.7,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,13.3,0.870000,42.470000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,18.2,6.760000,14.240000,7.8,4.830000,84.940000,36.420000,1654.53

74,18:15-18:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,6.6,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,15.4,0.870000,42.470000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,12.6,6.760000,14.240000,5.4,4.830000,84.940000,36.420000,1649.53

75,18:30-18:45,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,5.4,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,12.6,0.870000,28.900000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,8.4,6.760000,14.240000,3.6,4.830000,84.940000,36.420000,1625.96

76,18:45-19:00,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,3.9,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,9.1,0.870000,28.900000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,4.9,6.760000,14.240000,2.1,4.830000,84.940000,36.420000,1615.96

77,19:00-19:15,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,1.2,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,2.8,0.920000,28.900000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,2.8,6.760000,14.240000,1.2,4.830000,84.940000,36.420000,1604.01

78,19:15-19:30,62.990000,0.980000,0.000000,50.000000,0.000000,48.270000,15.780000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.000000,48.270000,77.230000,0.3,0.380000,257.760000,0.610000,22.200000,28.960000,0.000000,0.7,0.920000,28.900000,0.000000,48.270000,0.610000,1.930000,0.000000,0.520000,66.520000,0.000000,0.980000,10.140000,0.970000,0.000000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0.7,6.760000,14.240000,0.3,4.830000,84.940000,36.420000,1598.01

