Time,Block,NR/2023/12519/D,NR/2023/12517/D,NR/2023/12518/D,NR/2023/10613/A,NR/2023/12539/C,NR/2023/11952/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10611/A,NR/2023/12535/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11643/A,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/10223/A,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11642/A,NR/2023/12531/C,NR/2023/12536/C,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11959/F,NR/2023/12520/C,NR/2023/11960/F,NR/2023/11941/F,NR/2023/11962/F,NR/2023/10229/A,NR/2023/12516/D,Total
7,01:30-01:45,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,260.090000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.760000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1248.23

8,01:45-02:00,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,223.490000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.760000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1211.63

9,02:00-02:15,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,198.440000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.660000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1186.48

10,02:15-02:30,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,163.760000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.660000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1151.8

11,02:30-02:45,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,131.970000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.660000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1120.01

12,02:45-03:00,0,0,0,12.620000,0.000000,36.350000,0.770000,115.600000,9.920000,102.110000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.660000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1090.15

13,03:00-03:15,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,52.980000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.580000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,1004.59

14,03:15-03:30,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,15.410000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.580000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,967.02

15,03:30-03:45,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.580000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,951.61

16,03:45-04:00,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.580000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,30.060000,0.710000,62.610000,0.460000,49.850000,66.850000,951.61

17,04:00-04:15,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.480000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,951

18,04:15-04:30,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.480000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,951

19,04:30-04:45,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.480000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,951

20,04:45-05:00,0,0,0,12.620000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.480000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,951

21,05:00-05:15,0,0,0,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,938.29

22,05:15-05:30,0,0,0,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,938.29

23,05:30-05:45,0,0,0,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,938.29

24,05:45-06:00,0,0,0,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,64.730000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,27.740000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,938.29

25,06:00-06:15,0,0,0,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,845.82

26,06:15-06:30,0,3.5,1.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,850.82

27,06:30-06:45,0,7,3,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,855.82

28,06:45-07:00,0.24,14,6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.390000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,29.550000,0.710000,62.610000,0.460000,49.850000,66.850000,866.06

29,07:00-07:15,0.34,24.5,10.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.300000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,28.530000,0.710000,62.610000,0.460000,49.850000,66.850000,880.05

30,07:15-07:30,0.43,36.4,15.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.300000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,28.530000,0.710000,62.610000,0.460000,49.850000,66.850000,897.14

31,07:30-07:45,0.76,51.8,22.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.300000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,28.530000,0.710000,62.610000,0.460000,49.850000,66.850000,919.47

32,07:45:08:00,1.2,56,24,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.640000,0.000000,2.890000,33.720000,274.170000,0.400000,14.450000,10.300000,0.000000,41.420000,0.000000,0.780000,6.740000,0.710000,28.530000,0.710000,62.610000,0.460000,49.850000,66.850000,925.91

33,08:00-08:15,1.6,72.8,31.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,28.530000,0.730000,62.610000,0.460000,49.850000,66.850000,950.31

34,08:15-08:30,2.07,89.6,38.4,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,28.530000,0.730000,62.610000,0.460000,49.850000,66.850000,974.78

35,08:30-08:45,2.94,100.8,43.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,28.530000,0.730000,62.610000,0.460000,49.850000,66.850000,991.65

36,08:45:09:00,3.42,115.5,49.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.300000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,28.530000,0.730000,62.610000,0.460000,49.850000,66.850000,1013.13

37,09:00:09:15,4.44,127.4,54.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1032.08

38,09:15-09:30,5.16,140.7,60.3,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1051.8

39,09:30-09:45,5.35,151.2,64.8,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1066.99

40,09:45-10:00,5.84,162.4,69.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.210000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1083.48

41,10:00-10:15,6.22,164.5,70.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1086.76

42,10:15-10:30,6.32,176.4,75.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1103.86

43,10:30-10:45,6.32,175,75,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1101.86

44,10:45-11:00,6.8,178.5,76.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.110000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1107.34

45,11:00-11:15,7.62,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1113.08

46,11:15-11:30,7.81,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1113.27

47,11:30-11:45,8.49,183.4,78.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1115.95

48,11:45-12:00,8.54,183.4,78.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,10.030000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1116

49,12:00-12:15,8.63,183.4,78.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1115.99

50,12:15-12:30,8.63,183.4,78.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1115.99

51,12:30-12:45,8.73,183.4,78.6,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1116.09

52,12:45-13:00,9.02,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1114.38

53,13:00-13:15,9.36,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1114.72

54,13:15-13:30,9.02,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1114.38

55,13:30-13:45,8.92,182,78,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1114.28

56,13:45-14:00,8.63,178.5,76.5,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1108.99

57,14:00-14:15,8.54,177.8,76.2,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1107.9

58,14:15-14:30,8.49,177.1,75.9,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1106.85

59,14:30-14:45,8.34,175,75,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1103.7

60,14:45-15:00,8.25,168,72,0.000000,0.000000,0.000000,0.770000,115.600000,9.920000,0.000000,12.210000,48.160000,13.000000,0.360000,0.460000,24.080000,24.920000,0.620000,0.000000,2.890000,33.720000,274.170000,0.390000,14.450000,9.930000,0.000000,41.420000,0.000000,0.770000,6.740000,0.730000,29.550000,0.730000,62.610000,0.460000,49.850000,66.850000,1093.61

