Block,Time Block,BRBCL,DADRI_CRF,AURY_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,RAPPD,RAMPUR,RAPPC,RIHAND1,RAPPB,TANDA2,RIHAND2,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SEWA2,SINGRAULI,SALAL,RIHAND3,VALLURNTECL,ANTA_CRF,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_LF,ANTA_RF,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,MAPS,KHSTPP-I,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,BSIUL,CHAMERA3,JHAJJAR,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,CHAMERA2,DULHASTI,DADRT2,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
16,03:45-04:00,15.25,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,377.63,0,0,20.04,0,31.34,57.32,400.47,27.07,0,0,0,0,0

17,04:00-04:15,16.38,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,377.63,0,0,20.04,0,31.34,57.32,400.47,27.07,0,0,0,0,0

18,04:15-04:30,17.28,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,377.58,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

19,04:30-04:45,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,377.58,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

20,04:45-05:00,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,12.15,144.82,38.62,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,18.09,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,377.58,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

21,05:00-05:15,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,6.07,144.82,49.25,125.99,0,0,20.85,1.64,36.7,26.66,0,0,0,0,42.39,47.86,0,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,414.14,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

22,05:15-05:30,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,1.64,36.7,21.53,0,0,0,0,33.83,47.86,11.37,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,405.7,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

23,05:30-05:45,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,1.64,36.7,21.53,0,0,0,0,33.83,47.86,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,407.65,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

24,05:45-06:00,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,0,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,1.64,36.7,21.53,0,0,0,0,33.83,47.86,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,407.65,0,0,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

25,06:00-06:15,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,1.64,36.7,21.53,0,0,0,0,33.83,47.86,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,22.47,407.65,0,10.55,20.04,0,31.34,57.32,400.47,13.48,0,0,0,0,0

26,06:15-06:30,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,5.32,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,1.64,36.7,21.53,0,0,0,0,33.83,47.86,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,11.24,407.65,0,10.55,20.04,0,31.34,57.32,400.47,0,0,0,0,0,0

27,06:30-06:45,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,3.3,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,144.82,76.47,125.99,0,0,16.69,0.95,36.7,21.53,0,0,0,0,33.83,48.39,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,11.24,388.3,0,10.55,15.86,0,31.34,57.32,400.47,0,0,0,0,0,0

28,06:45-07:00,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,3.3,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,144.82,38.62,125.99,0,0,16.69,0.95,36.7,21.53,0,0,0,0,33.83,48.39,22.72,0,0,0,18.92,21.71,10.05,142.86,0,0,0,0,8.31,0,43.86,0,0,0,51.79,24.7,12.56,11.24,340.13,0,10.55,15.86,0,15.67,57.32,400.47,0,0,0,0,0,0

29,07:00-07:15,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,3.3,120.01,334.86,0,0,0.94,8.02,0,0,0,0,0,144.82,38.62,125.99,0,0,13.93,0.95,36.7,18.02,0,0,0,0,28.25,48.39,11.37,0,0,0,18.92,21.71,10.05,125.21,0,0,0,0,8.31,0,37.8,0,0,0,51.79,24.7,12.56,11.24,264.42,0,10.55,15.31,0,15.67,57.32,334.76,0,0,0,0,0,0

30,07:15-07:30,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,3.3,120.01,334.86,0,0,0.94,8.02,0,0,0,0,0,144.82,38.62,125.99,0,0,11.88,1.19,36.7,14.66,0,0,0,0,23.84,48.39,11.37,0,0,0,18.92,21.71,10.05,123.72,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,12.56,11.24,159.48,0,10.55,13.38,0,15.67,57.32,330.06,0,0,0,0,0,0

31,07:30-07:45,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,120.01,334.86,0,0,0.94,8.02,0,0,0,0,0,144.82,51.49,125.99,0,0,11.88,1.19,36.7,14.66,0,0,0,0,23.84,48.39,11.37,0,0,0,18.92,21.71,10.05,123.72,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,12.56,11.24,114.69,0,10.55,13.08,0,15.67,57.32,330.06,0,0,0,0,0,0

32,07:45-08:00,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,120.01,334.86,0,0,0.94,8.02,0,0,0,0,0,144.82,51.49,125.99,0,0,11.88,1.19,36.7,14.66,0,0,0,0,23.84,48.39,11.14,0,0,0,18.92,21.71,10.05,95.07,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,12.56,11.24,114.73,0,10.55,10.72,0,15.67,57.32,330.06,0,0,0,0,0,0

33,08:00-08:15,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,131.93,51.49,125.99,0,0,11.92,1.19,36.7,17.29,0,0,0,0,23.99,48.39,0,0,0,0,18.92,21.71,10.05,95.07,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,12.56,11.24,136.23,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

34,08:15-08:30,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,120.01,334.86,0,0,0.94,1.97,0,0,0,0,0,126.24,51.49,125.99,0,0,11.92,1.19,36.7,17.29,0,0,0,0,23.99,48.39,0,0,0,0,18.92,21.71,10.05,95.07,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,18.84,11.24,135.81,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

35,08:30-08:45,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,98.46,334.86,0,0,0.94,1.97,0,0,0,0,0,111.64,51.49,109.66,0,0,11.88,1.19,36.7,17.29,0,0,0,0,23.84,48.39,0,0,0,0,18.92,21.71,10.05,95.07,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,18.84,11.24,135.81,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

36,08:45-09:00,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,98.46,334.86,0,0,0.94,1.97,0,0,0,0,0,111.64,51.49,109.66,0,0,11.88,1.19,36.7,17.29,0,0,0,0,23.84,48.39,0,0,0,0,18.92,21.71,10.05,95.07,0,0,0,0,8.31,0,29.13,0,0,0,51.79,24.7,18.84,11.24,135.81,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

37,09:00-09:15,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,98.46,334.86,0,0,0.94,1.97,0,0,0,0,0,111.64,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,84.09,0,0,0,0,8.31,0,27.49,0,0,0,51.79,24.7,18.84,11.24,135.81,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

38,09:15-09:30,19.27,0,0,0,0,0,0,0,0,28.9,2.06,66.54,93.66,0,2.93,98.46,334.86,0,0,0.94,1.97,0,0,0,0,0,111.64,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,84.09,0,0,0,0,8.31,0,27.49,0,0,0,51.79,24.7,18.84,11.24,135.81,0,10.55,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

39,09:30-09:45,19.27,0,0,0,0,0,0,0,0,28.9,2.1,66.54,93.66,0,2.93,98.46,336.11,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,103.21,0,0,0,0,8.31,0,27.68,0,0,0,52.97,24.7,18.84,11.24,135.81,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

40,09:45-10:00,19.27,0,0,0,0,0,0,0,0,28.9,2.11,66.54,93.66,0,2.93,98.46,336.17,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,103.21,0,0,0,0,8.31,0,27.68,0,0,0,53.3,24.7,18.84,11.24,135.81,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

41,10:00-10:15,19.27,0,0,0,0,0,0,0,0,28.9,1.06,66.54,93.66,0,2.93,98.46,336.17,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,102.73,0,0,0,0,8.31,0,27.41,0,0,0,26.64,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

42,10:15-10:30,19.27,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,2.93,98.46,336.17,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.17,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,102.73,0,0,0,0,8.31,0,27.36,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

43,10:30-10:45,19.27,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,2.93,98.46,336.17,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.99,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,105.21,0,0,0,0,8.31,0,28.22,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

44,10:45-11:00,17.91,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,2.93,98.46,336.17,0,0,0.94,1.97,0,0,0,0,0,130.22,51.49,109.66,0,0,12.99,1.19,36.7,17.29,0,0,0,0,25.48,48.39,0,0,0,0,18.92,21.71,10.05,105.21,0,0,0,0,8.31,0,28.23,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

45,11:00-11:15,18.15,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,5.8,10.05,108.51,0,0,0,0,8.31,0,28.52,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

46,11:15-11:30,17.2,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,0,10.05,108.51,0,0,0,0,8.31,0,28.41,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

47,11:30-11:45,19.27,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,0,10.05,108.51,0,0,0,0,8.31,0,28.42,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

48,11:45-12:00,19.27,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,0,10.05,108.51,0,0,0,0,8.31,0,28.43,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

49,12:00-12:15,19.27,0,0,0,0,0,0,0,0,28.9,0,66.54,93.66,0,3.86,120.01,336.17,0,0,0.94,1.97,0,0,0,0,0,144.82,51.49,119.37,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,0,10.05,108.13,0,0,0,0,8.31,0,28.43,0,0,0,0,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

50,12:15-12:30,19.27,0,0,0,0,0,0,0,0,28.9,0.94,66.54,93.66,0,3.86,120.01,336.17,0,0,0.94,1.97,0,0,0,0,0,144.82,51.49,125.99,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,18.92,0,10.05,108.13,0,0,0,0,8.31,0,28.46,0,0,0,23.84,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

51,12:30-12:45,19.27,0,0,0,0,0,0,0,0,28.9,2.11,66.54,93.66,0,3.86,120.01,336.17,0,0,0.94,1.97,0,0,0,0,0,144.82,51.49,125.99,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,4.13,0,10.05,108.13,0,0,0,0,8.31,0,28.45,0,0,0,53.3,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

52,12:45-13:00,19.27,0,0,0,0,0,0,0,0,28.9,2.11,66.54,93.66,0,3.86,120.01,336.17,0,0,0.94,1.97,0,0,0,0,0,144.82,51.49,125.99,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,0,0,10.05,108.13,0,0,0,0,8.31,0,28.52,0,0,0,53.3,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

53,13:00-13:15,19.27,0,0,0,0,0,0,0,0,28.9,2.11,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,0,0,10.05,108.13,0,0,0,0,8.31,0,28.49,0,0,0,53.3,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

54,13:15-13:30,19.27,0,0,0,0,0,0,0,0,28.9,2.11,66.54,93.66,0,3.86,105.65,336.17,0,0,0.94,1.97,0,0,0,0,0,135.19,51.49,116.28,0,0,12.99,1.19,36.7,17.29,0,0,0,0,29.01,48.39,0,0,0,0,0,0,10.05,108.13,0,0,0,0,8.31,0,28.48,0,0,0,53.3,24.7,12.56,11.24,126.6,0,0,10.72,0,15.67,57.32,329.09,0,0,0,0,0,0

