Column1,Block,NR/2024/24071/A/45388,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2024/24097/A/45379,NR/2024/24088/A/45381,NR/2024/24269/C,NR/2024/24270/C,WR/2024/25054/A/45582,NR/2024/24060/A/45601,NR/2024/24271/C,NR/2024/24052/A/45389,NR/2024/24051/A/45390,NR/2024/24146/A/45375,NR/2024/23952/A/45372,Total
35,08:30-08:45,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,0,0,0,17.31,0,2.89,0,5.77,0.82,211.35999999999999

36,08:45-09:00,0,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,0,0,0,17.31,0,2.89,0,5.77,0.82,211.35999999999999

37,09:00-09:15,3.85,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,24.43,16.83,0,17.31,11.64,2.89,0,5.77,0.82,268.10999999999996

38,09:15-09:30,3.85,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,28.66,16.83,0,17.31,7.41,2.89,0,5.77,0.82,268.10999999999996

39,09:30-09:45,3.85,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,32.6,16.83,0,17.31,3.46,2.89,0,5.77,0.82,268.0999999999999

40,09:45-10:00,3.85,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,36.06,16.83,0,17.31,0,2.89,0,5.77,0.82,268.09999999999997

41,10:00-10:15,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,36.06,16.83,0,17.31,0,2.89,0,5.77,0.82,269.05999999999995

42,10:15-10:30,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,36.06,16.83,0,17.31,0,2.89,0,5.77,0.82,269.05999999999995

43,10:30-10:45,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,36.06,16.83,0,17.31,0,2.89,0,5.77,0.82,269.05999999999995

44,10:45-11:00,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,4.81,36.06,16.83,0,17.31,0,2.89,0,5.77,0.82,269.05999999999995

45,11:00-11:15,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

46,11:15-11:30,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

47,11:30-11:45,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

48,11:45-12:00,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

49,12:00-12:15,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

50,12:15-12:30,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

51,12:30-12:45,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

52,12:45-13:00,6.73,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.82,267.13

53,13:00-13:15,5.77,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,266.11999999999995

54,13:15-13:30,5.77,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,266.11999999999995

55,13:30-13:45,5.77,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,266.11999999999995

56,13:45-14:00,5.77,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,266.11999999999995

57,14:00-14:15,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,265.15999999999997

58,14:15-14:30,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,265.15999999999997

59,14:30-14:45,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,265.15999999999997

60,14:45-15:00,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,36.06,16.83,0,17.31,0,3.85,0,5.77,0.77,265.15999999999997

61,15:00-15:15,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,35.97,16.83,0,17.31,0.1,3.85,0,5.77,0.63,265.03

62,15:15-15:30,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,32.31,16.83,0,17.31,3.75,3.85,0,5.77,0.63,265.02

63,15:30-15:45,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,28.37,16.83,0,17.31,7.69,3.85,0,5.77,0.63,265.02

64,15:45-16:00,4.81,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,24.81,16.83,0,17.31,9.62,3.85,0,5.77,0.63,263.39

65,16:00-16:15,2.89,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,20.97,16.83,0,17.31,9.62,3.85,0,5.77,0.48,257.48

66,16:15-16:30,2.89,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,17.02,16.83,0,17.31,9.62,3.85,0,5.77,0.48,253.53

67,16:30-16:45,2.89,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,12.5,16.83,0,17.31,9.62,3.85,0,5.77,0.48,249.00999999999996

68,16:45-17:00,2.89,0,25.97,25.97,0,0,25.97,1.84,75,8.66,0,8.66,0,0,7.69,0,8.37,16.83,0,17.31,3.13,3.85,0,5.77,0.48,238.38999999999996

69,17:00-17:15,0.96,0,31.74,31.74,0,0,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,0,17.31,0,3.85,0,5.77,0.48,229.36999999999998

70,17:15-17:30,0.96,0,31.74,31.74,0,0,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,0,17.31,0,3.85,0,5.77,0.48,229.36999999999998

71,17:30-17:45,0.96,0,31.74,31.74,0,0,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,0,17.31,0,3.85,0,5.77,0.48,229.36999999999998

72,17:45-18:00,0.96,0,31.74,31.74,0,0,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,0,17.31,0,3.85,0,5.77,0.48,229.36999999999998

73,18:00-18:15,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

74,18:15-18:30,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

75,18:30-18:45,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

76,18:45-19:00,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

77,19:00-19:15,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

78,19:15-19:30,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

79,19:30-19:45,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

80,19:45-20:00,0,0,31.74,31.74,150,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,466.9300000000001

81,20:00-20:15,0,0,31.74,31.74,250,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,566.9300000000001

82,20:15-20:30,0,0,31.74,31.74,250,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,566.9300000000001

83,20:30-20:45,0,0,31.74,31.74,250,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,566.9300000000001

84,20:45-21:00,0,0,31.74,31.74,250,50,31.74,1.92,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,566.9300000000001

85,21:00-21:15,0,0,28.85,28.85,250,50,28.85,1.84,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,558.18

86,21:15-21:30,0,0,28.85,28.85,250,50,28.85,1.84,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,558.18

87,21:30-21:45,0,0,28.85,28.85,250,50,28.85,1.84,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,558.18

88,21:45-22:00,0,0,28.85,28.85,250,50,28.85,1.84,75,8.66,0,8.66,0,0,7.69,3.85,0,0,38.47,17.31,0,3.85,0,5.77,0.53,558.18

89,22:00-22:15,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.48,672.4799999999999

90,22:15-22:30,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.48,672.4799999999999

91,22:30-22:45,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.48,672.4799999999999

92,22:45-23:00,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.48,672.4799999999999

93,23:00-23:15,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.43,672.4299999999998

94,23:15-23:30,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.43,672.4299999999998

95,23:30-23:45,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.43,672.4299999999998

96,23:45-24:00,0,95.13,25.97,25.97,250,50,25.97,1.84,75,8.66,31.71,8.66,0,0,7.69,0.96,0,0,38.47,17.31,0,2.89,0,5.77,0.43,672.4299999999998

