Column1,Block,GNA/NR/2025/02/01/2594,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/6460,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/16/1676,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/25070/A/54542,GNA/NR/2025/02/01/5886,WR/2025/26047/A/54511,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/9969,NR/2025/25267/A/54476,NR/2025/24992/A/54260,NR/2025/25340/C,NR/2025/25265/A/54468,NR/2024/24418/A/54257,NR/2025/25341/C,NR/2025/24882/A/54261,NR/2025/25266/A/54461,GNA/NR/2025/02/01/2143,NR/30092023/26122029/SH-06,Total
59,14:30-14:45,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,0,0.96,23.07,26.99,286.4800000000001

60,14:45-15:00,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.87,14.42,0,1.06,23.07,26.99,286.58000000000004

61,15:00-15:15,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.77,0.67,14.42,0,1.06,23.07,26.99,286.38000000000005

62,15:15-15:30,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.48,5.77,38.45,0.67,0.67,14.42,0,1.06,23.07,26.99,286.28000000000003

63,15:30-15:45,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.38,5.77,38.45,0.67,0.67,14.42,0,0.96,23.07,26.99,286.08

64,15:45-16:00,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.38,5.77,38.45,0.58,0.67,14.42,0,0.87,23.07,26.99,285.90000000000003

65,16:00-16:15,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.29,5.77,38.45,0.58,0.53,14.42,0,0.77,23.07,26.99,285.57000000000005

66,16:15-16:30,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.26,5.77,36.05,0.43,0.53,14.99,0,0.6,23.07,26.99,283.39000000000004

67,16:30-16:45,23.07,0,75,0,0,0,8.65,0,1.47,26.99,7.8,8.65,0,0,23.07,0.14,5.77,28.84,0.28,0.53,24.03,0,0.36,23.07,26.99,284.71000000000004

68,16:45-17:00,23.07,0,75,0,0,0,8.65,0,1.47,25.16,7.8,8.65,0,0,23.07,0.11,5.77,21.43,0.15,0.53,20.38,0,0.21,23.07,25.16,269.68000000000006

69,17:00-17:15,31.72,0,75,0,0,0,8.65,0,1.47,25.16,7.8,8.65,0,0,31.72,0.06,9.61,0,0.06,0.53,0,0,0.1,31.72,25.16,257.41

70,17:15-17:30,31.72,0,75,0,0,0,8.65,0,1.47,25.16,7.8,8.65,0,0,31.72,0.01,9.61,0,0.02,0.53,0,0,0.02,31.72,25.16,257.24000000000007

71,17:30-17:45,31.72,0,75,0,0,0,8.65,0,1.47,32,7.8,8.65,0,0,31.72,0,9.61,0,0,0.53,0,0,0,31.72,32,270.87

72,17:45-18:00,31.72,0,75,0,0,0,8.65,0,1.47,32,7.8,8.65,0,0,31.72,0,9.61,0,0,0.53,0,0,0,31.72,31,269.87

73,18:00-18:15,36.53,50,75,200,0,0,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.53,0,0,0,36.53,31,588.0899999999999

74,18:15-18:30,36.53,50,75,200,0,0,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.53,0,0,0,36.53,31,588.0899999999999

75,18:30-18:45,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.53,0,0,0,36.53,31,638.0899999999999

76,18:45-19:00,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.53,0,0,0,36.53,31,638.0899999999999

77,19:00-19:15,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.62,0,0,0,36.53,31,638.18

78,19:15-19:30,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.62,0,0,0,36.53,31,638.18

79,19:30-19:45,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.62,0,0,0,36.53,31,638.18

80,19:45-20:00,36.53,50,75,200,0,50,13.46,0,1.47,31,7.8,13.46,38.45,0,43.25,0,9.61,0,0,0.62,0,0,0,36.53,31,638.18

81,20:00-20:15,23.07,50,75,150,0,50,8.65,0,1.47,12.6,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.62,0,0,0,23.07,32,510.21999999999997

82,20:15-20:30,23.07,50,75,150,0,50,8.65,0,1.47,23.41,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.62,0,0,0,23.07,32,521.03

83,20:30-20:45,23.07,50,75,150,0,50,8.65,0,1.47,23.41,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.62,0,0,0,23.07,32,521.03

84,20:45-21:00,23.07,50,75,150,0,50,8.65,0,1.47,23.41,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.62,0,0,0,23.07,32,521.03

85,21:00-21:15,23.07,50,75,150,0,50,8.65,0,1.47,25.87,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.58,0,0,0,23.07,32,523.4499999999999

86,21:15-21:30,23.07,50,75,150,0,50,8.65,0,1.47,25.87,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.58,0,0,0,23.07,32,523.4499999999999

87,21:30-21:45,23.07,50,75,150,0,50,8.65,0,1.47,25.87,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.58,0,0,0,23.07,32,523.4499999999999

88,21:45-22:00,23.07,50,75,150,0,50,8.65,0,1.47,25.87,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.58,0,0,0,23.07,32,523.4499999999999

89,22:00-22:15,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.53,0,0,0,23.07,26.99,551.2199999999999

90,22:15-22:30,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.53,0,0,0,23.07,26.99,551.2199999999999

91,22:30-22:45,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.53,0,0,0,23.07,26.99,551.2199999999999

92,22:45-23:00,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.53,0,0,0,23.07,26.99,551.2199999999999

93,23:00-23:15,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.48,0,0,0,23.07,26.99,551.17

94,23:15-23:30,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.48,0,0,0,23.07,26.99,551.17

95,23:30-23:45,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.48,0,0,0,23.07,26.99,551.17

96,23:45-24:00,23.07,50,75,150,7.93,50,8.65,23.78,1.47,26.99,7.8,8.65,38.45,0,23.07,0,5.77,0,0,0.48,0,0,0,23.07,26.99,551.17

