Column1,Block,NR/2024/21983/A/34821,NR/2024/21970/A/34960,NR/2024/22042/A/34628,NR/2024/21933/A/34823,NR/2024/21911/A/34884,NR/2024/21918/A/34955,NR/2024/22010/A/34953,NR/2024/21954/A/34930,NR/2024/21658/A/34654,NR/2024/21940/A/34931,NR/2024/22014/A/34629,NR/2024/21961/A/34891,NR/2024/22623/A/34671,NR/2024/22279/A/34625,NR/2024/21860/A/34871,NR/2024/21938/A/34896,NR/2024/21956/A/34932,NR/2024/21966/A/34658,NR/2024/21814/A/34963,NR/2024/21968/A/34959,NR/2024/21943/A/34929,NR/2024/22498/A/34940,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/SKS-Raigarh,NR/2024/21974/A/34962,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21971/A/34961,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2024/22890/C,NR/2024/22892/C,NR/2024/22871/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/22889/C,NR/2024/22611/A/34685,NR/2024/22610/A/34686,Total
3,00:30-00:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,24.0835,28.1,164.96,242.22,40.69,24.0835,0,0,0,1490.387

4,00:45-01:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,24.0835,28.1,164.96,242.22,40.69,24.0835,0,0,0,1490.387

5,01:00-01:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

6,01:15-01:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

7,01:30-01:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

8,01:45-02:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

9,02:00-02:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

10,02:15-02:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

11,02:30-02:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

12,02:45-03:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,32.94,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,14.16,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1495.9116000000001

13,03:00-03:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6816000000001

14,03:15-03:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6816000000001

15,03:30-03:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6816000000001

16,03:45-04:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.58,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6816000000001

17,04:00-04:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6316

18,04:15-04:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6316

19,04:30-04:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6316

20,04:45-05:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,67.82,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.87,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1462.6316

21,05:00-05:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1418.8516000000002

22,05:15-05:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1418.8516000000002

23,05:30-05:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,8.72,4.84,48.44,32.7,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1418.8516000000002

24,05:45-06:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.53,84.47,1.94,98.1,7.75,4.84,48.44,32.7,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1417.8816000000002

25,06:00-06:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1287.1816000000001

26,06:15-06:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1287.1816000000001

27,06:30-06:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0,0,0,1287.1816000000001

28,06:45-07:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.63,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,13.69,26.8708,28.1,164.96,242.22,40.69,26.8708,0.25,0,0,1287.4316000000001

29,07:00-07:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.73,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,0.84,0,0,1285.1616000000001

30,07:15-07:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.73,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,1.36,0,0,1285.6816000000001

31,07:30-07:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.73,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,1.72,0,0,1286.0416000000002

32,07:45-08:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.73,84.47,1.94,0,7.75,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,1.94,0,0,1286.2616000000003

33,08:00-08:15,0,12.48,3.88,0,0,91.08,11.76,24.14,0.97,84.47,1.94,0,8.72,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,2.48,0,0,1288.0116000000003

34,08:15-08:30,0,12.48,3.88,0,0,91.08,11.76,24.14,0.97,84.47,1.94,0,8.72,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,2.81,0,0,1288.3416000000002

35,08:30-08:45,0,12.48,3.88,0,0,91.08,11.76,24.14,0.97,84.47,1.94,0,8.72,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,4.08,0,0,1289.6116000000002

36,08:45-09:00,0,12.48,3.88,0,0,91.08,11.76,24.14,0.97,84.47,1.94,0,9.69,4.84,48.44,0,24.22,0,48.44,37.43,38.76,0,0,0,82.36,17.44,12.48,31.88,82.36,31.88,24.77,20.35,10.73,26.8708,28.1,164.96,242.22,40.69,26.8708,5.05,0,0,1291.5516

37,09:00-09:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,9.69,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,39.72,153.96,242.22,0,26.8708,4.23,10.66,42.63,1359.1716000000001

38,09:15-09:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,11.63,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,4.19,10.66,42.63,1360.4516

39,09:30-09:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,11.63,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,5.19,10.66,42.63,1361.4516

40,09:45-10:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,11.63,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,5.71,10.66,42.63,1361.9716

41,10:00-10:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,11.63,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,4.45,10.66,42.63,1360.7116

42,10:15-10:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,6.3,10.66,42.63,1363.5316

43,10:30-10:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,6.57,10.66,42.63,1363.8016

44,10:45-11:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,4.72,10.66,42.63,1361.9516

45,11:00-11:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,7.51,10.66,42.63,1364.7416

46,11:15-11:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,4.39,10.66,42.63,1361.6216000000002

47,11:30-11:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,3.89,10.66,42.63,1361.1216000000002

48,11:45-12:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,7.16,10.66,42.63,1364.3916000000002

49,12:00-12:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,7.26,10.66,42.63,1364.4916

50,12:15-12:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,6.11,10.66,42.63,1363.3416

51,12:30-12:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,6.38,10.66,42.63,1363.6116000000002

52,12:45-13:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,3.94,10.66,42.63,1361.1716000000001

53,13:00-13:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,2.75,9.59,42.63,1358.9116

54,13:15-13:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,2.52,9.4,42.63,1358.4916

55,13:30-13:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,3.6,9.2,42.63,1359.3716

56,13:45-14:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,10.73,26.8708,28.1,164.96,242.22,0,26.8708,4.87,9.11,42.63,1360.5515999999998

57,14:00-14:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,5.96,9.3,42.63,1363.8616

58,14:15-14:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,4.23,9.3,42.63,1362.1316

59,14:30-14:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,6.05,9.3,42.63,1363.9515999999999

60,14:45-15:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,2.38,9.11,42.63,1360.0916

61,15:00-15:15,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,1.31,9.2,42.63,1359.1116

62,15:15-15:30,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,1.87,8.91,42.63,1359.3816

63,15:30-15:45,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,1.43,8.62,42.63,1358.6516

64,15:45-16:00,40.69,12.48,3.88,20.35,82.36,91.08,11.76,24.14,0.97,84.47,1.94,0,12.6,4.84,48.44,0,24.22,96.89,48.44,37.43,38.76,17.44,0,0,0,0,12.48,31.88,0,31.88,24.77,0,12.76,26.8708,28.1,164.96,242.22,0,26.8708,1.79,8.43,42.63,1358.8216

