Block,Time,CHAMERA1,DADRI_CRF,UNCHAHAR4,SINGRAULI_HYDRO,TANDA2,CHAMERA2,CHAMERA3,KOLDAM,SEWA2,RAMPUR,RAPPB,BSIUL,DADRI_GF,RIHAND3,TEHRI,KISHANGANGA,UNCHAHAR1,NAPP,UNCHAHAR2,DADRT2,ANTA_CRF,RAPPC,KOTESHWR,DADRI_LF,ANTA_LF,DHAULIGNGA,SINGRAULI,DULHASTI,DADRI_RF,JHAJJAR,UNCHAHAR3,ANTA_GF,TANAKPUR,RIHAND1,NJPC,PARBATI3,AURY_CRF,AURY_LF,ANTA_RF,SALAL,URI2,URI,AURY_RF,AURY_GF,KUDGI,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,RIHAND2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,7.592760,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,31.317063,45.324720,0.000000,0.000000,49.81,77.443544,330.915375,6.045808,17.377471,14.490000,114.108750,25.560360,0,0,0,0,0

19,04:30-04:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.405364,37.759781,13.389182,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.533834,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.81,77.443544,330.915375,6.045808,17.377471,14.490000,114.108750,25.560360,0,0,0,0,0

20,04:45-05:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.405364,37.759781,21.466511,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.533834,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.81,77.443544,330.915375,6.045808,17.377471,14.490000,114.108750,25.560360,0,0,0,0,0

21,05:00-05:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,17.639296,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.32,77.443544,330.915375,6.045808,17.377471,14.490000,114.108750,25.560360,0,0,0,0,0

22,05:15-05:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,16.801302,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.32,77.443544,330.915375,6.045808,17.377471,14.490000,114.108750,25.560360,0,0,0,0,0

