Time,Block,WR/2023/20914/A/3824,NR/2023/18074/A/3712,WR/2023/20937/A/3835,NR/2024/18285/A/3825,NR/2024/18469/C,NR/2024/18491/C,NR/2024/18481/C,NR/2023/18183/A/3837,NR/2023/18204/A/3719,NR/2024/18472/C,NR/2024/18331/A/3836,NR/2024/18470/C,NR/2024/18471/C,Total
20,04:45-05:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.77

21,05:00-05:15,0.000000,0.430000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.82

22,05:15-05:30,0.000000,0.430000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.82

23,05:30-05:45,0.000000,0.430000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.82

24,05:45-06:00,0.000000,0.430000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.82

25,06:00-06:15,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.25

26,06:15-06:30,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.25

27,06:30-06:45,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.25

28,06:45-07:00,0.000000,0.380000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.25

29,07:00-07:15,0.000000,0.530000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.4

30,07:15-07:30,0.000000,0.530000,0.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,174.4

31,07:30-07:45,0.000000,0.530000,0.000000,9.620000,0.36,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,213.24

32,07:45:08:00,0.000000,0.530000,0.000000,9.620000,0.48,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,213.36

33,08:00-08:15,0.000000,0.870000,0.000000,9.620000,1.07,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,214.29

34,08:15-08:30,0.000000,0.870000,0.000000,9.620000,1.41,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,214.63

35,08:30-08:45,0.000000,0.870000,0.000000,9.620000,1.92,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,215.14

36,08:45:09:00,0.000000,0.870000,0.000000,9.620000,2.36,0.000000,38.480000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,215.58

37,09:00:09:15,0.000000,0.870000,0.000000,9.620000,2.74,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,215.96

38,09:15-09:30,0.000000,0.870000,0.000000,9.620000,3.17,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,216.39

39,09:30-09:45,0.000000,0.870000,0.000000,9.620000,3.9,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,217.12

40,09:45-10:00,0.000000,0.870000,0.000000,9.620000,4.34,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,217.56

41,10:00-10:15,0.000000,0.870000,0.000000,9.620000,4.67,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,217.89

42,10:15-10:30,0.000000,0.870000,0.000000,9.620000,5.06,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,218.28

43,10:30-10:45,0.000000,0.870000,0.000000,9.620000,5.34,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,218.56

44,10:45-11:00,0.000000,0.870000,0.000000,9.620000,5.8,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,219.02

45,11:00-11:15,0.000000,0.870000,0.000000,9.620000,6.15,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,219.37

46,11:15-11:30,0.000000,0.870000,0.000000,9.620000,6.3,0.000000,38.480000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,219.52

47,11:30-11:45,0.000000,0.870000,0.000000,9.620000,6.52,0.000000,38.480000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,230.62

48,11:45-12:00,0.000000,0.870000,0.000000,9.620000,6.59,0.000000,38.480000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,230.69

49,12:00-12:15,0.000000,0.870000,0.000000,9.620000,6.73,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.35

50,12:15-12:30,0.000000,0.870000,0.000000,9.620000,6.97,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.59

51,12:30-12:45,0.000000,0.870000,0.000000,9.620000,7.17,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.79

52,12:45-13:00,0.000000,0.870000,0.000000,9.620000,7.36,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.98

53,13:00-13:15,0.000000,0.770000,0.000000,9.620000,7.5,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,193.02

54,13:15-13:30,0.000000,0.770000,0.000000,9.620000,7.17,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.69

55,13:30-13:45,0.000000,0.770000,0.000000,9.620000,6.64,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,192.16

56,13:45-14:00,0.000000,0.770000,0.000000,9.620000,6.25,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,191.77

57,14:00-14:15,0.000000,0.770000,0.000000,9.620000,6.01,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,191.53

58,14:15-14:30,0.000000,0.770000,0.000000,9.620000,5.82,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,191.34

59,14:30-14:45,0.000000,0.770000,0.000000,9.620000,5.58,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,191.1

60,14:45-15:00,0.000000,0.770000,0.000000,9.620000,5.22,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,190.74

61,15:00-15:15,0.000000,0.670000,0.000000,9.620000,4.78,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,190.2

62,15:15-15:30,0.000000,0.670000,0.000000,9.620000,4.43,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,189.85

63,15:30-15:45,0.000000,0.670000,0.000000,9.620000,4.07,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,189.49

64,15:45-16:00,0.000000,0.670000,0.000000,9.620000,3.55,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,188.97

65,16:00-16:15,0.000000,0.480000,0.000000,9.620000,3.16,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,188.39

66,16:15-16:30,0.000000,0.480000,0.000000,9.620000,2.56,0.000000,0.000000,0.000000,5.770000,3.370000,158.480000,3.850000,3.660000,187.79

67,16:30-16:45,0.000000,0.480000,0.000000,9.620000,2.07,0.000000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,176.42

68,16:45-17:00,0.000000,0.480000,0.000000,9.620000,1.57,0.000000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,175.92

69,17:00-17:15,0.000000,0.480000,0.000000,9.620000,1.13,89.470000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,264.95

70,17:15-17:30,0.000000,0.480000,0.000000,9.620000,0.74,89.470000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,264.56

71,17:30-17:45,0.000000,0.480000,0.000000,9.620000,0.4,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,216.12

72,17:45-18:00,0.000000,0.480000,0.000000,9.620000,0.2,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,215.92

73,18:00-18:15,55.000000,0.480000,25.000000,9.620000,0,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,295.72

74,18:15-18:30,55.000000,0.480000,25.000000,9.620000,0,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,295.72

75,18:30-18:45,55.000000,0.480000,25.000000,9.620000,0,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,295.72

76,18:45-19:00,55.000000,0.480000,25.000000,9.620000,0,41.370000,0.000000,0.000000,5.770000,0.000000,158.480000,0.000000,0.000000,295.72

77,19:00-19:15,55.000000,0.580000,25.000000,9.620000,0,41.370000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,295.82

78,19:15-19:30,55.000000,0.580000,25.000000,9.620000,0,89.470000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,343.92

79,19:30-19:45,55.000000,0.580000,25.000000,9.620000,0,89.470000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,343.92

80,19:45-20:00,55.000000,0.580000,25.000000,9.620000,0,89.470000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,343.92

81,20:00-20:15,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

82,20:15-20:30,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

83,20:30-20:45,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

84,20:45-21:00,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

85,21:00-21:15,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

86,21:15-21:30,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

87,21:30-21:45,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

88,21:45-22:00,55.000000,0.580000,25.000000,9.620000,0,0.000000,0.000000,158.480000,5.770000,0.000000,0.000000,0.000000,0.000000,254.45

89,22:00-22:15,55.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,70.87

90,22:15-22:30,55.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,70.87

91,22:30-22:45,55.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,70.87

92,22:45-23:00,55.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,70.87

93,23:00-23:15,0.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.87

94,23:15-23:30,0.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.87

95,23:30-23:45,0.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.87

96,23:45-24:00,0.000000,0.480000,0.000000,9.620000,0,0.000000,0.000000,0.000000,5.770000,0.000000,0.000000,0.000000,0.000000,15.87

