Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,WR/2025/27369/A/61162,WR/2025/27361/A/61100,WR/2025/27350/A/61046,NR/2025/25795/A/61062,NR/2025/25825/C,NR/2025/25791/A/61067,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/6216,NR/2025/25790/A/61068,NR/2025/25792/A/61066,NR/2025/25794/A/61064,NR/2025/25752/A/60912,GNARE/NR/2024/12/20/3668,Total

28,06:45-07:00,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,29.82,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,1.06,519.3199999999999

29,07:00-07:15,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,30.78,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,3.63,522.85

30,07:15-07:30,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,30.78,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,7.76,526.98

31,07:30-07:45,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,31.74,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,13.39,533.57

32,07:45-08:00,6.58,0,0,9.62,1.92,2.89,9.62,48.1,48.1,144.28,6.73,0,9.59,34.63,30.5,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,21.11,544.1800000000001

33,08:00-08:15,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,35.59,25.8,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,29.65,408.41

34,08:15-08:30,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,25.8,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,38.17,418.8500000000001

35,08:30-08:45,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,25.97,25.8,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,49.21,418.35

36,08:45-09:00,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,32.7,25.8,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,55.25,431.12000000000006

37,09:00-09:15,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,25.99,30,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,63.01,446.26000000000005

38,09:15-09:30,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,25.99,30,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,70.38,453.63000000000005

39,09:30-09:45,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,79.16,460.1400000000001

40,09:45-10:00,6.44,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,85.96,466.94000000000005

41,10:00-10:15,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,92.08,474.90000000000003

42,10:15-10:30,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,97.55,480.37000000000006

43,10:30-10:45,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

44,10:45-11:00,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

45,11:00-11:15,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

46,11:15-11:30,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

47,11:30-11:45,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

48,11:45-12:00,6.35,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.86,26.86,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,482.82000000000005

49,12:00-12:15,6.26,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.22

50,12:15-12:30,6.26,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.22

51,12:30-12:45,6.26,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.22

52,12:45-13:00,6.26,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.22

53,13:00-13:15,6.17,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.13

54,13:15-13:30,6.17,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.13

55,13:30-13:45,6.17,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.13

56,13:45-14:00,6.17,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,8.66,100,483.13

57,14:00-14:15,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,7.7,100,482.08

58,14:15-14:30,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,10.04,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,7.7,100,482.08

59,14:30-14:45,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,7.7,100,481.63

60,14:45-15:00,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,7.7,100,481.63

61,15:00-15:15,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,100,480.66

62,15:15-15:30,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,99.79,480.45000000000005

63,15:30-15:45,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,94.04,474.70000000000005

64,15:45-16:00,6.08,0,0,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,6.73,88.29,468.95000000000005

65,16:00-16:15,6.17,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,81.71,509.58000000000004

66,16:15-16:30,6.17,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,74.63,502.50000000000006

67,16:30-16:45,6.17,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,67.14,495.01000000000005

68,16:45-17:00,6.17,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,3.85,59.23,487.1000000000001

69,17:00-17:15,6.26,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,50.79,474.90000000000003

70,17:15-17:30,6.26,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,42.66,466.77

71,17:30-17:45,6.26,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,26.88,26.88,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,34.32,458.43

72,17:45-18:00,6.26,0,50,9.62,1.92,2.89,9.62,48.1,48.1,0,6.73,0,9.59,37.51,25.75,25.75,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,26.01,447.86

73,18:00-18:15,6.35,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,17.47,488.47

74,18:15-18:30,6.35,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,10.24,481.24

75,18:30-18:45,6.35,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,23.63,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,9.53,484.12

76,18:45-19:00,6.35,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,3.94,463.58000000000004

77,19:00-19:15,6.44,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,3.01,462.74

78,19:15-19:30,6.44,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0.78,460.51

79,19:30-19:45,6.44,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.73

80,19:45-20:00,6.44,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.73

81,20:00-20:15,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.87000000000006

82,20:15-20:30,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.87000000000006

83,20:30-20:45,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.87000000000006

84,20:45-21:00,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,8.68,30.5,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,459.87000000000006

85,21:00-21:15,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,471.23

86,21:15-21:30,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,471.23

87,21:30-21:45,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,471.23

88,21:45-22:00,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,1.92,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,471.23

89,22:00-22:15,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

90,22:15-22:30,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

91,22:30-22:45,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

92,22:45-23:00,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

93,23:00-23:15,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

94,23:15-23:30,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,25.27,25.27,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,469.31

95,23:30-23:45,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,472.4700000000001

96,23:45-24:00,6.58,0,50,9.62,1.92,2.89,9.62,48.1,48.1,48.1,6.73,0,9.59,37.51,26.85,26.85,2.89,2.89,48.1,9.62,10.93,32.79,32.79,0,0,472.4700000000001

